Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03,0.84,4.47,,,35.79,0.09,,0.85,4.48,,,36.43,0.09,,0.77,3.95,,,34.39,0.08,,0.79,4.07,,,36.04,0.09,,535796800,322352000,,,53228400,300912000,
2000-01-04,0.77,4.1,,,34.58,0.09,,0.83,4.57,,,35.97,0.09,,0.76,4.09,,,34.47,0.08,,0.81,4.27,,,34.87,0.09,,512377600,349748000,,,54119000,300480000,
2000-01-05,0.78,3.49,,,34.95,0.08,,0.83,3.76,,,35.73,0.09,,0.77,3.4,,,33.59,0.08,,0.78,3.53,,,34.12,0.08,,778321600,769148000,,,64059600,188352000,
2000-01-06,0.71,3.28,,,33.78,0.08,,0.81,3.63,,,34.97,0.08,,0.71,3.2,,,33.28,0.08,,0.8,3.57,,,34.45,0.08,,767972800,375040000,,,54976600,120480000,
2000-01-07,0.75,3.48,,,34.22,0.08,,0.76,3.53,,,34.47,0.08,,0.72,3.31,,,32.95,0.08,,0.73,3.35,,,33.35,0.08,,460734400,210108000,,,62013600,71184000,
2000-01-10,0.74,3.46,,,34.47,0.08,,0.77,3.63,,,34.91,0.09,,0.71,3.28,,,34.2,0.08,,0.77,3.63,,,34.83,0.08,,505064000,295158000,,,44963600,239856000,
2000-01-11,0.7,3.34,,,33.59,0.08,,0.75,3.5,,,35.08,0.08,,0.68,3.25,,,33.37,0.08,,0.72,3.34,,,34.24,0.08,,441548800,210654000,,,46743600,148128000,
2000-01-12,0.66,3.18,,,32.49,0.08,,0.72,3.4,,,33.43,0.08,,0.65,3.15,,,32.07,0.08,,0.71,3.39,,,33.32,0.08,,976068800,216090000,,,66532400,123552000,
