,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,AMEX:SGN,SGN,"Signing Day Sports, Inc.",signing-day-sports,streaming,stock,['common'],171.13930348258705,2.19,100,1,false,0,USD,163.85542168674698,163863994,3006835.0,USD,,-12.7143,47.50777208490048,0.0,Technology services,Technology Services,america,,27.35878383970421
1,NASDAQ:IFRX,IFRX,InflaRx N.V.,inflarx,streaming,stock,['common'],155.8695346548573,0.7305,10000,1,false,0,USD,-59.86263736263737,8156023,122182555.0,USD,,-1.0476,-40.598577372164826,0.0,Health technology,Health Technology,america,1.125,43.73540369873062
2,NASDAQ:ASBP,ASBP,"Aspire Biopharma Holdings, Inc.",aspire-biopharma,streaming,stock,['common'],146.49018441403928,0.7064,10000,1,false,0,USD,197.43157894736845,703100601,11762417.875,USD,,-1.7112,-607.6923076923077,0.0,Health technology,Health Technology,america,,472.5264200579532
3,NASDAQ:PLRZ,PLRZ,Polyrizon Ltd.,polyrizon-ltd,streaming,stock,['common'],139.14285714285717,1.03,100,1,false,0,USD,59.44272445820433,51867433,5488182.801857586,USD,,-0.3683,-157.5524475524476,0.0,Health technology,Health Technology,america,,26.640999037791875
4,NASDAQ:NAOV,NAOV,"NanoVibronix, Inc.",nanovibronix,streaming,stock,['common'],135.41760383865648,0.8556,10000,1,false,0,USD,-27.491525423728806,24998080,2211584.6084745764,USD,,-15.1283,-23.60227133461334,0.0,Health technology,Health Technology,america,,10.991004403026768
5,NASDAQ:ILAG,ILAG,Intelligent Living Application Group Inc.,intelligent-living-application,streaming,stock,['common'],119.90508096035732,0.405,10000,1,false,0,USD,-1.2195121951219388,24366060,8411641.020000001,USD,,-0.2043,-5.363589479112956,0.0,Consumer durables,Consumer Durables,america,,73.17968020984972
6,NASDAQ:HOLO,HOLO,MicroCloud Hologram Inc.,,streaming,stock,['common'],106.64335664335665,10.4,100,1,false,0,USD,72.18543046357617,54443206,49167899.20529801,USD,,-453.508,82.87201256911504,0.0,Electronic technology,Electronic Technology,america,,17.746701871563754
7,NASDAQ:PNBK,PNBK,Patriot National Bancorp Inc.,patriot-bank,streaming,stock,['common'],106.62650602409641,1.68,100,1,false,0,USD,-51.02040816326531,3906108,261570687.00000003,USD,,-10.1548,-984.7986326247195,0.0,Finance,Finance,america,,9.866811827216845
8,NASDAQ:ECDA,ECDA,"ECD Automotive Design, Inc.",ecd-automotive-design,streaming,stock,['common'],97.58635039533915,0.2649,10000,1,false,0,USD,1.1068702290076389,48706645,9373660.403816793,USD,,-0.2752,-162.59541984732823,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,82.09954163690894
9,NASDAQ:SPRO,SPRO,"Spero Therapeutics, Inc.",spero-therapeutics,streaming,stock,['common'],97.1891891891892,2.35,100,1,false,0,USD,244.57478005865104,183487332,38131056.0,USD,,-1.2812,-391.3142337426102,0.0,Health technology,Health Technology,america,2.0,1919.3054877098439
10,NASDAQ:CETX,CETX,Cemtrex Inc.,cemtrex,streaming,stock,['common'],96.26059691092789,0.8661,10000,1,false,0,USD,-48.75147928994083,2941867,3015942.0,USD,,-305.7854,97.0594226923011,0.0,Electronic technology,Electronic Technology,america,,1.943806390773757
11,NASDAQ:SGBX,SGBX,Safe & Green Holdings Corp.,sg-blocks,streaming,stock,['common'],95.87430525865753,1.24,100,1,false,0,USD,124.23146473779383,95192360,5596720.0,USD,,-12.2254,63.86481597521902,0.0,Producer manufacturing,Producer Manufacturing,america,,8.794192226261686
12,NYSE:GWH,GWH,"ESS Tech, Inc.",,streaming,stock,['common'],89.42307692307692,1.11,100,1,false,0,USD,-43.65482233502537,1532804,13435162.78172589,USD,,-7.243,-54.01135469603864,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,9.346126501638372
13,NASDAQ:CGBS,CGBS,Crown LNG Holdings Limited,crown-lng-limited,streaming,stock,['common'],88.57142857142856,0.0762,10000,1,false,0,USD,31.379310344827587,487041745,35151766.820689656,USD,,,,0.0,Miscellaneous,Miscellaneous,america,,11.55225985945046
14,NASDAQ:SCWO,SCWO,374Water Inc.,374water,streaming,stock,['common'],88.04812834224599,0.475,10000,1,false,0,USD,35.986258230747204,57923510,68724408.81763527,USD,,-0.103,-139.53488372093022,0.0,Industrial services,Industrial Services,america,,233.02226692145229
15,NASDAQ:BIAF,BIAF,"bioAffinity Technologies, Inc.",bioaffinity-technologies,streaming,stock,['common'],85.07960014809329,0.4,10000,1,false,0,USD,46.84287812041118,45139047,11147074.889867842,USD,,-0.7155,22.413793103448274,0.0,Health technology,Health Technology,america,2.0,3.7810929949970493
16,NASDAQ:ELPW,ELPW,Elong Power Holding Limited,elong-power-limited,streaming,stock,['common'],82.05882352941178,3.5,100,1,false,0,USD,-30.830039525691692,4059267,162465360.770751,USD,16.14391143911439,0.2168,67.02619414483821,0.0,Producer manufacturing,Producer Manufacturing,america,,11.871034475497972
17,NASDAQ:CLGN,CLGN,CollPlant Biotechnologies Ltd.,collplant-biotechnologies-ltd,streaming,stock,['common'],78.5,3.4,100,1,false,0,USD,76.16580310880829,1215942,38945338.75647668,USD,,-1.2105,-80.96875467184927,0.0,Health technology,Health Technology,america,1.0,147.8996278006179
18,NASDAQ:DGLY,DGLY,"Digital Ally, Inc.",,streaming,stock,['common'],74.46357615894038,3.29,100,1,false,0,USD,-20.722891566265066,3850995,5489338.838554216,USD,,-5855.52,65.07119951133848,0.0,Commercial services,Commercial Services,america,,2.1839435804670444
19,NASDAQ:SKK,SKK,SKK Holdings Limited,skk-limited,streaming,stock,['common'],73.25800376647834,0.618,10000,1,false,0,USD,3.5349304741162686,4397353,11587500.0,USD,33.225806451612904,0.0186,,0.0,Industrial services,Industrial Services,america,,61.39693696184257
20,NYSE:LVWR,LVWR,"LiveWire Group, Inc.",livewire,streaming,stock,['common'],69.18032786885246,3.97,100,1,false,0,USD,55.078125,70492057,808157948.9179686,USD,,-0.4405,20.32917344908663,0.0,Consumer durables,Consumer Durables,america,,8.531958878780088
21,NASDAQ:YSXT,YSXT,"YSX Tech. Co., Ltd",ysx-tech-co-ltd,streaming,stock,['common'],63.84320756254584,6.6,100,1,false,0,USD,10.684398530916154,261579,153450008.85475186,USD,,,,0.0,Finance,Finance,america,,4.5581021717197245
22,NASDAQ:AGAE,AGAE,Allied Gaming & Entertainment Inc.,allied-esports,streaming,stock,['common'],63.36206896551726,3.42,100,1,false,0,USD,46.15384615384616,4830333,150842563.84615386,USD,,-0.2691,-144.63636363636365,0.0,Consumer services,Consumer Services,america,,14.091230782694945
23,NASDAQ:ARAI,ARAI,Arrive AI Inc.,,streaming,stock,['common'],59.65417321641636,6.15,100,1,false,0,USD,14.10018552875697,1946710,184366003.8,USD,,,,0.0,Technology services,Technology Services,america,,
24,NASDAQ:HAO,HAO,Haoxi Health Technology Limited,haoxi-health-technology-limited,streaming,stock,['common'],58.12565445026179,1.19,100,1,false,0,USD,-13.768115942028983,308727,23087898.05,USD,89.47368421052632,0.0133,,0.0,Commercial services,Commercial Services,america,,2.357032917701171
25,NASDAQ:IMNN,IMNN,"Imunon, Inc.",celsion,streaming,stock,['common'],57.63888888888889,1.52,100,1,false,0,USD,-33.03964757709251,23480018,26663433.55066079,USD,,-1.4064,30.500098833761612,0.0,Health technology,Health Technology,america,1.25,0.43430816735600336
26,NASDAQ:BSLK,BSLK,"Bolt Projects Holdings, Inc.",,streaming,stock,['common'],56.78349066077526,2.23,100,1,false,0,USD,-24.534686971235196,307697,4597767.2115059225,USD,4.352068696330992,0.5124,,0.0,Finance,Finance,america,,10.55263852830927
27,NASDAQ:MDCX,MDCX,Medicus Pharma Ltd.,medicus-pharma-ltd,streaming,stock,['common'],54.579673776662496,4.12,100,1,false,0,USD,-33.116883116883116,725441,55598828.14935065,USD,,-1.426,,0.0,Health technology,Health Technology,america,1.0,1.9884139087913955
28,NASDAQ:WOK,WOK,WORK Medical Technology Group LTD,work-medical-technology-ltd,streaming,stock,['common'],54.24164524421594,0.7998,10000,1,false,0,USD,0.1001251564455459,2737182,11670635.2116,USD,,,,0.0,Health technology,Health Technology,america,,0.42564978225581407
29,NASDAQ:SPPL,SPPL,SIMPPLE LTD.,simpple-ltd,streaming,stock,['common'],53.6697247706422,3.21,100,1,false,0,USD,-2.795021651576169,150608,11362703.040305242,USD,,-1.1826,,0.0,Technology services,Technology Services,america,,17.95838550050677
30,NASDAQ:SGD,SGD,Safe and Green Development Corporation,safe-and-green-development,streaming,stock,['common'],53.17335017366592,1.24,100,1,false,0,USD,38.57845328565042,14774570,2593769.9999999995,USD,,-6.9361,34.715372162192686,0.0,Finance,Finance,america,,413.48402967656375
31,AMEX:HYLN,HYLN,Hyliion Holdings Corp.,hyliion,streaming,stock,['common'],52.91666666666667,1.71,100,1,false,0,USD,50.000000000000014,19040544,299648089.50000006,USD,,-0.3088,49.22722788556395,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,3.7820549796561447
32,AMEX:OGEN,OGEN,Oragenics Inc.,oragenics,streaming,stock,['common'],52.38095238095239,0.1387,10000,1,false,0,USD,-27.76041666666667,3314233,2978622.2317708335,USD,,-1.2744,82.29950831967555,0.0,Health technology,Health Technology,america,2.0,7.734432631503532
33,NASDAQ:CLEU,CLEU,China Liberal Education Holdings Limited,china-liberal-education-limited,streaming,stock,['common'],50.77605321507761,0.994,10000,1,false,0,USD,-26.91176470588236,442512,3346365.3176470585,USD,,,,0.0,Commercial services,Commercial Services,america,,5.6205275150702265
34,NASDAQ:FBRX,FBRX,"Forte Biosciences, Inc.",forte-biosciences,streaming,stock,['common'],50.43478260869566,9.67,100,1,false,0,USD,-16.131830008673024,172406,63661299.36079793,USD,,-13.8148,45.19132728967884,0.0,Health technology,Health Technology,america,1.0,1.841281504415611
