,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:DFLI,,DFLI,0.3759,0.1579,72.43119266055047,143397294,-0.2293577981651378,0.2515,15.366972477064223,332914133,2354831.4174311925,-96.09359303755376,Dragonfly Energy Holdings Corp,stock,['common'],streaming,10000,1,false,0,USD,USD
1,AMEX:MITQ,moving-image-technologies,MITQ,0.8995,0.34639999999999993,62.62881938166696,44768035,4.809256915566797,0.85,53.679262339540756,190477327,8443627.372988608,-11.850256147302629,"Moving iMage Technologies, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
2,NASDAQ:BIYA,baiya-international,BIYA,1.1104,0.28090000000000004,33.86377335744425,26776843,3.6769138034960784,0.775,-6.570223025919228,42156299,,,Baiya International Group Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
3,NASDAQ:NTCL,netclass-technology,NTCL,1.935,0.4650000000000001,31.6326530612245,3845731,2.721088435374152,1.8,22.44897959183674,9879075,24768000.0,,NETCLASS TECHNOLOGY INC,stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:BASE,couchbase,BASE,24.49,5.559999999999999,29.371368198626513,551584,1.9545694664553672,24.49,29.371368198626513,13423692,1324528102.2303221,23.3348433446064,"Couchbase, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
5,NYSE:GMS,gms,GMS,103.8,22.789999999999992,28.132329342056522,108882,18.503888408838407,100.27,23.774842612023196,5803707,3849272775.8296504,-7.0720597510821035,GMS Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
6,NASDAQ:LUCY,innovative-eyewear,LUCY,2.89,0.6100000000000003,26.7543859649123,4947727,3.070175438596504,3.53,54.824561403508774,111074008,10927362.719298247,-15.739827451632081,"Innovative Eyewear, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:PCSA,processa-pharmaceuticals,PCSA,0.3001,0.058099999999999985,24.008264462809912,57031917,44.7107438016529,0.3201,32.27272727272727,148613485,3804182.1545454552,-44.70876406041019,"Processa Pharmaceuticals, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
8,NASDAQ:AIFF,firefly-neuroscience,AIFF,3.68,0.6800000000000002,22.66666666666667,9063952,-2.9999999999999956,2.74,-8.66666666666666,23935666,35239406.693333335,763.3038131592255,"Firefly Neuroscience, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
9,NASDAQ:LGCL,lucas-gc-limited,LGCL,0.833,0.15349999999999997,22.590139808682853,1605036,0.014716703458423692,1.03,51.58204562178072,11111419,81851065.32744665,-67.68353587421494,Lucas GC Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
10,NASDAQ:JFB,jfb-construction,JFB,6.25,1.12,21.83235867446394,1100,15.009746588693968,5.31,3.5087719298245554,49558,27877499.999999996,,JFB Construction Holdings,stock,['common'],streaming,100,1,false,0,USD,USD
11,NASDAQ:JFBR,jeffs-brands-ltd,JFBR,7.71,1.2149999999999999,18.706697459584294,1758904,-7.46728252501925,7.49,15.319476520400311,4045399,4144854.140107775,,Jeffs' Brands Ltd,stock,['common'],streaming,100,1,false,0,USD,USD
12,NASDAQ:GRRR,gorilla-technology-group-inc,GRRR,22.11,3.3000000000000007,17.543859649122812,216949,16.10845295055822,25.23,34.13078149920256,12284719,510207160.2679426,1009.6722202151404,Gorilla Technology Group Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
13,NASDAQ:GALT,galectin-therapeutics,GALT,3.82,0.5299999999999998,16.109422492401208,201467,6.079027355623105,2.42,-26.443768996960486,4324009,153165641.10638297,38.45174171800999,Galectin Therapeutics Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
14,NYSE:CRCL,,CRCL,231.1,31.50999999999999,15.78736409639761,5249088,7.249862217545969,240.28,20.386792925497268,91662047,48048409554.8,,"Circle Internet Group, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
15,NASDAQ:SRM,srm-entertainment,SRM,9.49,1.290000000000001,15.731707317073184,1857041,4.87804878048781,11.04,34.63414634146342,54810081,190369454.39999998,,"SRM Entertainment, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
16,NASDAQ:SMLR,semler-scientific,SMLR,36.71,4.77,14.934251721978708,258685,4.884157795867247,36.14,13.149655604257982,3238614,403017827.15153414,43.08525811362295,"Semler Scientific, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
17,NYSE:OSCR,oscar-health,OSCR,21.5,2.7300000000000004,14.54448588172616,2443399,14.27810335641982,21.22,13.052743740010653,70560600,4650638854.3473625,13.049520644007726,"Oscar Health, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
18,NASDAQ:MATH,metalpha-technology-limited,MATH,3.47,0.4200000000000004,13.7704918032787,39344,11.475409836065577,3.4,11.475409836065577,442739,130469459.67213115,136.39030821949626,Metalpha Technology Holding Limited,stock,['common'],streaming,100,1,false,0,USD,USD
19,NASDAQ:ARQQ,,ARQQ,43.1,5.130000000000003,13.510666315512253,118706,1.9752436133789835,41.68,9.77087174084804,3885619,598301812.5488544,943.6972933126928,Arqit Quantum Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
20,AMEX:AIM,,AIM,9.3,1.0,12.048192771084336,15351,1.6867469879517927,9.21,10.963855421686748,87143,7038640.413253013,-71.78711651789318,AIM ImmunoTech Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
21,NYSE:ZETA,zeta,ZETA,14.1,1.5099999999999998,11.993645750595709,725299,0.39714058776807554,14.18,12.629070691024621,17904634,3340015905.6505165,-12.271245479413523,Zeta Global Holdings Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
22,AMEX:PLAG,planet-green,PLAG,0.9215,0.09550000000000003,11.561743341404362,1868686,39.22518159806295,0.9123,10.44794188861986,2935970,6644019.138377724,-47.51324641325773,Planet Green Holdings Corp.,stock,['common'],streaming,10000,1,false,0,USD,USD
23,NASDAQ:BBGI,beasley-broadcast,BBGI,5.19,0.5300000000000002,11.373390557939919,584372,15.021459227467815,4.66,0.0,1349908,8362002.0,-57.702074975254554,"Beasley Broadcast Group, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
24,NASDAQ:INVZ,innoviz-technologies,INVZ,1.47,0.1499999999999999,11.363636363636356,2417043,1.5151515151515165,1.33,0.7575757575757582,27845039,264619416.6742424,83.29114521070224,Innoviz Technologies Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
25,NASDAQ:OMEX,odyssey-marine-exploration,OMEX,1.49,0.1499999999999999,11.194029850746261,354693,0.0,1.22,-8.955223880597023,4641735,38229358.25373134,-58.4812318008301,"Odyssey Marine Exploration, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
26,NASDAQ:PROK,prokidney,PROK,0.7696,0.07329999999999992,10.52707166451241,10118,6.577624587103253,0.6601,-5.198908516444063,1801381,193209723.7941979,-72.10740700242145,ProKidney Corp.,stock,['common'],streaming,10000,1,false,0,USD,USD
27,AMEX:NNVC,nanoviricides,NNVC,1.48,0.1399999999999999,10.447761194029843,23951,0.0,1.43,6.71641791044775,308135,22982961.06716417,-10.198883181930764,"NanoViricides, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
28,NASDAQ:AERT,aeries-technology,AERT,1.46,0.1299999999999999,9.774436090225555,2695,0.0,1.19,-10.526315789473694,249900,53024016.42105263,3.292690536422869,"Aeries Technology, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
29,NASDAQ:CAI,,CAI,30.68,2.6799999999999997,9.571428571428571,321562,1.4285714285714235,27.25,-2.6785714285714284,5296282,,,"Caris Life Sciences, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
30,NASDAQ:SBET,sharplink-gaming,SBET,10.95,0.9499999999999993,9.499999999999993,1104878,3.5999999999999943,9.85,-1.5000000000000036,14215001,599934904.4649999,23945.70476894336,"SharpLink Gaming, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
31,NASDAQ:GMGI,golden-matrix,GMGI,1.73,0.1499999999999999,9.493670886075943,3641,0.0,1.64,3.797468354430369,322369,227290253.06329113,-35.37132016622358,"Golden Matrix Group, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
32,AMEX:BKTI,bk-technologies,BKTI,56.5,4.850000000000001,9.390125847047438,700,5.905130687318498,47.82,-7.415295256534363,161378,175671270.5424976,311.2885836518991,BK Technologies Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
33,NYSE:UP,wheels-up,UP,1.4,0.11999999999999988,9.374999999999991,15709,3.9062500000000036,1.35,5.468750000000004,2795727,943480240.6640626,-22.249455695196957,Wheels Up Experience Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
34,NASDAQ:INM,inmed-pharmaceuticals,INM,2.7413,0.23130000000000006,9.215139442231079,3401,0.0,2.49,-0.7968127490039673,42250,3005893.2788844625,52.324861225199754,InMed Pharmaceuticals Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
35,NASDAQ:CELU,celularity,CELU,1.95,0.15999999999999992,8.938547486033514,7397,6.703910614525133,1.76,-1.6759776536312863,66343,42150641.16201118,-35.47473711736103,Celularity Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
36,NASDAQ:VVOS,vivos-therapeutics,VVOS,2.7,0.2200000000000002,8.870967741935491,31433,12.903225806451607,2.8,12.903225806451607,501266,16490656.451612901,80.67112237683176,"Vivos Therapeutics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
37,NASDAQ:KLTR,kaltura,KLTR,2.21,0.18000000000000016,8.866995073891633,13284,2.955665024630545,1.97,-2.955665024630534,437520,302629762.862069,72.57641529376762,"Kaltura, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
38,NYSE:KMX,carmax,KMX,70.0,5.670000000000002,8.813928182807402,265538,2.083009482356604,68.57,6.591015078501469,12455771,10445589735.190268,-12.168269694355635,CarMax Inc,stock,['common'],streaming,100,1,false,0,USD,USD
39,NASDAQ:LASE,laser-photonics,LASE,2.1,0.17000000000000015,8.808290155440423,800,6.217616580310875,2.01,4.145077720207246,161168,28707611.502590675,51.713650255846325,Laser Photonics Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
40,NASDAQ:APYX,apyx-medicalrporation,APYX,1.86,0.15000000000000013,8.771929824561411,769,4.678362573099419,2.0,16.959064327485383,79754,75587777.77777778,40.26165356896969,Apyx Medical Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
41,NASDAQ:ABSI,absci,ABSI,2.9897,0.23970000000000002,8.716363636363637,2985040,3.2727272727272676,2.79,1.4545454545454557,9774811,355890583.9636364,6.233679612862739,Absci Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
42,NASDAQ:PPIH,perma-pipe-international,PPIH,22.98,1.7800000000000011,8.396226415094345,350,8.607547169811319,20.695,-2.3820754716981085,43838,165199246.12665096,135.56213485911533,"Perma-Pipe International Holdings, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
43,AMEX:GPUS,bitnile,GPUS,1.83,0.14000000000000012,8.28402366863906,15316040,2.9585798816568074,1.53,-9.46745562130177,31114722,4821599.449704142,-51.30328932498177,"Hyperscale Data, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
44,NASDAQ:PMAX,powell-max-limited,PMAX,0.3824,0.029000000000000026,8.205998868138096,2470184,1.8675721561969425,0.3857,9.139784946236558,4195442,5665265.064516128,,Powell Max Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
45,NASDAQ:OUST,ouster,OUST,21.99,1.6499999999999986,8.112094395280229,177991,2.359882005899707,21.53,5.850540806293026,7158330,1158205661.9714847,136.7350623636087,"Ouster, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
