,ticker,name,description,logoid,update_mode,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
0,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,delayed_streaming_900,stock,['common'],31293597112.620003,USD,321.67,100,1,false,0,3.5040864920522696,97284786,1.0010740189038345,1034657048225.8057,USD,176.89727232732074,1.8184,-53.531636512317284,0.0,Consumer durables,america,Consumer Durables,1.8
1,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,delayed_streaming_900,stock,['common'],27218947471.57,USD,171.37,100,1,false,0,0.3925014645577129,158831461,0.9240101028961124,4181427925244.732,USD,55.2005153808987,3.1045,81.60280783854927,0.0234329232571763,Electronic technology,america,Electronic Technology,1.186567
2,NYSE:CRCL,CRCL,"Circle Internet Group, Inc.",circle-internet-group-inc,delayed_streaming_900,stock,['common'],10260511065.199999,USD,233.2,100,1,false,0,19.387702861823566,43998761,2.2047938328175514,53085672952.399994,USD,,,,0.0,Technology services,america,Technology Services,1.764706
3,NASDAQ:AAPL,AAPL,Apple Inc.,apple,delayed_streaming_900,stock,['common'],9980558715.92,USD,210.16,100,1,false,0,0.5021280665678269,47490287,0.9714651977509003,3138913237443.2437,USD,32.797016183148926,6.4079,-0.35609877464701006,0.482999378317632,Electronic technology,america,Electronic Technology,1.5
4,NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,delayed_streaming_900,stock,['common'],9523601020.800001,USD,160.08,100,1,false,0,2.8725660304607663,59492760,1.2319977962654838,259554400861.44897,USD,117.34349802081806,1.3642,99.18236238866992,0.0,Electronic technology,america,Electronic Technology,1.330357
5,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,delayed_streaming_900,stock,['common'],9185166771.039999,USD,702.91,100,1,false,0,-1.0529427497571782,13067344,1.290219589257504,1767219771426.0608,USD,27.418008487798787,25.6368,47.260915268451576,0.288573881952167,Technology services,america,Technology Services,1.219178
6,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,delayed_streaming_900,stock,['common'],8824023100.75,USD,223.19,100,1,false,0,-1.3960680362270805,39535925,1.063560578589675,2369463569126.8877,USD,36.40174188181951,6.1313,72.19850586979723,0.0,Retail trade,america,Retail Trade,1.098592
7,NASDAQ:PLTR,PLTR,Palantir Technologies Inc.,palantir,delayed_streaming_900,stock,['common'],8697994388.15,USD,150.91,100,1,false,0,1.5681787589177438,57636965,0.8857350447241992,356134663856.261,USD,658.9956331877729,0.229,80.74191002367797,0.0,Technology services,america,Technology Services,1.964286
8,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,delayed_streaming_900,stock,['common'],7662338907.66,USD,505.62,100,1,false,0,-0.039539757225888386,15154343,0.9797112115402636,3758042924045.413,USD,39.07237686042378,12.9406,12.125255606002842,0.640544067059428,Technology services,america,Technology Services,1.146154
9,NASDAQ:ANSS,ANSS,"ANSYS, Inc.",ansys,delayed_streaming_900,stock,['common'],7071741977.8,USD,374.3,100,1,false,0,-4.690364636382159,18893246,14.004329107010866,32907010441.61973,USD,55.567927077302215,6.7359,35.602125860611196,0.0,Technology services,america,Technology Services,2.115385
10,NASDAQ:COIN,COIN,"Coinbase Global, Inc.",coinbase,delayed_streaming_900,stock,['common'],5735934417.4,USD,398.2,100,1,false,0,2.6235761043245214,14404657,1.1388491635014986,101423515253.43848,USD,74.622390465125,5.3362,6.572666813125351,0.0,Finance,america,Finance,1.631579
11,NASDAQ:HOOD,HOOD,"Robinhood Markets, Inc.",robinhood,delayed_streaming_900,stock,['common'],5649550177.25,USD,103.25,100,1,false,0,3.7271448663853666,54717193,0.8471267883598238,91114918590.64696,USD,58.9292848581702,1.7521,1104.192439862543,0.0,Finance,america,Finance,1.44
12,NASDAQ:MSTR,MSTR,MicroStrategy Incorporated,microstrategy,delayed_streaming_900,stock,['common'],4821307991.7,USD,455.9,100,1,false,0,3.072505708665862,10575363,0.7684524663719849,124644448104.23325,USD,,-21.8108,-160.1634162342697,0.0,Technology services,america,Technology Services,1.235294
13,NASDAQ:SNPS,SNPS,"Synopsys, Inc.",synopsys,delayed_streaming_900,stock,['common'],4533050054.400001,USD,571.2,100,1,false,0,0.36900369003690436,7936012,4.079190244952023,88627921954.36163,USD,41.13436361279544,13.8862,51.07325086763057,0.0,Technology services,america,Technology Services,1.16
14,NASDAQ:AVGO,AVGO,Broadcom Inc.,broadcom,delayed_streaming_900,stock,['common'],4220861287.82,USD,280.81,100,1,false,0,-0.046273225599770575,15031022,0.8800179869769356,1320781756736.8035,USD,105.55973235095105,2.6602,14.446738943383252,0.818680145226739,Electronic technology,america,Electronic Technology,1.193878
15,NASDAQ:NFLX,NFLX,"Netflix, Inc.",netflix,delayed_streaming_900,stock,['common'],4034672850.7799997,USD,1250.31,100,1,false,0,-0.7903068390106911,3226938,1.0155424728037372,532096046674.2456,USD,59.08167315616375,21.1624,46.8255014465806,0.0,Technology services,america,Technology Services,1.423077
16,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,delayed_streaming_900,stock,['common'],3887181142.25,USD,183.77,100,1,false,0,0.3659202621518383,21152425,0.9263131349233429,2222678511720.55,USD,20.493348053483214,8.9673,37.528948054537366,0.442381212452212,Technology services,america,Technology Services,1.222222
17,NYSE:JNJ,JNJ,Johnson & Johnson,johnson-and-johnson,delayed_streaming_900,stock,['common'],3647367071.04,USD,164.78,100,1,false,0,6.193207449893674,22134768,3.1421772232932614,396472744169.59656,USD,18.31723340632955,8.9959,29.575375219658355,3.23516143584456,Health technology,america,Health Technology,1.6
18,NASDAQ:MU,MU,"Micron Technology, Inc.",micron-technology,delayed_streaming_900,stock,['common'],3564471849.6000004,USD,116.43,100,1,false,0,-3.0638581300474503,30614720,1.3821407613557366,130299738624.85097,USD,21.015107485154235,5.5403,,0.382982266255932,Electronic technology,america,Electronic Technology,1.280488
19,NASDAQ:BPMC,BPMC,Blueprint Medicines Corporation,blueprint-medicines,delayed_streaming_900,stock,['common'],3319981762.56,USD,129.28,100,1,false,0,-0.054116737533817696,25680552,7.213449355764056,8360034730.284037,USD,,-2.4613,48.958981377794366,0.0,Health technology,america,Health Technology,1.95
20,NASDAQ:RGTI,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,delayed_streaming_900,stock,['common'],3206171150.64,USD,16.56,100,1,false,0,30.188679245283,193609369,5.473451848563249,4842852025.924528,USD,,-0.6999,-33.51774132010682,0.0,Electronic technology,america,Electronic Technology,1.0625
21,NYSE:GE,GE,GE Aerospace,ge-aerospace,delayed_streaming_900,stock,['common'],3170957089.4,USD,266.18,100,1,false,0,0.570521781841535,11912830,1.8718467915297763,283850798704.6781,USD,41.507609780439125,6.4128,110.51802245420525,0.559186912003627,Electronic technology,america,Electronic Technology,1.285714
22,NYSE:ORCL,ORCL,Oracle Corporation,oracle,delayed_streaming_900,stock,['common'],3039752620.0,USD,241.3,100,1,false,0,2.698331630915902,12597400,0.8434939647402193,677771424152.3928,USD,55.58755096869312,4.3409,17.115877512478086,0.723527408920667,Technology services,america,Technology Services,1.416667
23,NASDAQ:SBET,SBET,"SharpLink Gaming, Inc.",sharplink-gaming,delayed_streaming_900,stock,['common'],3012268309.26,USD,37.38,100,1,false,0,29.030031066620655,80585027,1.8350130974827172,2416653218.7297206,USD,,-9.083,98.90192283792561,0.0,Commercial services,america,Commercial Services,
24,NYSE:JPM,JPM,JP Morgan Chase & Co.,jpmorgan-chase,delayed_streaming_900,stock,['common'],2852416718.12,USD,285.82,100,1,false,0,-0.2547548420869022,9979766,1.0290209689694854,794320751127.2576,USD,14.66533261499782,19.4895,8.70498862165901,1.76234514046414,Finance,america,Finance,1.586207
25,NYSE:UNH,UNH,UnitedHealth Group Incorporated,unitedhealth,delayed_streaming_900,stock,['common'],2841241717.71,USD,292.49,100,1,false,0,0.26738884508588306,9713979,0.7993252442771287,265329500077.95233,USD,12.226871611368662,23.9219,46.134344952290185,2.9172808611292,Health services,america,Health Services,1.448276
26,NYSE:BAC,BAC,Bank of America Corporation,bank-of-america,delayed_streaming_900,stock,['common'],2821483786.84,USD,46.03,100,1,false,0,-0.2600216684723672,61296628,1.345844780952887,346692262663.92914,USD,13.742349604418571,3.3495,15.667518475032807,2.25352112676056,Finance,america,Finance,1.314815
27,NASDAQ:COST,COST,Costco Wholesale Corporation,costco-wholesale,delayed_streaming_900,stock,['common'],2806795515.79,USD,951.37,100,1,false,0,-1.6854745370370314,2950267,1.4913607728654328,421910787641.7645,USD,53.965273720454014,17.6293,9.270714533644068,0.493964947089947,Retail trade,america,Retail Trade,1.551282
28,NYSE:LLY,LLY,Eli Lilly and Company,eli-lilly,delayed_streaming_900,stock,['common'],2571142563.0,USD,789.8,100,1,false,0,2.3388402980239658,3255435,1.1922902857587374,748521573486.444,USD,65.42791580028663,12.0713,80.77844670081171,0.72562358276644,Health technology,america,Health Technology,1.266667
29,NYSE:WFC,WFC,Wells Fargo & Company,wells-fargo,delayed_streaming_900,stock,['common'],2442649883.92,USD,79.91,100,1,false,0,1.3314734973370494,30567512,1.5203280702307687,260041734952.49786,USD,13.695179009066136,5.8349,19.719725881242564,2.02891199594218,Finance,america,Finance,1.428571
30,NYSE:GS,GS,"Goldman Sachs Group, Inc. (The)",golden-sachs-etf-trust-goldman,delayed_streaming_900,stock,['common'],2355554168.1000004,USD,708.82,100,1,false,0,0.8982078546924683,3323205,1.4612257780382387,217495129591.74347,USD,16.449794499407055,43.0899,68.23646081826594,1.70816073792544,Finance,america,Finance,1.653846
31,NYSE:MP,MP,MP Materials Corp.,mp-materials,delayed_streaming_900,stock,['common'],2240895508.7,USD,58.55,100,1,false,0,0.5668155273101998,38273194,1.473318700435788,9570366496.742529,USD,,-0.6365,-311.97411003236243,0.0,Non-energy minerals,america,Non-Energy Minerals,1.318182
