,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:DTC,DTC,"Solo Brands, Inc.",,delayed_streaming_900,stock,['common'],48691370.935742974,USD,21.1,100,1,false,0,USD,22346.808510638297,77518,,-83.3592,4.977988331878053,0.0,Distribution services,Distribution Services,america,,0.07836472299549402
1,NASDAQ:TELO,TELO,"Telomir Pharmaceuticals, Inc.",telomir-pharmaceuticals,delayed_streaming_900,stock,['common'],67858895.70247933,USD,2.28,100,1,false,0,USD,88.4297520661157,137200926,,-0.422,35.11685116851169,0.0,Health technology,Health Technology,america,,43.27641440293697
2,NASDAQ:CYCC,CYCC,"Cyclacel Pharmaceuticals, Inc.",cyclacel-pharmaceuticals,delayed_streaming_900,stock,['common'],20702421.04131227,USD,13.07,100,1,false,0,USD,58.80923450789793,22367648,,-733.968,86.27797620115943,0.0,Health technology,Health Technology,america,,2.976549232224383
3,NASDAQ:BZAI,BZAI,"Blaize Holdings, Inc.",blaize,delayed_streaming_900,stock,['common'],489092429.72277236,USD,4.81,100,1,false,0,USD,58.745874587458744,73515939,,-1.8813,-10774.56647398844,0.0,Electronic technology,Electronic Technology,america,1.333333,56.38878239983727
4,NYSE:STEM,STEM,"Stem, Inc.",stem,delayed_streaming_900,stock,['common'],112725010.19417475,USD,13.5,100,1,false,0,USD,45.63106796116506,3806876,,-99.385,-574.8397522950731,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,11.33116505256052
5,NASDAQ:LMFA,LMFA,"LM Funding America, Inc.",lm-funding,delayed_streaming_900,stock,['common'],16580921.28378378,USD,3.23,100,1,false,0,USD,45.49549549549548,17085783,,-6.7576,-64.95227866331436,0.0,Commercial services,Commercial Services,america,2.0,3.192895237601534
6,NASDAQ:CELU,CELU,Celularity Inc.,celularity,delayed_streaming_900,stock,['common'],72566162.7681818,USD,3.03,100,1,false,0,USD,37.72727272727271,762250,,-2.6508,76.60040252815932,0.0,Commercial services,Commercial Services,america,,0.8737201818988561
7,AMEX:UAVS,UAVS,"AgEagle Aerial Systems, Inc.",ageagle-aerial-systems,delayed_streaming_900,stock,['common'],28129968.965986393,USD,2.02,100,1,false,0,USD,37.41496598639456,145838152,,-31.4033,90.76290667251033,0.0,Electronic technology,Electronic Technology,america,,25.576094985180475
8,NASDAQ:OPEN,OPEN,Opendoor Technologies Inc,opendoor,delayed_streaming_900,stock,['common'],1640537955.0000002,USD,2.25,100,1,false,0,USD,36.36363636363637,589417155,,-0.5185,-23.27627199239182,0.0,Finance,Finance,america,2.055556,3.2166964795015747
9,NASDAQ:CARV,CARV,"Carver Bancorp, Inc.",carver-bancorp,delayed_streaming_900,stock,['common'],13193135.544041453,USD,2.6,100,1,false,0,USD,34.71502590673576,165285,,-2.6434,-312.5156054931336,0.0,Finance,Finance,america,,3.5810078862986394
