,ticker,name,description,logoid,update_mode,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:RGC,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,delayed_streaming_900,stock,['common'],17065.101761826045,14.5,100,1,false,0,USD,-2.4226110363391617,644390,7170088928.0,USD,,-0.3142,13.204419889502766,0.0,Health technology,Health Technology,america,,0.18315529513472412
1,NASDAQ:QUBT,QUBT,Quantum Computing Inc.,quantum-computing,delayed_streaming_900,stock,['common'],2753.5907561796116,19.51,100,1,false,0,USD,-1.3151239251390896,22077766,3080850107.0000005,USD,,-0.4776,-39.97655334114889,0.0,Technology services,Technology Services,america,1.5,1.136986511740424
2,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,delayed_streaming_900,stock,['common'],2732.728310068561,24.41,100,1,false,0,USD,-8.713537771129388,3539472,359822411.0,USD,,-0.2584,51.42857142857142,0.0,Finance,Finance,america,1.0,1.4296124663354801
3,NASDAQ:WW,WW,"WW International, Inc.",,delayed_streaming_900,stock,['common'],2531.578947368421,35.0,100,1,false,0,USD,0.0,131501,2809810500.0,USD,,-0.8823,79.56266938454056,0.0,Consumer services,Consumer Services,america,1.0,0.5743066337370919
4,NASDAQ:NUTX,NUTX,Nutex Health Inc.,nutex-health,delayed_streaming_900,stock,['common'],1588.5756676557862,113.81,100,1,false,0,USD,2.7351507492327145,164358,632227758.0,USD,9.560410943944627,11.9043,,0.0,Health services,Health Services,america,1.0,0.4673660180732604
5,NYSE:QBTS,QBTS,D-Wave Quantum Inc.,d-wave-quantum,delayed_streaming_900,stock,['common'],1487.3949579831933,18.89,100,1,false,0,USD,-1.8191268191268082,52075404,5902638653.0,USD,,-0.6043,-13.504883546205853,0.0,Electronic technology,Electronic Technology,america,1.0,1.2584772161989448
6,NASDAQ:DGNX,DGNX,Diginex Limited,diginex-limited,delayed_streaming_900,stock,['common'],1342.7230046948357,61.46,100,1,false,0,USD,-7.230188679245282,30995,1413196673.98,USD,,-0.1859,-7.023603914795634,0.0,Technology services,Technology Services,america,,0.572706678837107
7,NASDAQ:RGTI,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,delayed_streaming_900,stock,['common'],1330.0,17.16,100,1,false,0,USD,0.11668611435238958,56511041,5538433416.0,USD,,-0.6999,-33.51774132010682,0.0,Electronic technology,Electronic Technology,america,1.0625,1.052875762117748
8,NASDAQ:MNPR,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,delayed_streaming_900,stock,['common'],1188.2483370288248,46.48,100,1,false,0,USD,-1.629629629629636,30472,284235138.0,USD,,-3.9851,-51.31758809234509,0.0,Health technology,Health Technology,america,1.166667,0.5459718628835171
9,AMEX:UAMY,UAMY,United States Antimony Corporation,united-states-antimony,delayed_streaming_900,stock,['common'],1098.8847583643123,3.87,100,1,false,0,USD,3.7533512064343197,11026741,460922797.0,USD,,-0.0085,84.40366972477064,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,1.5808876501975317
