,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:TNFA,mymd-pharmaceuticals,TNFA,0.1545,0.0295,23.599999999999998,135037568,16.559999999999995,0.1544,23.520000000000007,294976461,2190023.1872,-65.85172240446622,"TNF Pharmaceuticals, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
1,AMEX:CLDI,first-light-acquisition,CLDI,0.91,0.36040000000000005,65.57496360989812,89810883,-2.6746724890829574,0.6317,14.938136826783127,178852510,21806648.353893742,91.0018114790957,"Calidi Biotherapeutics, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
2,NASDAQ:GIBO,gibo-limited,GIBO,0.0819,0.014700000000000005,21.875000000000007,64536135,25.000000000000018,0.095,41.36904761904763,703033959,18990925.41,,GIBO Holdings Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
3,NASDAQ:SISI,shineco,SISI,0.1762,0.022400000000000003,14.564369310793241,45865192,17.03511053315995,0.2185,42.067620286085834,182000973,9839214.11573472,-31.748472092907743,"Shineco, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
4,NASDAQ:BINI,mullen-automotive,BINI,0.0688,0.004199999999999995,6.501547987616091,43937025,12.848297213622292,0.057,-11.764705882352944,206721190,600724.4117647059,,"Bollinger Innovations, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
5,NASDAQ:STAI,scantech-ai-systems,STAI,0.9669,0.29789999999999994,44.52914798206277,39272655,40.49327354260088,1.19,77.87742899850521,319077443,57432151.7638266,-65.85095389313793,ScanTech AI Systems Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
6,NASDAQ:HCTI,healthcare-triangle,HCTI,0.0624,0.004499999999999997,7.772020725388595,39259252,12.953367875647666,0.0508,-12.262521588946464,543751311,20749036.269430052,186.46803746889393,"Healthcare Triangle, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
7,AMEX:SOAR,volato,SOAR,2.19,0.48,28.07017543859649,27027482,-1.1695906432748548,1.78,4.093567251461992,47937169,3698699.473684211,-84.84224609318733,"Volato Group, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
8,NASDAQ:SLRX,salarius-pharmaceuticals,SLRX,1.55,0.8089000000000001,109.14856294697073,24909302,56.524085818378076,0.9996,34.880582917285125,101722396,2126435.5514775338,46.7338009158253,"Salarius Pharmaceuticals, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
9,NASDAQ:SGD,safe-and-green-development,SGD,1.06,0.18000000000000005,20.45454545454546,23763108,6.818181818181812,1.26,43.18181818181818,85258478,2635605.0000000005,,Safe and Green Development Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
10,NASDAQ:NIVF,newgenivf-limited,NIVF,0.5963,0.07620000000000005,14.651028648336867,16005335,-2.288021534320327,0.46,-11.555470101903477,26640786,1989299.6731397808,-74.50561639033782,NewGenIvf Group Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
11,NASDAQ:SOFI,sofi,SOFI,23.12,2.1000000000000014,9.990485252140825,13743420,0.0951474785918153,22.4,6.565176022835391,236109025,24760135304.890575,185.25484188682196,"SoFi Technologies, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
12,NASDAQ:MKDW,mkdwell-tech,MKDW,0.199,-0.02059999999999998,-9.380692167577404,11890219,-3.0054644808743145,0.225,2.45901639344263,15162746,32314352.45901639,-15.554474232299167,MKDWELL Tech Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
13,NASDAQ:DRRX,durect,DRRX,1.99,1.4373,260.0506603944274,11642254,15.234304324226535,1.88,240.14836258368013,50400861,17157233.0,-60.926529044307735,DURECT Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
