,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:TROX,TROX,Tronox Holdings plc,tronox,streaming,stock,['common'],,3.19,100,1,false,0,USD,-37.93774319066148,27234209,,-1.5796,-291.8630612751178,9.72762645914397,Process industries,Process Industries,america,1.4,10.307887975608258
1,NASDAQ:ALGN,ALGN,"Align Technology, Inc.",align-technology,streaming,stock,['common'],,129.01,100,1,false,0,USD,-36.626221938399574,13722623,21.76208629938261,5.9282,0.5683071233480937,0.0,Health technology,Health Technology,america,1.473684,13.528173098336442
2,NASDAQ:CFLT,CFLT,"Confluent, Inc.",confluent,streaming,stock,['common'],,17.725,100,1,false,0,USD,-32.85984848484848,51287287,,-0.9374,21.007836858515216,0.0,Technology services,Technology Services,america,1.361111,7.298267644833309
3,NASDAQ:VAPE,VAPE,CEA Industries Inc.,cea-industries,streaming,stock,['common'],,27.02,100,1,false,0,USD,-23.865877712031562,324981,,-4.2148,16.120044578888702,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.20006478784382065
4,NYSE:AIN,AIN,Albany International Corporation,albany-international,streaming,stock,['common'],,54.19,100,1,false,0,USD,-23.63303269447576,1696087,27.042267578222468,2.0039,-42.68348492649163,1.50789177001127,Process industries,Process Industries,america,1.875,8.904965891424842
5,NYSE:BAX,BAX,Baxter International Inc.,baxter,streaming,stock,['common'],,21.76,100,1,false,0,USD,-22.424242424242422,47019537,,-1.0991,-138.67535287730726,2.85204991087344,Health technology,Health Technology,america,1.8,8.161212046692457
6,NASDAQ:XRX,XRX,Xerox Holdings Corporation,xerox,streaming,stock,['common'],,4.05,100,1,false,0,USD,-22.413793103448278,15710496,,-10.546,-575.5925688661114,12.4521072796935,Electronic technology,Electronic Technology,america,2.333333,3.8309961255733085
7,NASDAQ:SPSC,SPSC,"SPS Commerce, Inc.",sps-commerce,streaming,stock,['common'],,108.865,100,1,false,0,USD,-21.994124390942968,1639532,49.997703683291995,2.1774,14.035822771551274,0.0,Technology services,Technology Services,america,1.428571,5.1433377430175735
8,NASDAQ:ANPA,ANPA,Rich Sparkle Holdings Limited,,streaming,stock,['common'],,27.61,100,1,false,0,USD,-21.562500000000007,146616,,,,,Commercial services,Commercial Services,america,,0.2696318272072961
9,NASDAQ:TWNP,TWNP,Twin Hospitality Group Inc.,twin-hospitality,streaming,stock,['common'],,3.75,100,1,false,0,USD,-21.21848739495798,108480,,-1.1664,-83.28095537397866,0.0,Miscellaneous,Miscellaneous,america,,7.388890780914757
10,NYSE:KEX,KEX,Kirby Corporation,kirby,streaming,stock,['common'],,95.31,100,1,false,0,USD,-20.575,3968428,18.900963788521793,5.0426,18.864766753883504,0.0,Transportation,Transportation,america,1.142857,7.760673197079893
11,NYSE:CBZ,CBZ,"CBIZ, Inc.",cbiz,streaming,stock,['common'],,61.12,100,1,false,0,USD,-19.73736047275116,3857696,35.19926284266298,1.7364,-25.715508021390377,0.0,Commercial services,Commercial Services,america,1.0,6.595813363097192
12,NASDAQ:HBNB,HBNB,Hotel101 Global Holdings Corp.,,streaming,stock,['common'],,2.14,100,1,false,0,USD,-18.939393939393938,140656,7.873436350257543,0.2718,,0.0,Consumer services,Consumer Services,america,,0.7519571972037901
13,NASDAQ:MATH,MATH,Metalpha Technology Holding Limited,metalpha-technology-limited,streaming,stock,['common'],,3.25,100,1,false,0,USD,-18.75,677851,7.882609750181906,0.4123,,0.0,Transportation,Transportation,america,,2.5777134686613477
14,NYSE:ATI,ATI,ATI Inc.,allegheny-technologies,streaming,stock,['common'],,76.94,100,1,false,0,USD,-18.35738539898132,8394428,27.835461813971996,2.7641,10.506536600967493,0.0,Non-energy minerals,Non-Energy Minerals,america,1.269231,5.204950117740956
15,NASDAQ:NSIT,NSIT,"Insight Enterprises, Inc.",insight-enterprise,streaming,stock,['common'],,118.58,100,1,false,0,USD,-17.988795905664297,1080850,23.729288401504842,4.9972,-37.15478645807133,0.0,Technology services,Technology Services,america,1.7,5.069764671172395
16,NASDAQ:FORM,FORM,"FormFactor, Inc.",formfactor,streaming,stock,['common'],,28.41,100,1,false,0,USD,-17.460778617083093,4289278,50.48871512351164,0.5627,-63.62402223802444,0.0,Electronic technology,Electronic Technology,america,1.7,7.702967398751334
17,NYSE:DFIN,DFIN,"Donnelley Financial Solutions, Inc.",donnelley-financial-solutions,streaming,stock,['common'],,52.96,100,1,false,0,USD,-17.06858753523332,883745,17.521918941273782,3.0225,-7.729645571938824,0.0,Technology services,Technology Services,america,1.0,4.5737310315238595
18,NASDAQ:ABVC,ABVC,"ABVC BioPharma, Inc.",abvc-biopharma,streaming,stock,['common'],,2.4,100,1,false,0,USD,-16.666666666666664,474063,,-0.1442,93.72470516558596,0.0,Health technology,Health Technology,america,,1.9316876509439767
19,NASDAQ:WBUY,WBUY,WEBUY GLOBAL LTD.,webuy-global-ltd,streaming,stock,['common'],,3.53,100,1,false,0,USD,-16.548463356974008,915217,,-10.7004,9.232491856677525,0.0,Retail trade,Retail Trade,america,,1.3420580147764412
20,NASDAQ:SDM,SDM,Smart Digital Group Limited,smart-digital-limited,streaming,stock,['common'],,21.97,100,1,false,0,USD,-15.500000000000005,1040639,,,,,Commercial services,Commercial Services,america,,1.3142874463477983
21,NASDAQ:UPBD,UPBD,"Upbound Group, Inc.",rent-a-center,streaming,stock,['common'],,20.635,100,1,false,0,USD,-15.291461412151058,2075350,9.65877176558697,2.1364,,6.32183908045977,Finance,Finance,america,1.3125,3.038519736432735
22,NASDAQ:ALKT,ALKT,"Alkami Technology, Inc.",alkami-technology,streaming,stock,['common'],,22.29,100,1,false,0,USD,-14.79357798165138,3927787,,-0.3784,29.87398072646404,0.0,Technology services,Technology Services,america,1.2,4.178875574679747
23,NYSE:SHAK,SHAK,"Shake Shack, Inc.",shake-shack,streaming,stock,['common'],,120.34,100,1,false,0,USD,-14.597970335675251,10011310,418.8652975983293,0.2873,-47.44832632156575,0.0,Consumer services,Consumer Services,america,1.769231,9.961888077060893
24,NASDAQ:TDIC,TDIC,Dreamland Limited,,streaming,stock,['common'],,3.65,100,1,false,0,USD,-14.519906323185005,53824,,,,,Commercial services,Commercial Services,america,,
25,NASDAQ:MBX,MBX,"MBX Biosciences, Inc.",mbx-biosciences,streaming,stock,['common'],,13.25,100,1,false,0,USD,-14.460942543576502,801235,,-2.1997,,0.0,Health technology,Health Technology,america,1.0,1.4938798720972508
26,NASDAQ:VCEL,VCEL,Vericel Corporation,vericel,streaming,stock,['common'],,34.94,100,1,false,0,USD,-14.06787998032464,1876269,884.5569620253164,0.0395,,0.0,Health technology,Health Technology,america,1.0,3.3915919017649476
27,NYSE:CRK,CRK,"Comstock Resources, Inc.",comstock-resources,streaming,stock,['common'],,17.87,100,1,false,0,USD,-14.045214045214035,8334080,,-0.2505,-385.4651162790697,0.0,Energy minerals,Energy Minerals,america,2.0,3.6563037291395486
28,NASDAQ:RBNE,RBNE,Robin Energy Ltd.,robin-energy-ltd,streaming,stock,['common'],,2.47,100,1,false,0,USD,-13.937282229965152,3580820,,,,0.0,Transportation,Transportation,america,,11.385060117156598
29,NASDAQ:LCFY,LCFY,Locafy Limited,locafy-limited,streaming,stock,['common'],,4.88,100,1,false,0,USD,-13.932980599647268,77306,,,,0.0,Technology services,Technology Services,america,,0.08179563998533507
30,NASDAQ:SPPL,SPPL,SIMPPLE LTD.,simpple-ltd,streaming,stock,['common'],,2.95,100,1,false,0,USD,-13.67453837825183,17778,,-1.1826,,0.0,Technology services,Technology Services,america,,0.39702887157864647
31,NYSE:CSL,CSL,Carlisle Companies Incorporated,carlisle-cos,streaming,stock,['common'],,354.71,100,1,false,0,USD,-13.605475314806249,1276316,19.71312022052285,17.9936,6.1469123858514925,0.974255303602309,Producer manufacturing,Producer Manufacturing,america,1.55,3.221581066437745
32,NASDAQ:AGRI,AGRI,AgriFORCE Growing Systems Ltd.,,streaming,stock,['common'],,4.09,100,1,false,0,USD,-13.530655391120519,211935,,-17.5173,98.25432400435291,0.0,Commercial services,Commercial Services,america,,0.19010063274688369
33,NASDAQ:ROMA,ROMA,Roma Green Finance Limited,roma-green-finance-limited,streaming,stock,['common'],,3.44,100,1,false,0,USD,-13.131313131313133,44282,,,,0.0,Commercial services,Commercial Services,america,,0.1744913656682071
34,NYSE:IP,IP,International Paper Company,international-paper,streaming,stock,['common'],,46.74,100,1,false,0,USD,-12.847286966250234,16291606,39.84994458180578,1.1729,120.3870725291244,3.44956181241842,Process industries,Process Industries,america,1.65625,3.6112180195714045
