,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:SNGX,SNGX,"Soligenix, Inc.",soligenix,streaming,stock,['common'],248.7951807228916,2.93,100,1,false,0,USD,134.4,376149576,4080432.0,USD,,-4.3358,63.381923213350674,0.0,Health technology,Health Technology,america,1.0,2153.7734774109545
1,NASDAQ:RAYA,RAYA,Erayak Power Solution Group Inc.,erayak-power-solution,streaming,stock,['common'],221.8181818181818,0.0594,10000,1,false,0,USD,-53.59374999999999,537562061,8061982.0,USD,,-0.0721,-170.96456692913387,0.0,Producer manufacturing,Producer Manufacturing,america,,10.31802463431029
2,NASDAQ:CPOP,CPOP,"Pop Culture Group Co., Ltd",pop-culture-group-co,streaming,stock,['common'],175.8450704225352,1.61,10000,1,false,0,USD,129.5081967213115,21291152,10479738.0,USD,,-3.1349,-75.58530301333035,0.0,Commercial services,Commercial Services,america,,5.882709918629587
3,AMEX:PAPL,PAPL,Pineapple Financial Inc.,,streaming,stock,['common'],138.70056497175142,5.14,100,1,false,0,USD,73.06397306397304,33527526,,USD,,-8.126,4.264844486333649,0.0,Finance,Finance,america,,12.032376767150229
4,AMEX:ATCH,ATCH,"AtlasClear Holdings, Inc.",atlasclear-holdings-inc,streaming,stock,['common'],119.70233876683204,0.22,10000,1,false,0,USD,46.47137150466045,290810437,3431330.625832224,USD,,,,0.0,Technology services,Technology Services,america,,139.67529780677788
5,NYSE:SI,SI,"Shoulder Innovations, Inc.",,streaming,stock,['common'],113.53741496598641,15.05,100,1,false,0,USD,1104.0,1977887,,USD,,-9.7746,14.707550544934172,,Health technology,Health Technology,america,,0.7395820845784735
6,NASDAQ:PBM,PBM,Psyence Biomedical Ltd.,psyence,streaming,stock,['common'],105.18358531317494,5.03,100,1,false,0,USD,-6.851851851851853,37021310,3587557.1462962963,USD,,,,0.0,Health technology,Health Technology,america,,219.535019696374
7,NASDAQ:SLXN,SLXN,Silexion Therapeutics Corp,,streaming,stock,['common'],98.22695035460994,14.94,100,1,false,0,USD,31.97879858657243,2067151,8657624.41696113,USD,,-296.5916,-1881.9944801962006,0.0,Health technology,Health Technology,america,1.0,86.8533080416027
8,NASDAQ:OTRK,OTRK,"Ontrak, Inc.",ontrak,streaming,stock,['common'],95.76,0.3064,10000,1,false,0,USD,-37.213114754098356,6065242,2170702.1016393444,USD,,-18.5868,47.41291505398248,0.0,Health services,Health Services,america,1.0,4.312670575669843
9,NASDAQ:RCON,RCON,"Recon Technology, Ltd.",recon-technology,streaming,stock,['common'],89.07563025210085,4.5,100,1,false,0,USD,65.44117647058823,3304434,137823419.11764705,USD,,-0.5704,83.10626702997276,0.0,Distribution services,Distribution Services,america,,0.7063733290848192
