,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:LUNG,pulmonx,LUNG,2.02,-1.13,-35.87301587301587,109774,-17.460317460317455,1.84,-41.58730158730158,4638278,74073850.81904763,-62.64741869714236,Pulmonx Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
1,NASDAQ:CFLT,confluent,CFLT,18.25,-8.149999999999999,-30.871212121212118,1737748,-28.219696969696965,17.725,-32.85984848484848,51287287,6010942212.92235,2.571205187247858,"Confluent, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:ALGN,align-technology,ALGN,141.8368,-61.73319999999998,-30.325293510831646,458781,-34.81357763914133,129.01,-36.626221938399574,13722623,9351269595.74053,-26.900686519149094,"Align Technology, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
3,NASDAQ:GRI,gri-bio,GRI,1.49,-0.5599999999999998,-27.317073170731703,1002087,8.780487804878058,1.28,-37.56097560975609,2102887,3195904.0,394.8035051137783,"GRI Bio, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:XBP,xbp-europe,XBP,1.24,-0.3899999999999999,-23.926380368098155,1131808,-20.858895705521466,1.29,-20.858895705521466,7102055,46331054.355828226,-28.556488749225633,"XBP Europe Holdings, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
5,NASDAQ:IXHL,incannex-healthcare,IXHL,0.6808,-0.19920000000000004,-22.63636363636364,86586560,-21.13636363636364,0.585,-33.52272727272727,353265359,54811789.05681818,-18.70515656475123,Incannex Healthcare Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
6,NASDAQ:FORM,formfactor,FORM,27.0,-7.420000000000002,-21.557234166182457,79233,-13.073794305636257,28.41,-17.460778617083093,4289278,2189747148.597908,-38.657014985870155,"FormFactor, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:BINI,mullen-automotive,BINI,0.0459,-0.0121,-20.86206896551724,43287996,0.0,0.0412,-28.965517241379313,190936081,434207.5103448276,,"Bollinger Innovations, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
8,NASDAQ:CHSN,chanson-international,CHSN,0.093,-0.019100000000000006,-17.038358608385373,2067995,-17.127564674397867,0.075,-33.09545049063337,22609680,3247477.9214986614,-79.39546929966329,Chanson International Holding,stock,['common'],streaming,10000,1,false,0,USD,USD
9,NASDAQ:SPSC,sps-commerce,SPSC,116.01,-23.549999999999997,-16.874462596732588,5151,-1.8343364860991702,108.865,-21.994124390942968,1639532,4134407275.721087,-30.457989351660974,"SPS Commerce, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
