,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:HCTI,HCTI,"Healthcare Triangle, Inc.",,delayed_streaming_900,stock,['common'],3173131988.0,USD,4.75,100,1,false,0,USD,-99.75444586413825,4831317,,-227.845,45.83958800576678,0.0,Technology services,Technology Services,america,,1.3079801499406074
1,NASDAQ:DRMA,DRMA,"Dermata Therapeutics, Inc.",,delayed_streaming_900,stock,['common'],39748367.0,USD,6.45,100,1,false,0,USD,-89.65017594700889,97240,,-79.2096,75.79353655741463,0.0,Health technology,Health Technology,america,1.0,6.335191847382076
2,NASDAQ:PBM,PBM,Psyence Biomedical Ltd.,psyence,delayed_streaming_900,stock,['common'],3587557.0,USD,2.36,100,1,false,0,USD,-53.08151093439364,2478663,,,,0.0,Health technology,Health Technology,america,,0.6406615420904659
3,NASDAQ:TTEC,TTEC,"TTEC Holdings, Inc.",ttec,delayed_streaming_900,stock,['common'],147804548.90963852,USD,3.09,100,1,false,0,USD,-37.95180722891567,2650829,,-6.6699,-2425.5206361226806,1.20481927710843,Technology services,Technology Services,america,1.5,12.092022992291351
4,NASDAQ:SLXN,SLXN,Silexion Therapeutics Corp,,delayed_streaming_900,stock,['common'],5377694.779116466,USD,9.28,100,1,false,0,USD,-37.88487282463186,360345,,-296.5916,-1881.9944801962006,0.0,Health technology,Health Technology,america,1.0,1.6082696721164194
5,NASDAQ:RCON,RCON,"Recon Technology, Ltd.",recon-technology,delayed_streaming_900,stock,['common'],86063067.68444446,USD,2.81,100,1,false,0,USD,-37.55555555555555,1162423,,-0.5704,83.10626702997276,0.0,Distribution services,Distribution Services,america,,0.23203502749353075
6,NASDAQ:HCHL,HCHL,Happy City Holdings Limited,happy-city-limited,delayed_streaming_900,stock,['common'],,USD,2.8,100,1,false,0,USD,-30.348258706467657,711905,,,,,Consumer services,Consumer Services,america,,3.1224177405064957
7,NYSE:MX,MX,Magnachip Semiconductor Corporation,magnachip-semiconductor,delayed_streaming_900,stock,['common'],106748271.88292684,USD,2.96,100,1,false,0,USD,-27.804878048780484,1291519,,-0.9294,9.291430802264294,0.0,Electronic technology,Electronic Technology,america,1.0,6.717159476490547
8,NYSE:FLR,FLR,Fluor Corporation,fluor,delayed_streaming_900,stock,['common'],6820412068.806059,USD,41.42,100,1,false,0,USD,-27.03892901180201,25544545,3.9671289556355838,10.4408,529.7985281698636,0.0,Industrial services,Industrial Services,america,1.55,8.318941151390622
9,NYSE:NSP,NSP,"Insperity, Inc.",insperity,delayed_streaming_900,stock,['common'],1695827573.6601207,USD,45.07,100,1,false,0,USD,-24.35381000335683,2277552,27.268877057115198,1.6528,-59.6267526503493,4.0281973816717,Commercial services,Commercial Services,america,2.0,5.138109918074115
10,NYSE:DOUG,DOUG,Douglas Elliman Inc.,douglas-elliman,delayed_streaming_900,stock,['common'],188124218.48727274,USD,2.12,100,1,false,0,USD,-22.909090909090903,2500725,,-0.7338,1.5958160118009952,0.0,Finance,Finance,america,,4.22552524948717
11,NASDAQ:VAPE,VAPE,CEA Industries Inc.,cea-industries,delayed_streaming_900,stock,['common'],17920670.65136936,USD,21.3,100,1,false,0,USD,-21.16950407105847,477265,,-4.2148,16.120044578888702,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.28827839212819656
12,NASDAQ:OBIO,OBIO,"Orchestra BioMed Holdings, Inc.",orchestra-biomed,delayed_streaming_900,stock,['common'],93482526.31372549,USD,2.44,100,1,false,0,USD,-20.261437908496735,1721879,,-1.7718,-21.3229252259655,0.0,Health technology,Health Technology,america,1.071429,11.736008495231655
13,NASDAQ:LIDR,LIDR,"AEye, Inc.",aeye,delayed_streaming_900,stock,['common'],87311126.69252077,USD,2.88,100,1,false,0,USD,-20.221606648199447,12686026,,-2.8877,71.08714806359886,0.0,Technology services,Technology Services,america,,0.1344216366182598
14,NASDAQ:ENVX,ENVX,Enovix Corporation,enovix,delayed_streaming_900,stock,['common'],2072264549.9014926,USD,10.705,100,1,false,0,USD,-20.111940298507463,24282870,,-0.8393,48.07918342097123,0.0,Producer manufacturing,Producer Manufacturing,america,1.25,2.6497580722900818
15,NASDAQ:NA,NA,Nano Labs Ltd,nano-labs-ltd,delayed_streaming_900,stock,['common'],112201917.55405405,USD,4.76,100,1,false,0,USD,-19.594594594594597,508840,,-2.0089,,0.0,Electronic technology,Electronic Technology,america,,1.0116608204504827
16,NASDAQ:SLSN,SLSN,"Solesence, Inc.",nanophase-technologies,delayed_streaming_900,stock,['common'],194536603.29446062,USD,2.775,100,1,false,0,USD,-19.096209912536448,110544,38.43490304709141,0.0722,,0.0,Consumer non-durables,Consumer Non-Durables,america,,1.3186357015987908
17,NYSE:EMN,EMN,Eastman Chemical Company,eastman,delayed_streaming_900,stock,['common'],6787902373.551439,USD,58.79,100,1,false,0,USD,-19.03319102052059,7421277,8.264915930945286,7.1132,-4.427156811372222,4.54482853601432,Process industries,Process Industries,america,1.380952,4.719153745701985
18,NASDAQ:MERC,MERC,Mercer International Inc.,mercer-international,delayed_streaming_900,stock,['common'],201949737.85444745,USD,3.02,100,1,false,0,USD,-18.598382749326145,3574263,,-1.6333,44.8898336538786,8.08625336927224,Process industries,Process Industries,america,2.0,2.3989897600072596
19,NASDAQ:INOD,INOD,Innodata Inc.,innodata,delayed_streaming_900,stock,['common'],1427110442.985246,USD,44.955,100,1,false,0,USD,-18.11475409836066,7518626,36.114235218509,1.2448,1234.1907824222938,0.0,Technology services,Technology Services,america,1.1,2.9925529923953773
20,NASDAQ:RIOT,RIOT,"Riot Platforms, Inc.",riot-blockchain,delayed_streaming_900,stock,['common'],3940619265.726323,USD,11.03,100,1,false,0,USD,-17.74794929157346,50469965,,-0.4696,-180.85399449035813,0.0,Technology services,Technology Services,america,1.147059,0.9420310884510988
21,NASDAQ:SATS,SATS,EchoStar Corporation,echostar,delayed_streaming_900,stock,['common'],7739106693.724147,USD,26.93,100,1,false,0,USD,-17.367290579932504,8410699,,-0.8157,88.39224726775957,0.0,Communications,Communications,america,1.75,3.4955611309947634
22,NASDAQ:COIN,COIN,"Coinbase Global, Inc.",coinbase,delayed_streaming_900,stock,['common'],80153108347.83212,USD,314.69,100,1,false,0,USD,-16.695785684032188,31341949,30.443657611639964,10.3368,85.9671848013817,0.0,Finance,Finance,america,1.671053,2.3620332420055536
23,NYSE:LUMN,LUMN,"Lumen Technologies, Inc.",lumen,delayed_streaming_900,stock,['common'],3806117458.617977,USD,3.71,100,1,false,0,USD,-16.62921348314607,44714940,,-1.1866,43.47101138583202,0.0,Communications,Communications,america,1.866667,5.134949973703371
24,NASDAQ:GDYN,GDYN,"Grid Dynamics Holdings, Inc.",grid-dynamics,delayed_streaming_900,stock,['common'],670462873.2739726,USD,7.93,100,1,false,0,USD,-16.438356164383567,5184201,39.16049382716049,0.2025,,0.0,Technology services,Technology Services,america,1.0,6.286858065614597
25,NASDAQ:FEAM,FEAM,"5E Advanced Materials, Inc.",5e-advanced-materials-inc,delayed_streaming_900,stock,['common'],61054126.60714286,USD,3.05,100,1,false,0,USD,-16.20879120879122,77989,,-16.1103,37.82639569616932,0.0,Process industries,Process Industries,america,1.0,1.6838639332404919
26,AMEX:PAPL,PAPL,Pineapple Financial Inc.,,delayed_streaming_900,stock,['common'],,USD,4.31,100,1,false,0,USD,-16.14785992217899,528826,,-8.126,4.264844486333649,0.0,Finance,Finance,america,,0.08625677866572838
27,NASDAQ:NEGG,NEGG,"Newegg Commerce, Inc.",newegg-commerce,delayed_streaming_900,stock,['common'],1038289331.440508,USD,53.53,100,1,false,0,USD,-16.084025709358833,1214421,,,,0.0,Retail trade,Retail Trade,america,,0.9607253350851395
28,NASDAQ:TWG,TWG,Top Wealth Group Holding Limited,top-wealth-limited,delayed_streaming_900,stock,['common'],5040006.341968912,USD,8.1,100,1,false,0,USD,-16.062176165803116,32377,,-0.0046,,0.0,Distribution services,Distribution Services,america,,0.10263366906937711
29,NYSE:AVTR,AVTR,"Avantor, Inc.",avantor,delayed_streaming_900,stock,['common'],7741041008.261905,USD,11.36,100,1,false,0,USD,-15.476190476190476,59922079,10.837626407174202,1.0482,173.96759017250392,0.0,Distribution services,Distribution Services,america,1.630435,4.462733096076398
30,NYSE:LEG,LEG,"Leggett & Platt, Incorporated",legget-platt,delayed_streaming_900,stock,['common'],1091967710.6010473,USD,8.08,100,1,false,0,USD,-15.39267015706807,4653594,7.8829268292682935,1.025,,2.09424083769634,Consumer durables,Consumer Durables,america,2.0,2.750834085583231
31,NASDAQ:SONN,SONN,"Sonnet BioTherapeutics Holdings, Inc.",sonnet-biotherapeutics,delayed_streaming_900,stock,['common'],17602302.97289157,USD,2.81,100,1,false,0,USD,-15.361445783132524,1173147,,-12.831,69.65073868555129,0.0,Health technology,Health Technology,america,,1.2447107746934583
32,NASDAQ:NWL,NWL,Newell Brands Inc.,newell-brands,delayed_streaming_900,stock,['common'],1988252105.2121212,USD,4.76,100,1,false,0,USD,-15.15151515151516,30631282,,-0.5869,17.604941738031737,4.99108734402852,Producer manufacturing,Producer Manufacturing,america,1.666667,4.538021084277643
33,NASDAQ:ROKU,ROKU,"Roku, Inc.",roku,delayed_streaming_900,stock,['common'],11730148653.902933,USD,79.98,100,1,false,0,USD,-15.059473237043322,15377875,,-0.424,87.75592711311329,0.0,Technology services,Technology Services,america,1.5,4.128817522609877
