,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:SGBX,sg-blocks,SGBX,0.42,0.22669999999999998,117.2788411795137,219643121,4.035178479048112,0.367,89.86032074495603,1019964614,4574407.232281429,103.58742603409839,Safe & Green Holdings Corp.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
1,AMEX:PHGE,biomx,PHGE,0.602,0.16699999999999998,38.39080459770115,48787436,53.86206896551724,0.65,49.425287356321846,199290246,17014603.218390808,-57.75914099965396,BiomX Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
2,NASDAQ:LPSN,liveperson,LPSN,1.4,0.5122999999999999,57.71093838008334,44931424,-0.4393376140588052,1.18,32.92779092035597,110385592,110742793.96192406,3.981864896379858,"LivePerson, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
3,NASDAQ:AIMD,ainos,AIMD,3.08,0.75,32.18884120171674,22058390,0.0,3.26,39.91416309012874,137883823,13666052.918454934,109.36405086476073,"Ainos, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
4,NYSE:SNAP,snap,SNAP,7.5,-1.8900000000000006,-20.127795527156557,17354807,-14.909478168264116,7.78,-17.14589989350373,185515336,13001766265.090523,-32.48169918733143,Snap Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
5,NASDAQ:IPDN,professional-diversity-network,IPDN,2.29,0.48,26.519337016574585,16621994,1.1049723756906087,2.26,24.861878453038656,34335378,4708223.038674032,-18.547776359567518,"Professional Diversity Network, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
6,NASDAQ:BTAI,bioxcel-therapeutics,BTAI,3.16,0.18999999999999995,6.397306397306394,12739559,6.397306397306394,3.32,11.784511784511771,49003495,20106073.144781146,-75.41751469370578,"BioXcel Therapeutics, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
7,NASDAQ:OPEN,opendoor,OPEN,1.9,-0.6200000000000001,-24.603174603174608,12465294,-22.222222222222225,1.9,-24.603174603174608,211293490,1385343172.1031744,-42.246111898927886,Opendoor Technologies Inc,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
8,NASDAQ:XELB,xcel-brands,XELB,1.31,0.18000000000000016,15.929203539823025,10886908,39.82300884955754,1.41,24.77876106194691,20434365,6714927.849557522,-75.58451882892044,"Xcel Brands, Inc",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
9,NASDAQ:GIBO,gibo-limited,GIBO,0.0514,-0.0005999999999999964,-1.153846153846147,10170655,2.500000000000005,0.04,-23.076923076923073,148923706,7996179.12,,GIBO Holdings Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
10,NASDAQ:GV,visionary,GV,2.08,0.03000000000000025,1.4634146341463536,9762853,7.3170731707317245,2.18,6.341463414634163,20742963,9439002.282926831,-16.65270529435569,Visionary Holdings Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
11,NASDAQ:TNON,tenon-medical,TNON,1.51,0.1100000000000001,7.857142857142866,9137816,-2.857142857142844,1.4,0.0,17981627,10625958.0,208.84453908902904,"Tenon Medical, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
12,NASDAQ:OTRK,ontrak,OTRK,0.4308,0.044800000000000006,11.606217616580313,7637637,46.65803108808291,0.4005,3.756476683937827,15287943,2837356.775906736,-69.64012344447193,"Ontrak, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
13,NASDAQ:IXHL,incannex-healthcare,IXHL,0.3768,-0.029799999999999993,-7.3290703393999,7170347,1.5986227250368925,0.345,-15.150024594195779,72607834,32324901.426463354,-18.70515656475123,Incannex Healthcare Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
14,NASDAQ:LCID,lucid-group,LCID,2.23,-0.18999999999999995,-7.851239669421485,3836814,-7.851239669421485,2.185,-9.710743801652889,136520402,6713374836.73967,-20.116405998092766,"Lucid Group, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
15,NASDAQ:RAYA,erayak-power-solution,RAYA,0.0656,-0.0007999999999999952,-1.2048192771084265,3794580,0.15060240963855853,0.065,-2.108433734939757,62831046,6184109.789156627,1195.4277668814793,Erayak Power Solution Group Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
16,NASDAQ:SMCI,super-micro-computer,SMCI,47.36,-9.899999999999999,-17.28955640936081,3734693,-18.26755151938526,46.79,-18.285015717778553,115214581,27925095946.895214,-33.5513612488999,"Super Micro Computer, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
17,NASDAQ:AMD,advanced-micro-devices,AMD,165.0,-9.310000000000002,-5.341059032757732,3364166,-5.920486489587513,163.12,-6.419597269232974,133641835,264483465202.07446,0.723934429542793,"Advanced Micro Devices, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
18,AMEX:FOXO,,FOXO,0.1445,-0.00030000000000002247,-0.20718232044200446,3336581,2.555248618784517,0.128,-11.602209944751387,8933840,1295684.4198895025,-8.463560332912278,FOXO Technologies Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
19,NYSE:U,unity,U,37.88,3.940000000000005,11.608721272834428,3137192,1.679434295816147,31.92,-5.951679434295805,46063459,13268971433.558044,99.53748761169821,Unity Software Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
20,NYSE:UBER,uber,UBER,90.8,1.4099999999999966,1.5773576462691539,2729478,1.8010963194988245,89.22,-0.19017787224521948,40169819,186574026680.23584,32.35436969300357,"Uber Technologies, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
21,NASDAQ:NVDA,nvidia,NVDA,176.3,-1.9599999999999795,-1.0995175586222257,2695222,0.07853696847302524,179.42,0.6507348816335671,137189685,4377847865094.8003,44.06029850139317,NVIDIA Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
22,AMEX:ATCH,atlasclear-holdings-inc,ATCH,0.2061,0.017199999999999993,9.105346744309154,2304207,3.0174695606140722,0.2161,14.399152991000516,12944139,3370502.2048703013,-60.85823774981272,"AtlasClear Holdings, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
