,ticker,name,description,logoid,update_mode,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
0,NASDAQ:CUB,CUB,Lionheart Holdings,lionheart,delayed_streaming_900,stock,['common'],1033.0280124499777,10.5,100,1,false,0,USD,0.0,696984,322000003.5,USD,39.95433789954338,0.2628,,0.0,Consumer services,Consumer Services,america,
1,NYSE:SPRU,SPRU,Spruce Power Holding Corporation,spruce-power,delayed_streaming_900,stock,['common'],680.4637324591963,1.55,100,1,false,0,USD,32.47863247863249,75394565,27631169.0,USD,,-4.5004,-67.27002415907823,0.0,Utilities,Utilities,america,
2,NASDAQ:COLA,COLA,Columbus Acquisition Corp,columbus-acquisition,delayed_streaming_900,stock,['common'],123.18935208437972,10.17,100,1,false,0,USD,-0.0982318271119822,147162,80793429.3,USD,,,,0.0,Finance,Finance,america,
3,NASDAQ:NTRB,NTRB,Nutriband Inc.,nutriband,delayed_streaming_900,stock,['common'],114.82073754319414,7.17,100,1,false,0,USD,0.5610098176718098,3159993,79975407.00000001,USD,,-0.8999,-17.29666319082378,0.0,Health technology,Health Technology,america,1.0
4,NASDAQ:GMHS,GMHS,Gamehaus Holdings Inc.,gamehaus,delayed_streaming_900,stock,['common'],109.9425925674483,1.2881,100,1,false,0,USD,-0.915384615384617,4048581,69002715.0,USD,,,,0.0,Finance,Finance,america,
5,NASDAQ:TPIC,TPIC,"TPI Composites, Inc.",tpi-composites,delayed_streaming_900,stock,['common'],62.776487561325936,0.3202,10000,1,false,0,USD,-54.000861945122836,23592647,15577735.0,USD,,-4.7698,-3.5404953654459814,0.0,Producer manufacturing,Producer Manufacturing,america,2.142857
6,NASDAQ:WETO,WETO,Webus International Limited,webus-international-limited,delayed_streaming_900,stock,['common'],45.31095495822566,1.92,100,1,false,0,USD,-3.5175879396984957,2845605,42240000.00000001,USD,,-0.0168,86.24078624078625,0.0,Transportation,Transportation,america,
7,NASDAQ:LGVN,LGVN,Longeveron Inc.,longeveron,delayed_streaming_900,stock,['common'],42.26247330615414,0.6779,10000,1,false,0,USD,-46.622047244094496,8598913,10289557.0,USD,,-2.7746,71.16489820521082,0.0,Health technology,Health Technology,america,1.0
8,NASDAQ:ORIS,ORIS,Oriental Rise Holdings Limited,oriental-rise-limited,delayed_streaming_900,stock,['common'],34.46569520770636,0.1355,10000,1,false,0,USD,50.388457269700346,838270210,2982693.75,USD,0.7616638560989321,0.1779,-97.2930614729154,0.0,Consumer non-durables,Consumer Non-Durables,america,
9,NASDAQ:BIVI,BIVI,BioVie Inc.,,delayed_streaming_900,stock,['common'],34.16280696913556,1.67,100,1,false,0,USD,-42.611683848797256,4160046,3106343.9999999995,USD,,-21.0395,78.12032029950082,0.0,Health technology,Health Technology,america,1.0
10,NASDAQ:SIMA,SIMA,SIM Acquisition Corp. I,sim-acquisition-i,delayed_streaming_900,stock,['common'],29.69284578931963,10.43,100,1,false,0,USD,-0.03162949402393696,801401,319853336.80999994,USD,45.70552147239264,0.2282,,0.0,Finance,Finance,america,
11,NASDAQ:BJDX,BJDX,"Bluejay Diagnostics, Inc.",bluejay-diagnostics,delayed_streaming_900,stock,['common'],22.735623760124334,1.4,100,1,false,0,USD,-4.761904761904766,719728,2091855.0,USD,,-38.9824,98.25006424939315,0.0,Health technology,Health Technology,america,
12,NASDAQ:CLIK,CLIK,Click Holdings Limited,click-limited,delayed_streaming_900,stock,['common'],21.727180365183006,0.333,10000,1,false,0,USD,-9.756097560975602,35091267,5954040.0,USD,,,,0.0,Commercial services,Commercial Services,america,
13,AMEX:PAPL,PAPL,Pineapple Financial Inc.,,delayed_streaming_900,stock,['common'],21.3576420577606,4.9,100,1,false,0,USD,73.75886524822697,75254363,,USD,,-8.126,4.264844486333649,0.0,Finance,Finance,america,
14,NASDAQ:PAVM,PAVM,PAVmed Inc.,pavmed,delayed_streaming_900,stock,['common'],17.19813366549225,0.4569,10000,1,false,0,USD,11.411850768105328,2254708,7901911.000000001,USD,0.646983857264231,0.7062,,0.0,Health technology,Health Technology,america,1.0
15,NASDAQ:POLE,POLE,Andretti Acquisition Corp. II,andretti-acquisition-ii,delayed_streaming_900,stock,['common'],17.163715400660198,10.42,100,1,false,0,USD,-0.09587727708532873,548034,307494199.99999994,USD,40.23166023166023,0.259,,0.0,Finance,Finance,america,
16,NASDAQ:PMTS,PMTS,CPI Card Group Inc.,cpi-card,delayed_streaming_900,stock,['common'],16.709698405449007,13.25,100,1,false,0,USD,-28.839957035445764,508558,149479734.0,USD,11.854701619396977,1.1177,-26.995427824951012,0.0,Finance,Finance,america,1.0
17,NASDAQ:HRTX,HRTX,"Heron Therapeutics, Inc.",heron-therapeutics,delayed_streaming_900,stock,['common'],16.36953329093312,1.32,100,1,false,0,USD,-28.26086956521739,14961575,201384019.0,USD,,-0.0099,96.95759065765212,0.0,Health technology,Health Technology,america,1.0
18,NASDAQ:NDRA,NDRA,ENDRA Life Sciences Inc.,endra-life-sciences,delayed_streaming_900,stock,['common'],16.096472235158902,4.34,100,1,false,0,USD,1.8779342723004713,591019,3266957.0,USD,,-486.3853,77.35528348070613,0.0,Health technology,Health Technology,america,1.0
19,NYSE:HGTY,HGTY,"Hagerty, Inc.",hagerty,delayed_streaming_900,stock,['common'],14.756433645409407,10.65,100,1,false,0,USD,14.025695931477522,2208197,3642045719.9999995,USD,51.85004868549173,0.2054,52.82738095238096,0.0,Finance,Finance,america,2.333333
20,NASDAQ:VVPR,VVPR,VivoPower International PLC,vivopower,delayed_streaming_900,stock,['common'],14.36753115482318,5.1,100,1,false,0,USD,32.12435233160622,10802803,51572281.0,USD,,-6.5047,-103.78132832080198,0.0,Utilities,Utilities,america,
21,NASDAQ:ALEC,ALEC,"Alector, Inc.",alector,delayed_streaming_900,stock,['common'],13.834366133974193,2.15,100,1,false,0,USD,47.26027397260274,8927322,217606511.00000003,USD,,-1.1653,35.461896322552064,0.0,Health technology,Health Technology,america,1.5
22,NASDAQ:STRM,STRM,"Streamline Health Solutions, Inc.",streamline-health-solutions,delayed_streaming_900,stock,['common'],12.095179830633993,5.34,100,1,false,0,USD,0.274157809741986,112692,23261371.0,USD,,-2.2106,54.75644699140402,0.0,Technology services,Technology Services,america,
23,NYSE:PAR,PAR,PAR Technology Corporation,par-technology-corporation,delayed_streaming_900,stock,['common'],11.716952817057946,46.73,100,1,false,0,USD,-19.472686541444087,5339672,1892448399.0000002,USD,,-2.369,-820.715118538671,0.0,Electronic technology,Electronic Technology,america,1.222222
24,NASDAQ:CHR,CHR,"Cheer Holding, Inc.",glory-star-new-media-limited,delayed_streaming_900,stock,['common'],11.248926622014142,1.17,100,1,false,0,USD,-30.973451327433636,602596,14198615.000000002,USD,0.588857013438019,1.9869,-41.427392252815274,0.0,Technology services,Technology Services,america,
25,NASDAQ:TTD,TTD,"The Trade Desk, Inc.",the-trade-desk,delayed_streaming_900,stock,['common'],11.087282692190849,54.23,100,1,false,0,USD,-38.605230386052305,105356906,26514416706.0,USD,65.38461538461537,0.8294,63.65430149960536,0.0,Technology services,Technology Services,america,1.488095
26,NASDAQ:HXHX,HXHX,Haoxin Holdings Limited,haoxin-limited,delayed_streaming_900,stock,['common'],10.818304974992971,1.18,100,1,false,0,USD,8.256880733944941,634856,16225000.000000002,USD,32.065217391304344,0.0368,,0.0,Transportation,Transportation,america,
27,NASDAQ:SKIN,SKIN,The Beauty Health Company,the-beauty-health,delayed_streaming_900,stock,['common'],10.388864233495683,1.89,100,1,false,0,USD,18.867924528301874,7717961,239700007.0,USD,,-0.2815,65.89945487583283,0.0,Health technology,Health Technology,america,2.25
28,NASDAQ:ASMB,ASMB,"Assembly Biosciences, Inc.",assembly-bio,delayed_streaming_900,stock,['common'],10.31328452443482,23.97,100,1,false,0,USD,12.959472196041471,481058,183904097.0,USD,,-5.5907,37.345063319511375,0.0,Health technology,Health Technology,america,1.0
29,NASDAQ:RAAQ,RAAQ,Real Asset Acquisition Corp.,real-asset-acquisition,delayed_streaming_900,stock,['common'],9.92073638455638,10.15,100,1,false,0,USD,-0.19665683382497123,190120,233449999.99999997,USD,,,,0.0,Finance,Finance,america,
30,NYSE:CTRI,CTRI,"Centuri Holdings, Inc.",centuri,delayed_streaming_900,stock,['common'],9.897325063073035,19.98,100,1,false,0,USD,-5.75471698113207,7791395,1771210070.0000002,USD,,-0.0369,,0.0,Utilities,Utilities,america,1.857143
31,NASDAQ:HFBL,HFBL,"Home Federal Bancorp, Inc. of Louisiana",home-federal-bancorp-of-louisiana,delayed_streaming_900,stock,['common'],9.815284684867553,13.44,100,1,false,0,USD,1.4339622641509395,9671,41969945.00000001,USD,10.664127588669364,1.2603,8.347661623108662,3.86904761904762,Finance,Finance,america,
32,AMEX:RYDE,RYDE,Ryde Group Ltd.,ryde-ltd,delayed_streaming_900,stock,['common'],9.25759130804077,0.305,10000,1,false,0,USD,-4.687500000000004,1464862,8018397.0,USD,,-0.7528,-50.95247643874073,0.0,Technology services,Technology Services,america,1.0
33,NASDAQ:HLP,HLP,Hongli Group Inc.,hongli,delayed_streaming_900,stock,['common'],9.240277443986967,0.6626,10000,1,false,0,USD,-1.9822485207100706,1049641,48660514.999999985,USD,,-0.1506,-295.58441558441564,0.0,Producer manufacturing,Producer Manufacturing,america,
