,ticker,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:RGC,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,stock,['common'],5915.922705716412,13.52,100,1,false,0,USD,-3.221188260558347,232049,6685489942.516821,USD,,-0.3142,13.204419889502766,0.0,Health technology,Health Technology,america,,0.6688029255102237
1,NASDAQ:QUBT,QUBT,Quantum Computing Inc.,quantum-computing,stock,['common'],2576.4227642276423,16.46,100,1,false,0,USD,2.0458772473651696,13990842,2631130461.1977687,USD,,-0.4776,-39.97655334114889,0.0,Technology services,Technology Services,america,1.5,0.9501552605592706
2,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,stock,['common'],2028.2279346795478,15.08,100,1,false,0,USD,-3.826530612244896,3181860,222290950.47448978,USD,,-0.2584,51.42857142857142,0.0,Finance,Finance,america,1.0,1.4466731759215161
3,NYSE:QBTS,QBTS,D-Wave Quantum Inc.,d-wave-quantum,stock,['common'],1992.7710843373497,17.37,100,1,false,0,USD,2.781065088757411,43656753,5940858841.253255,USD,,-1.0546,-143.95095998149432,0.0,Electronic technology,Electronic Technology,america,1.0,1.0606251823297694
4,NASDAQ:RGTI,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,stock,['common'],1848.7804878048782,15.98,100,1,false,0,USD,3.4974093264248767,28374935,5157585336.045338,USD,,-0.6999,-33.51774132010682,0.0,Electronic technology,Electronic Technology,america,1.0625,0.8348899419958921
5,NASDAQ:TDUP,TDUP,ThredUp Inc.,thredup,stock,['common'],1325.673717762967,9.84,100,1,false,0,USD,-1.6000000000000014,2141102,1211903088.7199998,USD,,-0.4965,14.924605894448254,0.0,Retail trade,Retail Trade,america,1.2,0.6829776675666167
6,NASDAQ:PRCH,PRCH,"Porch Group, Inc.",porch,stock,['common'],1278.7037037037037,14.89,100,1,false,0,USD,4.859154929577474,1720554,1552563757.4197185,USD,32.09051724137931,0.464,,0.0,Finance,Finance,america,1.166667,0.7009502395133517
7,NASDAQ:MNPR,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,stock,['common'],1205.5613413872109,31.34,100,1,false,0,USD,-9.552669552669549,30676,191650811.19191918,USD,,-3.9851,-51.31758809234509,0.0,Health technology,Health Technology,america,1.166667,1.5904106677174021
8,AMEX:TGEN,TGEN,Tecogen Inc.,tecogen,stock,['common'],1056.4102564102564,9.02,100,1,false,0,USD,-4.347826086956523,778930,266598515.65217394,USD,,-0.1734,-2.3008849557522044,0.0,Producer manufacturing,Producer Manufacturing,america,,0.8113467931786997
9,NASDAQ:NUTX,NUTX,Nutex Health Inc.,nutex-health,stock,['common'],986.4242424242424,89.63,100,1,false,0,USD,1.9449499545040876,212425,497905052.4626933,USD,7.529212133430777,11.9043,,0.0,Health services,Health Services,america,1.0,1.1806085087179123
10,NASDAQ:DGNX,DGNX,Diginex Limited,diginex-limited,stock,['common'],983.3333333333334,46.15,100,1,false,0,USD,4.648526077097499,20953,1061162162.4499999,USD,,-0.1859,-7.023603914795634,0.0,Technology services,Technology Services,america,,0.3931764105412485
11,AMEX:UAMY,UAMY,United States Antimony Corporation,united-states-antimony,stock,['common'],982.8571428571429,3.79,100,1,false,0,USD,4.120879120879118,7518751,451394703.7417583,USD,,-0.0085,84.40366972477064,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,1.785252532677923
12,NASDAQ:BSGM,BSGM,"BioSig Technologies, Inc.",biosig-technologies,stock,['common'],914.8883374689825,4.09,100,1,false,0,USD,9.066666666666663,494343,128126031.76533334,USD,,-0.6233,80.60249587651325,0.0,Health technology,Health Technology,america,1.0,0.8758277163046935
13,NASDAQ:ANTE,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],913.392857142857,3.405,100,1,false,0,USD,45.51282051282051,1108090,101769482.51923075,USD,10.79581483830057,0.3154,,0.0,Commercial services,Commercial Services,america,,3.9813709966308406
14,NYSE:OKLO,OKLO,Oklo Inc.,altc,stock,['common'],883.0369357045145,71.86,100,1,false,0,USD,-4.593733404142318,16426779,10505726693.346786,USD,,-5.399,-2987.16577540107,0.0,Producer manufacturing,Producer Manufacturing,america,1.464286,0.9097148754510646
15,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],827.2727272727271,14.28,100,1,false,0,USD,49.21630094043886,3475148,108618520.92,USD,,-0.8621,-110.06335282651072,0.0,Health services,Health Services,america,,8.964783187890758
16,NASDAQ:NEON,NEON,Neonode Inc.,neonode,stock,['common'],795.0570342205324,23.54,100,1,false,0,USD,2.3923444976076587,171552,395069997.4162679,USD,,-0.377,46.29629629629629,0.0,Electronic technology,Electronic Technology,america,1.0,0.6018424478687027
17,NASDAQ:NNNN,NNNN,Anbio Biotechnology,anbio-biotechnology,stock,['common'],794.1064638783271,47.03,100,1,false,0,USD,-7.892675283979633,98011,6767203366.2683115,USD,776.072607260726,0.0606,5.208333333333338,0.0,Health technology,Health Technology,america,,0.8709255477773453
18,NASDAQ:MFI,MFI,mF International Limited,,stock,['common'],752.801724137931,39.57,100,1,false,0,USD,5.830435945439957,57641,61935002.01,USD,,-0.1956,,0.0,Technology services,Technology Services,america,,1.7465276094439328
19,NASDAQ:MVST,MVST,"Microvast Holdings, Inc.",microvast,stock,['common'],741.6666666666667,3.03,100,1,false,0,USD,4.844290657439435,14598290,985784385.3840828,USD,,-0.4479,-37.90024630541873,0.0,Producer manufacturing,Producer Manufacturing,america,1.333333,2.268592293096426
20,NASDAQ:RKLB,RKLB,Rocket Lab Corporation,rocket-lab,stock,['common'],741.4953271028038,45.02,100,1,false,0,USD,0.7384202282389918,24872688,21580593531.394497,USD,,-0.4575,-26.3463131731566,0.0,Electronic technology,Electronic Technology,america,1.375,1.4345310636594424
21,NASDAQ:TSSI,TSSI,"TSS, Inc.",tss,stock,['common'],736.6666666666666,18.825,100,1,false,0,USD,-6.575682382133992,3014265,471010871.3933003,USD,52.55443886097152,0.3582,335.23693803159176,0.0,Technology services,Technology Services,america,,0.8372282271539906
22,NASDAQ:TOI,TOI,"The Oncology Institute, Inc.",the-oncology-institute,stock,['common'],733.0058939096267,4.24,100,1,false,0,USD,-0.9345794392523372,1501043,389714253.4392523,USD,,-0.6963,13.856241494494617,0.0,Health services,Health Services,america,1.0,0.744374345002815
23,AMEX:CTM,CTM,"Castellum, Inc.",castellum,stock,['common'],714.3547273982056,1.18,100,1,false,0,USD,-7.812500000000007,4873107,107160620.484375,USD,,-0.0908,73.6735285590026,0.0,Process industries,Process Industries,america,1.0,2.027355510304506
24,NASDAQ:PSIX,PSIX,"Power Solutions International, Inc.",power-solutions-international,stock,['common'],670.56,96.32,100,1,false,0,USD,-3.3901705115346132,1014950,2216151563.9430285,USD,20.014961349846228,4.8124,146.7644344169829,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.3730319188153195
25,AMEX:AREN,AREN,"The Arena Group Holdings, Inc.",the-arena,stock,['common'],630.990971391276,6.72,100,1,false,0,USD,-0.4444444444444481,110297,319609592.4622222,USD,120.0,0.056,,0.0,Technology services,Technology Services,america,1.0,0.7221050688178955
26,NASDAQ:GRRR,GRRR,Gorilla Technology Group Inc.,gorilla-technology-group-inc,stock,['common'],604.1841004184099,16.83,100,1,false,0,USD,-1.3481828839390413,1154998,381519525.5082063,USD,,,,0.0,Technology services,Technology Services,america,1.0,1.3086624540126153
27,NASDAQ:TRON,TRON,Tron Inc.,srm-entertainment,stock,['common'],592.929292929293,6.86,100,1,false,0,USD,-1.5781922525107523,3284006,217585562.32000002,USD,,-0.199,55.89539007092198,0.0,Consumer durables,Consumer Durables,america,,0.9448701499319746
28,NASDAQ:CNVS,CNVS,Cineverse Corp.,cinedigm,stock,['common'],571.5151515151515,5.54,100,1,false,0,USD,-3.4843205574912925,207910,94778663.59581882,USD,37.58480325644505,0.1474,,0.0,Consumer services,Consumer Services,america,1.0,0.8960919512487354
29,NASDAQ:LAES,LAES,SEALSQ Corp,sealsq,stock,['common'],566.6666666666666,2.82,100,1,false,0,USD,5.223880597014913,7498903,412370683.43283576,USD,,-0.6817,-191.6987590928541,0.0,Electronic technology,Electronic Technology,america,1.0,1.048090505763531
30,NYSE:AMPX,AMPX,"Amprius Technologies, Inc.",amprius-technologies,stock,['common'],557.2649572649573,7.69,100,1,false,0,USD,-4.590570719602979,10494025,961833230.2084368,USD,,-0.4109,4.241435562805871,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.109206511553092
31,NASDAQ:ALMU,ALMU,"Aeluma, Inc.",aeluma,stock,['common'],553.5483870967741,20.26,100,1,false,0,USD,-1.6982047549733037,310054,320016159.5817565,USD,,-0.2675,,0.0,Commercial services,Commercial Services,america,1.0,0.8972838161374724
32,NASDAQ:AGFY,AGFY,Agrify Corporation,agrify,stock,['common'],551.7704517704519,26.69,100,1,false,0,USD,3.0903943236551723,31341,52099256.486120075,USD,,-30.0795,-140.0866816723337,0.0,Producer manufacturing,Producer Manufacturing,america,,6.15168704732369
