,ticker,name,description,logoid,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:TZUP,TZUP,Thumzup Media Corporation,thumzup-media,stock,['common'],,9.45,100,1,false,0,USD,-38.87451487710221,3447186,,-0.6744,-531.4606741573034,0.0,Technology services,Technology Services,america,,11.713576209573013
1,NYSE:OMI,OMI,"Owens & Minor, Inc.",owens-and-minor,stock,['common'],,4.63,100,1,false,0,USD,-34.696755994358256,6051689,,-4.7421,-820.7961165048542,0.0,Health technology,Health Technology,america,1.857143,4.734487380910023
2,NASDAQ:MNDY,MNDY,monday.com Ltd.,monday-com,stock,['common'],,174.13,100,1,false,0,USD,-29.797613288179324,9136579,176.62034689116544,0.9859,163.11716039498265,0.0,Technology services,Technology Services,america,1.230769,10.20343370243241
3,NASDAQ:DKI,DKI,DarkIris Inc.,,stock,['common'],,3.92,100,1,false,0,USD,-28.467153284671536,895001,,,,,Miscellaneous,Miscellaneous,america,,
4,NASDAQ:ALTS,ALTS,ALT5 Sigma Corporation,janone,stock,['common'],,6.6,100,1,false,0,USD,-26.421404682274257,57892521,,-0.429,86.70756646216769,0.0,Industrial services,Industrial Services,america,1.0,215.68657920855523
5,NYSE:AI,AI,"C3.ai, Inc.",c3-ai,stock,['common'],,16.47,100,1,false,0,USD,-25.57614098508812,66904386,,-2.232,4.684630823760503,0.0,Technology services,Technology Services,america,2.0,10.87733463267503
6,NASDAQ:SMX,SMX,SMX (Security Matters) Public Limited Company,,stock,['common'],,4.95,100,1,false,0,USD,-23.963133640552993,512309,,-23763.9009,98.98726507963363,0.0,Technology services,Technology Services,america,,0.22418897463855908
7,NASDAQ:JEM,JEM,707 Cayman Holdings Limited,707-cayman-limited,stock,['common'],,4.93,100,1,false,0,USD,-21.24600638977636,860150,,,,,Distribution services,Distribution Services,america,,3.883923451284677
8,AMEX:AMZE,AMZE,"Amaze Holdings, Inc.",amaze,stock,['common'],,3.33,100,1,false,0,USD,-20.714285714285715,355342,,-5.0142,64.16918558535384,0.0,Consumer non-durables,Consumer Non-Durables,america,1.0,3.2689735366793817
9,NASDAQ:LZMH,LZMH,LZ Technology Holdings Limited,lz-technology-limited,stock,['common'],,2.71,100,1,false,0,USD,-20.294117647058822,520549,,,,0.0,Commercial services,Commercial Services,america,,0.7836909468052657
