,ticker,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:BRK.A,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,stock,['common'],344091000000.0,USD,698440.0,100,1,false,0,USD,0.05728897236706362,478,1004566464466.6503,15.957694571549142,43768.2271,-7.203717980527366,0.0,Finance,Finance,america,1.666667,1.0054690786705933
1,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],96892000000.0,USD,221.3,100,1,false,0,USD,-0.6241860882841557,31607694,2360145075679.4473,33.771822732267125,6.5528,56.99465727497067,0.0,Retail trade,Retail Trade,america,1.133803,0.5473975743811108
2,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,stock,['common'],95148000000.0,USD,201.63,100,1,false,0,USD,-0.2276213568212222,16682295,2434460394052.609,21.476274165202106,9.3885,34.66972674460303,0.400811519619971,Technology services,Technology Services,america,1.232394,0.7430717920846895
3,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,stock,['common'],94565000000.0,USD,521.77,100,1,false,0,USD,-0.05172017469925328,20185942,3878403123501.418,38.248445930096175,13.6416,15.596003762361141,0.620642096391081,Technology services,Technology Services,america,1.120968,0.8581036770762177
4,NASDAQ:IBKR,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,stock,['common'],86717000000.0,USD,66.18,100,1,false,0,USD,0.4096495220755731,2661018,29466473163.946297,34.70918340588452,1.9067,20.853140647778407,0.405856470945228,Finance,Finance,america,1.4,0.6476171961378037
5,NYSE:SCHW,SCHW,Charles Schwab Corporation (The),schwab,stock,['common'],58600000000.0,USD,97.63,100,1,false,0,USD,0.5665430572723498,7337880,177390817339.15378,26.284898904234982,3.7143,54.33165745626793,1.07128141738772,Finance,Finance,america,1.357143,0.9919215200703759
6,NYSE:AXP,AXP,American Express Company,american-express,stock,['common'],57937000000.0,USD,296.23,100,1,false,0,USD,-0.40345627542614687,2316761,206141197746.74265,20.797994832621885,14.2432,6.257646742860547,1.02208923107958,Finance,Finance,america,1.716667,0.9486027036942408
7,NASDAQ:AAPL,AAPL,Apple Inc.,apple,stock,['common'],55372000000.0,USD,227.18,100,1,false,0,USD,-0.9461521691737464,61756950,3371439810053.8765,34.53528320817245,6.5782,0.15682333774874735,0.440374972749073,Electronic technology,Electronic Technology,america,1.458333,0.8215185008578537
8,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,stock,['common'],53691000000.0,USD,182.06,100,1,false,0,USD,-0.35030103995620493,138149282,4442263925797.846,58.64390401030762,3.1045,81.60280783854927,0.0218938149972633,Electronic technology,Electronic Technology,america,1.192308,0.8571772286170687
9,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],47232000000.0,USD,765.87,100,1,false,0,USD,-0.44585987261145843,7607002,1923836614555.6797,27.736049947850272,27.6128,40.97873535343221,0.266476017158456,Technology services,Technology Services,america,1.225352,0.4741457497098749
10,NYSE:F,F,Ford Motor Company,ford,stock,['common'],37504000000.0,USD,11.14,100,1,false,0,USD,-1.5901060070671353,84299695,44335643402.48587,14.21462294245247,0.7837,-17.574673958771562,6.62544169611307,Consumer durables,Consumer Durables,america,2.019231,1.2727064696039088
11,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,stock,['common'],37341000000.0,USD,339.03,100,1,false,0,USD,2.845442135598361,105072389,1093523945614.6543,196.33425990271022,1.7268,-51.50391776897801,0.0,Consumer durables,Consumer Durables,america,1.803922,1.2638347775108918
12,NYSE:GM,GM,General Motors Company,general-motors,stock,['common'],32282000000.0,USD,54.01,100,1,false,0,USD,0.8966934429291927,6690173,51421721876.09434,8.561871849338955,6.3082,-29.071937754390703,0.952736783112273,Consumer durables,Consumer Durables,america,1.612903,0.8674473689918974
13,NYSE:BA,BA,Boeing Company (The),boeing,stock,['common'],22967000000.0,USD,225.96,100,1,false,0,USD,-1.3791899441340767,4869717,170861393605.01343,,-16.5217,-193.5677606211908,0.0,Electronic technology,Electronic Technology,america,1.327586,0.6186915443061043
14,NYSE:V,V,Visa Inc.,visa,stock,['common'],22915000000.0,USD,335.9,100,1,false,0,USD,-0.26129817685135565,5715368,647145227879.8046,33.15860652905697,10.1301,10.047581801590416,0.679969119306372,Finance,Finance,america,1.302326,0.7500556173409357
15,NASDAQ:INTC,INTC,Intel Corporation,intel,stock,['common'],21206000000.0,USD,20.65,100,1,false,0,USD,3.5087719298245577,174838304,90385053456.15788,,-4.7628,-2174.3902439024387,2.5062656641604,Electronic technology,Electronic Technology,america,2.045455,2.005080706359307
16,NYSE:SYF,SYF,Synchrony Financial,synchrony,stock,['common'],19457000000.0,USD,69.6,100,1,false,0,USD,0.24485092899321254,3765248,25895206021.823414,8.457173408508208,8.2297,14.264887605348282,1.51231456142878,Finance,Finance,america,1.44,1.035058773996044
17,NYSE:JNJ,JNJ,Johnson & Johnson,johnson-and-johnson,stock,['common'],18880000000.0,USD,173.82,100,1,false,0,USD,0.2826977441873771,7256655,418617466316.3871,18.5903743315508,9.35,35.14880823323648,2.8962095424912,Health technology,Health Technology,america,1.62,0.8208412091514946
18,NYSE:KKR,KKR,KKR & Co. Inc.,kkr,stock,['common'],18056173000.0,USD,141.57,100,1,false,0,USD,-0.7710100231302968,1818627,126088164478.2976,67.8927680798005,2.0852,-50.75222597482345,0.497651924020467,Finance,Finance,america,1.282609,0.5070955941307944
19,NASDAQ:BKNG,BKNG,Booking Holdings Inc. Common Stock,booking,stock,['common'],17595000000.0,USD,5364.25,100,1,false,0,USD,-0.7706380609370089,174971,173854732816.93896,37.309150748652094,143.7784,0.6681645464596085,0.678886625933469,Consumer services,Consumer Services,america,1.397436,0.7114692811871389
20,NYSE:CRM,CRM,"Salesforce, Inc.",salesforce,stock,['common'],17408000000.0,USD,232.68,100,1,false,0,USD,-3.255581888486959,10732752,222442074919.95065,36.39435033550748,6.3933,14.98534199025197,0.678558064113758,Technology services,Technology Services,america,1.237288,1.6663853842095304
