,ticker,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
0,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,stock,['common'],35622692042.67,USD,339.03,100,1,false,0,2.845442135598361,105072389,1.2638347775108918,1093523945614.6543,USD,196.33425990271022,1.7268,-51.50391776897801,0.0,Consumer durables,america,Consumer Durables,1.803922
1,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,stock,['common'],25151458280.920002,USD,182.06,100,1,false,0,-0.35030103995620493,138149282,0.8571772286170687,4442263925797.846,USD,58.64390401030762,3.1045,81.60280783854927,0.0218938149972633,Electronic technology,america,Electronic Technology,1.192308
2,NASDAQ:AAPL,AAPL,Apple Inc.,apple,stock,['common'],14029942765.1,USD,227.18,100,1,false,0,-0.9461521691737464,61756945,0.8215184343456231,3371439810053.8765,USD,34.53528320817245,6.5782,0.15682333774874735,0.440374972749073,Electronic technology,america,Electronic Technology,1.458333
3,NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,stock,['common'],12158103846.48,USD,172.28,100,1,false,0,-0.2778420930770953,70571766,0.8521934900649538,279583512359.7696,USD,99.16537155356012,1.7373,109.26282823416045,0.0,Electronic technology,america,Electronic Technology,1.330357
4,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,stock,['common'],10532412174.33,USD,521.77,100,1,false,0,-0.05172017469925328,20185929,0.8581031244466797,3878403123501.418,USD,38.248445930096175,13.6416,15.596003762361141,0.620642096391081,Technology services,america,Technology Services,1.120968
5,NASDAQ:PLTR,PLTR,Palantir Technologies Inc.,palantir,stock,['common'],10230973853.24,USD,182.68,100,1,false,0,-2.2892597347026107,56004893,0.8110448499984418,431305531678.12946,USD,607.1119973413095,0.3009,77.10417892878164,0.0,Technology services,america,Technology Services,1.913793
6,AMEX:BMNR,BMNR,"BitMine Immersion Technologies, Inc.",bitmine-immersion-technologies,stock,['common'],8653895764.26,USD,58.98,100,1,false,0,14.680147773672946,146725937,3.1850950123350037,6624125592.174995,USD,,-2.8796,-96.26499454743728,0.0,Finance,america,Finance,1.0
7,NYSE:LLY,LLY,Eli Lilly and Company,eli-lilly,stock,['common'],7167544253.64,USD,635.22,100,1,false,0,1.5296092064253257,11283562,1.472205100483203,601208264996.972,USD,42.1211076335473,15.0808,88.38048841421524,0.895069128106769,Health technology,america,Health Technology,1.3
8,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],6994782682.200001,USD,221.3,100,1,false,0,-0.6241860882841557,31607694,0.5473975743811108,2360145075679.4473,USD,33.771822732267125,6.5528,56.99465727497067,0.0,Retail trade,america,Retail Trade,1.133803
9,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],5825974621.74,USD,765.87,100,1,false,0,-0.44585987261145843,7607002,0.4741457497098749,1923836614555.6797,USD,27.736049947850272,27.6128,40.97873535343221,0.266476017158456,Technology services,america,Technology Services,1.225352
10,NASDAQ:COIN,COIN,"Coinbase Global, Inc.",coinbase,stock,['common'],4679736366.06,USD,319.62,100,1,false,0,2.9239389450634325,14641563,1.0204454174378113,82122573971.11604,USD,30.92059438123984,10.3368,85.9671848013817,0.0,Finance,america,Finance,1.723684
11,NASDAQ:MU,MU,"Micron Technology, Inc.",micron-technology,stock,['common'],4335099683.16,USD,123.72,100,1,false,0,4.062578854403228,35039603,1.8176045156613432,138458159391.85464,USD,22.330920708264895,5.5403,,0.386912271847927,Electronic technology,america,Electronic Technology,1.280488
12,NASDAQ:HOOD,HOOD,"Robinhood Markets, Inc.",robinhood,stock,['common'],4190895515.04,USD,113.62,100,1,false,0,-0.8810956992061336,36885192,0.8470497769235925,100971263702.30882,USD,57.71028037383177,1.9688,503.55610055180875,0.0,Finance,america,Finance,1.444444
13,NASDAQ:MSTR,MSTR,MicroStrategy Incorporated,microstrategy,stock,['common'],4152563331.0,USD,400.25,100,1,false,0,1.2957760736972654,10374924,0.9455801900164376,113491965258.69461,USD,35.23513565857351,11.3594,,0.0,Technology services,america,Technology Services,1.28125
14,NASDAQ:AVGO,AVGO,Broadcom Inc.,broadcom,stock,['common'],3764877305.9999995,USD,303.9,100,1,false,0,-0.350854182378611,12388540,0.6945729206927723,1429384900790.0496,USD,114.23953086234117,2.6602,14.446738943383252,0.754172541561465,Electronic technology,america,Electronic Technology,1.180851
15,NASDAQ:INTC,INTC,Intel Corporation,intel,stock,['common'],3610335997.45,USD,20.65,100,1,false,0,3.5087719298245577,174834673,2.005039065323686,90385053456.15788,USD,,-4.7628,-2174.3902439024387,2.5062656641604,Electronic technology,america,Electronic Technology,2.045455
16,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,stock,['common'],3363651140.85,USD,201.63,100,1,false,0,-0.2276213568212222,16682295,0.7430717920846895,2434460394052.609,USD,21.476274165202106,9.3885,34.66972674460303,0.400811519619971,Technology services,america,Technology Services,1.232394
17,NASDAQ:NFLX,NFLX,"Netflix, Inc.",netflix,stock,['common'],2989916704.81,USD,1218.31,100,1,false,0,0.5504935459377245,2454151,0.7806150289046728,517692004051.14343,USD,51.91787301682,23.4661,46.643877991013696,0.0,Technology services,america,Technology Services,1.472222
18,NYSE:UNH,UNH,UnitedHealth Group Incorporated,unitedhealth,stock,['common'],2968860238.03,USD,252.37,100,1,false,0,0.5898999561560916,11763919,0.5224259012871417,228935032763.73636,USD,10.931212668546506,23.0871,52.6520761703253,3.39192474789749,Health services,america,Health Services,1.465517
19,NASDAQ:APP,APP,Applovin Corporation,applovin,stock,['common'],2781422874.74,USD,465.58,100,1,false,0,2.1053554980481524,5974103,0.7752146781448885,157482403436.17145,USD,69.16643144712016,6.7313,185.22457627118644,0.0,Technology services,america,Technology Services,1.290323
20,NASDAQ:CRWV,CRWV,"CoreWeave, Inc.",coreweave,stock,['common'],2708195985.34,USD,139.78,100,1,false,0,7.896565032805858,19374703,1.4584638960817666,68219853478.80356,USD,,,,0.0,Technology services,america,Technology Services,1.86
21,NASDAQ:SBET,SBET,"SharpLink Gaming, Inc.",sharplink-gaming,stock,['common'],2523113656.6800003,USD,22.335,100,1,false,0,-6.626254180602009,112966808,2.704164859739824,2232426641.71342,USD,,-9.083,98.90192283792561,0.0,Commercial services,america,Commercial Services,
22,NYSE:CRM,CRM,"Salesforce, Inc.",salesforce,stock,['common'],2497296735.36,USD,232.68,100,1,false,0,-3.255581888486959,10732752,1.6663853842095304,222442074919.95065,USD,36.39435033550748,6.3933,14.98534199025197,0.678558064113758,Technology services,america,Technology Services,1.237288
23,NYSE:ORCL,ORCL,Oracle Corporation,oracle,stock,['common'],2276850965.44,USD,252.68,100,1,false,0,1.0517896420715838,9010808,0.8843663033967898,709735933075.7008,USD,58.20912713953327,4.3409,17.115877512478086,0.719856028794241,Technology services,america,Technology Services,1.406977
24,NASDAQ:COST,COST,Costco Wholesale Corporation,costco-wholesale,stock,['common'],2263614434.82,USD,988.74,100,1,false,0,0.7910456890048717,2289393,0.9971764583924521,438483520633.36224,USD,56.08504024550039,17.6293,9.270714533644068,0.48726783420661,Retail trade,america,Retail Trade,1.551282
25,NASDAQ:INTU,INTU,Intuit Inc.,intuit,stock,['common'],2255999915.4,USD,706.09,100,1,false,0,-5.728971962616818,3195060,2.0604821076446576,196961680851.62225,USD,57.45707543331435,12.289,13.566213843452546,0.555407209612817,Technology services,america,Technology Services,1.308824
26,NYSE:IBM,IBM,International Business Machines Corporation,international-bus-mach,stock,['common'],2216108358.4,USD,236.3,100,1,false,0,-2.4641928426961646,9378368,1.6215464322528388,220117997003.26205,USD,38.32803477583858,6.1652,-32.04743849748701,2.76138192925249,Technology services,america,Technology Services,1.717391
27,NASDAQ:CSCO,CSCO,"Cisco Systems, Inc.",cisco,stock,['common'],2043008853.13,USD,70.67,100,1,false,0,-1.560105864326514,28909139,1.4357392993052787,279853082794.50885,USD,28.963114754098363,2.44,-17.800835466918205,2.25658169661513,Electronic technology,america,Electronic Technology,1.518519
28,NYSE:NOW,NOW,"ServiceNow, Inc.",servicenow,stock,['common'],2029059956.01,USD,856.37,100,1,false,0,-1.8498355319709787,2369373,1.4604317956895876,178124961993.42984,USD,107.78593095115228,7.9451,43.675292500768556,0.0,Technology services,america,Technology Services,1.195652
29,NASDAQ:TTD,TTD,"The Trade Desk, Inc.",the-trade-desk,stock,['common'],2000253399.375,USD,53.175,100,1,false,0,-1.945417665498801,37616425,1.9356120791532083,25998600559.49751,USD,64.11261152640462,0.8294,63.65430149960536,0.0,Technology services,america,Technology Services,1.511905
30,NASDAQ:SOUN,SOUN,"SoundHound AI, Inc.",soundhound-ai,stock,['common'],1939020057.3,USD,15.9,100,1,false,0,17.343173431734314,121950947,2.609106565709311,6387576287.623616,USD,,-0.6245,-60.87068521380733,0.0,Technology services,america,Technology Services,1.277778
