,ticker,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:MENS,MENS,Jyong Biotech Ltd.,jyong-biotech-ltd,stock,['common'],155.01097293343088,49.56,100,1,false,0,USD,9.331568497683662,410210,3679020387.84,USD,,-0.0407,,0.0,Health technology,Health Technology,america,,2.810966751637749
1,NASDAQ:SHOT,SHOT,"Safety Shot, Inc.",jupiter-wellness,stock,['common'],123.48559106057634,0.5582,100,1,false,0,USD,-51.03508771929823,33483353,137995671.0,USD,,-0.706,5.627589894399148,0.0,Health technology,Health Technology,america,,5.758579066720337
2,NASDAQ:VSEE,VSEE,"VSee Health, Inc.",vsee-health,stock,['common'],111.53846153846155,0.88,100,1,false,0,USD,-33.333333333333336,1441561,13785006.0,USD,,,,0.0,Technology services,Technology Services,america,,33.880020682037184
3,NASDAQ:IOBT,IOBT,"IO Biotech, Inc.",io-biotech,stock,['common'],107.6053967201408,1.05,100,1,false,0,USD,-41.988950276243095,82729313,69174956.02209945,USD,,-1.4944,19.6472739004194,0.0,Health technology,Health Technology,america,1.0,145.77713797965623
4,NASDAQ:EQ,EQ,"Equillium, Inc.",equillium,stock,['common'],90.52530582873591,0.8858,10000,1,false,0,USD,78.87722132471731,245155224,31640169.606219716,USD,,-0.394,-13.34867663981588,0.0,Health technology,Health Technology,america,,14.962655344711695
5,NASDAQ:ENTO,ENTO,Entero Therapeutics Inc.,first-wave-biopharma,stock,['common'],81.55046069821813,0.6074,10000,1,false,0,USD,66.45656344203893,301680714,2894702.9421759387,USD,,-7.3159,85.1381987640728,0.0,Health technology,Health Technology,america,,2252.675000429357
6,NASDAQ:INTJ,INTJ,Intelligent Group Limited,intelligent-limited,stock,['common'],80.89161686318849,0.78,100,1,false,0,USD,-30.350924189659782,402988,10237500.0,USD,,-0.0031,-107.82828282828282,0.0,Commercial services,Commercial Services,america,,2.2645894761449585
7,NASDAQ:UGRO,UGRO,"urban-gro, Inc.",urban-gro,stock,['common'],71.8,0.4565,10000,1,false,0,USD,40.11663597298958,55133170,5795977.891344383,USD,,,,0.0,Distribution services,Distribution Services,america,,177.05367889518175
8,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],71.23637900640199,14.28,100,1,false,0,USD,49.21630094043886,3475148,108618520.92,USD,,-0.8621,-110.06335282651072,0.0,Health services,Health Services,america,,8.964783187890758
9,NASDAQ:TPIC,TPIC,"TPI Composites, Inc.",tpi-composites,stock,['common'],69.60214573088959,0.2869,10000,1,false,0,USD,-10.399750156152404,22746259,13957689.480012493,USD,,-4.7698,-3.5404953654459814,0.0,Producer manufacturing,Producer Manufacturing,america,2.142857,8.425621346383107
