,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:EQ,equillium,EQ,1.09,0.5948000000000001,120.11308562197094,63516654,-1.191437802907908,0.8858,78.87722132471731,245155224,31640169.606219716,-21.574682613735742,"Equillium, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
1,NASDAQ:IMXI,international-money-express,IMXI,15.2,5.92,63.793103448275865,875439,34.698275862068975,14.9,60.56034482758622,10209152,446652075.3663794,-51.18156284205859,"International Money Express, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:ENTO,first-wave-biopharma,ENTO,0.56,0.19510000000000005,53.46670320635793,70429997,1.3976431899150434,0.6074,66.45656344203893,301680714,2894702.9421759387,139.7326029636354,Entero Therapeutics Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
3,NASDAQ:WLGS,wang-and-lee-group,WLGS,0.0691,0.023299999999999994,50.87336244541484,218988968,28.384279475982527,0.0648,41.484716157205234,731804054,2057587.0128,,"Wang & Lee Group, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
4,NASDAQ:FAAS,stonebridge-acquisition,FAAS,0.42,0.1255,42.61460101867572,8307207,0.0,0.285,-3.2258064516129066,27053469,17297173.548387095,19.288025166158526,DigiAsia Corp.,stock,['common'],streaming,10000,1,false,0,USD,USD
5,NASDAQ:AUUD,auddia,AUUD,3.5,0.8500000000000001,32.07547169811321,9831476,49.05660377358492,3.04,14.716981132075476,28215370,2021474.9584905661,-40.389823288355686,Auddia Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
6,NASDAQ:VFF,village-farms-international,VFF,2.2699,0.5498999999999998,31.970930232558132,3473043,6.976744186046519,2.31,34.30232558139535,23164610,259498574.75581396,65.2655847080428,"Village Farms International, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:BJDX,bluejay-diagnostics,BJDX,1.8,0.40000000000000013,28.57142857142858,11517162,20.000000000000004,1.88,34.285714285714285,99484593,2809062.4285714286,-4.092694978294263,"Bluejay Diagnostics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
8,NYSE:TGNA,tegna,TGNA,19.32,4.01,26.192031352057477,93137,25.016329196603525,19.87,29.784454604833442,13380878,3196632423.4154143,6.114747386026418,TEGNA Inc,stock,['common'],streaming,100,1,false,0,USD,USD
9,NYSE:MLNK,project-angel-parent,MLNK,19.77,3.889999999999999,24.496221662468507,385788,1.952141057934512,19.78,24.55919395465995,15328399,1526826408.4508817,-27.180786907930262,"MeridianLink, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
10,NASDAQ:BNC,cea-industries,BNC,21.1,4.0,23.391812865497073,152079,24.561403508771924,27.34,59.883040935672504,1351659,23002400.27953216,163.55960392909813,CEA Industries Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
11,NASDAQ:GMHS,gamehaus,GMHS,1.57,0.28190000000000004,21.884946820899,1726994,34.30634267525813,1.89,46.727738529617255,30294989,101246123.24353698,-72.21762927355914,Gamehaus Holdings Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
12,NASDAQ:TLRY,tilray,TLRY,0.7885,0.13979999999999992,21.55079389548326,10495799,7.430245105595793,0.92,41.82210574996146,262533530,1012487737.5674425,-54.09397875260694,"Tilray Brands, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
13,NASDAQ:SPNS,sapiens,SPNS,31.76,5.240000000000002,19.75867269984918,29079,16.10105580693816,28.77,8.484162895927602,915387,1607875522.9162893,-24.72100779766695,Sapiens International Corporation N.V.,stock,['common'],streaming,100,1,false,0,USD,USD
14,NASDAQ:TLS,telos,TLS,2.85,0.4700000000000002,19.747899159663877,1172437,2.521008403361347,3.87,62.605042016806735,20077498,284385873.5546218,-33.36933276793629,Telos Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
15,NASDAQ:MPAA,motorcar-parts-of-america,MPAA,13.37,2.09,18.52836879432624,3997,4.078014184397171,13.81,22.42907801418441,546742,268407081.8874114,86.03297389299789,"Motorcar Parts of America, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
16,NASDAQ:SLRX,salarius-pharmaceuticals,SLRX,0.592,0.09199999999999997,18.399999999999995,258370,17.480000000000008,0.5694,13.880000000000003,1206643,4353401.2236,43.188303085809906,"Salarius Pharmaceuticals, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
17,NASDAQ:FOXX,foxx-development,FOXX,7.35,1.1099999999999994,17.78846153846153,1698,5.769230769230759,6.61,5.9294871794871815,88493,44819745.87339743,-5.152430125910684,Foxx Development Holdings Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
18,NASDAQ:RVSN,rail-vision-ltd,RVSN,0.4241,0.064,17.77284087753402,853839,0.1110802554845908,0.3804,5.6373229658428325,3120392,19860946.476,,Rail Vision Ltd.,stock,['common'],streaming,10000,1,false,0,USD,USD
19,NASDAQ:YTRA,yatra-online,YTRA,1.06,0.15750000000000008,17.451523545706383,110698,0.0,1.13,25.20775623268697,937020,68173942.98060942,-33.14823766359344,"Yatra Online, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
20,NASDAQ:NA,nano-labs-ltd,NA,5.07,0.6699999999999999,15.227272727272725,119170,14.09090909090907,4.2,-4.545454545454549,778651,99001692.68181819,12.035588217435476,Nano Labs Ltd,stock,['common'],streaming,100,1,false,0,USD,USD
21,NASDAQ:GIBO,gibo-limited,GIBO,0.04285,0.005549999999999999,14.87935656836461,99406361,12.600536193029498,0.0424,13.672922252010725,249055250,7456437.0294,,GIBO Holdings Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
22,NYSE:ZIM,zim-integrated-shipping,ZIM,17.76,2.2600000000000016,14.580645161290331,2414502,3.2903225806451712,17.81,14.903225806451607,23429343,2145348150.836129,-15.259837646096509,ZIM Integrated Shipping Services Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
23,NYSE:LZM,lifezone-metals-limited,LZM,4.94,0.6200000000000001,14.351851851851855,1713,1.1574074074074032,4.57,5.787037037037036,128737,361576439.7662037,-34.28527781774948,Lifezone Metals Limited,stock,['common'],streaming,100,1,false,0,USD,USD
24,NASDAQ:RUM,rumble,RUM,9.01,1.13,14.340101522842637,478100,5.32994923857869,8.12,3.0456852791878086,9120027,3527519049.7918777,54.72789799859033,Rumble Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
25,NASDAQ:CURR,infint-acquisition,CURR,1.736,0.21599999999999997,14.21052631578947,6762,5.263157894736847,1.53,0.6578947368421059,63105,116409544.69736841,9.345276511672852,Currenc Group Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
26,NASDAQ:ELAB,pmgc,ELAB,2.14,0.26000000000000023,13.829787234042568,6873,0.0,1.93,2.659574468085109,22785,2654493.255319149,-59.756037174193764,PMGC Holdings Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
27,NASDAQ:MAPS,wm-technology,MAPS,1.06,0.12770000000000004,13.69730773356216,2641879,0.8151882441274204,1.2,28.71393328327791,11491600,185247961.81486645,-2.987275356782951,"WM Technology, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
28,NASDAQ:LENZ,graphite-bio,LENZ,39.26,4.579999999999998,13.206459054209915,75056,10.899653979238758,38.77,11.79354094579009,2770226,1105801696.2629757,48.74865119419341,"LENZ Therapeutics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
29,NYSE:ALB,albemarle,ALB,85.3,9.819999999999993,13.010068892421826,334647,8.43932167461578,80.76,6.99523052464229,12469177,9504073849.00318,-14.274437255276032,Albemarle Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
30,NASDAQ:WLDS,wearable-devices-ltd,WLDS,1.8299,0.20989999999999998,12.956790123456788,12174035,0.6172839506172707,1.47,-9.259259259259267,20151880,1512600.962962963,-78.91249868774872,Wearable Devices Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
31,NASDAQ:AIOT,powerfleet,AIOT,4.37,0.5,12.919896640826872,153442,1.0335917312661507,4.39,13.436692506459938,4632195,585816062.0439277,4.112440419656169,"PowerFleet, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
32,NASDAQ:GPRE,green-plains,GPRE,8.35,0.9499999999999993,12.837837837837828,28386,0.0,8.835,19.391891891891895,3845820,577804168.2101351,-47.96510501374937,"Green Plains, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
33,NYSE:LAR,lithium-americas,LAR,3.17,0.3599999999999999,12.811387900355866,141257,4.982206405693955,3.67,30.60498220640569,9218988,594428712.4792746,7.690483567829824,Lithium Argentina AG,stock,['common'],streaming,100,1,false,0,USD,USD
34,NASDAQ:EUDA,euda-health-limited,EUDA,2.94,0.33000000000000007,12.643678160919544,1529,-0.38314176245209913,2.52,-3.44827586206896,77711,93634082.62068966,-26.087566828056605,Euda Health Holdings Limited,stock,['common'],streaming,100,1,false,0,USD,USD
