,ticker,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:TLS,TLS,Telos Corporation,telos,stock,['common'],284385873.5546218,USD,3.87,100,1,false,0,USD,62.605042016806735,20077498,,-0.7428,-67.0715249662618,0.0,Technology services,Technology Services,america,1.4,43.42298369942879
1,NASDAQ:IMXI,IMXI,"International Money Express, Inc.",international-money-express,stock,['common'],446652075.3663794,USD,14.9,100,1,false,0,USD,60.56034482758622,10209152,8.79367327667611,1.6944,1.013473232383445,0.0,Commercial services,Commercial Services,america,2.0,27.97140597169256
2,NASDAQ:BNC,BNC,CEA Industries Inc.,cea-industries,stock,['common'],23002400.27953216,USD,27.34,100,1,false,0,USD,59.883040935672504,1351590,,-4.2148,16.120044578888702,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.6953661855986004
3,NASDAQ:BTAI,BTAI,"BioXcel Therapeutics, Inc.",bioxcel-therapeutics,stock,['common'],38758694.65346535,USD,6.4,100,1,false,0,USD,58.41584158415842,41838808,,-13.5248,83.68823750759819,0.0,Health technology,Health Technology,america,1.5,1.2273173110628892
4,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],108618520.92,USD,14.28,100,1,false,0,USD,49.21630094043886,3475148,,-0.8621,-110.06335282651072,0.0,Health services,Health Services,america,,8.964783187890758
5,NASDAQ:AGH,AGH,Aureus Greenway Holdings Inc.,aureus-greenway,stock,['common'],,USD,3.88,100,1,false,0,USD,46.96969696969696,1506907,,,,,Consumer services,Consumer Services,america,,2.3013152820888743
6,NASDAQ:ANTE,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],101769482.51923075,USD,3.405,100,1,false,0,USD,45.51282051282051,1108090,10.79581483830057,0.3154,,0.0,Commercial services,Commercial Services,america,,3.9813709966308406
7,NYSE:SBDS,SBDS,"Solo Brands, Inc.",,stock,['common'],28458425.552825555,USD,11.5,100,1,false,0,USD,41.27764127764127,49122,,-90.1496,-0.1919381530148361,0.0,Distribution services,Distribution Services,america,,2.736601671309192
8,NASDAQ:ONEG,ONEG,OneConstruction Group Limited,oneconstruction-limited,stock,['common'],115700000.0,USD,8.9,100,1,false,0,USD,37.98449612403101,518302,,,,0.0,Industrial services,Industrial Services,america,,25.601355389699236
9,NASDAQ:FEAM,FEAM,"5E Advanced Materials, Inc.",5e-advanced-materials-inc,stock,['common'],104092278.62068966,USD,5.2,100,1,false,0,USD,37.931034482758626,217535,,-16.1103,37.82639569616932,0.0,Process industries,Process Industries,america,1.0,6.26241485925508
10,NASDAQ:VFF,VFF,"Village Farms International, Inc.",village-farms-international,stock,['common'],259498574.75581396,USD,2.31,100,1,false,0,USD,34.30232558139535,23164610,,-0.356,-40.102321920503734,0.0,Process industries,Process Industries,america,1.0,21.60415888692455
11,NASDAQ:HURA,HURA,"TuHURA Biosciences, Inc.",kintara-therapeutics,stock,['common'],141973119.93478262,USD,3.05,100,1,false,0,USD,32.608695652173914,6504002,,-11.5667,92.1251592267791,0.0,Health technology,Health Technology,america,1.0,46.88839642310277
12,NASDAQ:PBYI,PBYI,Puma Biotechnology Inc,puma-biotechnology,stock,['common'],244298013.29268295,USD,4.85,100,1,false,0,USD,31.436314363143623,3947481,4.947969802081208,0.9802,435.9212684527063,0.0,Health technology,Health Technology,america,2.5,9.316130210744976
13,NYSE:LAR,LAR,Lithium Argentina AG,lithium-americas,stock,['common'],594428712.4792746,USD,3.67,100,1,false,0,USD,30.60498220640569,9218988,,-0.074903752,-100.9322427789173,0.0,Non-energy minerals,Non-Energy Minerals,america,1.363636,6.478792906334482
14,NASDAQ:ASST,ASST,Asset Entities Inc.,asset-entities,stock,['common'],70986163.34042552,USD,4.27,100,1,false,0,USD,29.78723404255318,5178401,,-0.9338,52.85505124450952,0.0,Commercial services,Commercial Services,america,,2.4309071210017303
15,NYSE:TGNA,TGNA,TEGNA Inc,tegna,stock,['common'],3196632423.4154143,USD,19.87,100,1,false,0,USD,29.784454604833442,13380878,7.14799625872365,2.7798,14.4751472223366,3.26583932070542,Consumer services,Consumer Services,america,1.285714,7.458456392575727
