,ticker,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
0,NASDAQ:ENTO,ENTO,Entero Therapeutics Inc.,first-wave-biopharma,stock,['common'],2252.675000429357,0.6074,10000,1,false,0,USD,66.45656344203893,301680714,2894702.9421759387,USD,,-7.3159,85.1381987640728,0.0,Health technology,Health Technology,america,
1,NASDAQ:BJDX,BJDX,"Bluejay Diagnostics, Inc.",bluejay-diagnostics,stock,['common'],994.725568206247,1.88,100,1,false,0,USD,34.285714285714285,99484593,2809062.4285714286,USD,,-38.9824,98.25006424939315,0.0,Health technology,Health Technology,america,
2,NASDAQ:ALTS,ALTS,ALT5 Sigma Corporation,janone,stock,['common'],215.68657920855523,6.6,100,1,false,0,USD,-26.421404682274257,57892521,115200762.47491637,USD,,-0.429,86.70756646216769,0.0,Industrial services,Industrial Services,america,1.0
3,NASDAQ:UGRO,UGRO,"urban-gro, Inc.",urban-gro,stock,['common'],177.05367889518175,0.4565,10000,1,false,0,USD,40.11663597298958,55133170,5795977.891344383,USD,,,,0.0,Distribution services,Distribution Services,america,
4,NASDAQ:LPBB,LPBB,Launch Two Acquisition Corp.,launch-two-acquisition,stock,['common'],163.77711932503013,10.41,100,1,false,0,USD,-0.09596928982725324,652226,239430000.0,USD,67.55353666450358,0.1541,,0.0,Finance,Finance,america,
5,NASDAQ:WLDS,WLDS,Wearable Devices Ltd.,wearable-devices-ltd,stock,['common'],153.14177325428963,1.47,100,1,false,0,USD,-9.259259259259267,20151880,1512600.962962963,USD,,-21.7013,-5.045767199608889,0.0,Electronic technology,Electronic Technology,america,
6,NASDAQ:IOBT,IOBT,"IO Biotech, Inc.",io-biotech,stock,['common'],145.77713797965623,1.05,100,1,false,0,USD,-41.988950276243095,82729313,69174956.02209945,USD,,-1.4944,19.6472739004194,0.0,Health technology,Health Technology,america,1.0
7,NASDAQ:GMHS,GMHS,Gamehaus Holdings Inc.,gamehaus,stock,['common'],69.08963342685162,1.89,100,1,false,0,USD,46.727738529617255,30294989,101246123.24353698,USD,,,,0.0,Finance,Finance,america,
8,NASDAQ:SHFS,SHFS,"SHF Holdings, Inc.",shf,stock,['common'],63.958702134291585,2.64,100,1,false,0,USD,16.556291390728475,1087509,7350968.688741722,USD,,-18.2137,-2048.406076166025,0.0,Finance,Finance,america,
9,NYSE:MLNK,MLNK,"MeridianLink, Inc.",project-angel-parent,stock,['common'],62.1005088074039,19.78,100,1,false,0,USD,24.55919395465995,15328399,1526826408.4508817,USD,,-0.3832,28.266566828903038,0.0,Technology services,Technology Services,america,2.0
