,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
0,NASDAQ,NAOV,"NanoVibronix, Inc.",,stock,['common'],19954927.0,USD,7.43,100,1,false,0,USD,-90.37564766839378,98643,,-151.2833,-29.767131066403834,0.0,3.1183120657683348,Health technology,Health Technology,america,
1,AMEX,FLYY,"Spirit Aviation Holdings, Inc.",spirit-aviation,stock,['common'],54345734.49152541,USD,2.1,100,1,false,0,USD,-40.67796610169491,3919860,,-12.9047,-108.45300208377083,0.0,15.48902413291954,Transportation,Transportation,america,
2,NASDAQ,MIMI,Mint Incorporation Limited,mint-incorporation-limited,stock,['common'],141570750.0,USD,5.66,100,1,false,0,USD,-33.175914994096814,2883476,,-0.0082,,0.0,2.7867433991516672,Commercial services,Commercial Services,america,
3,NASDAQ,VTSI,"VirTra, Inc.",virtra,stock,['common'],61375654.77991748,USD,5.45,100,1,false,0,USD,-25.034387895460792,476732,153.08988764044943,0.0356,-94.27928651775672,0.0,5.31733443978219,Technology services,Technology Services,america,1.0
4,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],84354299.51,USD,11.09,100,1,false,0,USD,-22.33893557422969,1212564,,-0.8621,-110.06335282651072,0.0,1.672973270540475,Health services,Health Services,america,
5,NASDAQ,PUBM,"PubMatic, Inc.",pubmatic,stock,['common'],404770590.10785246,USD,8.34,100,1,false,0,USD,-21.097445600756863,3787651,,-0.061,-117.01534170153418,0.0,5.602754714742772,Technology services,Technology Services,america,1.636364
6,NYSE,KODK,Eastman Kodak Company,eastman-kodak,stock,['common'],438630269.53097343,USD,5.43,100,1,false,0,USD,-19.911504424778766,10769258,,-0.1055,-119.24831235176063,0.0,9.728617022910349,Producer manufacturing,Producer Manufacturing,america,
7,NASDAQ,FLNC,"Fluence Energy, Inc.",fluence-energy,stock,['common'],1342947205.0897155,USD,7.37,100,1,false,0,USD,-19.365426695842455,10169438,,-0.2657,-40.80551139374668,0.0,3.2178629424726957,Producer manufacturing,Producer Manufacturing,america,1.904762
8,NASDAQ,DSP,Viant Technology Inc.,viant-technology,stock,['common'],609398524.9133333,USD,9.74,100,1,false,0,USD,-18.833333333333332,1087274,289.8809523809524,0.0336,,0.0,4.130570638701862,Technology services,Technology Services,america,1.0
9,NASDAQ,MENS,Jyong Biotech Ltd.,jyong-biotech-ltd,stock,['common'],2999782362.2399993,USD,40.41,100,1,false,0,USD,-18.462469733656185,317500,,-0.0407,,0.0,1.7544499481677465,Health technology,Health Technology,america,
10,NASDAQ,RPID,"Rapid Micro Biosystems, Inc.",rapid-micro-biosystems,stock,['common'],117468959.28834356,USD,2.68,100,1,false,0,USD,-17.791411042944773,453041,,-1.0017,14.113006945039858,0.0,4.945246988911861,Producer manufacturing,Producer Manufacturing,america,1.0
11,NASDAQ,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],83687094.86049926,USD,2.8,100,1,false,0,USD,-17.76798825256975,659952,8.877615726062142,0.3154,,0.0,1.7112909595517336,Commercial services,Commercial Services,america,
12,NYSE,SMC,Summit Midstream Corporation,summit-midstream,stock,['common'],380190323.9720165,USD,20.26,100,1,false,0,USD,-16.625514403292176,184992,,-22.4585,-463.3414764362331,0.0,3.261840110025743,Industrial services,Industrial Services,america,
13,NYSE,ACVA,ACV Auctions Inc.,acv-auctions,stock,['common'],1910793916.4044948,USD,11.17,100,1,false,0,USD,-16.329588014981272,10436614,,-0.3845,21.112022979072627,0.0,4.205659987236275,Technology services,Technology Services,america,1.142857
14,NASDAQ,SISI,"Shineco, Inc.",,stock,['common'],232358576.44878048,USD,5.16,100,1,false,0,USD,-16.09756097560976,43585,,-64.8322,75.29162741206206,0.0,0.09998844781856522,Process industries,Process Industries,america,
15,NYSE,BBAI,"BigBear.ai, Inc.",bigbear-ai,stock,['common'],1738397246.3060648,USD,5.97,100,1,false,0,USD,-15.79689703808181,239323839,,-1.4386,-74.14356615421865,0.0,3.1112712855376667,Technology services,Technology Services,america,1.333333
16,NASDAQ,XAGE,"Longevity Health Holdings, Inc.",carmell-therapeutics,stock,['common'],8121749.153256706,USD,2.21,100,1,false,0,USD,-15.325670498084287,57810,,-11.5995,-684.1516845444932,0.0,1.427544874691637,Finance,Finance,america,
17,NASDAQ,PLBL,Polibeli Group Ltd,,stock,['common'],115856100.0,USD,9.81,100,1,false,0,USD,-14.621409921671017,109615,,-0.0587,,0.0,,Finance,Finance,america,
18,NASDAQ,KWM,"K Wave Media, Ltd.",k-wave-media-ltd,stock,['common'],189738864.10256413,USD,3.0,100,1,false,0,USD,-14.529914529914526,307794,,-0.3463,-1298.2698961937717,0.0,2.302818276563541,Finance,Finance,america,
19,NASDAQ,BWEN,"Broadwind, Inc.",broadwind,stock,['common'],48323473.385542154,USD,2.13,100,1,false,0,USD,-14.457831325301216,688165,,-0.0979,-128.43450479233226,0.0,2.4768837619450395,Producer manufacturing,Producer Manufacturing,america,1.0
20,AMEX,MPU,Mega Matrix Inc.,mega-matrix,stock,['common'],188911736.5235602,USD,3.28,100,1,false,0,USD,-14.136125654450263,1440221,,,,0.0,1.177766654315644,Technology services,Technology Services,america,
21,NASDAQ,CVV,CVD Equipment Corporation,cvd-equipment,stock,['common'],21746608.217391305,USD,3.16,100,1,false,0,USD,-14.130434782608695,138849,,-0.0104,98.73862947240752,0.0,7.519373967669438,Electronic technology,Electronic Technology,america,
22,NASDAQ,FLGC,Flora Growth Corp.,flora-growth,stock,['common'],10265835.731067957,USD,17.74,100,1,false,0,USD,-13.88349514563108,21694,,-0.8829,38.52955510687182,0.0,1.06079219197486,Health technology,Health Technology,america,1.0
23,NASDAQ,BNC,CEA Industries Inc.,cea-industries,stock,['common'],19826318.800292615,USD,23.565,100,1,false,0,USD,-13.807607900512064,408442,,-4.2148,16.120044578888702,0.0,0.6348469653891659,Producer manufacturing,Producer Manufacturing,america,1.0
24,NASDAQ,MVST,"Microvast Holdings, Inc.",microvast,stock,['common'],852394380.6666667,USD,2.62,100,1,false,0,USD,-13.531353135313523,33997740,,-0.4537,19.270462633451967,0.0,4.56062065373304,Producer manufacturing,Producer Manufacturing,america,1.0
25,NASDAQ,HPK,"HighPeak Energy, Inc.",highpeak-energy,stock,['common'],920922655.0925267,USD,7.305,100,1,false,0,USD,-13.345195729537368,1566787,8.50407450523865,0.859,-27.522780965237935,1.89798339264531,2.794509460352702,Energy minerals,Energy Minerals,america,1.833333
26,NYSE,CE,Celanese Corporation,celanese,stock,['common'],4509771365.1180935,USD,41.22,100,1,false,0,USD,-13.074652045550405,12813092,,-14.8149,-184.25216105550498,1.66596372838465,5.747786705307354,Process industries,Process Industries,america,1.738095
27,NASDAQ,AUUD,Auddia Inc.,auddia,stock,['common'],3041359.6710526315,USD,2.65,100,1,false,0,USD,-12.828947368421057,783369,,-20.9423,84.87819037668233,0.0,0.15774953191803676,Technology services,Technology Services,america,
28,NASDAQ,BTM,Bitcoin Depot Inc.,bitcoin-depot,stock,['common'],271398326.24896264,USD,4.22,100,1,false,0,USD,-12.448132780082997,2640457,,-0.3004,66.63705019991116,0.0,3.252758545544227,Finance,Finance,america,1.0
29,NASDAQ,TATT,TAT Technologies Ltd.,tat-technologies,stock,['common'],408227959.77340156,USD,32.48,100,1,false,0,USD,-12.381980037766397,507593,26.48185894822666,1.2265,69.195751138088,0.0,3.190861538210088,Electronic technology,Electronic Technology,america,1.0
30,NASDAQ,VERU,Veru Inc.,,stock,['common'],46467101.5097493,USD,3.17,100,1,false,0,USD,-11.699164345403897,653741,,-1.9468,43.40204087565776,0.0,3.148245113916513,Health technology,Health Technology,america,1.166667
31,NASDAQ,SNCR,"Synchronoss Technologies, Inc.",synchronoss-technologies,stock,['common'],77151416.44927536,USD,6.71,100,1,false,0,USD,-11.594202898550723,150109,,-2.0966,4.256096447164123,0.0,2.405619934839011,Technology services,Technology Services,america,1.0
32,NYSE,CNNE,"Cannae Holdings, Inc.",cannae,stock,['common'],1118788627.8239682,USD,17.81,100,1,false,0,USD,-11.437095972153163,2480926,,-6.7005,1.1215229100568216,2.38687220288414,4.619099998957367,Consumer services,Consumer Services,america,1.0
33,NASDAQ,IMCC,IM Cannabis Corp.,im-cannabis,stock,['common'],8022174.880546074,USD,2.6,100,1,false,0,USD,-11.26279863481229,74502,,-1.4667,69.69440254561233,0.0,1.374821693181251,Process industries,Process Industries,america,
