,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,XPON,Expion360 Inc.,expion360,stock,['common'],217.0984455958549,2.02,100,1,false,0,USD,54.19847328244274,390908163,6816425.236641221,USD,,-25.455,78.66374974854155,0.0,221.34181013051648,,Producer manufacturing,Producer Manufacturing,america
1,NASDAQ,TPIC,"TPI Composites, Inc.",tpi-composites,stock,['common'],187.54193548387096,0.2963,10000,1,false,0,USD,89.93589743589745,664777355,14438778.773076924,USD,,-4.2537,7.988319273199219,0.0,53.37661121179384,2.333333,Producer manufacturing,Producer Manufacturing,america
2,NASDAQ,ONMD,OneMedNet Corp,onemednet,stock,['common'],146.3211382113821,0.9585,10000,1,false,0,USD,99.6875,319727813,15127406.0,USD,,-0.1368,93.55810887172726,0.0,3750.1429551652345,,Technology services,Technology Services,america
3,NASDAQ,SCNX,"Scienture Holdings, Inc.",scienture,stock,['common'],103.6697247706422,1.21,100,1,false,0,USD,-45.495495495495504,2923016,19518728.018018015,USD,,-2.96,89.02134162172587,0.0,17.718351881026432,,Commercial services,Commercial Services,america
4,NASDAQ,BSLK,"Bolt Projects Holdings, Inc.",bolt-projects,stock,['common'],92.99191374663073,8.5,100,1,false,0,USD,-40.642458100558656,5469119,17525121.333798878,USD,,-2.5118,70.94707134264829,0.0,0.20477997048791305,,Finance,Finance,america
5,NASDAQ,VEEA,Veea Inc.,veea,stock,['common'],91.26356446569802,0.6,10000,1,false,0,USD,-1.039089559623944,14553476,24528672.934190992,USD,,-1.1002,-151.0152863335615,0.0,41.17196946250455,,Technology services,Technology Services,america
6,NASDAQ,JEM,707 Cayman Holdings Limited,707-cayman-limited,stock,['common'],82.33618233618236,4.11,100,1,false,0,USD,-18.45238095238095,770326,,USD,,,,,1.3014683980922803,,Distribution services,Distribution Services,america
7,NASDAQ,SNOA,"Sonoma Pharmaceuticals, Inc.",sonoma-pharmaceuticals,stock,['common'],80.07908738949504,5.27,100,1,false,0,USD,72.67365661861072,69899629,8660006.929882044,USD,,-2.4594,75.51520219819604,0.0,137.57911628469068,1.0,Health technology,Health Technology,america
8,NASDAQ,AERT,"Aeries Technology, Inc.",aeries-technology,stock,['common'],78.94736842105263,1.1,100,1,false,0,USD,57.14285714285716,132108370,51867888.28571429,USD,,-0.4996,-150.536111673073,0.0,4889.968611425737,,Technology services,Technology Services,america
9,NASDAQ,XOS,"Xos, Inc.",xos,stock,['common'],78.34394904458597,3.78,100,1,false,0,USD,8.309455587392538,23666809,31418196.756446987,USD,,-5.8461,24.676278458505667,0.0,775.035989835082,1.333333,Consumer durables,Consumer Durables,america
