,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ,XPON,Expion360 Inc.,expion360,stock,['common'],3.66,2.35,179.38931297709922,116915397,58.015267175572504,2.02,54.19847328244274,390908163,6816425.236641221,408.7351775405819,100,false,0,USD,USD
1,NASDAQ,WULF,TeraWulf Inc.,terawulf,stock,['common'],7.2,1.7400000000000002,31.868131868131872,42351014,0.7326007326007333,8.71,59.52380952380955,289269909,3413678628.1428576,46.61160601005231,100,false,0,USD,USD
2,NASDAQ,AERT,"Aeries Technology, Inc.",aeries-technology,stock,['common'],1.05,0.3500000000000001,50.000000000000014,41698683,15.714285714285731,1.1,57.14285714285716,132108370,51867888.28571429,-58.22178987051726,100,false,0,USD,USD
3,NASDAQ,SNOA,"Sonoma Pharmaceuticals, Inc.",sonoma-pharmaceuticals,stock,['common'],5.63,2.578,84.46920052424639,31123389,44.4954128440367,5.27,72.67365661861072,69899629,8660006.929882044,-13.574038170543544,100,false,0,USD,USD
4,NASDAQ,ONMD,OneMedNet Corp,onemednet,stock,['common'],0.521,0.041000000000000036,8.541666666666675,23796489,2.0833333333333353,0.9585,99.6875,319727813,15127406.0,-32.73067271951652,10000,false,0,USD,USD
5,NASDAQ,AIRE,reAlpha Tech Corp.,realpha-tech,stock,['common'],0.4197,0.06130000000000002,17.10379464285715,20917530,-2.9017857142857197,0.3645,1.702008928571427,48838038,30521428.857421875,-50.29214218435929,10000,false,0,USD,USD
6,NASDAQ,IVP,"Inspire Veterinary Partners, Inc.",inspire-veterinary-partners,stock,['common'],1.11,0.29600000000000015,36.36363636363639,17988415,53.56265356265357,1.14,40.04914004914005,48296960,6321339.213759214,-99.20752603766464,100,false,0,USD,USD
7,NASDAQ,BMRA,"Biomerica, Inc.",biomerica,stock,['common'],4.2,1.1700000000000004,38.61386138613862,17187260,3.960396039603964,3.51,15.841584158415841,39636459,8935624.782178218,57.41225272741443,100,false,0,USD,USD
8,NASDAQ,TLRY,"Tilray Brands, Inc.",tilray,stock,['common'],1.15,-0.10000000000000009,-8.000000000000007,14249535,-0.8000000000000007,1.18,-5.600000000000005,155112633,1298625578.416,-54.09397875260694,100,false,0,USD,USD
9,NASDAQ,MKDW,MKDWELL Tech Inc.,mkdwell-tech,stock,['common'],0.1991,-0.013399999999999995,-6.305882352941175,12328833,0.0,0.2045,-3.7647058823529442,15907702,29370155.27058823,15.988496190828167,10000,false,0,USD,USD
10,NASDAQ,CHSN,Chanson International Holding,chanson-international,stock,['common'],0.054,-0.0225,-29.411764705882355,11377814,-0.7843137254902004,0.0522,-31.764705882352935,57575878,2260244.9882352944,-80.20764182957576,10000,false,0,USD,USD
11,NASDAQ,OPEN,Opendoor Technologies Inc,opendoor,stock,['common'],2.27,-0.1499999999999999,-6.198347107438013,10405219,-0.41322314049585895,3.04,25.619834710743806,322309346,2237300725.289256,15.280294862682991,100,false,0,USD,USD
12,NASDAQ,GIBO,GIBO Holdings Limited,gibo-limited,stock,['common'],0.0391,-0.000899999999999998,-2.249999999999995,9502725,6.250000000000005,0.0386,-3.499999999999996,55008099,7716312.850799999,,10000,false,0,USD,USD
13,NASDAQ,ADD,"Color Star Technology Co., Ltd.",color-star-technology-co-ltd,stock,['common'],0.1476,-0.030399999999999983,-17.07865168539325,6576280,6.741573033707872,0.1436,-19.325842696629206,51703188,4233982.267415731,-73.65556465922991,10000,false,0,USD,USD
14,AMEX,BMNR,"BitMine Immersion Technologies, Inc.",bitmine-immersion-technologies,stock,['common'],58.4897,-3.1403000000000034,-5.095408080480291,5979225,3.4561090378062556,60.45,-1.9146519552166148,70141208,6789223408.091838,16489.8611604323,100,false,0,USD,USD
15,NASDAQ,IXHL,Incannex Healthcare Inc.,incannex-healthcare,stock,['common'],0.3888,-0.011200000000000043,-2.800000000000011,5341807,4.549999999999999,0.395,-1.250000000000001,37814908,37009670.162499994,18.08595226722207,10000,false,0,USD,USD
16,NASDAQ,XOS,"Xos, Inc.",xos,stock,['common'],4.1211,0.6311,18.083094555873924,4639849,12.034383954154725,3.78,8.309455587392538,23666809,31418196.756446987,-37.14783673809201,100,false,0,USD,USD
17,NASDAQ,ATNF,180 Life Sciences Corp.,180-life-sciences,stock,['common'],7.99,-2.709999999999999,-25.32710280373831,4466126,14.766355140186919,7.61,-28.878504672897186,26736156,1172184061.9457943,30859.878909978852,100,false,0,USD,USD
18,NASDAQ,RAYA,Erayak Power Solution Group Inc.,erayak-power-solution,stock,['common'],0.058,-0.0023999999999999994,-3.9735099337748334,4415089,10.264900662251662,0.0564,-6.622516556291397,26870979,9892518.913907284,3.490188080010489,10000,false,0,USD,USD
19,NASDAQ,WLGS,"Wang & Lee Group, Inc.",wang-and-lee-group,stock,['common'],0.0591,-0.005099999999999993,-7.943925233644851,4114620,-0.15576323987537227,0.0581,-9.501557632398747,22387547,1844842.6766000004,,10000,false,0,USD,USD
20,NASDAQ,SBET,"SharpLink Gaming, Inc.",sharplink-gaming,stock,['common'],21.8,-1.7199999999999989,-7.312925170068023,4090747,0.46768707482992955,23.49,-0.1275510204081681,46456036,3703828904.885204,105844.42666763466,100,false,0,USD,USD
21,AMEX,SOAR,"Volato Group, Inc.",volato,stock,['common'],1.53,-0.050000000000000044,-3.1645569620253196,3969729,-4.430379746835446,1.78,12.65822784810126,8360895,3698699.1772151897,-79.41820949473848,100,false,0,USD,USD
