,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ,LNZA,"LanzaTech Global, Inc.",,stock,['common'],21.6,-2179.4,-99.01862789641072,622,-99.0872330758746,19.72,-99.10404361653795,82495,5105549287.0,-66.33416324092305,100,1,false,0,USD,USD
1,NASDAQ,VKTX,"Viking Therapeutics, Inc.",viking-therapeutics,stock,['common'],25.98,-16.110000000000003,-38.27512473271562,7952516,3.349964362081246,24.36,-42.1240199572345,64526561,2739159273.4055595,-35.28927857432003,100,1,false,0,USD,USD
2,NASDAQ,LMFA,"LM Funding America, Inc.",lm-funding,stock,['common'],1.6,-0.8700000000000001,-35.22267206477733,981573,2.0242914979757014,1.41,-42.91497975708503,4867337,7285110.93522267,34.42588803050199,100,1,false,0,USD,USD
3,AMEX,VTAK,"Catheter Precision, Inc.",,stock,['common'],3.41,-0.8399999999999999,-19.76470588235294,300599,-10.58823529411765,3.16,-25.647058823529406,1211081,3879734.24,71.99668314902138,100,1,false,0,USD,USD
4,NASDAQ,ALXO,ALX Oncology Holdings Inc.,alx-oncology,stock,['common'],0.8,-0.17089999999999994,-17.602224739932016,261349,-22.75208569368627,0.8896,-8.373673910804412,2798700,47639086.97332372,-72.80862396546829,10000,1,false,0,USD,USD
5,NASDAQ,SNGX,"Soligenix, Inc.",soligenix,stock,['common'],4.09,-0.8700000000000001,-17.540322580645164,599551,-12.09677419354838,3.7,-25.40322580645161,4296743,15856608.104838712,49.9848684194907,100,1,false,0,USD,USD
6,NASDAQ,PPCB,"Propanc Biopharma, Inc.",propanc-biopharma,stock,['common'],4.89,-0.96,-16.41025641025641,239373,-12.820512820512823,3.67,-37.26495726495726,2432082,42615235.73675214,,100,1,false,0,USD,USD
7,AMEX,PHGE,BiomX Inc.,biomx,stock,['common'],0.4527,-0.06930000000000003,-13.275862068965521,233185,0.0,0.548,4.980842911877399,1116188,14540571.111111112,23.72393795829596,10000,1,false,0,USD,USD
8,NASDAQ,BTAI,"BioXcel Therapeutics, Inc.",bioxcel-therapeutics,stock,['common'],4.94,-0.7299999999999995,-12.874779541446198,731157,-7.760141093474418,4.92,-13.227513227513226,7107216,71619179.1957672,-38.203676547708454,100,1,false,0,USD,USD
9,NASDAQ,CLAR,Clarus Corporation,black-diamond,stock,['common'],3.0501,-0.4399000000000002,-12.604584527220636,100,-12.604584527220636,3.49,0.0,76134,134022369.0,-29.74806299981448,100,1,false,0,USD,USD
