,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NYSE,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,stock,['common'],344091000000.0,USD,733080.0,100,1,false,0,USD,0.03624246417315503,198,1054517001007.7013,16.74913627013236,43768.2271,-7.203717980527366,0.0,0.5352798053527981,1.714286,Finance,Finance,america
1,NASDAQ,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],96892000000.0,USD,221.95,100,1,false,0,USD,-0.8310620615700879,32140459,2367077216854.9478,33.871016969844945,6.5528,56.99465727497067,0.0,0.8641715450770502,1.137681,Retail trade,Retail Trade,america
2,NASDAQ,GOOG,Alphabet Inc.,alphabet,stock,['common'],95148000000.0,USD,200.62,100,1,false,0,USD,0.21479594385334275,11766851,2420488209016.8354,21.368695744794163,9.3885,34.66972674460303,0.404615615165593,0.674269700568433,1.242647,Technology services,Technology Services,america
3,NASDAQ,MSFT,Microsoft Corporation,microsoft,stock,['common'],94565000000.0,USD,504.24,100,1,false,0,USD,-0.2926520604286993,18443029,3748099886976.6646,36.963406052076,13.6416,15.596003762361141,0.640670726884442,0.8843050678238816,1.1,Technology services,Technology Services,america
4,NASDAQ,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,stock,['common'],86717000000.0,USD,62.47,100,1,false,0,USD,0.024017292450565317,2660649,27814604566.877274,32.76341322704148,1.9067,20.853140647778407,0.428308382035065,0.6267752139868134,1.4,Finance,Finance,america
5,NYSE,SCHW,Charles Schwab Corporation (The),schwab,stock,['common'],58600000000.0,USD,95.82,100,1,false,0,USD,0.32457334310542146,5162809,173934311302.45334,25.797593086180434,3.7143,54.33165745626793,1.08889121557952,0.6178895639821804,1.363636,Finance,Finance,america
6,NYSE,AXP,American Express Company,american-express,stock,['common'],57937000000.0,USD,308.17,100,1,false,0,USD,-0.07457846952009123,1848803,214450032800.6357,21.636289597843184,14.2432,6.257646742860547,0.985732814526589,0.7919603814837153,1.716667,Finance,Finance,america
7,NASDAQ,AAPL,Apple Inc.,apple,stock,['common'],55372000000.0,USD,224.9,100,1,false,0,USD,-0.49112871111897055,30620569,3337603550813.6045,34.1886838344836,6.5782,0.15682333774874735,0.446882881288439,0.495051404846362,1.522222,Electronic technology,Electronic Technology,america
8,NASDAQ,NVDA,NVIDIA Corporation,nvidia,stock,['common'],53691000000.0,USD,174.98,100,1,false,0,USD,-0.23945267958951877,140040179,4269511851430.607,56.363343533580284,3.1045,81.60280783854927,0.0228050171037628,0.8990020476953708,1.203125,Electronic technology,Electronic Technology,america
9,NASDAQ,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],47232000000.0,USD,739.1,100,1,false,0,USD,-1.1528379607339652,8876244,1856591338828.1987,26.766572024568315,27.6128,40.97873535343221,0.274166800406569,0.8103658167003459,1.235714,Technology services,Technology Services,america
10,NYSE,F,Ford Motor Company,ford,stock,['common'],37504000000.0,USD,11.33,100,1,false,0,USD,-1.3925152306353363,51779301,45091817170.40383,14.457062651524819,0.7837,-17.574673958771562,6.52741514360313,0.9042365563382238,2.019231,Consumer durables,Consumer Durables,america
11,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],37341000000.0,USD,320.11,100,1,false,0,USD,-1.1701142327878864,55744185,1032498451805.5906,185.37757702107947,1.7268,-51.50391776897801,0.0,0.7226153747790103,1.794118,Consumer durables,Consumer Durables,america
12,NYSE,GM,General Motors Company,general-motors,stock,['common'],32282000000.0,USD,56.51,100,1,false,0,USD,-0.4579883741412808,8192288,53801918031.8508,8.958181414666624,6.3082,-29.071937754390703,0.898361810815572,1.3044453639003137,1.566667,Consumer durables,Consumer Durables,america
13,NYSE,BA,Boeing Company (The),boeing,stock,['common'],22967000000.0,USD,224.46,100,1,false,0,USD,-0.5141388174807183,6101015,169727157000.7635,,-16.5217,-193.5677606211908,0.0,0.9780735870875238,1.303571,Electronic technology,Electronic Technology,america
14,NYSE,V,Visa Inc.,visa,stock,['common'],22915000000.0,USD,343.69,100,1,false,0,USD,-0.0697816416131216,6073857,662153436855.481,33.92760189929023,10.1301,10.047581801590416,0.665833163725177,1.057675898742684,1.317073,Finance,Finance,america
15,NYSE,BN,Brookfield Corporation,brookfield,stock,['common'],22903853638.249996,USD,64.1,100,1,false,0,USD,0.07806401249023756,2511584,105706073776.44278,145.20840577707452,0.44143449999999995,-22.726337157888167,0.533754078074024,0.9271168759048198,1.363636,Finance,Finance,america
16,NASDAQ,INTC,Intel Corporation,intel,stock,['common'],21206000000.0,USD,23.5,100,1,false,0,USD,-0.1699235344095121,97718294,102859504000.1912,,-4.7628,-2174.3902439024387,0.531011045029737,0.5513374050364194,2.046512,Electronic technology,Electronic Technology,america
17,NYSE,SYF,Synchrony Financial,synchrony,stock,['common'],19457000000.0,USD,71.23,100,1,false,0,USD,-0.48896339759708624,2161388,26501660403.013832,8.655236521379882,8.2297,14.264887605348282,1.46689019279128,0.7297997489817981,1.44,Finance,Finance,america
18,NYSE,JNJ,Johnson & Johnson,johnson-and-johnson,stock,['common'],18880000000.0,USD,178.93,100,1,false,0,USD,0.05032431223440137,8859552,430924064681.60834,19.136898395721925,9.35,35.14880823323648,2.80697830462984,1.0627576320442667,1.6,Health technology,Health Technology,america
19,NYSE,KKR,KKR & Co. Inc.,kkr,stock,['common'],18056173000.0,USD,137.84,100,1,false,0,USD,-0.18104134984430442,2589990,122808369751.28915,66.10397084212546,2.0852,-50.75222597482345,0.514157433557825,0.9155087174617137,1.270833,Finance,Finance,america
20,NASDAQ,BKNG,Booking Holdings Inc. Common Stock,booking,stock,['common'],17595000000.0,USD,5710.74,100,1,false,0,USD,1.25820510729142,156373,185084421935.83804,39.71903985577806,143.7784,0.6681645464596085,0.650734603122817,0.8764349616689665,1.397436,Consumer services,Consumer Services,america
21,NYSE,CRM,"Salesforce, Inc.",salesforce,stock,['common'],17408000000.0,USD,245.83,100,1,false,0,USD,-0.2515723270440155,5646624,235013477090.33838,38.45119109067305,6.3933,14.98534199025197,0.662203286670724,0.5698561544702652,1.232759,Technology services,Technology Services,america
22,NASDAQ,CSCO,"Cisco Systems, Inc.",cisco,stock,['common'],16110000000.0,USD,67.02,100,1,false,0,USD,-0.13410818059902163,12456622,265399087877.5673,25.63690612806977,2.6142,3.0348415576225745,2.4139472507823,0.4481093936680441,1.574074,Electronic technology,Electronic Technology,america
23,NYSE,XOM,Exxon Mobil Corporation,exxon,stock,['common'],15711000000.0,USD,109.23,100,1,false,0,USD,0.6449829540219321,12194897,465674472252.65375,15.48614852411603,7.0534,-15.554438139022588,3.61190454252281,0.7888170936730183,1.534483,Energy minerals,Energy Minerals,america
24,NASDAQ,UAL,"United Airlines Holdings, Inc.",united-airlines,stock,['common'],15624000000.0,USD,97.185,100,1,false,0,USD,-2.659254807692309,3740726,31461901641.709885,9.7369027461903,9.9811,13.213175744651885,0.0,0.7168717556829423,1.229167,Transportation,Transportation,america
25,NYSE,IBM,International Business Machines Corporation,international-bus-mach,stock,['common'],15530000000.0,USD,239.4,100,1,false,0,USD,-1.2987012987013011,2991902,223005705527.94803,38.830857068708234,6.1652,-32.04743849748701,2.75819418676562,0.5346042225861136,1.717391,Technology services,Technology Services,america
26,NYSE,APO,"Apollo Global Management, Inc. (New)",apollo,stock,['common'],15176000000.0,USD,134.01,100,1,false,0,USD,-0.9827102113196486,2628138,76657300468.16927,25.28490566037736,5.3,-43.09091494776176,1.40202453081129,0.785343533896193,1.25,Finance,Finance,america
27,NASDAQ,COST,Costco Wholesale Corporation,costco-wholesale,stock,['common'],14850000000.0,USD,969.68,100,1,false,0,USD,-2.5025890585881436,2145619,430030859360.1974,55.00388557685217,17.6293,9.270714533644068,0.48060971072926,1.0867416364534974,1.551282,Retail trade,Retail Trade,america
28,NYSE,AJG,Arthur J. Gallagher & Co.,gallagher,stock,['common'],14326100000.0,USD,305.38,100,1,false,0,USD,0.9053661115516816,1154636,78299433926.28345,46.030477970547004,6.6343,29.124739679635635,0.826063970393867,0.7407356560075952,1.55,Finance,Finance,america
29,NYSE,KO,Coca-Cola Company (The),coca-cola,stock,['common'],14297000000.0,USD,70.66,100,1,false,0,USD,-0.05657708628006542,8840427,304097131043.21216,25.036317896750877,2.8223,14.708990408063723,2.81471004243281,0.7019230563861618,1.259259,Consumer non-durables,Consumer Non-Durables,america
30,NASDAQ,SNPS,"Synopsys, Inc.",synopsys,stock,['common'],14267199000.0,USD,598.17,100,1,false,0,USD,-0.49240596875884357,1145662,110687555119.74585,43.076579625815555,13.8862,51.07325086763057,0.0,1.0724655806418455,1.14,Technology services,Technology Services,america
31,NYSE,CVS,CVS Health Corporation,cvs-health,stock,['common'],14216000000.0,USD,71.43,100,1,false,0,USD,0.8613386049138855,7071358,90596555505.43422,19.929133418894036,3.5842,-36.21738975691354,3.7560011296244,1.16540661567396,1.293103,Retail trade,Retail Trade,america
32,NYSE,RJF,"Raymond James Financial, Inc.",raymond-james,stock,['common'],13696000000.0,USD,162.03,100,1,false,0,USD,-0.2708192281651983,754234,32306185253.585648,15.903224223389117,10.1885,14.989165274705421,1.2002215793685,0.76793370695191,1.733333,Finance,Finance,america
33,NYSE,BMY,Bristol-Myers Squibb Company,bristol-myers-squibb,stock,['common'],13617000000.0,USD,48.43,100,1,false,0,USD,0.3522585992540442,8782199,98576157842.1896,19.541621272646573,2.4783,,5.09738914214671,0.8936510644377318,1.833333,Health technology,Health Technology,america
34,NYSE,PFE,"Pfizer, Inc.",pfizer,stock,['common'],13249000000.0,USD,25.74,100,1,false,0,USD,1.4184397163120546,37068082,146346059701.78723,13.682755687858814,1.8812,,6.73758865248227,1.0244334011178349,1.730769,Health technology,Health Technology,america
35,NASDAQ,MRX,Marex Group plc,canadian-imperial-bank-of-commerce,stock,['common'],12589500000.0828,USD,36.1,100,1,false,0,USD,1.0638297872340499,1062015,2571464627.712766,13.275963518681966,2.7192,,0.783874580067189,0.8636871993605878,1.0625,Technology services,Technology Services,america
