,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
0,NASDAQ,APM,Aptorum Group Limited,aptorum-limited,stock,['common'],4731.924551418155,4.25,100,1,false,0,USD,234.64566929133858,397815263,9072572.0,USD,,-0.7847,13.91113549094899,0.0,,Health technology,Health Technology,america
1,NASDAQ,EEIQ,EpicQuest Education Group International Limited,epicquest-education-international-limited,stock,['common'],1723.8411516965539,0.5428,10000,1,false,0,USD,2.2029749576350843,13016035,7117830.120128036,USD,,,,0.0,,Commercial services,Commercial Services,america
2,NASDAQ,PTIX,"Protagenic Therapeutics, Inc.",protagenic-therapeutics,stock,['common'],1615.9762788757907,4.26,100,1,false,0,USD,86.8421052631579,158865012,3699443.789473684,USD,,-13.1415,31.655069117234063,0.0,,Health technology,Health Technology,america
3,NASDAQ,EDUC,Educational Development Corporation,educational-development,stock,['common'],249.3098720669976,1.05,100,1,false,0,USD,0.0,3018619,9012361.000000002,USD,,-0.601,-3656.2130177514796,0.0,,Consumer services,Consumer Services,america
4,NASDAQ,AEMD,"Aethlon Medical, Inc.",aethlon-medical,stock,['common'],196.53316986164862,2.19,100,1,false,0,USD,97.29729729729728,146417526,2884569.0,USD,,-6.5807,78.72389266084707,0.0,2.0,Health technology,Health Technology,america
5,NASDAQ,EVOK,"Evoke Pharma, Inc.",evoke-pharma,stock,['common'],173.9485040806175,6.34,100,1,false,0,USD,8.747855917667234,7553679,9880668.154373927,USD,,-2.868,82.32989131774158,0.0,1.0,Health technology,Health Technology,america
6,NYSE,CATO,Cato Corporation (The),cato-the,stock,['common'],129.83838069556802,3.81,100,1,false,0,USD,34.1549295774648,2253423,75197999.51408452,USD,,-0.9744,-17.80921291258616,23.943661971831,,Retail trade,Retail Trade,america
7,NASDAQ,MODV,ModivCare Inc.,modivcare,stock,['common'],85.45949660953353,0.56,10000,1,false,0,USD,-69.72972972972973,20566691,26554567.0,USD,,-16.0922,-2.378104641693795,0.0,2.0,Transportation,Transportation,america
8,AMEX,AZTR,Azitra Inc,,stock,['common'],79.39388976295282,0.95,10000,1,false,0,USD,5.661216772327878,12252015,21107589.0,USD,,-5.9796,66.78830292426893,0.0,,Health technology,Health Technology,america
9,NASDAQ,RENT,"Rent the Runway, Inc.",rent-the-runway,stock,['common'],78.56716505038565,5.61,100,1,false,0,USD,25.08361204013378,2153416,22562792.080267556,USD,,-19.135,36.37932352950954,0.0,,Retail trade,Retail Trade,america
10,NASDAQ,STRR,"Star Equity Holdings, Inc.",star-equity,stock,['common'],56.0662843275067,2.13,100,1,false,0,USD,0.0,2245550,6890503.0,USD,,-1.3714,50.90570630772535,0.0,1.5,Health technology,Health Technology,america
11,AMEX,GRO,Brazil Potash Corp.,brazil-potash,stock,['common'],45.51046287758523,1.92,100,1,false,0,USD,27.152317880794698,25976239,73754380.8,USD,,-2.4671,,0.0,,Non-energy minerals,Non-Energy Minerals,america
12,NASDAQ,ATMC,AlphaTime Acquisition Corp,alphatime-acquisition,stock,['common'],35.68319042062002,11.9,100,1,false,0,USD,0.5067567567567609,70328,41286455.0,USD,123.3160621761658,0.0965,-60.33703247020139,0.0,,Finance,Finance,america
13,AMEX,MSN,Emerson Radio Corporation,emerson-radio,stock,['common'],34.89411863554737,0.4421,10000,1,false,0,USD,33.96969696969696,4900537,9302956.234848483,USD,,-0.2333,-1433.142857142857,0.0,,Distribution services,Distribution Services,america
14,NASDAQ,ISPC,iSpecimen Inc.,ispecimen,stock,['common'],31.16794943270029,0.8111,10000,1,false,0,USD,-29.77489177489177,14910133,4492963.098181818,USD,,-9.5064,55.77760410851849,0.0,,Commercial services,Commercial Services,america
15,NASDAQ,DTSQ,DT Cloud Star Acquisition Corporation,dt-cloud-star-acquisition,stock,['common'],26.25237901479255,10.45,100,1,false,0,USD,-0.010525207872864952,200009,93014405.00000001,USD,37.08303761533002,0.2818,,0.0,,Finance,Finance,america
16,NASDAQ,STAK,STAK Inc.,stak,stock,['common'],23.81587720386554,1.73,100,1,false,0,USD,20.979020979020984,2668238,,USD,,,,,,Industrial services,Industrial Services,america
17,NYSE,RAC,Rithm Acquisition Corp.,rithm-acquisition,stock,['common'],22.172647543181036,10.295,100,1,false,0,USD,0.14591439688716507,636845,214552607.00389105,USD,,,,0.0,,Finance,Finance,america
18,NASDAQ,MLEC,Moolec Science SA,moolec-science-sa,stock,['common'],22.15472978373328,1.9,100,1,false,0,USD,-20.502092050209214,803860,7624099.790794978,USD,,-2.1491,-31.556072477962772,0.0,,Commercial services,Commercial Services,america
19,NYSE,SLQT,"SelectQuote, Inc.",selectquote,stock,['common'],19.713674909785247,2.59,100,1,false,0,USD,41.53005464480873,23176169,447348093.40437156,USD,,-0.1062,65.53067185978577,0.0,1.5,Finance,Finance,america
20,NASDAQ,IMRX,Immuneering Corporation,immuneering,stock,['common'],16.246449686209225,4.63,100,1,false,0,USD,34.985422740524776,6459681,166613805.84839648,USD,,-1.8951,0.6604812077370628,0.0,1.0,Health technology,Health Technology,america
21,NASDAQ,CNSP,"CNS Pharmaceuticals, Inc.",cns-pharmaceuticals,stock,['common'],16.131157870617887,6.07,100,1,false,0,USD,-12.912482065997125,844821,3487700.9483500724,USD,,-203.9549,99.73629866955461,0.0,1.0,Health technology,Health Technology,america
22,NASDAQ,GWAV,"Greenwave Technology Solutions, Inc.",greenwave-technology-solutions,stock,['common'],15.674216003584858,0.0902,10000,1,false,0,USD,-45.564272782136385,23271369,5517489.362703682,USD,,-250.0247,83.47233926322473,0.0,,Commercial services,Commercial Services,america
23,NASDAQ,WFCF,"Where Food Comes From, Inc.",where-food-comes-from,stock,['common'],12.824119373776908,11.2,100,1,false,0,USD,0.44843049327353307,10485,57883565.775784746,USD,29.008029008029006,0.3861,-0.8983572895277215,0.0,,Commercial services,Commercial Services,america
24,NASDAQ,GIPR,Generation Income Properties Inc.,generation-income-properties,stock,['common'],12.49067632623819,0.9445,10000,1,false,0,USD,5.577911915940091,373099,5141091.082047842,USD,,-1.9147,26.52160564893698,0.0,2.0,Finance,Finance,america
25,NASDAQ,HBNC,"Horizon Bancorp, Inc.",horizon-bancorp,stock,['common'],12.056456176977349,15.14,100,1,false,0,USD,-5.72851805728517,1917290,667642016.5143213,USD,12.865397688647178,1.1768,171.96672059163396,3.98505603985056,1.5,Finance,Finance,america
26,NASDAQ,OACC,Oaktree Acquisition Corp. III Life Sciences,oaktree-acquisition-iii-life-sciences,stock,['common'],11.631895188615315,10.4,100,1,false,0,USD,0.09624639076034443,514944,255660787.19999996,USD,52.60495700556399,0.1977,,0.0,,Finance,Finance,america
27,AMEX,LUD,Luda Technology Group Limited,luda-technology-limited,stock,['common'],11.600632457575703,6.52,100,1,false,0,USD,49.885057471264375,189291,,USD,,,,,,Non-energy minerals,Non-Energy Minerals,america
28,NASDAQ,RAAQ,Real Asset Acquisition Corp.,real-asset-acquisition,stock,['common'],10.875175979760074,10.11,100,1,false,0,USD,-0.09881422924900977,422543,232530000.0,USD,,,,0.0,,Finance,Finance,america
29,NASDAQ,JLHL,Julong Holding Limited,julong-limited,stock,['common'],9.646938427426232,4.3101,100,1,false,0,USD,16.80804357841676,113120,91637605.0332,USD,,,,0.0,,Commercial services,Commercial Services,america
30,NASDAQ,CSIQ,Canadian Solar Inc.,canadian-solar,stock,['common'],7.748232071260955,10.385,100,1,false,0,USD,-18.54901960784314,6229295,695506756.3835293,USD,,-0.1977,-106.97256119066094,0.0,1.8,Electronic technology,Electronic Technology,america
31,NASDAQ,HTCR,"Heartcore Enterprises, Inc.",heartcore-enterprises,stock,['common'],7.739443210256748,0.619,10000,1,false,0,USD,20.615744349181607,776544,14429366.629999997,USD,,-0.0128,96.8395061728395,3.8971161340608,,Technology services,Technology Services,america
32,AMEX,PLAG,Planet Green Holdings Corp.,planet-green,stock,['common'],7.6406853517773925,1.72,100,1,false,0,USD,2.380952380952383,492365,12526267.547619049,USD,,-0.8373,40.49886299033542,0.0,,Consumer non-durables,Consumer Non-Durables,america
33,NASDAQ,CGTL,Creative Global Technology Holdings Limited,creative-global-technology-limited,stock,['common'],7.395552643309733,0.71,10000,1,false,0,USD,17.744610281923713,1959340,15220625.0,USD,,,,0.0,,Distribution services,Distribution Services,america
34,NASDAQ,TWIN,"Twin Disc, Incorporated",twin-disc-incorporated,stock,['common'],7.105998112256112,11.21,100,1,false,0,USD,30.046403712297003,329751,158595280.04408357,USD,38.469457789979415,0.2914,-66.73136202762873,1.85614849187935,1.0,Producer manufacturing,Producer Manufacturing,america
35,NASDAQ,EXOZ,eXoZymes Inc.,exozymes,stock,['common'],6.950303897032535,9.31,100,1,false,0,USD,-4.854368932038831,7776,78085297.5,USD,,-0.9879,,0.0,,Process industries,Process Industries,america
36,NASDAQ,CBRL,"Cracker Barrel Old Country Store, Inc.",cracker-barrel-old-country-store,stock,['common'],6.492292992484763,54.8,100,1,false,0,USD,-7.150118603863106,4727778,1220228902.7109454,USD,21.2691635940229,2.5765,-4.701139221778369,1.69434090138936,2.055556,Consumer services,Consumer Services,america
37,NASDAQ,VSME,VS Media Holdings Limited,vs-media-limited,stock,['common'],6.424906710420401,1.29,100,1,false,0,USD,18.89400921658987,249828,63937158.138248846,USD,,-0.1839,-125.0917992656059,0.0,,Commercial services,Commercial Services,america
