,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ,ALLR,"Allarity Therapeutics, Inc.",allarity-therapeutics,stock,['common'],1.98,1.0387,110.34739190481248,93272821,5.173695952406243,1.43,51.91756082014235,387016045,20906078.000000004,61.74993897297597,100,false,0,USD,USD
1,NASDAQ,SATS,EchoStar Corporation,echostar,stock,['common'],54.01,24.13,80.75635876840695,5223855,4.685408299866139,50.87,70.24765729585006,46579050,14636134726.0,66.56315855154266,100,false,0,USD,USD
2,NASDAQ,IVVD,"Invivyd, Inc.",adagio,stock,['common'],0.9434,0.38370000000000004,68.55458281222084,64159253,91.17384313024837,1.03,84.0271574057531,186776820,200802845.0,-36.00060854205154,100,false,0,USD,USD
3,NASDAQ,PFSA,"Profusa, Inc.",profusa,stock,['common'],0.6583,0.1684,34.374362114717286,51186814,26.55644008981425,0.4303,-12.16574811185956,100000705,14109055.000000002,-73.59659153175595,10000,false,0,USD,USD
4,NYSE,PACK,Ranpak Holdings Corp,ranpak,stock,['common'],6.1,1.2699999999999996,26.293995859213243,1490212,2.8985507246376745,5.57,15.320910973084889,9697834,469893887.0,-36.11120875443115,100,false,0,USD,USD
5,NASDAQ,IXHL,Incannex Healthcare Inc.,incannex-healthcare,stock,['common'],0.9233,0.18279999999999996,24.68602295746117,63060811,1.2829169480080962,0.7098,-4.145847400405139,495713348,66504971.0,27.170025259704133,10000,false,0,USD,USD
6,NASDAQ,BENF,Beneficient,beneficient,stock,['common'],0.4815,0.09249999999999997,23.778920308483283,29421630,51.64524421593829,0.4164,7.043701799485856,106000755,3611002.0000000005,-72.98041792614009,10000,false,0,USD,USD
7,AMEX,SER,"Serina Therapeutics, Inc.",agex-therapeutics,stock,['common'],6.87,1.2300000000000004,21.808510638297882,566414,39.36170212765958,5.49,-2.659574468085097,3825426,56275723.0,-25.457523142734082,100,false,0,USD,USD
8,NASDAQ,AIFF,"Firefly Neuroscience, Inc.",firefly-neuroscience,stock,['common'],3.03,0.43999999999999995,16.988416988416986,19060525,0.0,2.71,4.633204633204638,83452208,36294807.0,-19.915744234615744,100,false,0,USD,USD
9,NASDAQ,HKPD,Hong Kong Pharma Digital Technology Holdings Limited,hong-kong-pharma-digital-technology-limited,stock,['common'],1.22,0.16999999999999993,16.190476190476183,4920224,11.428571428571416,1.42,35.23809523809523,150583673,,,100,false,0,USD,USD
10,NYSE,OPAD,Offerpad Solutions Inc.,offerpad-solutions,stock,['common'],4.18,0.5399999999999996,14.835164835164823,6578120,14.010989010989016,3.73,2.4725274725274686,48384865,114076683.0,-53.30805075164936,100,false,0,USD,USD
11,NASDAQ,SMMT,Summit Therapeutics Inc.,summit-therapeutics,stock,['common'],29.99,3.719999999999999,14.160639512752185,321229,-1.218119527978684,26.98,2.702702702702706,5817167,20042003078.0,120.03547192513841,100,false,0,USD,USD
12,NASDAQ,ZSPC,"zSpace, Inc.",zspace,stock,['common'],2.5,0.31000000000000005,14.155251141552514,1342,3.1963470319634633,2.23,1.8264840182648419,48511,53187210.99999999,,100,false,0,USD,USD
13,NASDAQ,OTLK,"Outlook Therapeutics, Inc.",outlook-therapeutics,stock,['common'],3.37,0.3999999999999999,13.468013468013465,295261,7.744107744107744,2.7,-9.090909090909092,7771398,119932730.0,-27.354942040249554,100,false,0,USD,USD
14,AMEX,BURU,"Nuburu, Inc.",nuburu-inc,stock,['common'],0.1897,0.021699999999999997,12.916666666666664,7818265,5.17857142857142,0.1758,4.642857142857144,22364001,14055722.999999998,125.46271413526934,10000,false,0,USD,USD
15,NASDAQ,HOLO,MicroCloud Hologram Inc.,microcloud-hologram,stock,['common'],5.14,0.5800000000000001,12.719298245614038,2900598,0.8771929824561412,4.51,-1.0964912280701715,9538038,21321850.000000004,-51.02970967180082,100,false,0,USD,USD
16,NASDAQ,PTHL,Pheton Holdings Ltd,pheton-ltd,stock,['common'],0.6324,0.06679999999999997,11.810466760961805,1390773,2.5459688826025406,0.6689,18.263790664780775,22757404,9531825.0,,10000,false,0,USD,USD
17,NASDAQ,DOMO,"Domo, Inc.",domo,stock,['common'],15.44,1.5999999999999996,11.560693641618494,29203,4.696531791907517,16.11,16.40173410404624,1769323,648186968.0,86.86950477612719,100,false,0,USD,USD
18,NASDAQ,HSCS,HeartSciences Inc.,heart-test-laboratories,stock,['common'],3.6999,0.3498999999999999,10.444776119402981,881,0.2985074626865608,3.45,2.9850746268656745,41597,7742652.000000001,180.91656511056348,100,false,0,USD,USD
19,NASDAQ,IBIO,"iBio, Inc.",ibio,stock,['common'],0.9331,0.08730000000000004,10.321589028139046,10235085,22.9605107590447,0.7871,-6.940174982265308,18160665,15470156.0,-32.1822380112571,10000,false,0,USD,USD
20,NASDAQ,MRKR,"Marker Therapeutics, Inc.",marker-therapeutics,stock,['common'],1.39,0.1299999999999999,10.31746031746031,23651532,2.3809523809523827,1.0,-20.634920634920636,45300160,12938910.0,-51.39512430703256,10000,false,0,USD,USD
21,AMEX,CLDI,"Calidi Biotherapeutics, Inc.",,stock,['common'],1.71,0.1499999999999999,9.61538461538461,134621,9.61538461538461,1.7,8.974358974358967,1363503,8328657.0,-5.261728974980393,100,false,0,USD,USD
22,NASDAQ,TLRY,"Tilray Brands, Inc.",tilray,stock,['common'],1.52,0.13000000000000012,9.35251798561152,13399079,7.1942446043165535,1.45,4.316546762589932,144111594,1595768772.0,-22.884507731316646,100,false,0,USD,USD
23,NASDAQ,RMTI,"Rockwell Medical, Inc.",rockwell-medical,stock,['common'],1.42,0.11999999999999988,9.230769230769221,861219,11.538461538461531,1.24,-4.615384615384619,4747380,42693635.99999999,-59.96379518615137,100,false,0,USD,USD
24,NASDAQ,OCC,Optical Cable Corporation,optical-cable-corporation,stock,['common'],6.8177,0.5577000000000005,8.908945686900967,3265,1.9169329073482444,6.13,-2.076677316293928,129837,50439141.0,94.60804613659745,100,false,0,USD,USD
25,NASDAQ,SGRP,"SPAR Group, Inc.",spar-group,stock,['common'],1.23,0.10000000000000009,8.849557522123902,2455443,1.7699115044247804,1.29,14.159292035398243,3849210,30553329.0,-35.27580500877977,100,false,0,USD,USD
26,AMEX,UUU,"Universal Safety Products, Inc.",universal-security-instruments,stock,['common'],3.5688,0.28880000000000017,8.804878048780493,1348,8.536585365853666,3.31,0.914634146341471,21289,7655656.0,161.53847688852395,100,false,0,USD,USD
27,NYSE,BKKT,"Bakkt Holdings, Inc.",bakkt,stock,['common'],9.1,0.7199999999999989,8.591885441527431,115419,5.0119331742243425,8.89,6.085918854415271,1401889,191584796.00000003,6.83206500870706,100,false,0,USD,USD
28,NASDAQ,CTRN,"Citi Trends, Inc.",citi-trends,stock,['common'],36.92,2.8900000000000006,8.492506611813107,4053,5.524537173082561,33.95,-0.23508668821627474,191715,281583044.0,98.77430141852763,100,false,0,USD,USD
