,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
0,NASDAQ,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,stock,['common'],6225.550354391877,13.55,100,1,false,0,USD,10.342019543973953,306014,6700324576.0,USD,,-0.3142,13.204419889502766,0.0,1.549168144890213,Health technology,Health Technology,america,
1,NASDAQ,DFDV,DeFi Development Corp.,janover,stock,['common'],2597.4978987334334,16.0,100,1,false,0,USD,1.9757807520713864,3114673,336720795.0,USD,25.67806130637137,0.6231,,0.0,0.7424314692413987,Finance,Finance,america,1.0
2,NASDAQ,QUBT,Quantum Computing Inc.,quantum-computing,stock,['common'],2107.2463768115945,15.23,100,1,false,0,USD,0.13149243918474407,13995599,2435020971.0,USD,,-0.6801,-107.5373817516021,0.0,0.892429289993559,Technology services,Technology Services,america,1.5
3,NASDAQ,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,stock,['common'],1510.526315789474,15.3,100,1,false,0,USD,5.736005528680028,39223572,4959727027.0,USD,,-0.7606,-63.745963401507,0.0,0.9626683195107456,Electronic technology,Electronic Technology,america,1.0625
4,NASDAQ,ANPA,Rich Sparkle Holdings Limited,rich-sparkle-limited,stock,['common'],1368.888888888889,52.88,100,1,false,0,USD,26.810551558752994,27816,661000000.0,USD,,,,0.0,0.9733633805971194,Commercial services,Commercial Services,america,
5,NYSE,QBTS,D-Wave Quantum Inc.,d-wave-quantum,stock,['common'],1343.9252336448596,15.45,100,1,false,0,USD,2.862849533954725,23347204,5284183651.999999,USD,,-1.0546,-143.95095998149432,0.0,0.6434157300259453,Electronic technology,Electronic Technology,america,1.0
6,NASDAQ,DGNX,Diginex Limited,diginex-limited,stock,['common'],1343.661971830986,61.5,100,1,false,0,USD,5.9066643705872215,47889,1414116424.4999998,USD,,-0.1859,-7.023603914795634,0.0,1.6522279149200434,Technology services,Technology Services,america,
7,NASDAQ,TDUP,ThredUp Inc.,thredup,stock,['common'],1283.3333333333335,11.62,100,1,false,0,USD,-3.8079470198675565,4421733,1431129447.0,USD,,-0.4965,14.924605894448254,0.0,2.322412921589093,Retail trade,Retail Trade,america,1.2
8,NASDAQ,BSGM,"BioSig Technologies, Inc.",biosig-technologies,stock,['common'],1279.5811518324608,5.27,100,1,false,0,USD,-0.5660377358490614,699164,185877886.99999997,USD,,-1.0553,45.54133553514295,0.0,0.6242224160419136,Health technology,Health Technology,america,1.0
9,NASDAQ,SUPX,Super X AI Technology Limited,junee-limited,stock,['common'],1249.123720284574,62.2,100,1,false,0,USD,6.8728522336769755,561307,1378964856.6,USD,,,,0.0,2.240423635555914,Commercial services,Commercial Services,america,
10,NASDAQ,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,stock,['common'],1151.1718750000002,32.03,100,1,false,0,USD,5.29257067718606,45211,197623843.0,USD,,-3.846,-66.94882146112775,0.0,1.0498389632343894,Health technology,Health Technology,america,1.0
11,NASDAQ,ATGL,Alpha Technology Group Limited,alpha-technology-limited,stock,['common'],1150.0,28.25,100,1,false,0,USD,3.215199123127508,9699,431165619.99999994,USD,,,,0.0,0.4868120561146385,Technology services,Technology Services,america,
12,NASDAQ,PRCH,"Porch Group, Inc.",porch,stock,['common'],1066.9117647058822,15.87,100,1,false,0,USD,-3.1726662599145903,3094546,1654747278.0,USD,34.20258620689655,0.464,,0.0,1.8999660780205527,Finance,Finance,america,1.166667
13,NYSE,OKLO,Oklo Inc.,altc,stock,['common'],954.0425531914896,74.31,100,1,false,0,USD,4.382638010956601,24359941,10968838689.000002,USD,,-0.4035,92.0000793052857,0.0,1.80568044278416,Producer manufacturing,Producer Manufacturing,america,1.5
14,NASDAQ,TOI,"The Oncology Institute, Inc.",the-oncology-institute,stock,['common'],851.731660758113,3.49,100,1,false,0,USD,0.5763688760806921,1293758,326331643.0,USD,,-0.6768,14.491471888818703,0.0,0.6627640288283536,Health services,Health Services,america,1.0
15,NASDAQ,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],839.3939393939394,2.79,100,1,false,0,USD,1.4545454545454557,506038,83388211.99999999,USD,8.845909955611921,0.3154,,0.0,0.23497649436382012,Commercial services,Commercial Services,america,
16,NASDAQ,NNNN,Anbio Biotechnology,anbio-biotechnology,stock,['common'],837.6425855513309,49.32,100,1,false,0,USD,0.3867290860981024,51313,7096713989.999999,USD,813.8613861386139,0.0606,5.208333333333338,0.0,0.5573671130267034,Health technology,Health Technology,america,
17,NASDAQ,MVST,"Microvast Holdings, Inc.",microvast,stock,['common'],743.9342227738134,2.72,100,1,false,0,USD,-0.3663003663003585,7831994,884963232.0,USD,,-0.4537,19.270462633451967,0.0,0.8730946383810244,Producer manufacturing,Producer Manufacturing,america,1.0
18,NASDAQ,AGFY,Agrify Corporation,agrify,stock,['common'],686.856571714143,31.49,100,1,false,0,USD,3.2550422496417695,16384,63060866.0,USD,,-30.0795,-140.0866816723337,0.0,0.8129443928966601,Producer manufacturing,Producer Manufacturing,america,
19,AMEX,TGEN,Tecogen Inc.,tecogen,stock,['common'],685.8490566037735,8.33,100,1,false,0,USD,-3.4762456546929394,554219,247324359.0,USD,,-0.1695,15.292353823088451,0.0,0.5205382003896295,Producer manufacturing,Producer Manufacturing,america,1.0
20,AMEX,UAMY,United States Antimony Corporation,united-states-antimony,stock,['common'],648.4848484848485,4.94,100,1,false,0,USD,2.4896265560165993,7422006,596373208.0,USD,,-0.009,81.81818181818181,0.0,1.0260337395619088,Non-energy minerals,Non-Energy Minerals,america,1.0
