,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,OCTO,Eightco Holdings Inc.,eightco,stock,['common'],4414879.0,USD,45.08,100,1,false,0,USD,3008.965517241379,204837758,,-3.997,49.65551119116295,0.0,8043.704369816537,,Technology services,Technology Services,america
1,NASDAQ,SNTG,Sentage Holdings Inc.,sentage,stock,['common'],5666757.0,USD,6.81,100,1,false,0,USD,237.12871287128706,79964856,,-0.787,-5.213903743315513,0.0,94.42843034785128,,Finance,Finance,america
2,NASDAQ,RAPP,"Rapport Therapeutics, Inc.",rapport-therapeutics,stock,['common'],524110133.0,USD,31.47,100,1,false,0,USD,119.15041782729804,13876755,,-2.4622,,0.0,46.033065308263104,1.0,Health technology,Health Technology,america
3,NASDAQ,TAIT,Taitron Components Incorporated,taitron-components-incorporated,stock,['common'],21134341.306791574,USD,3.51,100,1,false,0,USD,64.40281030444966,21673996,,-0.1111,-144.36900958466455,8.66510538641686,1430.2491751352777,,Distribution services,Distribution Services,america
4,NASDAQ,FORD,"Forward Industries, Inc.",forward-industries,stock,['common'],44603978.35524305,USD,25.96,100,1,false,0,USD,58.728217670437175,2790225,,-3.3184,-5.282527998984742,0.0,39.121135346811045,,Consumer durables,Consumer Durables,america
5,NASDAQ,HOUR,"Hour Loop, Inc.",hour-loop,stock,['common'],200477926.20000002,USD,5.7,100,1,false,0,USD,56.16438356164385,65541623,259.0909090909091,0.022,-40.05449591280655,0.0,2.978096249178386,,Retail trade,Retail Trade,america
6,NASDAQ,ATMV,AlphaVest Acquisition Corp,alphavest-acquisition,stock,['common'],71044993.95637861,USD,18.43,100,1,false,0,USD,51.68724279835391,23943,90.47619047619048,0.2037,-32.280585106382986,0.0,0.6677897367386157,,Finance,Finance,america
7,NASDAQ,XAIR,"Beyond Air, Inc.",beyond-air,stock,['common'],17298765.43438914,USD,3.31,100,1,false,0,USD,49.773755656108605,169337859,,-11.949,63.40723954186318,0.0,1647.5423152475003,1.0,Health technology,Health Technology,america
8,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],130940270.23,USD,11.27,100,1,false,0,USD,48.094612352168184,2549230,,-0.0063,-250.00000000000006,0.0,0.9936123389827708,,Commercial services,Commercial Services,america
9,NYSE,PL,Planet Labs PBC,planet-labs,stock,['common'],2931142896.376723,USD,9.66,100,1,false,0,USD,47.93261868300153,64238873,,-0.3034,35.92397043294614,0.0,8.793778752338302,1.111111,Technology services,Technology Services,america
