,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
0,NASDAQ,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,stock,['common'],8190.350179015359,13.57,100,1,false,0,USD,1.0424422933730497,222875,6710214411.396129,USD,,-0.0083,12.63157894736842,0.0,0.6021438617934296,Health technology,Health Technology,america,
1,NASDAQ,DFDV,DeFi Development Corp.,janover,stock,['common'],3364.6868440664816,17.07,100,1,false,0,USD,13.8,3265632,359238997.81,USD,27.395281656234957,0.6231,,0.0,1.0233701276248126,Finance,Finance,america,1.0
2,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],3344.259567387687,207.0,100,1,false,0,USD,1736.7346938775509,14818756,193915485.60999998,USD,,-0.0063,-250.00000000000006,0.0,5.608995585667851,Commercial services,Commercial Services,america,
3,NASDAQ,EPSM,Epsium Enterprise Limited,epsium-enterprise-limited,stock,['common'],2980.357142857143,138.0,100,1,false,0,USD,411.4899925871016,665308,362558157.32,USD,,,,0.0,1.5327837372518185,Distribution services,Distribution Services,america,
4,NASDAQ,OCTO,Eightco Holdings Inc.,eightco,stock,['common'],2789.928057553957,40.17,100,1,false,0,USD,-10.891748003549239,19337277,122307372.25421475,USD,,-3.997,49.65551119116295,0.0,0.9430294364004371,Technology services,Technology Services,america,
5,NASDAQ,QUBT,Quantum Computing Inc.,quantum-computing,stock,['common'],2579.5168762409,16.195,100,1,false,0,USD,6.266404199475066,17597226,2589308287.979002,USD,,-0.6801,-107.5373817516021,0.0,1.1730977456393434,Technology services,Technology Services,america,1.5
6,NASDAQ,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,stock,['common'],1966.374452097683,16.5,100,1,false,0,USD,8.910891089108908,45080744,5348725024.554455,USD,,-0.7606,-63.745963401507,0.0,1.1169339928572704,Electronic technology,Electronic Technology,america,1.0625
7,NASDAQ,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],1816.2580158430778,5.08,100,1,false,0,USD,1.8036072144288546,208548,151832295.238477,USD,16.106531388712746,0.3154,,0.0,0.2695796456173207,Commercial services,Commercial Services,america,
8,NASDAQ,ATGL,Alpha Technology Group Limited,alpha-technology-limited,stock,['common'],1805.5900621118012,30.68,100,1,false,0,USD,-1.0641728474685646,10013,468253498.02128345,USD,,,,0.0,1.1002933969209807,Technology services,Technology Services,america,
9,NASDAQ,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,stock,['common'],1772.0833333333335,44.93,100,1,false,0,USD,8.31726133076182,31450,277216343.0940212,USD,,-3.846,-66.94882146112775,0.0,0.8011024392231983,Health technology,Health Technology,america,1.0
10,NYSE,QBTS,D-Wave Quantum Inc.,d-wave-quantum,stock,['common'],1752.701617528966,16.15,100,1,false,0,USD,4.734111543450056,34180615,5523596598.625162,USD,,-1.0546,-143.95095998149432,0.0,1.2711253191952825,Electronic technology,Electronic Technology,america,1.0
11,NASDAQ,DGNX,Diginex Limited,diginex-limited,stock,['common'],1402.3474178403756,8.0,100,1,false,0,USD,-0.8366904245429287,314357,1484017431.75,USD,,-0.1859,-7.023603914795634,0.0,1.4225071044581605,Technology services,Technology Services,america,
12,NASDAQ,PRCH,"Porch Group, Inc.",porch,stock,['common'],1388.888888888889,18.76,100,1,false,0,USD,-1.4705882352941049,1689376,1956084477.294118,USD,40.43103448275862,0.464,,0.0,0.711029164310425,Finance,Finance,america,1.125
13,NASDAQ,TDUP,ThredUp Inc.,thredup,stock,['common'],1328.7616511318245,10.73,100,1,false,0,USD,-3.5938903863432197,2007476,1321516288.289308,USD,,-0.4965,14.924605894448254,0.0,0.7397851402419073,Retail trade,Retail Trade,america,1.2
14,NYSE,OKLO,Oklo Inc.,altc,stock,['common'],1211.5248226950355,73.97,100,1,false,0,USD,4.595588235294118,12162847,10918652112.939339,USD,,-0.4035,92.0000793052857,0.0,0.9556180579373303,Producer manufacturing,Producer Manufacturing,america,1.5
15,NASDAQ,SUPX,Super X AI Technology Limited,junee-limited,stock,['common'],1131.307929969104,59.78,100,1,false,0,USD,12.771175249952845,289437,1325313812.34,USD,,,,0.0,0.8480487410400777,Commercial services,Commercial Services,america,
16,NASDAQ,ANPA,Rich Sparkle Holdings Limited,rich-sparkle-limited,stock,['common'],1094.4444444444443,43.0,100,1,false,0,USD,14.664832029354201,93078,537500000.0,USD,,,,0.0,1.704310122259596,Commercial services,Commercial Services,america,
17,NASDAQ,MVST,"Microvast Holdings, Inc.",microvast,stock,['common'],1029.4212218649518,2.81,100,1,false,0,USD,-2.43055555555555,3454200,914245130.2777778,USD,,-0.4537,19.270462633451967,0.0,0.7912177804149158,Producer manufacturing,Producer Manufacturing,america,1.0
18,NYSE,AMPX,"Amprius Technologies, Inc.",amprius-technologies,stock,['common'],1017.1428571428572,7.82,100,1,false,0,USD,1.6905071521456423,7795123,978093045.8179452,USD,,-0.4109,4.241435562805871,0.0,1.3989408345480927,Producer manufacturing,Producer Manufacturing,america,1.0
19,NASDAQ,TOI,"The Oncology Institute, Inc.",the-oncology-institute,stock,['common'],976.6666666666667,3.23,100,1,false,0,USD,-0.6153846153846159,1115019,302020401.63384616,USD,,-0.6768,14.491471888818703,0.0,0.6712031602234568,Health services,Health Services,america,1.0
20,NASDAQ,RYM,"RYTHM, Inc.",agrify,stock,['common'],943.870112657389,39.38,100,1,false,0,USD,7.390237251158988,25405,78861124.01690756,USD,,-30.0795,-140.0866816723337,0.0,0.466766003340211,Producer manufacturing,Producer Manufacturing,america,
21,NASDAQ,BSGM,"BioSig Technologies, Inc.",biosig-technologies,stock,['common'],817.6155391828534,4.11,100,1,false,0,USD,5.927835051546403,707288,144963593.90721652,USD,,-1.0553,45.54133553514295,0.0,1.008818935822737,Health technology,Health Technology,america,1.0
22,NASDAQ,NNNN,Anbio Biotechnology,anbio-biotechnology,stock,['common'],773.9543726235742,45.97,100,1,false,0,USD,0.32736796158882275,36863,6614678467.009821,USD,758.5808580858086,0.0606,5.208333333333338,0.0,0.7395689342126117,Health technology,Health Technology,america,
23,NASDAQ,FORD,"Forward Industries, Inc.",forward-industries,stock,['common'],703.6061026352288,28.97,100,1,false,0,USD,11.59476117103235,686686,49775702.7218798,USD,,-3.3184,-5.282527998984742,0.0,2.0094149167935442,Consumer durables,Consumer Durables,america,
24,NASDAQ,RKLB,Rocket Lab Corporation,rocket-lab,stock,['common'],697.1186440677966,47.03,100,1,false,0,USD,-1.4665828619316903,13243629,22687897260.549133,USD,,-0.4575,-26.3463131731566,0.0,0.5646098811381478,Electronic technology,Electronic Technology,america,1.40625
25,AMEX,TGEN,Tecogen Inc.,tecogen,stock,['common'],673.6921335464974,6.63,100,1,false,0,USD,0.30257186081693754,1105093,196850006.00605142,USD,,-0.1695,15.292353823088451,0.0,1.738396628455048,Producer manufacturing,Producer Manufacturing,america,1.0
26,AMEX,CTM,"Castellum, Inc.",castellum,stock,['common'],586.1575178997613,1.15,100,1,false,0,USD,1.7699115044247804,1472172,106950674.73451328,USD,,-0.0908,73.6735285590026,0.0,0.6406704668666933,Process industries,Process Industries,america,1.0
27,NASDAQ,ONDS,Ondas Holdings Inc.,ondas,stock,['common'],581.25,5.45,100,1,false,0,USD,-10.066006600660057,91792578,1523699436.2871292,USD,,-0.5204,28.13147355337661,0.0,2.0418615098533857,Electronic technology,Electronic Technology,america,1.357143
28,AMEX,AREN,"The Arena Group Holdings, Inc.",the-arena,stock,['common'],575.2808988764045,6.01,100,1,false,0,USD,1.8644067796610073,175601,285269171.7610169,USD,2.298103395533802,2.6152,,0.0,0.8364541405673185,Technology services,Technology Services,america,1.0
29,AMEX,UAMY,United States Antimony Corporation,united-states-antimony,stock,['common'],558.8705077010839,4.62,100,1,false,0,USD,7.1925754060324945,5158585,592874379.187935,USD,,-0.009,81.81818181818181,0.0,0.9747411017108243,Non-energy minerals,Non-Energy Minerals,america,1.0
30,NASDAQ,APP,Applovin Corporation,applovin,stock,['common'],549.8661078123181,558.17,100,1,false,0,USD,2.034586136297162,8503502,188800952527.5411,USD,82.92157532720276,6.7313,185.22457627118644,0.0,1.3086208647471134,Technology services,Technology Services,america,1.310345
31,NASDAQ,MFI,mF International Limited,mf-international-limited,stock,['common'],546.0416666666667,31.01,100,1,false,0,USD,-2.2999369880277154,24724,51366793.59000001,USD,,-0.1956,,0.0,1.108610067348824,Technology services,Technology Services,america,
32,NASDAQ,ALMU,"Aeluma, Inc.",aeluma,stock,['common'],541.9753086419753,18.2,100,1,false,0,USD,2.824858757062147,397306,289038126.88135594,USD,,-0.2675,,0.0,1.8052438064669736,Commercial services,Commercial Services,america,1.0
33,NYSE,IONQ,"IonQ, Inc.",ionq,stock,['common'],533.093525179856,44.0,100,1,false,0,USD,7.290904657400639,17694875,13098025221.263107,USD,,-2.0174,-154.69006438580985,0.0,1.360379258119023,Electronic technology,Electronic Technology,america,1.222222
34,NASDAQ,DAVE,Dave Inc.,dave,stock,['common'],528.7203242617255,217.16,100,1,false,0,USD,11.250000000000004,533442,2931382947.4500003,USD,57.35566002852464,3.7862,82.39714808748434,0.0,1.3607367296525419,Finance,Finance,america,1.0
35,NASDAQ,LTBR,Lightbridge Corporation,lightbridge,stock,['common'],517.0940170940171,14.44,100,1,false,0,USD,0.9084556254367505,1067291,374205876.4696017,USD,,-0.8371,-19.143182465129513,0.0,1.0563722309833332,Process industries,Process Industries,america,
36,NASDAQ,HOOD,"Robinhood Markets, Inc.",robinhood,stock,['common'],516.8662155127538,118.5,100,1,false,0,USD,1.0402455661664383,51535362,105307999567.23653,USD,60.188947582283625,1.9688,503.55610055180875,0.0,1.282794615610039,Finance,Finance,america,1.444444
37,AMEX,LEU,Centrus Energy Corp.,centrus,stock,['common'],505.27777777777777,217.9,100,1,false,0,USD,6.458862614813367,1521734,3967488573.1903453,USD,35.80054218352091,6.0865,8.575047272467796,0.0,1.2558500698554604,Non-energy minerals,Non-Energy Minerals,america,1.392857
38,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],502.98507462686564,8.08,100,1,false,0,USD,77.19298245614037,15873454,3039047337.6,USD,,-0.8621,-110.06335282651072,0.0,6.081415693772065,Health services,Health Services,america,1.0
39,NASDAQ,IMRX,Immuneering Corporation,immuneering,stock,['common'],502.5641025641026,7.05,100,1,false,0,USD,18.487394957983184,1667122,256048082.6722689,USD,,-1.8951,0.6604812077370628,0.0,1.9078440296576513,Health technology,Health Technology,america,1.0
40,NASDAQ,CRDO,Credo Technology Group Holding Ltd,credo-technology-ltd,stock,['common'],501.1698265429609,149.03,100,1,false,0,USD,1.0167423574866128,4276962,25781532595.162746,USD,219.1939991175173,0.6799,,0.0,0.6789671676214651,Technology services,Technology Services,america,1.083333
41,NASDAQ,AEVA,"Aeva Technologies, Inc.",aeva,stock,['common'],498.77551020408157,14.67,100,1,false,0,USD,6.073752711496745,1814457,826327321.8741866,USD,,-5.4969,-74.39403553299492,0.0,0.6853380932819184,Electronic technology,Electronic Technology,america,1.2
42,NASDAQ,AZ,A2Z Cust2Mate Solutions Corp.,a2z-smart-technologies,stock,['common'],489.8181818181818,8.11,100,1,false,0,USD,2.788339670468945,397393,292113257.4144487,USD,,-1.307,-173.08817384036772,0.0,1.4939732493625877,Finance,Finance,america,1.0
43,NASDAQ,GRRR,Gorilla Technology Group Inc.,gorilla-technology-group-inc,stock,['common'],477.5,18.48,100,1,false,0,USD,1.5384615384615448,751101,418923430.7076923,USD,,,,0.0,0.8076274944376894,Technology services,Technology Services,america,1.0
44,AMEX,UMAC,"Unusual Machines, Inc.",unusual-machines,stock,['common'],471.59763313609477,9.66,100,1,false,0,USD,-3.592814371257479,1548072,294133073.01796407,USD,,-3.9272,-468.91206721715196,0.0,0.6303260686339417,Electronic technology,Electronic Technology,america,1.0
45,NASDAQ,ROMA,Roma Green Finance Limited,roma-green-finance-limited,stock,['common'],452.772808586762,3.09,100,1,false,0,USD,22.13438735177866,148702,184054523.62055337,USD,,-0.2761,-285.61452513966486,0.0,4.945704412493472,Commercial services,Commercial Services,america,
46,NYSE,BE,Bloom Energy Corporation,bloom-energy,stock,['common'],449.4505494505495,55.0,100,1,false,0,USD,2.919161676646711,10151180,12869888051.740269,USD,11702.127659574468,0.0047,,0.0,1.0619629929563945,Producer manufacturing,Producer Manufacturing,america,1.645833
47,NASDAQ,LAES,SEALSQ Corp,sealsq,stock,['common'],448.7305487305488,2.68,100,1,false,0,USD,5.928853754940726,4301282,391898366.0395257,USD,,-0.6817,-191.6987590928541,0.0,1.3118058783898132,Electronic technology,Electronic Technology,america,1.0
48,NASDAQ,CDTX,"Cidara Therapeutics, Inc.",cidara-therapeutics,stock,['common'],443.6960276338515,62.96,100,1,false,0,USD,1.303298471440068,830000,1596542949.0574417,USD,,-11.1352,55.31083196211423,0.0,2.3394298499410784,Health technology,Health Technology,america,1.0
49,NASDAQ,AMPG,"Amplitech Group, Inc.",amplitech,stock,['common'],441.7936150483508,4.09,100,1,false,0,USD,7.349081364829391,403902,84146002.53018372,USD,,-0.6211,21.090077499682383,0.0,0.37324803470496454,Electronic technology,Electronic Technology,america,1.0
