,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ,CHEK,Check-Cap Ltd.,check-cap,stock,['common'],3.05,2.3041,308.90199758680785,53863721,194.94570317736964,2.12,184.22040488001073,129597021,4364191.0,-61.06270475272979,100,1,false,0,USD,USD
1,AMEX,ATCH,"AtlasClear Holdings, Inc.",atlasclear-holdings-inc,stock,['common'],0.9165,0.5265,135.0,126740915,53.84615384615383,0.99,153.84615384615384,498060085,6082813.0,5.236758408245095,10000,1,false,0,USD,USD
2,NASDAQ,HSDT,"Helius Medical Technologies, Inc.",helius-medical-technologies,stock,['common'],24.19,16.630000000000003,219.97354497354502,6151003,40.476190476190474,18.27,141.66666666666669,20033910,8144062.0,141.29916569523263,100,1,false,0,USD,USD
3,NASDAQ,BIAF,"bioAffinity Technologies, Inc.",bioaffinity-technologies,stock,['common'],0.315,0.044999999999999984,16.66666666666666,36642613,29.629629629629612,0.3504,29.777777777777764,179141351,10360841.333333334,,10000,1,false,0,USD,USD
4,AMEX,MITQ,"Moving iMage Technologies, Inc.",moving-image-technologies,stock,['common'],1.37,0.17000000000000015,14.16666666666668,807215,27.500000000000007,1.21,0.8333333333333341,2880668,12019751.791666668,24.020091832746182,100,1,false,0,USD,USD
5,NASDAQ,MFI,mF International Limited,mf-international-limited,stock,['common'],57.5,13.490000000000002,30.6521245171552,9136,24.971597364235407,44.4,0.8861622358554887,256294,72900760.59,,100,1,false,0,USD,USD
6,NASDAQ,PSIG,PS International Group Ltd.,ps-international-ltd,stock,['common'],0.5117,0.021599000000000035,4.40705079157154,82551,21.81162658309205,0.5128,4.6314943246392115,207386,13320973.502196485,-43.19072339383471,10000,1,false,0,USD,USD
7,NYSE,CHGG,"Chegg, Inc.",chegg,stock,['common'],1.73,0.18999999999999995,12.337662337662334,620426,20.779220779220783,1.41,-8.441558441558449,10858187,152741059.9285714,-28.887219108295124,100,1,false,0,USD,USD
8,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],76.0,1.7800000000000011,2.3982753974669917,8403,18.552950687146318,71.75,-3.3279439504176755,507685,1277054777.46,,100,1,false,0,USD,USD
9,NYSE,CULP,"Culp, Inc.",culp,stock,['common'],5.58,0.8600000000000003,18.220338983050855,200,18.220338983050855,4.5,-4.661016949152538,22743,56723872.881355934,-13.42878270106703,100,1,false,0,USD,USD
