,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
0,NASDAQ,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,stock,['common'],9317.958359891758,14.35,100,1,false,0,USD,-2.3809523809523787,172571,7095915502.190476,USD,,-0.0083,12.63157894736842,0.0,0.6105455323800966,Health technology,Health Technology,america,
1,NASDAQ,DFDV,DeFi Development Corp.,janover,stock,['common'],3108.2759259886393,17.64,100,1,false,0,USD,0.28425241614554125,2176049,451120105.10517347,USD,28.310062590274434,0.6231,,0.0,0.7952535687113945,Finance,Finance,america,1.0
2,NASDAQ,ATGL,Alpha Technology Group Limited,alpha-technology-limited,stock,['common'],2497.6690741956663,31.65,100,1,false,0,USD,-6.705969049373614,4800,483058107.74060434,USD,,,,0.0,0.6402475623907911,Technology services,Technology Services,america,
3,NASDAQ,QUBT,Quantum Computing Inc.,quantum-computing,stock,['common'],2238.194444444445,16.835,100,1,false,0,USD,-1.0288065843621441,19579049,2691633606.6790123,USD,,-0.6801,-107.5373817516021,0.0,1.171876342964893,Technology services,Technology Services,america,2.0
4,NASDAQ,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,stock,['common'],2220.608842715632,19.21,100,1,false,0,USD,0.6286013619696228,43216464,6227212794.643792,USD,,-0.7606,-63.745963401507,0.0,0.9606125284823414,Electronic technology,Electronic Technology,america,1.0625
5,NASDAQ,DGNX,Diginex Limited,diginex-limited,stock,['common'],1871.8309859154929,10.5,100,1,false,0,USD,11.702127659574463,450755,2120476050.0,USD,,-0.0232,-6.912442396313353,0.0,1.0160890821283917,Technology services,Technology Services,america,
6,NYSE,QBTS,D-Wave Quantum Inc.,d-wave-quantum,stock,['common'],1696.078431372549,18.32,100,1,false,0,USD,3.153153153153146,44351323,6265776501.058558,USD,,-1.0546,-143.95095998149432,0.0,1.3595069909526971,Electronic technology,Electronic Technology,america,1.0
7,NASDAQ,MVST,"Microvast Holdings, Inc.",microvast,stock,['common'],1657.8947368421052,3.34,100,1,false,0,USD,1.8292682926829285,6678155,1086682771.390244,USD,,-0.4537,19.270462633451967,0.0,1.3359319053023504,Producer manufacturing,Producer Manufacturing,america,1.0
8,NASDAQ,STEX,Streamex Corp.,biosig-technologies,stock,['common'],1633.1378299120233,5.91,100,1,false,0,USD,-5.741626794258364,1048358,208451293.29186606,USD,,-1.0553,45.54133553514295,0.0,0.9322421169964484,Health technology,Health Technology,america,
9,NYSE,OKLO,Oklo Inc.,altc,stock,['common'],1385.7142857142856,95.68,100,1,false,0,USD,15.681296094789039,28016706,14123247323.608755,USD,,-0.4035,92.0000793052857,0.0,2.3314329338391855,Producer manufacturing,Producer Manufacturing,america,1.5
10,NASDAQ,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],1367.128027681661,4.24,100,1,false,0,USD,-12.396694214876026,254395,132268824.5123967,USD,13.443246670894103,0.3154,,0.0,0.32888209047977524,Commercial services,Commercial Services,america,
11,NASDAQ,PRCH,"Porch Group, Inc.",porch,stock,['common'],1279.6875,17.66,100,1,false,0,USD,1.26146788990825,2682556,1841388660.5871558,USD,38.060344827586206,0.464,,0.0,1.0821994950056275,Finance,Finance,america,1.125
12,NASDAQ,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,stock,['common'],1279.493670886076,54.49,100,1,false,0,USD,10.70702966273873,43902,336201182.17452264,USD,,-3.846,-66.94882146112775,0.0,1.25604749302625,Health technology,Health Technology,america,1.0
13,NASDAQ,TDUP,ThredUp Inc.,thredup,stock,['common'],1194.3432406519655,10.8,100,1,false,0,USD,3.796251802018274,1652913,1330137502.5468528,USD,,-0.4965,14.924605894448254,0.0,0.740399264184465,Retail trade,Retail Trade,america,1.2
14,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],1107.9124579124577,71.75,100,1,false,0,USD,-3.3279439504176755,507685,1277054777.46,USD,,-0.0063,-250.00000000000006,0.0,0.15759643467032783,Commercial services,Commercial Services,america,
15,NASDAQ,TOI,"The Oncology Institute, Inc.",the-oncology-institute,stock,['common'],1014.2857142857142,3.12,100,1,false,0,USD,2.2950819672131244,1118156,291734872.68196726,USD,,-0.6768,14.491471888818703,0.0,0.6843858704929638,Health services,Health Services,america,1.0
16,NASDAQ,ANPA,Rich Sparkle Holdings Limited,rich-sparkle-limited,stock,['common'],997.2222222222222,39.5,100,1,false,0,USD,-2.493211552703032,10670,493750000.0,USD,,,,0.0,0.10379296659169968,Commercial services,Commercial Services,america,
17,NASDAQ,SUPX,Super X AI Technology Limited,junee-limited,stock,['common'],962.9327902240326,52.19,100,1,false,0,USD,-11.841216216216225,254835,1403575035.6908784,USD,,,,0.0,1.1292408847814037,Commercial services,Commercial Services,america,
18,NASDAQ,RYM,"RYTHM, Inc.",agrify,stock,['common'],938.4215991692628,40.0,100,1,false,0,USD,-6.52021500350549,13729,80102722.13133909,USD,,-30.0795,-140.0866816723337,0.0,0.42007447456268376,Producer manufacturing,Producer Manufacturing,america,
19,NASDAQ,FORD,"Forward Industries, Inc.",forward-industries,stock,['common'],920.9424083769634,39.0,100,1,false,0,USD,8.033240997229912,614215,67009056.73130194,USD,,-3.3184,-5.282527998984742,0.0,0.8900166537147434,Consumer durables,Consumer Durables,america,2.0
20,NYSE,AMPX,"Amprius Technologies, Inc.",amprius-technologies,stock,['common'],873.2558139534882,8.37,100,1,false,0,USD,2.9520295202951834,8758180,1046884763.0922507,USD,,-0.4109,4.241435562805871,0.0,1.2525249306760005,Producer manufacturing,Producer Manufacturing,america,1.0
21,NASDAQ,MFI,mF International Limited,mf-international-limited,stock,['common'],795.3056944668493,44.4,100,1,false,0,USD,0.8861622358554887,256294,72900760.59,USD,,-0.1956,,0.0,5.263996746638296,Technology services,Technology Services,america,
22,NASDAQ,EPSM,Epsium Enterprise Limited,epsium-enterprise-limited,stock,['common'],764.2857142857141,38.72,100,1,false,0,USD,-1.9746835443038002,218545,520320676.47999996,USD,,,,0.0,0.5217473720448262,Distribution services,Distribution Services,america,
23,AMEX,TGEN,Tecogen Inc.,tecogen,stock,['common'],726.771653543307,7.35,100,1,false,0,USD,7.299270072992702,495331,218227374.63503653,USD,,-0.1695,15.292353823088451,0.0,0.7221644390753258,Producer manufacturing,Producer Manufacturing,america,1.0
24,NASDAQ,NNNN,Anbio Biotechnology,anbio-biotechnology,stock,['common'],708.93536121673,42.55,100,1,false,0,USD,-1.4590088003705477,27928,6122570646.716072,USD,702.1452145214521,0.0606,5.208333333333338,0.0,0.699334670502891,Health technology,Health Technology,america,
25,NYSE,IONQ,"IonQ, Inc.",ionq,stock,['common'],698.7837837837837,59.11,100,1,false,0,USD,6.293832044596296,34676108,17596007067.91656,USD,,-2.0174,-154.69006438580985,0.0,1.7924088990312528,Electronic technology,Electronic Technology,america,1.222222
26,NASDAQ,ONDS,Ondas Holdings Inc.,ondas,stock,['common'],686.6831072749691,6.38,100,1,false,0,USD,-2.743902439024386,37225531,2047601870.2378047,USD,,-0.5204,28.13147355337661,0.0,0.7374944605496057,Electronic technology,Electronic Technology,america,1.357143
27,NASDAQ,ORBS,Eightco Holdings Inc.,eightco,stock,['common'],680.5194805194805,12.02,100,1,false,0,USD,-23.047375160051214,3889111,36597822.66453265,USD,,-3.997,49.65551119116295,0.0,0.1600041506911875,Technology services,Technology Services,america,
