,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
0,NASDAQ,EVTV,"Envirotech Vehicles, Inc.",,stock,['common'],9673695.583333334,USD,2.74,100,1,false,0,USD,-32.843137254901954,14802901,,-10.5582,-11.174054964725698,0.0,99.61930674512617,Producer manufacturing,Producer Manufacturing,america,
1,NASDAQ,WLDS,Wearable Devices Ltd.,wearable-devices-ltd,stock,['common'],6780978.479830149,USD,6.59,100,1,false,0,USD,-30.042462845010615,6707108,,-7.8315,53.222713996452065,0.0,0.14677120807016034,Electronic technology,Electronic Technology,america,
2,AMEX,ZONE,CleanCore Solutions Inc.,cleancore-solutions,stock,['common'],36904170.84,USD,2.68,100,1,false,0,USD,-29.473684210526308,3484568,,-0.6712,,0.0,0.7756900952707825,Distribution services,Distribution Services,america,
3,NASDAQ,BNGO,"Bionano Genomics, Inc.",bionano-genomics,stock,['common'],13172085.335051548,USD,2.77,100,1,false,0,USD,-28.60824742268041,2601551,,-44.849,85.08392433572928,0.0,7.024063865754046,Health technology,Health Technology,america,1.0
4,NASDAQ,ASST,Asset Entities Inc.,,stock,['common'],97183736.89999999,USD,6.22,100,1,false,0,USD,-26.737338044758545,16773584,,-0.9338,52.85505124450952,0.0,1.6398989588358237,Commercial services,Commercial Services,america,
5,NASDAQ,GCTK,"GlucoTrack, Inc.",glucotrack,stock,['common'],6997409.873465533,USD,7.78,100,1,false,0,USD,-26.53446647780925,1076285,,-2446.0791,17.383404936570347,0.0,0.13443327422666754,Health technology,Health Technology,america,
6,NASDAQ,FTFT,Future FinTech Group Inc.,future-fintech,stock,['common'],8074802.094339622,USD,2.34,100,1,false,0,USD,-26.41509433962265,1395785,,,,0.0,2.5095574749315745,Finance,Finance,america,
7,NASDAQ,YDES,YD Bio Limited,,stock,['common'],56681336.702726096,USD,17.1,100,1,false,0,USD,-26.006057983556897,231199,,-0.9881,14.605479215279582,0.0,0.9997859445574782,Finance,Finance,america,
8,NASDAQ,ORBS,Eightco Holdings Inc.,eightco,stock,['common'],36597822.66453265,USD,12.02,100,1,false,0,USD,-23.047375160051214,3889111,,-3.997,49.65551119116295,0.0,0.1600041506911875,Technology services,Technology Services,america,
9,NASDAQ,HYPD,"Hyperion DeFi, Inc.",eyenovia,stock,['common'],65830258.9506008,USD,11.56,100,1,false,0,USD,-22.83044058744993,2625378,,-30.6648,52.1305292604341,0.0,2.495164117768095,Health technology,Health Technology,america,
10,NASDAQ,CAMP,CAMP4 Therapeutics Corporation,camp4-therapeutics,stock,['common'],53426839.984615386,USD,2.65,100,1,false,0,USD,-18.461538461538467,549561,,-2.5693,,0.0,0.12720443441684282,Health technology,Health Technology,america,1.0
11,NASDAQ,TIRX,TIAN RUIXIANG Holdings Ltd,,stock,['common'],64309897.47499999,USD,2.63,100,1,false,0,USD,-17.812500000000007,82878,,-0.5844,85.45834577485817,0.0,0.8905319810559678,Finance,Finance,america,
12,NASDAQ,CLSD,"Clearside Biomedical, Inc.",,stock,['common'],20674379.0,USD,3.95,100,1,false,0,USD,-17.57955138236829,263936,,-5.4573,-998.0482897384306,0.0,4.5530400809532825,Health technology,Health Technology,america,1.857143
13,AMEX,BQ,Boqii Holding Limited,boqii-limited,stock,['common'],8590259.1,USD,3.07,100,1,false,0,USD,-16.576086956521745,69777,,-0.3907,59.2256313921937,0.0,1.2454996403282206,Retail trade,Retail Trade,america,
14,NASDAQ,TRON,Tron Inc.,srm-entertainment,stock,['common'],100571370.05,USD,3.005,100,1,false,0,USD,-16.295264623955433,3128605,,-0.199,55.89539007092198,0.0,0.8113664040903216,Consumer durables,Consumer Durables,america,
15,NASDAQ,GALT,Galectin Therapeutics Inc.,galectin-therapeutics,stock,['common'],288271184.9162011,USD,4.5,100,1,false,0,USD,-16.201117318435756,972466,,-0.6437,17.801047120418843,0.0,2.3022979038531517,Health technology,Health Technology,america,1.0
16,NASDAQ,MENS,Jyong Biotech Ltd.,jyong-biotech-ltd,stock,['common'],3846788468.48,USD,51.82,100,1,false,0,USD,-15.739837398373982,407062,,-0.0407,,0.0,1.7184552131974145,Health technology,Health Technology,america,
17,NASDAQ,MBOT,Microbot Medical Inc.,microbot-medical,stock,['common'],155767110.57777777,USD,3.42,100,1,false,0,USD,-15.555555555555554,11598660,,-0.5741,29.38499384993849,0.0,1.361123536384049,Health technology,Health Technology,america,1.0
18,NASDAQ,PPIH,"Perma-Pipe International Holdings, Inc.",perma-pipe-international,stock,['common'],209063450.00612903,USD,26.19,100,1,false,0,USD,-15.51612903225806,944861,16.951456310679614,1.545,-5.063291139240508,0.0,7.678594212332579,Producer manufacturing,Producer Manufacturing,america,
19,NASDAQ,LRHC,La Rosa Holdings Corp.,la-rosa,stock,['common'],9338493.860986548,USD,7.63,100,1,false,0,USD,-14.461883408071749,40407,,-490.0256,-455.33776371499295,0.0,0.7249686918017371,Finance,Finance,america,
20,NASDAQ,SKBL,Skyline Builders Group Holding Limited,skyline-builders-limited,stock,['common'],58436099.99999999,USD,2.07,100,1,false,0,USD,-14.107883817427396,1885997,667.741935483871,0.0031,,0.0,0.5978338410438436,Industrial services,Industrial Services,america,
