,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NYSE,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,stock,['common'],344091000000.0,USD,736469.0,100,1,false,0,USD,-0.5198163074105749,440,1059467668792.4592,16.826566868183704,43768.2271,-7.203717980527366,0.0,1.130524152106886,1.714286,Finance,Finance,america
1,NASDAQ,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],96892000000.0,USD,231.43,100,1,false,0,USD,1.4376506684198997,33241739,2468180543442.9272,35.31772677328775,6.5528,56.99465727497067,0.0,0.8562029075366584,1.133803,Retail trade,Retail Trade,america
2,NASDAQ,GOOG,Alphabet Inc.,alphabet,stock,['common'],95148000000.0,USD,251.76,100,1,false,0,USD,4.300273427790204,29935023,3040754158137.4087,26.81578526921233,9.3885,34.66972674460303,0.335570469798658,1.0467702351449772,1.253521,Technology services,Technology Services,america
3,NASDAQ,MSFT,Microsoft Corporation,microsoft,stock,['common'],94565000000.0,USD,515.36,100,1,false,0,USD,1.070798195724659,17143675,3830756643598.52,37.77855969974197,13.6416,15.596003762361141,0.651108060404001,0.8648282566782449,1.098361,Technology services,Technology Services,america
4,NASDAQ,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,stock,['common'],86717000000.0,USD,62.25,100,1,false,0,USD,-2.276295133437995,4073841,105571994772.75,32.64803062883516,1.9067,20.853140647778407,0.447409733124019,0.7053094003545383,1.4,Finance,Finance,america
5,NYSE,SCHW,Charles Schwab Corporation (The),schwab,stock,['common'],58600000000.0,USD,92.1,100,1,false,0,USD,-1.5394483643361256,9645980,167181693482.28668,24.796058476698164,3.7143,54.33165745626793,1.13320504596964,0.9456518370746542,1.363636,Finance,Finance,america
6,NYSE,AXP,American Express Company,american-express,stock,['common'],57937000000.0,USD,327.26,100,1,false,0,USD,0.5994282376809777,1646327,227734427740.0222,22.97657829701191,14.2432,6.257646742860547,0.934493252589837,0.6308515570814924,1.725806,Finance,Finance,america
7,NASDAQ,NVDA,NVIDIA Corporation,nvidia,stock,['common'],56791000000.0,USD,177.75,100,1,false,0,USD,-0.0393656506579649,147061502,4319325177908.938,50.590579194535366,3.5135,64.96079628151556,0.0224946575188393,0.8039669148371467,1.176923,Electronic technology,Electronic Technology,america
8,NASDAQ,AAPL,Apple Inc.,apple,stock,['common'],55372000000.0,USD,236.7,100,1,false,0,USD,1.1235955056179756,42698949,3512720339700.6743,35.982487610592564,6.5782,0.15682333774874735,0.435767078224463,0.7664177576681177,1.541667,Electronic technology,Electronic Technology,america
9,NASDAQ,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],47232000000.0,USD,764.7,100,1,false,0,USD,1.205680329279108,10533607,1920897717345.7043,27.693678294124467,27.6128,40.97873535343221,0.268002488121865,1.0537869884504378,1.221429,Technology services,Technology Services,america
10,NYSE,F,Ford Motor Company,ford,stock,['common'],37504000000.0,USD,11.68,100,1,false,0,USD,0.0,47942431,46484770415.0,14.903662115605462,0.7837,-17.574673958771562,6.42123287671233,1.0146711876378205,2.020833,Consumer durables,Consumer Durables,america
