,exchange,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,market,sector
0,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],67173700402.44,USD,410.04,100,1,false,0,3.561145628125479,163822311,1.8807997376478618,1322563105703.4026,USD,237.45656706045867,1.7268,-51.50391776897801,0.0,1.77,Consumer durables,america,Consumer Durables
1,NASDAQ,NVDA,NVIDIA Corporation,nvidia,stock,['common'],26140181980.5,USD,177.75,100,1,false,0,-0.0393656506579649,147061502,0.8039669148371467,4319325177908.938,USD,50.590579194535366,3.5135,64.96079628151556,0.0224946575188393,1.176923,Electronic technology,america,Electronic Technology
2,NYSE,ORCL,Oracle Corporation,oracle,stock,['common'],12086546604.619999,USD,302.14,100,1,false,0,3.4088575535628647,40003133,1.0666990004031913,858595480074.3475,USD,69.9446720837095,4.3197,11.430119176598057,0.616058594017386,1.372093,Technology services,america,Technology Services
3,NASDAQ,AAPL,Apple Inc.,apple,stock,['common'],10106841228.3,USD,236.7,100,1,false,0,1.1235955056179756,42698949,0.7664177576681177,3512720339700.6743,USD,35.982487610592564,6.5782,0.15682333774874735,0.435767078224463,1.541667,Electronic technology,america,Electronic Technology
4,NASDAQ,MSFT,Microsoft Corporation,microsoft,stock,['common'],8835164348.0,USD,515.36,100,1,false,0,1.070798195724659,17143675,0.8648282566782449,3830756643598.52,USD,37.77855969974197,13.6416,15.596003762361141,0.651108060404001,1.098361,Technology services,america,Technology Services
5,NASDAQ,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],8055049272.900001,USD,764.7,100,1,false,0,1.205680329279108,10533607,1.0537869884504378,1920897717345.7043,USD,27.693678294124467,27.6128,40.97873535343221,0.268002488121865,1.221429,Technology services,america,Technology Services
6,NASDAQ,AVGO,Broadcom Inc.,broadcom,stock,['common'],7934274766.299999,USD,364.09,100,1,false,0,1.1726456776057939,21792070,0.6183462621823427,1719365934854.6675,USD,93.01773031526237,3.9142,240.72075208913648,0.639119682107428,1.173469,Electronic technology,america,Electronic Technology
7,NASDAQ,PLTR,Palantir Technologies Inc.,palantir,stock,['common'],7771660197.6,USD,171.21,100,1,false,0,-0.12833226389780017,45392560,0.783121890184903,406169080144.88403,USD,568.9930209371885,0.3009,77.10417892878164,0.0,1.931034,Technology services,america,Technology Services
8,NASDAQ,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],7693135656.77,USD,231.43,100,1,false,0,1.4376506684198997,33241739,0.8562029075366584,2468180543442.9272,USD,35.31772677328775,6.5528,56.99465727497067,0.0,1.133803,Retail trade,america,Retail Trade
9,NASDAQ,GOOG,Alphabet Inc.,alphabet,stock,['common'],7536441390.48,USD,251.76,100,1,false,0,4.300273427790204,29935023,1.0467702351449772,3040754158137.4087,USD,26.81578526921233,9.3885,34.66972674460303,0.335570469798658,1.253521,Technology services,america,Technology Services
10,NASDAQ,AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,stock,['common'],5932093637.5199995,USD,161.16,100,1,false,0,1.6333480481806166,36808722,0.8263506486707393,261537510830.6479,USD,92.76463477810395,1.7373,109.26282823416045,0.0,1.368421,Electronic technology,america,Electronic Technology
11,NASDAQ,CRWV,"CoreWeave, Inc.",coreweave,stock,['common'],4521533890.09,USD,120.47,100,1,false,0,7.600928903179711,37532447,1.2279538821192315,58858313765.53984,USD,,-2.4899,,0.0,1.75,Technology services,america,Technology Services
12,NASDAQ,HOOD,"Robinhood Markets, Inc.",robinhood,stock,['common'],4224021320.34,USD,114.83,100,1,false,0,-0.17386768669043104,36784998,0.8100384667106608,102046561922.66965,USD,58.32486793986184,1.9688,503.55610055180875,0.0,1.444444,Finance,america,Finance
13,NYSE,UNH,UnitedHealth Group Incorporated,unitedhealth,stock,['common'],3839235764.75,USD,347.89,100,1,false,0,-1.3106011176987902,11035775,0.6486249872025315,315074813094.0981,USD,15.068588085987413,23.0871,52.6520761703253,2.41411591160534,1.466667,Health services,america,Health Services
14,NASDAQ,APP,Applovin Corporation,applovin,stock,['common'],3705092902.36,USD,593.14,100,1,false,0,1.9140893470790354,6246574,0.8373621932841224,200629559954.99167,USD,88.11670851098599,6.7313,185.22457627118644,0.0,1.310345,Technology services,america,Technology Services
15,NASDAQ,NFLX,"Netflix, Inc.",netflix,stock,['common'],3497695343.42,USD,1202.26,100,1,false,0,1.162868971088144,2909267,0.9798655932358054,510871904998.89264,USD,51.23390763697419,23.4661,46.643877991013696,0.0,1.435185,Technology services,america,Technology Services
16,NASDAQ,MU,"Micron Technology, Inc.",micron-technology,stock,['common'],3171396773.61,USD,157.77,100,1,false,0,0.34344590726961804,20101393,0.8293585537682306,176564365711.49747,USD,28.476797285345558,5.5403,,0.292565032118553,1.297619,Electronic technology,america,Electronic Technology
17,NASDAQ,OPEN,Opendoor Technologies Inc,opendoor,stock,['common'],3124926919.035,USD,9.495,100,1,false,0,4.68577728776184,329112893,0.7011681724659999,6987884538.572215,USD,,-0.4256,27.59441987070432,0.0,2.277778,Finance,america,Finance
18,NASDAQ,MSTR,Strategy Inc,microstrategy,stock,['common'],3123076260.46,USD,327.79,100,1,false,0,-1.1012551291334711,9527674,0.9561979417937942,92945736680.7602,USD,28.856277620296847,11.3594,,0.0,1.25,Technology services,america,Technology Services
19,AMEX,BMNR,"BitMine Immersion Technologies, Inc.",bitmine-immersion-technologies,stock,['common'],2705306770.44,USD,53.11,100,1,false,0,-3.5941187148302847,50937804,1.2446024738012162,9214422946.533855,USD,,-2.8796,-96.26499454743728,0.0,1.0,Finance,america,Finance
20,NYSE,OKLO,Oklo Inc.,altc,stock,['common'],2680638430.0800004,USD,95.68,100,1,false,0,15.681296094789039,28016706,2.3314329338391855,14123247323.608755,USD,,-0.4035,92.0000793052857,0.0,1.5,Producer manufacturing,america,Producer Manufacturing
21,NASDAQ,ADBE,Adobe Inc.,adobe,stock,['common'],2349314763.9,USD,347.1,100,1,false,0,-0.6468971834211102,6768409,1.140307005738794,147239818063.60803,USD,21.61875992650494,16.0555,35.59586848750495,0.0,1.418605,Technology services,america,Technology Services
22,NASDAQ,COIN,"Coinbase Global, Inc.",coinbase,stock,['common'],2255409522.1,USD,327.02,100,1,false,0,1.23204556711242,6896855,0.8762699940537663,84023875224.63998,USD,31.636483244330933,10.3368,85.9671848013817,0.0,1.72973,Finance,america,Finance
23,NYSE,JPM,JP Morgan Chase & Co.,jpmorgan-chase,stock,['common'],2199990433.5,USD,308.9,100,1,false,0,0.6483985533218052,7122015,0.9446668337404995,849398916360.8912,USD,15.849560019497677,19.4895,8.70498862165901,1.72689061939982,1.637931,Finance,america,Finance
24,NASDAQ,COST,Costco Wholesale Corporation,costco-wholesale,stock,['common'],2111666022.3,USD,960.1,100,1,false,0,-0.805868374832106,2199423,1.2954059509716886,425782356494.6189,USD,54.460472055044725,17.6293,9.270714533644068,0.508316974894101,1.539474,Retail trade,america,Retail Trade
25,NYSE,LLY,Eli Lilly and Company,eli-lilly,stock,['common'],2088090550.64,USD,748.19,100,1,false,0,-0.9531500284621099,2790856,0.9699718276591919,708129471613.1229,USD,49.61208954432126,15.0808,88.38048841421524,0.767815300705596,1.241379,Health technology,america,Health Technology
26,NASDAQ,INTC,Intel Corporation,intel,stock,['common'],2079479398.1,USD,24.77,100,1,false,0,2.8654485049833944,83951530,1.5339359708021971,115682382406.72218,USD,,-4.7628,-2174.3902439024387,0.519102990033223,2.056818,Electronic technology,america,Electronic Technology
27,NASDAQ,WBD,"Warner Bros. Discovery, Inc. - Series A",warner-bros-discovery,stock,['common'],2077666340.5400002,USD,19.46,100,1,false,0,3.1266560678325375,106765999,1.0029471132349839,48178529481.883415,USD,64.43708609271523,0.302,,0.0,1.518519,Consumer services,america,Consumer Services
28,NASDAQ,TXN,Texas Instruments Incorporated,texas-instruments,stock,['common'],2077526879.9999998,USD,178.2,100,1,false,0,-2.409638554216871,11658400,1.5722380287244424,162008255708.3494,USD,32.575314419420884,5.4704,-5.108501448420618,2.97918948521358,1.679487,Electronic technology,america,Electronic Technology
29,NYSE,HD,"Home Depot, Inc. (The)",home-depot,stock,['common'],2064917637.2099998,USD,422.71,100,1,false,0,0.004731599990532497,4884951,1.259960493845502,420759870713.0486,USD,28.714761225460226,14.721,-0.9253962378436539,2.15287799569424,1.391892,Retail trade,america,Retail Trade
30,NYSE,IONQ,"IonQ, Inc.",ionq,stock,['common'],2049704743.8799999,USD,59.11,100,1,false,0,6.293832044596296,34676108,1.7924088990312528,17596007067.91656,USD,,-2.0174,-154.69006438580985,0.0,1.222222,Electronic technology,america,Electronic Technology
31,NASDAQ,SNPS,"Synopsys, Inc.",synopsys,stock,['common'],1857997942.3999999,USD,419.2,100,1,false,0,-1.4690327888118464,4432247,0.8385798571212966,77865845739.662,USD,32.82051282051282,12.7725,32.5608186648954,0.0,1.229167,Technology services,america,Technology Services
32,NASDAQ,SOFI,"SoFi Technologies, Inc.",sofi,stock,['common'],1851923631.45,USD,27.67,100,1,false,0,4.218455743879476,66928935,1.1405395814516104,32799615788.671562,USD,55.808793868495364,0.4958,,0.0,1.958333,Finance,america,Finance
