,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,ATYR,"aTyr Pharma, Inc.",atyr-pharma,stock,['common'],503.0,1.015,100,1,false,0,USD,-83.16749585406302,155035620,590859419.0,USD,,-0.7974,11.889502762430942,0.0,25.139393067898663,1.454545,Health technology,Health Technology,america
1,NASDAQ,MTVA,MetaVia Inc.,neurobo-pharmaceuticals,stock,['common'],153.72543267820475,1.5,100,1,false,0,USD,115.54821094984914,90290897,16839256.0,USD,,-1.7713,64.35442324720276,0.0,1834.3866781251206,1.0,Health technology,Health Technology,america
2,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],139.6551724137931,1.24,100,1,false,0,USD,-55.39568345323741,108249032,1045686046.8,USD,,-0.8621,-110.06335282651072,0.0,15.747877156265538,1.0,Health services,Health Services,america
3,NASDAQ,NAOV,"NanoVibronix, Inc.",nanovibronix,stock,['common'],123.13769751693,10.7,100,1,false,0,USD,64.86902927580893,55313079,8527364.175654853,USD,,-134.4208,6.075302814859315,0.0,278.4971907637326,,Health technology,Health Technology,america
4,NASDAQ,RELI,"Reliance Global Group, Inc.",reliance-industrial-infrastructure,stock,['common'],119.73684210526314,0.798,10000,1,false,0,USD,1.5267175572519098,56056023,3675168.6946564885,USD,,-2.8021,96.67478360757677,0.0,267.1750454339424,,Finance,Finance,america
5,AMEX,ATCH,"AtlasClear Holdings, Inc.",atlasclear-holdings-inc,stock,['common'],117.910447761194,0.99,10000,1,false,0,USD,153.84615384615384,498060085,6082813.0,USD,,,,0.0,13.622133369584622,,Technology services,Technology Services,america
6,NASDAQ,CHEK,Check-Cap Ltd.,check-cap,stock,['common'],112.45754716981132,2.12,100,1,false,0,USD,184.22040488001073,129597021,4364191.0,USD,,,,0.0,42.99714686139159,,Health technology,Health Technology,america
7,NASDAQ,HSDT,"Helius Medical Technologies, Inc.",helius-medical-technologies,stock,['common'],101.07462686567165,18.27,100,1,false,0,USD,141.66666666666669,20033910,8144062.0,USD,,-1989.916,75.15321840275274,0.0,406.1325602846244,2.0,Health technology,Health Technology,america
8,NASDAQ,EVTV,"Envirotech Vehicles, Inc.",,stock,['common'],98.04687500000001,2.74,100,1,false,0,USD,-32.843137254901954,14802901,9673695.583333334,USD,,-10.5582,-11.174054964725698,0.0,99.61930674512617,,Producer manufacturing,Producer Manufacturing,america
9,NASDAQ,ONFO,Onfolio Holdings Inc.,onfolio,stock,['common'],91.17647058823529,1.38,100,1,false,0,USD,22.123893805309734,31056523,7075807.115044247,USD,,-0.4111,71.10423841990581,0.0,233.99644520660445,,Technology services,Technology Services,america
10,AMEX,MSN,Emerson Radio Corporation,emerson-radio,stock,['common'],90.11627906976746,0.4812,10000,1,false,0,USD,13.893491124260363,40643113,10125724.746035503,USD,,-0.2333,-1433.142857142857,0.0,1674.9340833693927,,Distribution services,Distribution Services,america
11,NASDAQ,FAAS,DigiAsia Corp.,stonebridge-acquisition,stock,['common'],86.34231805929919,0.1261,10000,1,false,0,USD,-39.19932111533807,37843954,7653240.462104445,USD,,,,0.0,11.506414125238123,,Technology services,Technology Services,america
12,AMEX,GPUS,"Hyperscale Data, Inc.",bitnile,stock,['common'],81.92548021291368,0.4527,10000,1,false,0,USD,22.35135135135135,232983628,12292849.491081081,USD,,-31.7728,99.25990431315239,0.0,75.5043324384091,,Producer manufacturing,Producer Manufacturing,america
13,NASDAQ,FOFO,"Hang Feng Technology Innovation Co., Ltd.",,stock,['common'],75.55555555555557,11.9,100,1,false,0,USD,-3.6437246963562693,1859274,,USD,,,,,,,Miscellaneous,Miscellaneous,america
14,NASDAQ,AIIO,Robo.ai Inc.,nwtn,stock,['common'],69.71830985915496,1.51,100,1,false,0,USD,3.424657534246579,30209689,441221553.20547944,USD,,-0.5905,-3567.701863354038,0.0,22.30265838464929,,Consumer durables,Consumer Durables,america
15,NASDAQ,CGTX,"Cognition Therapeutics, Inc.",cognition-therapeutics,stock,['common'],58.04195804195803,1.54,100,1,false,0,USD,-29.032258064516125,14014279,135864786.83870968,USD,,-0.6576,29.57806810880274,0.0,3.5207386319386487,1.0,Health technology,Health Technology,america
16,NASDAQ,BIAF,"bioAffinity Technologies, Inc.",bioaffinity-technologies,stock,['common'],57.87781350482315,0.3504,10000,1,false,0,USD,29.777777777777764,179141351,10360841.333333334,USD,,-0.6993,22.57528786536758,0.0,59.262876147212985,2.0,Health technology,Health Technology,america
17,NASDAQ,HAIN,"The Hain Celestial Group, Inc.",hain-celestial,stock,['common'],51.29125325452114,1.62,100,1,false,0,USD,-24.65116279069767,12779468,146210654.93023258,USD,,-2.8964,-186.17725521193555,0.0,11.140558201814644,1.666667,Consumer non-durables,Consumer Non-Durables,america
18,NASDAQ,MFI,mF International Limited,mf-international-limited,stock,['common'],49.46263434141465,44.4,100,1,false,0,USD,0.8861622358554887,256294,72900760.59,USD,,-0.1956,,0.0,5.263996746638296,,Technology services,Technology Services,america
19,NASDAQ,ORIS,Oriental Rise Holdings Limited,oriental-rise-limited,stock,['common'],48.621908127208485,0.1827,10000,1,false,0,USD,35.33333333333333,77295680,4021683.75,USD,1.026981450252951,0.1779,-97.2930614729154,0.0,5.845926658501726,,Consumer non-durables,Consumer Non-Durables,america
20,NASDAQ,ECDA,"ECD Automotive Design, Inc.",ecd-automotive-design,stock,['common'],47.153598281417835,0.1009,10000,1,false,0,USD,-26.350364963503655,6064423,5858278.304379561,USD,,-0.361,-161.97387518142233,0.0,1.4193291137294108,,Producer manufacturing,Producer Manufacturing,america
21,NASDAQ,GCTK,"GlucoTrack, Inc.",glucotrack,stock,['common'],47.08333333333332,7.78,100,1,false,0,USD,-26.53446647780925,1076285,6997409.873465533,USD,,-2446.0791,17.383404936570347,0.0,0.13443327422666754,,Health technology,Health Technology,america
22,NASDAQ,RCEL,"Avita Medical, Inc.",avita-medical,stock,['common'],46.460980036297656,6.76,100,1,false,0,USD,48.245614035087726,19595584,179943983.40350878,USD,,-1.971,-1.3055098684210573,0.0,88.95406393788518,1.6875,Health technology,Health Technology,america
23,NASDAQ,FRGT,"Freight Technologies, Inc.",freight-technologies,stock,['common'],45.45454545454547,1.49,100,1,false,0,USD,5.6737588652482325,33039830,4100959.758865249,USD,,-66.294,99.79275659056175,0.0,131.21723275570713,,Finance,Finance,america
24,NASDAQ,FTFT,Future FinTech Group Inc.,future-fintech,stock,['common'],44.96717724288841,2.34,100,1,false,0,USD,-26.41509433962265,1395785,8074802.094339622,USD,,,,0.0,2.5095574749315745,,Finance,Finance,america
25,NASDAQ,APLM,Apollomics Inc.,apollomics,stock,['common'],44.95677233429394,9.29,100,1,false,0,USD,36.01756954612004,232918,10250103.13762811,USD,,-54.4704,80.53877924342247,0.0,4.50782566958972,,Finance,Finance,america
26,NASDAQ,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",lulu-s-fashion-lounge,stock,['common'],44.469525959367964,5.17,100,1,false,0,USD,16.17977528089887,1722125,14211967.519101122,USD,,-17.8524,-74.47103779208975,0.0,13.928249648583902,,Retail trade,Retail Trade,america
27,AMEX,ZONE,CleanCore Solutions Inc.,cleancore-solutions,stock,['common'],43.39622641509433,2.68,100,1,false,0,USD,-29.473684210526308,3484568,36904170.84,USD,,-0.6712,,0.0,0.7756900952707825,,Distribution services,Distribution Services,america
28,NASDAQ,HYFT,MindWalk Holdings Corp.,,stock,['common'],43.037974683544284,1.76,100,1,false,0,USD,-20.361990950226243,11309611,81231248.65158372,USD,,-0.6682,12.240609403729966,0.0,9.086834884683215,1.0,Health technology,Health Technology,america
29,NASDAQ,WLDS,Wearable Devices Ltd.,wearable-devices-ltd,stock,['common'],42.943854324734446,6.59,100,1,false,0,USD,-30.042462845010615,6707108,6780978.479830149,USD,,-7.8315,53.222713996452065,0.0,0.14677120807016034,,Electronic technology,Electronic Technology,america
30,NASDAQ,GLUE,"Monte Rosa Therapeutics, Inc.",monte-rosa-therapeutics,stock,['common'],42.73927392739275,6.93,100,1,false,0,USD,44.07484407484408,31706789,427992289.0166321,USD,20.19819294666278,0.3431,,0.0,92.25255786008255,1.111111,Health technology,Health Technology,america
