,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ,CHEK,Check-Cap Ltd.,check-cap,stock,['common'],3.05,2.3041,308.90199758680785,53863721,194.94570317736964,2.12,184.22040488001073,129597021,4364191.0,-61.06270475272979,100,false,0,USD,USD
1,NASDAQ,HSDT,"Helius Medical Technologies, Inc.",helius-medical-technologies,stock,['common'],24.19,16.630000000000003,219.97354497354502,6151003,40.476190476190474,18.27,141.66666666666669,20033910,8144062.0,141.29916569523263,100,false,0,USD,USD
2,AMEX,ATCH,"AtlasClear Holdings, Inc.",atlasclear-holdings-inc,stock,['common'],0.9165,0.5265,135.0,126740915,53.84615384615383,0.99,153.84615384615384,498060085,6082813.0,5.236758408245095,10000,false,0,USD,USD
3,NASDAQ,RELI,"Reliance Global Group, Inc.",reliance-industrial-infrastructure,stock,['common'],1.55,0.764,97.20101781170484,22229933,-0.03816793893130763,0.798,1.5267175572519098,56056023,3675168.6946564885,24.944508303079324,10000,false,0,USD,USD
4,AMEX,GPUS,"Hyperscale Data, Inc.",bitnile,stock,['common'],0.723,0.353,95.4054054054054,91352413,0.5135135135135169,0.4527,22.35135135135135,232983628,12292849.491081081,88.22741979836326,10000,false,0,USD,USD
5,NASDAQ,GLUE,"Monte Rosa Therapeutics, Inc.",monte-rosa-therapeutics,stock,['common'],7.22,2.41,50.10395010395011,6072573,6.02910602910603,6.93,44.07484407484408,31706789,427992289.0166321,-21.71425631517445,100,false,0,USD,USD
6,NASDAQ,FRGT,"Freight Technologies, Inc.",freight-technologies,stock,['common'],2.06,0.6500000000000001,46.09929078014186,18742518,1.4184397163120581,1.49,5.6737588652482325,33039830,4100959.758865249,23.40910134813455,100,false,0,USD,USD
7,NASDAQ,NAOV,"NanoVibronix, Inc.",nanovibronix,stock,['common'],9.4,2.91,44.8382126348228,7570383,0.15408320493065927,10.7,64.86902927580893,55313079,8527364.175654853,174.17279006377743,100,false,0,USD,USD
8,NASDAQ,MFI,mF International Limited,mf-international-limited,stock,['common'],57.5,13.490000000000002,30.6521245171552,9136,24.971597364235407,44.4,0.8861622358554887,256294,72900760.59,,100,false,0,USD,USD
9,NASDAQ,EVTV,"Envirotech Vehicles, Inc.",,stock,['common'],5.01,0.9299999999999997,22.79411764705882,5798823,4.166666666666665,2.74,-32.843137254901954,14802901,9673695.583333334,-72.6614579182517,100,false,0,USD,USD
10,NASDAQ,DEVS,DevvStream Corp.,devvstream,stock,['common'],3.2,0.5800000000000001,22.137404580152673,1637973,6.8702290076335775,2.67,1.9083969465648787,3924140,9456253.396946566,-94.8844077382948,100,false,0,USD,USD
11,NASDAQ,RCEL,"Avita Medical, Inc.",avita-medical,stock,['common'],5.54,0.9800000000000004,21.49122807017545,2081721,8.333333333333352,6.76,48.245614035087726,19595584,179943983.40350878,-52.50987521485338,100,false,0,USD,USD
12,AMEX,GNS,Genius Group Limited,genius-limited,stock,['common'],1.29,0.19999999999999996,18.348623853211006,1406515,0.0,1.0,-8.256880733944962,9078216,81808824.7706422,245.53360556050916,10000,false,0,USD,USD
13,NYSE,CULP,"Culp, Inc.",culp,stock,['common'],5.58,0.8600000000000003,18.220338983050855,200,18.220338983050855,4.5,-4.661016949152538,22743,56723872.881355934,-13.42878270106703,100,false,0,USD,USD
