,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ,ATYR,"aTyr Pharma, Inc.",atyr-pharma,stock,['common'],1.26,-4.7700000000000005,-79.10447761194031,25974768,6.135986733001659,1.015,-83.16749585406302,155035620,590859419.0,271.92905148182797,100,1,false,0,USD,USD
1,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],1.22,-1.5599999999999998,-56.11510791366906,27097454,8.273381294964029,1.24,-55.39568345323741,108249032,1045686046.8,,100,1,false,0,USD,USD
2,NASDAQ,ECDA,"ECD Automotive Design, Inc.",ecd-automotive-design,stock,['common'],0.0947,-0.042300000000000004,-30.875912408759127,1288000,-29.927007299270077,0.1009,-26.350364963503655,6064423,5858278.304379561,-81.1249838518289,10000,1,false,0,USD,USD
3,NASDAQ,SIDU,"Sidus Space, Inc.",sidus-space,stock,['common'],0.9932,-0.3268000000000001,-24.757575757575765,3033222,-19.696969696969695,0.9411,-28.704545454545453,15739167,23948626.565,130.2794710323476,10000,1,false,0,USD,USD
4,NYSE,FAF,First American Corporation (New),first-american,stock,['common'],52.96,-14.550000000000004,-21.552362612946236,300,-21.552362612946236,66.74,-1.1405717671456232,477273,6794132418.17538,2.354704097825725,100,1,false,0,USD,USD
5,NASDAQ,CLSD,"Clearside Biomedical, Inc.",,stock,['common'],3.82,-0.9725000000000006,-20.29212310902453,39880,-39.69744392279604,3.95,-17.57955138236829,263936,20674379.0,-61.78117760340817,100,1,false,0,USD,USD
6,NASDAQ,HAIN,"The Hain Celestial Group, Inc.",hain-celestial,stock,['common'],1.72,-0.42999999999999994,-20.0,2862234,-3.255813953488365,1.62,-24.65116279069767,12779468,146210654.93023258,-77.39759170446146,100,1,false,0,USD,USD
7,NASDAQ,FOFO,"Hang Feng Technology Innovation Co., Ltd.",,stock,['common'],10.0,-2.3499999999999996,-19.028340080971656,114087,-21.619433198380566,11.9,-3.6437246963562693,1859274,,,100,1,false,0,USD,USD
8,NASDAQ,GCTK,"GlucoTrack, Inc.",glucotrack,stock,['common'],8.69,-1.9000000000000004,-17.941454202077438,84231,-16.902738432483467,7.78,-26.53446647780925,1076285,6997409.873465533,-73.34529906558858,100,1,false,0,USD,USD
9,NASDAQ,XBP,"XBP Global Holdings, Inc.",xbp-europe,stock,['common'],0.8268,-0.17320000000000002,-17.32,26647,-25.029999999999998,0.9802,-1.980000000000004,336532,115189151.8336,88.26799946864861,10000,1,false,0,USD,USD
10,NASDAQ,ADGM,"Adagio Medical Holdings, Inc",adagio-medical,stock,['common'],1.47,-0.25,-14.534883720930234,347817,7.558139534883727,1.68,-2.325581395348839,709528,25841029.395348836,-64.08174196020998,100,1,false,0,USD,USD
11,NASDAQ,WTO,UTime Limited,utime-limited,stock,['common'],1.15,-0.19000000000000017,-14.17910447761195,48879,-14.925373134328371,1.03,-23.134328358208958,437444,21614340.92537313,-45.128662253945606,100,1,false,0,USD,USD
12,NASDAQ,PPIH,"Perma-Pipe International Holdings, Inc.",perma-pipe-international,stock,['common'],26.83,-4.170000000000002,-13.451612903225813,15877,0.0,26.19,-15.51612903225806,944861,209063450.00612903,190.19987658853455,100,1,false,0,USD,USD
13,NASDAQ,SONN,"Sonnet BioTherapeutics Holdings, Inc.",sonnet-biotherapeutics,stock,['common'],5.15,-0.75,-12.711864406779661,264509,0.0,5.54,-6.101694915254242,3102455,37419111.20677966,485.2201782668436,100,1,false,0,USD,USD
14,NASDAQ,MJID,Majestic Ideal Holdings Ltd,majestic-ideal-ltd,stock,['common'],1.11,-0.1499999999999999,-11.904761904761898,187844,-5.55555555555556,1.18,-6.349206349206354,600769,,,100,1,false,0,USD,USD
15,NASDAQ,BNGO,"Bionano Genomics, Inc.",bionano-genomics,stock,['common'],3.42,-0.45999999999999996,-11.855670103092782,121169,1.546391752577321,2.77,-28.60824742268041,2601551,13172085.335051548,-58.120646879659844,100,1,false,0,USD,USD
16,NASDAQ,HXHX,Haoxin Holdings Limited,haoxin-limited,stock,['common'],1.2,-0.16000000000000014,-11.764705882352951,15607,1.4705882352941024,1.19,-12.50000000000001,138282,10650500.0,,100,1,false,0,USD,USD
