,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
0,AMEX,ATCH,"AtlasClear Holdings, Inc.",atlasclear-holdings-inc,stock,['common'],0.9165,0.5265,135.0,126740915,53.84615384615383,0.99,153.84615384615384,498060085,6082813.0,5.236758408245095,10000,false,0,USD,USD
1,AMEX,GPUS,"Hyperscale Data, Inc.",bitnile,stock,['common'],0.723,0.353,95.4054054054054,91352413,0.5135135135135169,0.4527,22.35135135135135,232983628,12292849.491081081,88.22741979836326,10000,false,0,USD,USD
2,NASDAQ,CHEK,Check-Cap Ltd.,check-cap,stock,['common'],3.05,2.3041,308.90199758680785,53863721,194.94570317736964,2.12,184.22040488001073,129597021,4364191.0,-61.06270475272979,100,false,0,USD,USD
3,NASDAQ,BINI,"Bollinger Innovations, Inc.",mullen-automotive,stock,['common'],0.0784,0.009300000000000003,13.458755426917515,52638233,5.49927641099857,0.0755,9.261939218523883,156983373,347672.5832127352,-96.46868442496985,10000,false,0,USD,USD
4,NASDAQ,BIAF,"bioAffinity Technologies, Inc.",bioaffinity-technologies,stock,['common'],0.315,0.044999999999999984,16.66666666666666,36642613,29.629629629629612,0.3504,29.777777777777764,179141351,10360841.333333334,,10000,false,0,USD,USD
5,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],1.22,-1.5599999999999998,-56.11510791366906,27097454,8.273381294964029,1.24,-55.39568345323741,108249032,1045686046.8,,100,false,0,USD,USD
6,NASDAQ,ATYR,"aTyr Pharma, Inc.",atyr-pharma,stock,['common'],1.26,-4.7700000000000005,-79.10447761194031,25974768,6.135986733001659,1.015,-83.16749585406302,155035620,590859419.0,271.92905148182797,100,false,0,USD,USD
7,NASDAQ,RELI,"Reliance Global Group, Inc.",reliance-industrial-infrastructure,stock,['common'],1.55,0.764,97.20101781170484,22229933,-0.03816793893130763,0.798,1.5267175572519098,56056023,3675168.6946564885,24.944508303079324,10000,false,0,USD,USD
8,NASDAQ,FRGT,"Freight Technologies, Inc.",freight-technologies,stock,['common'],2.06,0.6500000000000001,46.09929078014186,18742518,1.4184397163120581,1.49,5.6737588652482325,33039830,4100959.758865249,23.40910134813455,100,false,0,USD,USD
9,NASDAQ,AIRE,reAlpha Tech Corp.,realpha-tech,stock,['common'],1.44,-0.010000000000000009,-0.6896551724137937,14749252,3.448275862068969,1.29,-11.034482758620683,63075675,108056901.60000001,-42.63955750202847,100,false,0,USD,USD
10,NASDAQ,OPEN,Opendoor Technologies Inc,opendoor,stock,['common'],9.75,0.6799999999999997,7.4972436604189605,13562090,4.299889746416765,9.495,4.68577728776184,329112893,6987884538.572215,116.67765472964325,100,false,0,USD,USD
11,NASDAQ,NXTT,Next Technology Holding Inc.,wetrade,stock,['common'],0.1385,-0.012699999999999989,-8.399470899470893,10960213,-1.7195767195767135,0.144,-4.76190476190477,68036636,76547283.8095238,1946.9164371359693,10000,false,0,USD,USD
12,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],423.1,27.160000000000025,6.859625195736734,9400249,1.00015153811183,410.04,3.561145628125479,163822311,1322563105703.4026,57.43766393189819,100,false,0,USD,USD
13,NASDAQ,BTBD,"BT Brands, Inc.",bt-brands,stock,['common'],1.88,0.18999999999999995,11.242603550295856,8028747,-3.550295857988169,1.85,9.467455621301783,14107751,10988489.881656805,14.930756090574222,100,false,0,USD,USD
14,NASDAQ,NAOV,"NanoVibronix, Inc.",nanovibronix,stock,['common'],9.4,2.91,44.8382126348228,7570383,0.15408320493065927,10.7,64.86902927580893,55313079,8527364.175654853,174.17279006377743,100,false,0,USD,USD
15,AMEX,BURU,"Nuburu, Inc.",nuburu-inc,stock,['common'],0.1692,0.0011999999999999789,0.7142857142857016,6716392,4.226190476190473,0.1515,-9.82142857142858,46026563,15124186.38392857,287.9405484088313,10000,false,0,USD,USD
16,NASDAQ,HSDT,"Helius Medical Technologies, Inc.",helius-medical-technologies,stock,['common'],24.19,16.630000000000003,219.97354497354502,6151003,40.476190476190474,18.27,141.66666666666669,20033910,8144062.0,141.29916569523263,100,false,0,USD,USD
17,NASDAQ,GLUE,"Monte Rosa Therapeutics, Inc.",monte-rosa-therapeutics,stock,['common'],7.22,2.41,50.10395010395011,6072573,6.02910602910603,6.93,44.07484407484408,31706789,427992289.0166321,-21.71425631517445,100,false,0,USD,USD
18,NASDAQ,EVTV,"Envirotech Vehicles, Inc.",,stock,['common'],5.01,0.9299999999999997,22.79411764705882,5798823,4.166666666666665,2.74,-32.843137254901954,14802901,9673695.583333334,-72.6614579182517,100,false,0,USD,USD
19,NASDAQ,NVDA,NVIDIA Corporation,nvidia,stock,['common'],175.69,-2.1299999999999955,-1.1978405128781888,5400647,-0.19120458891013575,177.75,-0.0393656506579649,147061502,4319325177908.938,44.54790096140685,100,false,0,USD,USD
20,NASDAQ,ORIS,Oriental Rise Holdings Limited,oriental-rise-limited,stock,['common'],0.1531,0.018100000000000005,13.40740740740741,4651348,3.62962962962962,0.1827,35.33333333333333,77295680,4021683.75,,10000,false,0,USD,USD
21,NASDAQ,INTS,"Intensity Therapeutics, Inc.",intensity-therapeutics,stock,['common'],0.2281,-0.0040999999999999925,-1.7657192075796695,4561558,-0.473729543496981,0.2364,1.8087855297157662,7994884,11124446.8992,,10000,false,0,USD,USD
22,NASDAQ,HYFT,MindWalk Holdings Corp.,,stock,['common'],2.26,0.04999999999999982,2.262443438914019,4461596,8.597285067873301,1.76,-20.361990950226243,11309611,81231248.65158372,,100,false,0,USD,USD
23,NASDAQ,YAAS,Youxin Technology Ltd,youxin-technology-ltd,stock,['common'],0.0764,-0.002700000000000008,-3.4134007585335113,4294313,-6.068268015170668,0.0735,-7.079646017699124,25459410,2465925.0,,10000,false,0,USD,USD
24,NASDAQ,CJET,"Chijet Motor Company, Inc.",chijet-motor-company,stock,['common'],0.1255,0.0002600000000000102,0.2076014053018287,3595489,5.3976365378473465,0.1145,-8.575534972852113,10489794,2170054.758862983,167.7581076774631,10000,false,0,USD,USD
25,NASDAQ,CRWV,"CoreWeave, Inc.",coreweave,stock,['common'],120.9,8.940000000000012,7.984994640943205,3097372,1.8220793140407345,120.47,7.600928903179711,37532447,58858313765.53984,,100,false,0,USD,USD
26,NASDAQ,SIDU,"Sidus Space, Inc.",sidus-space,stock,['common'],0.9932,-0.3268000000000001,-24.757575757575765,3033222,-19.696969696969695,0.9411,-28.704545454545453,15739167,23948626.565,130.2794710323476,10000,false,0,USD,USD
27,NYSE,BBAI,"BigBear.ai, Inc.",bigbear-ai,stock,['common'],5.18,0.1200000000000001,2.371541501976287,2988060,1.3833992094861718,5.09,0.5928853754940762,91990476,1886879195.4545457,372.6824850471881,100,false,0,USD,USD
28,NASDAQ,IXHL,Incannex Healthcare Inc.,incannex-healthcare,stock,['common'],0.55985,0.012349999999999972,2.2557077625570727,2973433,0.4566210045662206,0.529,-3.3789954337899477,21459490,49564849.69132421,98.84860526667669,10000,false,0,USD,USD
29,NYSE,WOLF,"Wolfspeed, Inc.",wolfspeed,stock,['common'],2.38,0.04999999999999982,2.145922746781108,2889580,0.0,2.96,27.03862660944206,119745178,463157104.75536484,-84.31455205029292,100,false,0,USD,USD
