,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
0,NASDAQ,MTVA,MetaVia Inc.,neurobo-pharmaceuticals,stock,['common'],1834.3866781251206,1.5,100,1,false,0,USD,115.54821094984914,90290897,16839256.0,USD,,-1.7713,64.35442324720276,0.0,1.0,Health technology,Health Technology,america
1,AMEX,MSN,Emerson Radio Corporation,emerson-radio,stock,['common'],1674.9340833693927,0.4812,10000,1,false,0,USD,13.893491124260363,40643113,10125724.746035503,USD,,-0.2333,-1433.142857142857,0.0,,Distribution services,Distribution Services,america
2,NASDAQ,HSDT,"Helius Medical Technologies, Inc.",helius-medical-technologies,stock,['common'],406.1325602846244,18.27,100,1,false,0,USD,141.66666666666669,20033910,8144062.0,USD,,-1989.916,75.15321840275274,0.0,2.0,Health technology,Health Technology,america
3,NASDAQ,NAOV,"NanoVibronix, Inc.",nanovibronix,stock,['common'],278.4971907637326,10.7,100,1,false,0,USD,64.86902927580893,55313079,8527364.175654853,USD,,-134.4208,6.075302814859315,0.0,,Health technology,Health Technology,america
4,NASDAQ,RELI,"Reliance Global Group, Inc.",reliance-industrial-infrastructure,stock,['common'],267.1750454339424,0.798,10000,1,false,0,USD,1.5267175572519098,56056023,3675168.6946564885,USD,,-2.8021,96.67478360757677,0.0,,Finance,Finance,america
5,NASDAQ,ONFO,Onfolio Holdings Inc.,onfolio,stock,['common'],233.99644520660445,1.38,100,1,false,0,USD,22.123893805309734,31056523,7075807.115044247,USD,,-0.4111,71.10423841990581,0.0,,Technology services,Technology Services,america
6,NASDAQ,FRGT,"Freight Technologies, Inc.",freight-technologies,stock,['common'],131.21723275570713,1.49,100,1,false,0,USD,5.6737588652482325,33039830,4100959.758865249,USD,,-66.294,99.79275659056175,0.0,,Finance,Finance,america
7,NASDAQ,LVRO,Lavoro Limited,lavoro-limited,stock,['common'],123.21678231651583,1.4017,100,1,false,0,USD,7.823076923076915,957111,163980125.84584615,USD,,,,0.0,2.666667,Distribution services,Distribution Services,america
8,NASDAQ,EVTV,"Envirotech Vehicles, Inc.",,stock,['common'],99.61930674512617,2.74,100,1,false,0,USD,-32.843137254901954,14802901,9673695.583333334,USD,,-10.5582,-11.174054964725698,0.0,,Producer manufacturing,Producer Manufacturing,america
9,AMEX,BGI,Birks Group Inc.,birks-group,stock,['common'],93.92511886997062,0.8492,10000,1,false,0,USD,1.33651551312649,12160410,16639807.4849642,USD,,-0.4717,-162.3470522803115,0.0,,Retail trade,Retail Trade,america
10,NASDAQ,GLUE,"Monte Rosa Therapeutics, Inc.",monte-rosa-therapeutics,stock,['common'],92.25255786008255,6.93,100,1,false,0,USD,44.07484407484408,31706789,427992289.0166321,USD,20.19819294666278,0.3431,,0.0,1.111111,Health technology,Health Technology,america
11,NASDAQ,RCEL,"Avita Medical, Inc.",avita-medical,stock,['common'],88.95406393788518,6.76,100,1,false,0,USD,48.245614035087726,19595584,179943983.40350878,USD,,-1.971,-1.3055098684210573,0.0,1.6875,Health technology,Health Technology,america
12,AMEX,GPUS,"Hyperscale Data, Inc.",bitnile,stock,['common'],75.5043324384091,0.4527,10000,1,false,0,USD,22.35135135135135,232983628,12292849.491081081,USD,,-31.7728,99.25990431315239,0.0,,Producer manufacturing,Producer Manufacturing,america
13,NASDAQ,BIAF,"bioAffinity Technologies, Inc.",bioaffinity-technologies,stock,['common'],59.262876147212985,0.3504,10000,1,false,0,USD,29.777777777777764,179141351,10360841.333333334,USD,,-0.6993,22.57528786536758,0.0,2.0,Health technology,Health Technology,america
14,NASDAQ,SLRX,"Salarius Pharmaceuticals, Inc.",salarius-pharmaceuticals,stock,['common'],53.56642512499869,5.445,100,1,false,0,USD,2.930056710775052,3061889,2775006.6805293006,USD,,-48.7914,74.2677814337798,0.0,,Health technology,Health Technology,america
15,NASDAQ,CHEK,Check-Cap Ltd.,check-cap,stock,['common'],42.99714686139159,2.12,100,1,false,0,USD,184.22040488001073,129597021,4364191.0,USD,,,,0.0,,Health technology,Health Technology,america
16,NASDAQ,MIRA,"MIRA Pharmaceuticals, Inc.",mira-pharmaceuticals,stock,['common'],25.939243905003526,1.38,100,1,false,0,USD,-4.827586206896556,8609855,26315654.7,USD,,-0.48,42.57686326115564,0.0,1.0,Health technology,Health Technology,america
17,NASDAQ,ATYR,"aTyr Pharma, Inc.",atyr-pharma,stock,['common'],25.139393067898663,1.015,100,1,false,0,USD,-83.16749585406302,155035620,590859419.0,USD,,-0.7974,11.889502762430942,0.0,1.454545,Health technology,Health Technology,america
18,NASDAQ,AIIO,Robo.ai Inc.,nwtn,stock,['common'],22.30265838464929,1.51,100,1,false,0,USD,3.424657534246579,30209689,441221553.20547944,USD,,-0.5905,-3567.701863354038,0.0,,Consumer durables,Consumer Durables,america
19,NYSE,EQV,EQV Ventures Acquisition Corp.,eqv-ventures-acquisition,stock,['common'],21.671806399494223,10.39,100,1,false,0,USD,-0.0961538461538441,308509,463108241.0326924,USD,35.939121411276375,0.2891,,0.0,,Finance,Finance,america
20,NASDAQ,DEVS,DevvStream Corp.,devvstream,stock,['common'],18.298735315256113,2.67,100,1,false,0,USD,1.9083969465648787,3924140,9456253.396946566,USD,,,,0.0,,Commercial services,Commercial Services,america
21,NASDAQ,EFOI,"Energy Focus, Inc.",energy-focus,stock,['common'],15.978909010600733,3.111,100,1,false,0,USD,27.187244480784955,115764,17032306.553965658,USD,,-0.2133,68.34841964683189,0.0,,Producer manufacturing,Producer Manufacturing,america
22,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],15.747877156265538,1.24,100,1,false,0,USD,-55.39568345323741,108249032,1045686046.8,USD,,-0.8621,-110.06335282651072,0.0,1.0,Health services,Health Services,america
23,NYSE,SRL,Scully Royalty Ltd.,scully-royalty-ltd,stock,['common'],14.685393258426966,5.25,100,1,false,0,USD,2.1400778210116793,18298,77816817.6070039,USD,,-1.0218,-1568.1034482758625,5.05836575875486,,Non-energy minerals,Non-Energy Minerals,america
24,NASDAQ,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",lulu-s-fashion-lounge,stock,['common'],13.928249648583902,5.17,100,1,false,0,USD,16.17977528089887,1722125,14211967.519101122,USD,,-17.8524,-74.47103779208975,0.0,,Retail trade,Retail Trade,america
25,NASDAQ,SVII,Spring Valley Acquisition Corp. II,spring-valley-acquisition-ii,stock,['common'],13.90093373413849,12.19,100,1,false,0,USD,1.1618257261410687,156765,120438366.39585061,USD,118.12015503875969,0.1032,-71.85710389964548,0.0,,Finance,Finance,america
26,AMEX,ATCH,"AtlasClear Holdings, Inc.",atlasclear-holdings-inc,stock,['common'],13.622133369584622,0.99,10000,1,false,0,USD,153.84615384615384,498060085,6082813.0,USD,,,,0.0,,Technology services,Technology Services,america
27,NASDAQ,BRY,Berry Corporation (bry),berry-corporation,stock,['common'],13.11242904797322,4.01,100,1,false,0,USD,21.148036253776425,15618268,311181587.347432,USD,62.267080745341616,0.0644,,3.62537764350453,1.583333,Energy minerals,Energy Minerals,america
28,NASDAQ,GECC,Great Elm Capital Corp.,great-elm-725-notes-due-2027,stock,['common'],13.029117541317184,11.08,100,1,false,0,USD,-1.8600531443755457,1406118,128177621.74313551,USD,7.0672279627503505,1.5678,13.362255965292846,12.7546501328609,1.5,Miscellaneous,Miscellaneous,america
29,NASDAQ,GLRE,"Greenlight Reinsurance, Ltd.",greenlight-reinsurance-ltd,stock,['common'],12.440788526911668,12.55,100,1,false,0,USD,0.6415396952686453,1028740,429186800.1122694,USD,11.45700200839876,1.0954,-42.19830088121999,0.0,2.0,Finance,Finance,america
30,NASDAQ,ADGM,"Adagio Medical Holdings, Inc",adagio-medical,stock,['common'],12.419208317653133,1.68,100,1,false,0,USD,-2.325581395348839,709528,25841029.395348836,USD,,-4.9442,71.02351313969571,0.0,,Health technology,Health Technology,america
31,NYSE,OTF,Blue Owl Technology Finance Corp.,blue-owl,stock,['common'],12.001400727254644,15.13,100,1,false,0,USD,2.9251700680272212,2606379,7067855110.814965,USD,8.359116022099448,1.81,44.800000000000004,0.0,1.714286,Finance,Finance,america
32,NASDAQ,FAAS,DigiAsia Corp.,stonebridge-acquisition,stock,['common'],11.506414125238123,0.1261,10000,1,false,0,USD,-39.19932111533807,37843954,7653240.462104445,USD,,,,0.0,,Technology services,Technology Services,america
33,NASDAQ,HAIN,"The Hain Celestial Group, Inc.",hain-celestial,stock,['common'],11.140558201814644,1.62,100,1,false,0,USD,-24.65116279069767,12779468,146210654.93023258,USD,,-2.8964,-186.17725521193555,0.0,1.666667,Consumer non-durables,Consumer Non-Durables,america
34,NASDAQ,DALN,DallasNews Corporation - Series A,dallasnews,stock,['common'],10.891077050924316,15.84,100,1,false,0,USD,10.862262038073906,304056,84783808.42105262,USD,,-0.9646,-46.21797786872822,0.0,,Consumer services,Consumer Services,america
35,NASDAQ,CSBR,"Champions Oncology, Inc.",champions-oncology,stock,['common'],10.521178193783985,8.3,100,1,false,0,USD,21.52269399707175,209746,114443890.13177161,USD,25.54632194521391,0.3249,,0.0,1.0,Health technology,Health Technology,america
36,NASDAQ,NETD,Nabors Energy Transition Corp. II,nabors-energy-transition-ii,stock,['common'],10.430982911540562,11.24,100,1,false,0,USD,-0.17761989342806014,40104,239972465.73001778,USD,54.85602733040508,0.2049,-47.7295918367347,0.0,,Finance,Finance,america
37,NASDAQ,RCT,RedCloud Holdings plc,redcloud-plc,stock,['common'],10.370441282362505,1.115,100,1,false,0,USD,-5.508474576271182,3239030,49312695.85169492,USD,,,,0.0,1.0,Technology services,Technology Services,america
38,NASDAQ,AIRG,"Airgain, Inc.",airgain,stock,['common'],9.764943551852493,4.31,100,1,false,0,USD,4.866180048661783,174979,51303160.08029196,USD,,-0.5869,49.73880277468528,0.0,1.0,Electronic technology,Electronic Technology,america
39,AMEX,APUS,"Apimeds Pharmaceuticals US, Inc.",apimeds-pharmaceuticals-us,stock,['common'],9.178217874720298,2.02,100,1,false,0,USD,-2.8846153846153872,686639,25403485.66,USD,,-0.3154,-181.35593220338984,0.0,,Health technology,Health Technology,america
40,NASDAQ,SCKT,"Socket Mobile, Inc.",socket-mobile,stock,['common'],9.121021201994193,1.055,100,1,false,0,USD,3.9408866995073932,83243,8399342.48275862,USD,,-0.3686,-44.3791617704661,0.0,,Electronic technology,Electronic Technology,america
41,NASDAQ,WBTN,WEBTOON Entertainment Inc.,webtoon-entertainment,stock,['common'],9.118328071785468,14.96,100,1,false,0,USD,5.056179775280904,4353905,1953899783.4943821,USD,,-0.776,44.41658906955089,0.0,1.333333,Technology services,Technology Services,america
42,NASDAQ,HYFT,MindWalk Holdings Corp.,,stock,['common'],9.086834884683215,1.76,100,1,false,0,USD,-20.361990950226243,11309611,81231248.65158372,USD,,-0.6682,12.240609403729966,0.0,1.0,Health technology,Health Technology,america
43,NASDAQ,TAVI,Tavia Acquisition Corp.,tavia-acquisition,stock,['common'],8.958141339671146,10.3126,100,1,false,0,USD,0.02521823472356226,36938,164185182.3958,USD,92.57271095152603,0.1114,,0.0,,Finance,Finance,america
