,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:A,A,"Agilent Technologies, Inc.",agilent-technologies,streaming,stock,['common'],32353457608.132233,USD,113.48,100,1,false,0,USD,0.03526093088858097,2245772,26.079562429618736,4.3513,3.6542080564091672,0.853314527503526,Health technology,Health Technology,america,1.477273,1.0386692435925733
1,NYSE:AA,AA,Alcoa Corporation,alcoa,streaming,stock,['common'],7453798437.711663,USD,28.79,100,1,false,0,USD,-2.1081264875892587,4337425,8.521785460573051,3.3784,,1.36008160489629,Non-energy minerals,Non-Energy Minerals,america,1.384615,0.5652687529603757
2,NASDAQ:AACB,AACB,Artius II Acquisition Inc.,,streaming,stock,['common'],294882000.0,USD,10.03,100,1,false,0,USD,0.19980019980019556,3914,,,,0.0,Finance,Finance,america,,0.15207382224380767
3,NYSE:AACT,AACT,Ares Acquisition Corporation II,ares-management,streaming,stock,['common'],697777520.0,USD,11.28,100,1,false,0,USD,0.0,75851,31.211953514111787,0.3614,-3.083936712255299,0.0,Finance,Finance,america,,0.11440785402202787
4,NASDAQ:AAL,AAL,"American Airlines Group, Inc.",american-airlines-group,streaming,stock,['common'],7683318411.892918,USD,11.65,100,1,false,0,USD,-1.770657672849908,43818844,13.449549757561766,0.8662,45.165074576839274,0.0,Transportation,Transportation,america,1.519231,0.7220719677664242
5,NYSE:AAM,AAM,AA Mission Acquisition Corp.,aa-mission-acquisition,streaming,stock,['common'],544399650.0,USD,10.35,100,1,false,0,USD,0.0,31696,49.21540656205421,0.2103,,0.0,Finance,Finance,america,,1.0880169161640676
6,NASDAQ:AAME,AAME,Atlantic American Corporation,atlantic-americanrporation,streaming,stock,['common'],34879260.715116285,USD,1.71,100,1,false,0,USD,-0.5813953488372098,9357,,-0.0915,-40.337423312883445,1.16279069767442,Finance,Finance,america,,0.529272017648057
7,NYSE:AAMI,AAMI,Acadian Asset Management Inc.,brightsphere-investment,streaming,stock,['common'],1077795640.079418,USD,30.11,100,1,false,0,USD,-0.3639973527465236,188067,12.530692080402847,2.4029,46.93939949856294,0.132362673726009,Finance,Finance,america,2.0,0.5505551600256678
8,NASDAQ:AAOI,AAOI,"Applied Optoelectronics, Inc.",applied-optoelectronics,streaming,stock,['common'],1053121065.2016807,USD,18.96,100,1,false,0,USD,-0.4201680672268818,2004969,,-3.8652,-111.10929051286253,0.0,Electronic technology,Electronic Technology,america,1.3,0.4186922129248839
9,NASDAQ:AAON,AAON,"AAON, Inc.",aaon-inc,streaming,stock,['common'],8505203120.657703,USD,104.53,100,1,false,0,USD,-1.715951295190638,381495,54.91751602395713,1.9034,-11.547934383568007,0.319684076912228,Producer manufacturing,Producer Manufacturing,america,1.4375,0.6182934940733802
