,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:SYTA,SYTA,"Siyata Mobile, Inc.",siyata-mobile,streaming,stock,['common'],12277233.0,USD,8.19,100,1,false,0,USD,101.2285012285012,128663965,,-132.7291,81.57843603428351,0.0,Electronic technology,Electronic Technology,america,2.0,4.615541178233506
1,NASDAQ:EDBL,EDBL,Edible Garden AG Incorporated,,streaming,stock,['common'],5958950.4,USD,3.6,100,1,false,0,USD,80.0,90904581,,-59.4832,94.95620837166709,0.0,Process industries,Process Industries,america,1.0,1284.1643393243855
2,AMEX:NRXS,NRXS,"Neuraxis, Inc.",neuraxis,streaming,stock,['common'],28791297.360000007,USD,3.99,100,1,false,0,USD,75.77092511013217,90732073,,-1.2374,62.82186101012529,0.0,Health technology,Health Technology,america,1.0,2986.739646392326
3,AMEX:SATX,SATX,SatixFy Communications Ltd.,satixfy-communications-ltd,streaming,stock,['common'],254749677.0,USD,2.94,100,1,false,0,USD,44.11764705882352,8191796,,-0.5437,-43.49432567959882,0.0,Electronic technology,Electronic Technology,america,2.0,40.4899644962576
4,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,streaming,stock,['common'],368701242.6813881,USD,178.4,100,1,false,0,USD,40.69400630914827,349905,,-1.8085,51.44053916172167,0.0,Finance,Finance,america,,1.6189179823175412
5,NASDAQ:CEP,CEP,"Cantor Equity Partners, Inc.",cantor-equity-partners,streaming,stock,['common'],609023999.9999999,USD,47.58,100,1,false,0,USD,30.930104567969163,4411376,267.60404949381325,0.1778,,0.0,Finance,Finance,america,,1.52868378618853
6,NASDAQ:WFF,WFF,WF Holding Limited,wf-limited,streaming,stock,['common'],141063999.99999997,USD,5.6,100,1,false,0,USD,30.23255813953488,419106,,,,0.0,Process industries,Process Industries,america,,35.7696640721016
7,NASDAQ:RGC,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,streaming,stock,['common'],5849934054.248134,USD,449.55,100,1,false,0,USD,27.707335863901562,55592,,,,0.0,Health technology,Health Technology,america,,0.3969433817302653
8,NASDAQ:SDM,SDM,Smart Digital Group Limited,,streaming,stock,['common'],,USD,5.98,100,1,false,0,USD,26.694915254237305,350709,,,,,Commercial services,Commercial Services,america,,1.4860878290538606
9,NYSE:QBTS,QBTS,D-Wave Quantum Inc.,d-wave-quantum,streaming,stock,['common'],4838687362.5673,USD,16.56,100,1,false,0,USD,25.931558935361203,308819381,,-0.6043,-13.504883546205853,0.0,Electronic technology,Electronic Technology,america,1.0,3.130681252660361
10,NASDAQ:AKRO,AKRO,"Akero Therapeutics, Inc.",akero-therapeutics,streaming,stock,['common'],3792164623.0513897,USD,47.57,100,1,false,0,USD,24.724698479286836,6819410,,-3.7479,-17.037754114230392,0.0,Health technology,Health Technology,america,1.0,5.103814735553869
