,ticker,name,description,logoid,update_mode,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:RGC,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,streaming,stock,['common'],7986.080586080586,441.5,100,1,false,0,USD,6.385542168674699,18805,5745180347.510843,USD,,,,0.0,Health technology,Health Technology,america,,0.24184473323773575
1,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,streaming,stock,['common'],3343.290480327518,42.5,100,1,false,0,USD,19.61722488038277,5161302,614846466.507177,USD,,-0.2584,51.42857142857142,0.0,Finance,Finance,america,,2.6057229771915864
2,NASDAQ:NUTX,NUTX,Nutex Health Inc.,nutex-health,streaming,stock,['common'],2119.997256892059,161.86,100,1,false,0,USD,-4.224852071005909,138266,900860814.433018,USD,13.59676755458112,11.9043,,0.0,Health services,Health Services,america,1.0,0.7816372401816242
3,NASDAQ:QUBT,QUBT,Quantum Computing Inc.,quantum-computing,streaming,stock,['common'],1551.1627906976746,12.07,100,1,false,0,USD,14.516129032258076,45714663,1700705648.096774,USD,,-0.4776,-39.97655334114889,0.0,Technology services,Technology Services,america,1.0,1.3962418292793384
4,NYSE:QBTS,QBTS,D-Wave Quantum Inc.,d-wave-quantum,streaming,stock,['common'],1435.483870967742,19.04,100,1,false,0,USD,23.958333333333332,243271394,5563321738.40625,USD,,-0.6043,-13.504883546205853,0.0,Electronic technology,Electronic Technology,america,1.0,1.642687174919949
5,NASDAQ:DGNX,DGNX,Diginex Limited,diginex-limited,streaming,stock,['common'],1420.892018779343,64.79,100,1,false,0,USD,-2.498118886380732,75728,1489765904.77,USD,,-0.2462,,0.0,Technology services,Technology Services,america,,1.4770258198655761
6,NASDAQ:RGTI,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,streaming,stock,['common'],1126.5486725663718,13.86,100,1,false,0,USD,26.459854014598527,165195845,4023875075.3211675,USD,,-0.6999,-33.51774132010682,0.0,Electronic technology,Electronic Technology,america,1.0,2.1588916694872906
7,NASDAQ:MNPR,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,streaming,stock,['common'],1060.065466448445,35.44,100,1,false,0,USD,-0.33745781777279116,15976,216723188.3059617,USD,,-3.9851,-51.31758809234509,0.0,Health technology,Health Technology,america,1.25,0.8308802879164524
8,AMEX:AREN,AREN,"The Arena Group Holdings, Inc.",the-arena,streaming,stock,['common'],936.4071219771458,7.8,100,1,false,0,USD,-4.411764705882357,317323,370975412.86764705,USD,139.28571428571428,0.056,,0.0,Technology services,Technology Services,america,,0.8689543181681262
9,AMEX:UAMY,UAMY,United States Antimony Corporation,united-states-antimony,streaming,stock,['common'],872.7479182437546,2.57,100,1,false,0,USD,2.7999999999999936,1951776,303062022.62,USD,,-0.0085,84.40366972477064,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,0.4990331784439868
10,NASDAQ:AZ,AZ,A2Z Cust2Mate Solutions Corp.,a2z-smart-technologies,streaming,stock,['common'],844.4155844155844,9.09,100,1,false,0,USD,2.020202020202017,155097,317122383.1515152,USD,,-1.0767,-22.88290344670167,0.0,Finance,Finance,america,1.0,0.6019014399344299
11,NASDAQ:MVST,MVST,"Microvast Holdings, Inc.",microvast,streaming,stock,['common'],798.7341772151898,3.55,100,1,false,0,USD,-0.5602240896358549,9102821,1154961840.7282913,USD,,-0.4479,-37.90024630541873,0.0,Producer manufacturing,Producer Manufacturing,america,1.333333,0.5591267804765206
12,NASDAQ:TSSI,TSSI,"TSS, Inc.",tss,streaming,stock,['common'],781.294964028777,12.25,100,1,false,0,USD,8.024691358024691,2139033,306501107.71604943,USD,34.50704225352113,0.355,814.9484536082474,0.0,Technology services,Technology Services,america,,0.407622829499089
13,NASDAQ:PSIX,PSIX,"Power Solutions International, Inc.",power-solutions-international,streaming,stock,['common'],762.5570776255707,37.78,100,1,false,0,USD,3.1958481289265275,355169,869250519.4028955,USD,10.70527896630869,3.5291,172.98112623762376,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.9074366993605744
14,NASDAQ:EOSE,EOSE,"Eos Energy Enterprises, Inc.",eos-energy-enterprises,streaming,stock,['common'],749.2569002123142,6.0,100,1,false,0,USD,1.1804384485666153,6971053,1365546988.5328836,USD,,-4.4203,-174.17814166976802,0.0,Producer manufacturing,Producer Manufacturing,america,1.571429,0.705923648806232
15,NASDAQ:SEZL,SEZL,Sezzle Inc.,sezzle,streaming,stock,['common'],711.3311786145781,101.66,100,1,false,0,USD,2.572898799313891,891314,3383884958.487135,USD,34.35968499678913,2.9587,676.3579113093675,0.0,Technology services,Technology Services,america,1.0,0.44939250781231366
16,NASDAQ:ASST,ASST,Asset Entities Inc.,asset-entities,streaming,stock,['common'],632.9577464788732,13.01,100,1,false,0,USD,61.81592039800996,37600172,205194294.44651744,USD,,-1.3462,28.431685273790535,0.0,Commercial services,Commercial Services,america,,0.8995446805566975
