,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:INAB,INAB,"IN8bio, Inc.",,streaming,stock,['common'],10901705.1790829,USD,4.17,100,1,false,0,USD,-96.1421038023869,520489,,-14.7729,45.78135494313115,0.0,Health technology,Health Technology,america,1.0,1.2537674843036084
1,NASDAQ:MWYN,MWYN,"Marwynn Holdings, Inc.",marwynn,streaming,stock,['common'],168152489.3,USD,2.855,100,1,false,0,USD,-71.0446247464503,6067713,,,,0.0,Retail trade,Retail Trade,america,,5.592883355306196
2,NASDAQ:VERA,VERA,"Vera Therapeutics, Inc.",vera-therapeutics,streaming,stock,['common'],1447673271.3287625,USD,22.7,100,1,false,0,USD,-25.889650669278485,12638153,,-2.9965,-46.7002839518261,0.0,Health technology,Health Technology,america,1.071429,3.8857511372248794
3,NASDAQ:WOOF,WOOF,"Petco Health and Wellness Company, Inc.",petco-health-and-wellness,streaming,stock,['common'],769630651.7403313,USD,2.775,100,1,false,0,USD,-23.342541436464092,24437251,,-0.2437,95.0714906869982,0.0,Retail trade,Retail Trade,america,2.038462,5.621634288943835
4,NASDAQ:MCTR,MCTR,CTRL Group Limited,ctrl-limited,streaming,stock,['common'],88127999.99999999,USD,5.76,100,1,false,0,USD,-22.16216216216217,3340894,2504.3478260869565,0.0023,,0.0,Electronic technology,Electronic Technology,america,,0.42540095311936577
5,NASDAQ:YSXT,YSXT,"YSX Tech. Co., Ltd",ysx-tech-co-ltd,streaming,stock,['common'],129502507.1106383,USD,5.57,100,1,false,0,USD,-20.992907801418433,320651,,,,0.0,Finance,Finance,america,,3.9712102090684254
6,NASDAQ:MULN,MULN,"Mullen Automotive, Inc.",mullen-automotive,streaming,stock,['common'],5119346.104808878,USD,6.41,100,1,false,0,USD,-20.961775585696664,3791351,,-505005847.6198,99.3037844756923,0.0,Technology services,Technology Services,america,,0.8438542855991676
7,NASDAQ:LULU,LULU,lululemon athletica inc.,lululemon-athletica,streaming,stock,['common'],33229460555.80957,USD,265.27,100,1,false,0,USD,-19.80470403289195,16097995,18.102101118458314,14.6541,17.42914152462917,0.0,Consumer non-durables,Consumer Non-Durables,america,1.571429,6.069485717060681
8,NASDAQ:DOCU,DOCU,"DocuSign, Inc.",docusign,streaming,stock,['common'],15244393228.930891,USD,75.28,100,1,false,0,USD,-18.96663078579118,22583849,14.22255809559796,5.293,930.3679190188825,0.0,Technology services,Technology Services,america,1.869565,7.5608170424044685
9,NASDAQ:GIII,GIII,"G-III Apparel Group, LTD.",g-iii-apparel,streaming,stock,['common'],974527648.4593422,USD,22.51,100,1,false,0,USD,-18.648355619804843,2374336,5.263157894736842,4.2769,13.259361262645003,0.0,Consumer non-durables,Consumer Non-Durables,america,2.0,4.014103163406163
10,NASDAQ:OBLG,OBLG,Oblong Inc.,oblong,streaming,stock,['common'],4107406.9588313415,USD,3.1,100,1,false,0,USD,-17.66268260292165,1803593,,-14.3841,70.6753351599961,0.0,Electronic technology,Electronic Technology,america,,60.41378039793663
11,NASDAQ:BRZE,BRZE,"Braze, Inc.",braze,streaming,stock,['common'],3206726082.0141277,USD,29.73,100,1,false,0,USD,-17.645429362880886,7737296,,-1.0092,21.19934410869055,0.0,Technology services,Technology Services,america,1.090909,7.6748427347304045
12,NASDAQ:ASST,ASST,Asset Entities Inc.,asset-entities,streaming,stock,['common'],95565446.20549928,USD,5.76,100,1,false,0,USD,-16.642547033285098,5760674,,-1.3462,28.431685273790535,0.0,Commercial services,Commercial Services,america,,0.54871669847216
