,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:UNCY,unicycive-therapeutics,UNCY,0.49,-0.41000000000000003,-45.55555555555556,6830929,6.48888888888889,0.5321,-40.87777777777778,49937954,64186838.11433334,124.97319762487962,"Unicycive Therapeutics, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
1,NASDAQ:BIYA,baiya-international,BIYA,2.52,-1.4500000000000002,-36.523929471032744,284107,-14.86146095717885,1.97,-50.377833753148614,2158158,,,Baiya International Group Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:OMH,ohmyhome-limited,OMH,1.56,-0.8500000000000001,-35.26970954356847,922657,-29.460580912863076,1.78,-26.141078838174277,6473005,11453346.4813278,-0.8691202130139395,Ohmyhome Limited,stock,['common'],streaming,100,1,false,0,USD,USD
3,NASDAQ:CTXR,citius-pharmaceuticals,CTXR,1.02,-0.3500000000000001,-25.547445255474454,1331969,-16.788321167883225,1.06,-22.627737226277375,5765599,10907755.138686132,-93.86312690385552,"Citius Pharmaceuticals, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:SAFX,,SAFX,27.03,-9.189999999999998,-25.372722252898942,299,-25.372722252898942,23.8,-34.290447266703474,152629,135941363.6,47.29756731298678,XCF GLOBAL INC,stock,['common'],streaming,100,1,false,0,USD,USD
5,NYSE:DBI,designer-brands,DBI,2.85,-0.8799999999999999,-23.59249329758713,296657,0.26809651474531454,3.05,-18.23056300268097,8637205,148297635.5898123,-67.98947406403367,Designer Brands Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
6,NASDAQ:LAKE,lakeland-industries,LAKE,14.8,-4.559999999999999,-23.553719008264455,36849,-15.599173553719007,15.07,-22.159090909090907,1462712,143331359.25568184,32.01955901388547,"Lakeland Industries, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:LQDA,liquidia,LQDA,14.5,-3.5199999999999996,-19.5338512763596,532482,-0.0554938956714651,14.98,-16.87014428412874,11667705,1280558141.6881242,30.539713215586364,Liquidia Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
8,NASDAQ:AIRS,airsculpt-technologies,AIRS,4.16,-0.8899999999999997,-17.623762376237618,1214558,-14.653465346534658,5.12,1.3861386138613918,4216731,300952843.65940595,9.270971966999399,"AirSculpt Technologies, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
9,NASDAQ:CLRO,clearone,CLRO,5.49,-0.9584999999999999,-14.863921842288901,104,-14.863921842288901,6.005,-6.877568426765918,41101,167660992.0,-47.024593370408,"ClearOne, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
10,AMEX:KNW,know-labs,KNW,2.61,-0.43000000000000016,-14.144736842105269,1053768,-6.249999999999998,3.02,-0.6578947368421059,10800921,22650000.0,-92.08889084525434,"Know Labs, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
11,NASDAQ:CVGW,calavo-growers,CVGW,23.89,-3.789999999999999,-13.692196531791906,43401,-14.017341040462425,23.18,-16.257225433526013,1678585,413450255.0715318,2.6838867665783415,"Calavo Growers, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
12,NASDAQ:ONDS,ondas,ONDS,1.47,-0.20999999999999996,-12.499999999999998,3760960,-10.119047619047615,1.52,-9.523809523809518,32725346,208888340.61904764,199.84095500891297,Ondas Holdings Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
13,NASDAQ:CMTL,comtech,CMTL,2.23,-0.31000000000000005,-12.20472440944882,55069,-6.2992125984252025,2.08,-18.11023622047244,1894088,61040926.36220473,-5.026703445506287,Comtech Telecommunications Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
14,NASDAQ:UTHR,united-therapeutics,UTHR,288.5,-39.89999999999998,-12.149817295980506,39259,-1.1023142509135215,281.36,-14.323995127892802,2800400,12691198589.49184,20.434251808761786,United Therapeutics Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
15,NASDAQ:LIMN,liminatus-pharma,LIMN,23.0,-3.0,-11.538461538461538,3011,-4.692307692307688,22.42,-13.769230769230761,124136,583248076.1715385,-52.4236427154903,"Liminatus Pharma, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
16,NASDAQ:NAMM,,NAMM,20.0,-2.5500000000000007,-11.308203991130823,3504,-7.228381374722834,19.86,-11.92904656319291,107918,290765712.06,-5.156742716922705,Hennessy Capital Investment Corp. VI,stock,['common'],streaming,100,1,false,0,USD,USD
17,NASDAQ:ZBAI,atif-limited,ZBAI,0.3734,-0.046599999999999975,-11.09523809523809,465374,0.2857142857142939,0.3797,-9.595238095238095,1776336,6575435.765,59.7082143256931,ATIF Holdings Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
18,NASDAQ:INDP,indaptus-therapeutics,INDP,0.3068,-0.0358,-10.44950379451255,3167656,-0.7589025102159928,0.3295,-3.823701109165207,4064891,5283349.765032107,-69.71265837949747,"Indaptus Therapeutics, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
19,NASDAQ:IMCC,im-cannabis,IMCC,2.38,-0.27,-10.18867924528302,10811,-10.18867924528302,2.62,-1.1320754716981059,65665,8083884.43773585,108.56969152392367,IM Cannabis Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
20,NYSE:IOT,samsara,IOT,40.2,-4.489999999999995,-10.046990378160652,150238,0.0,41.94,-6.153501901991498,18677140,23877949171.944057,34.16640486038897,Samsara Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
21,NASDAQ:AIHS,senmiao-technology,AIHS,0.9886,-0.10140000000000005,-9.302752293577985,3524621,-8.348623853211016,1.4,28.44036697247705,12530160,14725256.513761466,18.87659181232479,Senmiao Technology Limited,stock,['common'],streaming,100,1,false,0,USD,USD
22,NASDAQ:OFAL,,OFAL,1.81,-0.17999999999999994,-9.045226130653264,173129,0.0,2.14,7.537688442211062,660451,,,OFA Group,stock,['common'],streaming,100,1,false,0,USD,USD
23,NASDAQ:BLNE,beeline,BLNE,0.687,-0.06799999999999995,-9.006622516556284,903562,5.284768211920536,0.6949,-7.960264900662257,4313713,6296778.825165563,305.9799018218464,"Beeline Holdings, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
24,NASDAQ:CTOR,citius-pharmaceuticals,CTOR,1.12,-0.10999999999999988,-8.943089430894299,153218,-9.7560975609756,1.28,4.065040650406507,773647,91587071.99999999,-15.713177242437094,"Citius Oncology, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
25,NASDAQ:PYPD,polypid-ltd,PYPD,3.06,-0.2999999999999998,-8.928571428571423,184358,-9.226190476190478,3.5,4.1666666666666705,1649506,35668164.583333336,31.70791057010182,PolyPid Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
26,AMEX:OGEN,oragenics,OGEN,3.95,-0.3799999999999999,-8.775981524249419,15386,-4.6189376443418055,4.51,4.157043879907615,79330,3228451.7321016164,-68.89346480372815,Oragenics Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
27,NASDAQ:SEZL,sezzle,SEZL,120.88,-11.280000000000001,-8.535108958837775,10440,-5.493341404358347,122.83,-7.059624697336561,2585174,4088555954.8258924,689.7882609510009,Sezzle Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
28,NYSE:TGE,,TGE,11.03,-1.0200000000000014,-8.464730290456442,28717,-6.639004149377599,11.44,-5.0622406639004245,336078,,,The Generation Essentials Group,stock,['common'],streaming,100,1,false,0,USD,USD
29,AMEX:NCL,northann,NCL,0.247,-0.02100000000000002,-7.835820895522394,2217375,12.313432835820885,0.23,-14.179104477611942,15434144,21956812.686567165,771.5344616854799,Northann Corp.,stock,['common'],streaming,10000,1,false,0,USD,USD
30,NASDAQ:MKDW,mkdwell-tech,MKDW,0.2761,-0.0232,-7.751419979953224,262745,-14.634146341463417,0.305,1.9044437019712603,1151377,43803896.19111259,5.530550126860861,MKDWELL Tech Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
31,NASDAQ:DTCK,davis-commodities-limited,DTCK,0.6467,-0.05349999999999999,-7.640674093116251,58078,-5.741216795201373,0.7,-0.028563267637830472,342745,17150438.199999996,,Davis Commodities Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
32,NASDAQ:VLCN,volcon,VLCN,0.605,-0.047599999999999976,-7.293901317805697,112062,0.9806926141587606,0.6524,-0.03064664419245755,388882,2841771.8253141274,-46.304812941152946,"Volcon, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
33,NASDAQ:IVF,invo-fertility,IVF,1.4002,-0.10980000000000012,-7.271523178807955,20334,0.0,1.42,-5.960264900662257,115739,3068806.1986754965,6.97491997793464,"INVO Fertility, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
34,NASDAQ:TWG,top-wealth-limited,TWG,0.1062,-0.008300000000000002,-7.248908296943232,683256,-2.7947598253275183,0.1218,6.3755458515283845,4380684,6820800.0,-73.87423846768893,Top Wealth Group Holding Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
35,AMEX:MCRP,micropolis-company,MCRP,2.9001,-0.22489999999999988,-7.196799999999996,8997,-7.200000000000002,3.05,-2.4000000000000057,78779,106409763.35,,Micropolis Holding Company,stock,['common'],streaming,100,1,false,0,USD,USD
36,NASDAQ:LPCN,lipocine,LPCN,3.13,-0.2400000000000002,-7.121661721068255,595,-6.824925816023739,3.3,-2.077151335311581,72515,17656174.094955485,-51.709793818730695,Lipocine Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
37,NYSE:SJM,smucker,SJM,104.0,-7.849999999999994,-7.0183281180151935,67188,-0.31291908806436686,94.41,-15.59231113097899,13915559,10046792801.30532,4.423686606201699,The J.M. Smucker Company,stock,['common'],streaming,100,1,false,0,USD,USD
38,NASDAQ:WLGS,wang-and-lee-group,WLGS,0.11,-0.008099999999999996,-6.858594411515662,6097766,14.309906858594424,0.0812,-31.244707874682476,66888876,1719009.278,,"Wang & Lee Group, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
39,NASDAQ:CMBM,cambium-networks,CMBM,0.3436,-0.02429999999999999,-6.605055721663493,23119,-5.9527045392769855,0.3692,0.3533568904593552,623632,10427614.954063604,-88.57726169999728,Cambium Networks Corporation,stock,['common'],streaming,10000,1,false,0,USD,USD
40,NASDAQ:STAK,stak,STAK,1.71,-0.1200000000000001,-6.557377049180333,3159,-1.6393442622950833,1.69,-7.650273224043723,41339,,,STAK Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
41,NASDAQ:GMHS,gamehaus,GMHS,1.75,-0.1200000000000001,-6.417112299465246,454,-6.417112299465246,1.76,-5.8823529411764754,6069,94282103.52941175,1.3348331895485601,Gamehaus Holdings Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
42,NASDAQ:BNAI,brand-engagement-network,BNAI,0.4955,-0.03270000000000001,-6.19083680424082,3196563,9.76902688375615,0.482,-8.746686861037489,6370655,20720888.901931085,-87.85423548570701,Brand Engagement Network Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
43,NASDAQ:BDSX,biodesix,BDSX,0.2719,-0.017800000000000038,-6.144287193648615,4377205,1.4842940973420677,0.33,13.910942354159475,11174977,48365801.27718329,-69.18713423814802,"Biodesix, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
44,NASDAQ:BZAI,blaize,BZAI,2.3,-0.15000000000000036,-6.122448979591851,1000,-6.122448979591851,2.52,2.8571428571428505,355058,256243469.14285713,22.261119504844903,"Blaize Holdings, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
45,NASDAQ:MWYN,marwynn,MWYN,1.8402,-0.1197999999999999,-6.1122448979591795,53856,-1.5306122448979604,1.425,-27.295918367346932,1458585,24301957.125,,"Marwynn Holdings, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
46,NASDAQ:IDAI,t-stamp,IDAI,2.03,-0.13000000000000034,-6.018518518518533,814,-2.314814814814827,2.14,-0.9259259259259267,30918,5313215.777777779,-9.192807638090368,T Stamp Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
47,AMEX:INUV,inuvo,INUV,3.75,-0.2360000000000002,-5.920722528850984,2259,-2.408429503261417,3.54,-11.189162067235326,616341,575977009.0,50.20739722559053,"Inuvo, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
48,AMEX:TOPP,toppoint,TOPP,1.75,-0.1100000000000001,-5.913978494623661,100,-5.913978494623661,1.88,1.0752688172042901,10430,32899999.999999993,,Toppoint Holdings Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
49,NASDAQ:TELA,tela-bio,TELA,1.75,-0.1100000000000001,-5.913978494623661,500,-5.913978494623661,1.92,3.225806451612894,165406,75945579.35483871,-61.1767104278589,"TELA Bio, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
50,NASDAQ:JZXN,jiuzi,JZXN,3.99,-0.25,-5.896226415094339,5312,-4.481132075471707,3.27,-22.877358490566042,51145,36007239.43867924,17.638880238699933,"Jiuzi Holdings, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
51,NASDAQ:SCPH,scpharmaceuticals,SCPH,4.0,-0.25,-5.88235294117647,101,-5.88235294117647,4.27,0.47058823529410765,235636,225421741.53882352,29.626410866347282,scPharmaceuticals Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
