,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,AMEX:AIM,,AIM,11.5,11.3823,9670.603228547156,356,10775.106202209006,10.15,8523.619371282923,97547,7757024.247368421,-70.10857759813946,AIM ImmunoTech Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
1,NASDAQ:SLRX,salarius-pharmaceuticals,SLRX,1.24,0.6149,98.36826107822748,25980206,88.7697968325068,1.05,67.97312430011199,54146803,2233649.496080627,-23.76093532529701,"Salarius Pharmaceuticals, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:VERV,verve-therapeutics,VERV,11.04,4.77,76.07655502392345,8097921,75.9170653907496,11.38,81.49920255183416,83439303,1014450002.5933018,-4.9871679378265235,"Verve Therapeutics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
3,NASDAQ:CHSN,chanson-international,CHSN,0.2224,0.015899999999999997,7.699757869249393,2417027,70.50847457627121,0.2165,4.842615012106542,7826064,5910386.046004843,-40.46879121175809,Chanson International Holding,stock,['common'],streaming,10000,1,false,0,USD,USD
4,NYSE:BGSF,bgsf,BGSF,5.6,1.58,39.30348258706468,464415,59.203980099502516,5.37,33.58208955223883,1788264,59653681.59701493,-31.456092092190417,"BGSF, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
5,NASDAQ:INEO,sag-limited,INEO,1.38,0.2699999999999998,24.324324324324305,8214205,35.13513513513512,1.62,45.945945945945944,20850965,15997499.999999998,,INNEOVA Holdings Limited,stock,['common'],streaming,100,1,false,0,USD,USD
6,NASDAQ:RELI,reliance-industrial-infrastructure,RELI,1.43,0.25,21.186440677966104,1523111,29.661016949152554,2.17,83.89830508474576,19282969,6455551.389830508,59.886303584720245,"Reliance Global Group, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
7,NYSE:VNCE,vince,VNCE,1.55,-0.1299999999999999,-7.738095238095231,456635,25.00000000000001,1.48,-11.904761904761903,850281,19007738.666666668,-27.00225056741627,Vince Holding Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
8,NASDAQ:RBNE,robin-energy-ltd,RBNE,6.81,1.29,23.369565217391305,378190,24.456521739130448,10.59,91.84782608695653,45439297,13174760.64,,Robin Energy Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
9,NASDAQ:HLP,hongli,HLP,0.98,0.04999999999999993,5.376344086021498,7758,23.65591397849461,0.928,-0.21505376344086038,39533,68151161.49677421,283.8378579851361,Hongli Group Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
10,AMEX:HUSA,,HUSA,11.96,1.3600000000000012,12.830188679245294,169785,20.66037735849056,20.0,88.67924528301887,18270130,31373060.37735849,-47.29917895040092,Houston American Energy Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
11,NYSE:NINE,nine-energy-service,NINE,0.672,0.04190000000000005,6.64973813680369,434349,20.615775273766072,0.7641,21.266465640374545,14046440,32358599.384383433,-63.378473428313214,"Nine Energy Service, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
