,ticker,name,description,logoid,update_mode,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
0,NASDAQ:BOTJ,BOTJ,"Bank of the James Financial Group, Inc.",bank-of-the-james-financial,streaming,stock,['common'],76.56193078324262,13.7,100,1,false,0,USD,-3.8596491228070224,184943,62243728.19649122,USD,9.433962264150944,1.4522,-25.915722885419857,3.50877192982456,Finance,Finance,america,
1,NASDAQ:SGA,SGA,"Saga Communications, Inc.",saga-communications,streaming,stock,['common'],45.39111570769114,12.43,100,1,false,0,USD,0.08051529790660054,179944,80072981.13204509,USD,22.299964119124507,0.5574,-51.45022210608832,8.05152979066023,Consumer services,Consumer Services,america,1.0
2,NASDAQ:AIFE,AIFE,Aifeex Nexus Acquisition Corporation,shepherd-ave-capital-acquisition,streaming,stock,['common'],27.40993326420462,10.18,100,1,false,0,USD,0.0,206183,112239590.00000001,USD,195.76923076923077,0.052,,0.0,Finance,Finance,america,
3,NASDAQ:FVN,FVN,Future Vision II Acquisition Corporation,future-vision-ii-acquisition,streaming,stock,['common'],24.349307114655105,10.36,100,1,false,0,USD,0.0,125808,78155840.0,USD,515.4228855721393,0.0201,,0.0,Finance,Finance,america,
4,NASDAQ:SIMA,SIMA,SIM Acquisition Corp. I,sim-acquisition-i,streaming,stock,['common'],23.660535066958268,10.43,100,1,false,0,USD,-0.19138755980860836,631812,319853336.81,USD,45.70552147239264,0.2282,,0.0,Finance,Finance,america,
5,NASDAQ:FBRX,FBRX,"Forte Biosciences, Inc.",forte-biosciences,streaming,stock,['common'],17.514895325202126,10.59,100,1,false,0,USD,-25.264643613267467,1579481,69718012.43542697,USD,,-13.8148,45.19132728967884,0.0,Health technology,Health Technology,america,1.0
6,NASDAQ:MRNO,MRNO,Murano Global Investments PLC,murano-global-investments-plc,streaming,stock,['common'],15.093856853760087,10.7,100,1,false,0,USD,14.806866952789688,64890,848659640.4184548,USD,,,,0.0,Consumer services,Consumer Services,america,
7,NASDAQ:PRPO,PRPO,"Precipio, Inc.",precipio,streaming,stock,['common'],12.926329414302582,11.0,100,1,false,0,USD,-1.5219337511190683,35952,16632120.143240822,USD,,-2.0892,44.02379229965437,0.0,Health services,Health Services,america,
8,NYSE:ARL,ARL,"American Realty Investors, Inc.",american-realty-investors,streaming,stock,['common'],11.832716347443531,14.5,100,1,false,0,USD,-2.4226110363391617,22055,234204608.88290715,USD,,-0.8351,-592.1037124337065,0.0,Finance,Finance,america,
9,NASDAQ:JVSA,JVSA,JVSPAC Acquisition Corp.,jvspac-acquisition,streaming,stock,['common'],11.212109758863104,10.89,100,1,false,0,USD,-12.670408981555733,266985,83703262.5,USD,40.06622516556292,0.2718,,0.0,Finance,Finance,america,
10,NASDAQ:POLE,POLE,Andretti Acquisition Corp. II,andretti-acquisition-ii,streaming,stock,['common'],11.013762541316876,10.39,100,1,false,0,USD,0.0,150611,306608900.0,USD,57.81858653311075,0.1797,,0.0,Finance,Finance,america,
11,NYSE:AAM,AAM,AA Mission Acquisition Corp.,aa-mission-acquisition,streaming,stock,['common'],10.723639053451596,10.415,100,1,false,0,USD,-0.04798464491363514,160920,457989209.99999994,USD,49.524488825487396,0.2103,,0.0,Finance,Finance,america,
12,NASDAQ:LPAA,LPAA,Launch One Acquisition Corp.,launch-one-acquisition,streaming,stock,['common'],9.554716751677413,10.42,100,1,false,0,USD,-0.3824091778202765,408553,299575000.0,USD,40.24719969100038,0.2589,,0.0,Finance,Finance,america,
13,NASDAQ:VALU,VALU,"Value Line, Inc.",value-line,streaming,stock,['common'],8.726943037578941,38.03,100,1,false,0,USD,-1.9592678525393092,13957,357997764.84042275,USD,16.646968702123004,2.2845,17.95229244114002,3.1580304202114,Consumer services,Consumer Services,america,
14,NYSE:GNTY,GNTY,"Guaranty Bancshares, Inc.",guaranty-bancshares,streaming,stock,['common'],7.910671096670168,42.45,100,1,false,0,USD,0.18881283927308334,259046,481427607.0651405,USD,14.560609178843384,2.9154,19.449338304584746,2.28935567618598,Finance,Finance,america,1.666667
