,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:OST,OST,"Ostin Technology Group Co., Ltd.",ostin-technology-co-ltd,streaming,stock,['common'],1742.0536939055462,0.55,10000,1,false,0,USD,-93.90243902439023,48225237,970822927.0,USD,,-5.6781,27.36308861342442,0.0,Electronic technology,Electronic Technology,america,,3.7914779755561607
1,NASDAQ:GVH,GVH,Globavend Holdings Limited - Ord Shares,globavend-limited-ord-shares,streaming,stock,['common'],329.808286951144,0.1785,10000,1,false,0,USD,-74.31654676258994,73245871,10377130.0,USD,2.940691927512356,0.0607,11.172161172161161,0.0,Transportation,Transportation,america,,501.9477424098825
2,NASDAQ:CYN,CYN,Cyngn Inc.,cyngn,streaming,stock,['common'],322.4183583406884,13.6,100,1,false,0,USD,171.4570858283433,140836106,8777050.0,USD,,-1309.1284,82.42190896693337,0.0,Technology services,Technology Services,america,,4205.87076235747
3,NASDAQ:ALT,ALT,"Altimmune, Inc.",altimmune,streaming,stock,['common'],165.86206896551727,3.61,100,1,false,0,USD,-53.17769130998703,86113156,625334814.0,USD,,-1.2532,21.09306132728875,0.0,Health technology,Health Technology,america,1.111111,16.553226659441005
4,NASDAQ:LIVE,LIVE,Live Ventures Incorporated,live-ventures,streaming,stock,['common'],165.1090342679128,15.7,100,1,false,0,USD,85.79881656804734,2602130,48305789.72781065,USD,,-2.0413,13.69805098718978,0.0,Consumer durables,Consumer Durables,america,,27.85681328410282
5,NASDAQ:RVPH,RVPH,"Reviva Pharmaceuticals Holdings, Inc.",reviva-pharmaceuticals,streaming,stock,['common'],154.5666666666667,0.358,10000,1,false,0,USD,-53.122954039544325,21477390,35695299.0,USD,,-0.7866,50.61216801657563,0.0,Health technology,Health Technology,america,1.0,31.91609920039564
6,NASDAQ:RITR,RITR,Reitar Logtech Holdings Limited,reitar-logtech-limited,streaming,stock,['common'],135.11235955056176,3.83,100,1,false,0,USD,-40.89506172839506,5001141,237938749.99999997,USD,45.595238095238095,0.084,223.07692307692312,0.0,Finance,Finance,america,,7.405622072485091
7,NASDAQ:ASTI,ASTI,"Ascent Solar Technologies, Inc",ascent-solar,streaming,stock,['common'],121.19047619047619,2.84,100,1,false,0,USD,143.77682403433474,112813737,2113048.0,USD,,-3.589,98.95021491490424,0.0,Electronic technology,Electronic Technology,america,,1439.4391081668018
8,NASDAQ:BGL,BGL,Perception Capital Corp. IV,,streaming,stock,['common'],117.6470588235294,20.11,100,1,false,0,USD,101.1,32336,68385530.0,USD,303.3182503770739,0.0663,-62.68992684299381,0.0,,,america,,51.94538152610442
9,AMEX:GNS,GNS,Genius Group Limited,genius-limited,streaming,stock,['common'],116.52856772137568,1.15,100,1,false,0,USD,55.405405405405396,39395229,82835087.43243241,USD,,-1.0831,56.80558325024925,0.0,Technology services,Technology Services,america,,2.6303157825467456
10,NASDAQ:DAIC,DAIC,"CID HoldCo, Inc.",,streaming,stock,['common'],104.73518272491127,16.43,100,1,false,0,USD,-46.957223567393065,190380,179955207.87764323,USD,,-0.4929,-138.69249394673125,0.0,Miscellaneous,Miscellaneous,america,,5.669496749524266
11,NASDAQ:VOR,VOR,Vor Biopharma Inc.,vor-biopharma,streaming,stock,['common'],99.10112359550563,0.89,10000,1,false,0,USD,60.53391053391054,282809300,111213984.21717171,USD,,-1.5093,15.10293621329733,0.0,Health technology,Health Technology,america,2.0,8.7910438919683
12,NASDAQ:ADIL,ADIL,"Adial Pharmaceuticals, Inc",adial-pharmaceuticals,streaming,stock,['common'],92.10950080515299,0.4698,10000,1,false,0,USD,90.97560975609757,282290675,3880870.0,USD,,-1.624,72.39034342060523,0.0,Health technology,Health Technology,america,1.0,19.520157721446182
13,NASDAQ:WAI,WAI,Top KingWin Ltd,top-kingwin-ltd,streaming,stock,['common'],76.4705882352941,3.0,100,1,false,0,USD,53.846153846153854,3311414,33052167.69230769,USD,,-0.8067,,0.0,Commercial services,Commercial Services,america,,6.763875087193241
