,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:BGL,,BGL,78.0,57.89,287.86673296867235,12246,163.7991049229239,62.5,210.79065141720537,391443,137523295.0,,Blue Gold Limited,stock,['common'],streaming,100,1,false,0,USD,USD
1,NASDAQ:LCFY,locafy-limited,LCFY,9.73,7.180000000000001,281.56862745098044,21184493,15.686274509803935,8.3,225.4901960784314,96027198,3524571.75,,Locafy Limited,stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:GVH,globavend-limited-ord-shares,GVH,0.2915,0.11299999999999999,63.305322128851536,188683022,19.887955182072833,0.133,-25.490196078431364,624865527,1985839.0196078431,70.1552529718047,Globavend Holdings Limited - Ord Shares,stock,['common'],streaming,10000,1,false,0,USD,USD
3,NASDAQ:CYN,cyngn,CYN,22.0,8.4,61.76470588235294,14516307,28.676470588235297,16.33,20.073529411764696,65972313,28608626.661029406,-31.522952425930544,Cyngn Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:INMB,inmune-bio,INMB,9.33,3.05,48.566878980891715,5240336,60.828025477706994,5.33,-15.12738853503185,59889744,123711312.32961781,1.0194655088403881,INmune Bio Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
5,NASDAQ:BBLG,,BBLG,6.06,1.8999999999999995,45.67307692307691,11124899,-3.8461538461538494,4.58,10.096153846153843,26623315,2497291.240384616,134.22144777847808,Bone Biologics Corp,stock,['common'],streaming,100,1,false,0,USD,USD
6,AMEX:BURU,nuburu-inc,BURU,0.4667,0.12669999999999998,37.264705882352935,46577220,-0.8823529411764712,0.3327,-2.14705882352942,121472687,20680142.735294115,1486.6932979811422,"Nuburu, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
7,NASDAQ:GCTK,,GCTK,6.63,1.4100000000000001,27.011494252873568,2058132,7.375478927203079,6.56,25.67049808429119,5375003,3722510.9578544064,-70.1093428088044,"GlucoTrack, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
8,NASDAQ:NAOV,nanovibronix,NAOV,1.09,0.2209000000000001,25.417098147508927,12903780,64.53802784489702,1.17,34.622022782188466,37122826,3024256.817397307,16.18489343500202,"NanoVibronix, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
9,NASDAQ:YAAS,youxin-technology-ltd,YAAS,4.6,0.8799999999999994,23.65591397849461,5854,7.526881720430103,4.5,20.967741935483865,316085,150974998.79032257,,Youxin Technology Ltd,stock,['common'],streaming,100,1,false,0,USD,USD
10,AMEX:MMA,alta-global-limited,MMA,1.37,0.26,23.423423423423422,1131097,27.027027027027007,1.15,3.6036036036035863,3925411,14997390.349999996,,Mixed Martial Arts Group Limited,stock,['common'],streaming,100,1,false,0,USD,USD
11,NASDAQ:APOG,apogee-enterprises,APOG,48.93,9.259999999999998,23.34257625409629,37514,8.419460549533643,41.99,5.848248046382657,1517463,905855592.0499117,-38.464233907610705,"Apogee Enterprises, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
12,NASDAQ:IROH,iron-horse-acquisitions,IROH,12.0,2.119999999999999,21.457489878542503,8687,32.38866396761132,11.0,11.33603238866396,98409,97537000.0,,Iron Horse Acquisitions Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
13,NASDAQ:DALN,dallasnews,DALN,4.8,0.6299999999999999,15.107913669064747,654,15.086330935251805,4.3,3.1175059952038344,31856,23015759.28057554,12.1624114948465,DallasNews Corporation - Series A,stock,['common'],streaming,100,1,false,0,USD,USD
14,NASDAQ:CNVS,cinedigm,CNVS,4.7708,0.5908000000000007,14.133971291866047,1259534,7.8947368421052655,4.8,14.832535885167466,3343523,76701875.59808613,374.1699306280125,Cineverse Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
15,NYSE:BODI,the-beachbody-company,BODI,4.32,0.5200000000000005,13.684210526315802,990,13.684210526315802,3.9,2.631578947368424,38461,27320345.684210528,-56.72701635546253,"The Beachbody Company, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
16,NASDAQ:SKYE,skye-bioscience,SKYE,4.75,0.5,11.76470588235294,70339,3.9999999999999982,4.11,-3.2941176470588163,7490584,127345710.8964706,-69.31223585015427,"Skye Bioscience, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
17,NASDAQ:RCT,redcloud-plc,RCT,1.6,0.16800000000000015,11.731843575419006,553511,22.206703910614532,3.24,126.25698324022349,78019436,63332541.32,,RedCloud Holdings plc,stock,['common'],streaming,100,1,false,0,USD,USD
