,ticker,name,description,logoid,update_mode,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:BRK.A,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,delayed_streaming_900,stock,['common'],347681000000.0,USD,709820.0,100,1,false,0,USD,0.30225482950651494,363,1020236866186.6381,12.610184959766205,56289.4202,10.765466166805247,0.0,Finance,Finance,america,1.666667,0.8814958717824186
1,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,delayed_streaming_900,stock,['common'],98251000000.0,USD,223.88,100,1,false,0,USD,0.3091536359155866,31855704,2376788813811.2534,36.51427919038377,6.1313,72.19850586979723,0.0,Retail trade,Retail Trade,america,1.098592,0.8563073713763687
2,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,delayed_streaming_900,stock,['common'],95328000000.0,USD,184.7,100,1,false,0,USD,0.5060673668172054,21654140,2235966703586.347,20.597058200350162,8.9673,37.528948054537366,0.440768351744028,Technology services,Technology Services,america,1.222222,0.967890141505037
3,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,delayed_streaming_900,stock,['common'],79618000000.0,USD,511.7,100,1,false,0,USD,1.20248407895257,17502874,3803232700088.0957,39.54221597143873,12.9406,12.125255606002842,0.640797436810253,Technology services,Technology Services,america,1.146154,1.1677077740723043
4,NASDAQ:IBKR,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,delayed_streaming_900,stock,['common'],72067000000.0,USD,59.43,100,1,false,0,USD,-0.03364171572750736,8100525,25901717596.345333,32.8125,1.8112,23.648279628618226,0.449957947855341,Finance,Finance,america,1.4,1.613738125325578
5,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,delayed_streaming_900,stock,['common'],70301000000.0,USD,701.41,100,1,false,0,USD,-0.21339858587870425,11803261,1763448445687.2551,27.35949884540972,25.6368,47.260915268451576,0.291644734034229,Technology services,Technology Services,america,1.219178,1.1696032360124
6,NYSE:SCHW,SCHW,Charles Schwab Corporation (The),schwab,delayed_streaming_900,stock,['common'],60687000000.0,USD,93.1,100,1,false,0,USD,2.016217400832774,12584791,169159942326.17572,28.30217358261134,3.2895,37.68206931190355,1.13960113960114,Finance,Finance,america,1.304348,1.7933427759112943
7,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,delayed_streaming_900,stock,['common'],53691000000.0,USD,173.0,100,1,false,0,USD,0.9511583124234088,160838300,4221199879725.7803,55.72555967144468,3.1045,81.60280783854927,0.0233413082803291,Electronic technology,Electronic Technology,america,1.186567,0.966204379881254
8,NYSE:AXP,AXP,American Express Company,american-express,delayed_streaming_900,stock,['common'],52508000000.0,USD,315.35,100,1,false,0,USD,1.1061237576146348,3223310,220930694944.50146,22.029185964471086,14.3151,17.88670108950761,0.936197499198461,Finance,Finance,america,1.734375,1.3120523148759478
9,NASDAQ:AAPL,AAPL,Apple Inc.,apple,delayed_streaming_900,stock,['common'],48498000000.0,USD,210.02,100,1,false,0,USD,-0.06661591168632773,48067545,3136822267277.501,32.77516815181261,6.4079,-0.35609877464701006,0.48058622002284,Electronic technology,Electronic Technology,america,1.5,1.0505158373788086
10,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,delayed_streaming_900,stock,['common'],37411000000.0,USD,319.41,100,1,false,0,USD,-0.7025833929182052,73920183,1027387766554.5007,175.65442146942368,1.8184,-53.531636512317284,0.0,Consumer durables,Consumer Durables,america,1.8,0.7999814017771204
11,NYSE:F,F,Ford Motor Company,ford,delayed_streaming_900,stock,['common'],35226000000.0,USD,11.15,100,1,false,0,USD,-0.8007117437722406,70345256,44340168164.32829,8.934294871794872,1.248,28.659793814432994,6.67259786476868,Consumer durables,Consumer Durables,america,2.019231,0.9227493637587914
12,NYSE:GM,GM,General Motors Company,general-motors,delayed_streaming_900,stock,['common'],30449000000.0,USD,53.21,100,1,false,0,USD,0.05641218503196904,6826985,51157943522.76796,7.664606830589285,6.9423,-15.105899041283502,0.959007145543437,Consumer durables,Consumer Durables,america,1.633333,0.8874397632850948
13,NYSE:BA,BA,Boeing Company (The),boeing,delayed_streaming_900,stock,['common'],23674000000.0,USD,231.0,100,1,false,0,USD,0.47846889952152866,7892608,174175264296.45932,,-17.9353,-406.76141500904157,0.0,Electronic technology,Electronic Technology,america,1.354839,1.0181880273227486
14,NYSE:BN,BN,Brookfield Corporation,brookfield,delayed_streaming_900,stock,['common'],21832058148.57,USD,68.14,100,1,false,0,USD,3.5719714242285967,5197547,112299725691.41501,247.14148627393448,0.275712512,-54.16701778202436,0.527053988002666,Finance,Finance,america,1.4,2.417243807958672
15,NYSE:SYF,SYF,Synchrony Financial,synchrony,delayed_streaming_900,stock,['common'],21629000000.0,USD,70.19,100,1,false,0,USD,1.2842712842712851,2353587,26717875657.34834,9.63579204590695,7.2843,4.506326934664713,1.51515151515152,Finance,Finance,america,1.395833,0.7964191395438195
16,NASDAQ:INTC,INTC,Intel Corporation,intel,delayed_streaming_900,stock,['common'],21048000000.0,USD,22.8,100,1,false,0,USD,0.48479506390480137,49383937,99453602341.29573,,-4.4723,-565.913115949578,2.20361392684002,Electronic technology,Electronic Technology,america,2.056818,0.6608375459104303
17,NYSE:XOM,XOM,Exxon Mobil Corporation,exxon,delayed_streaming_900,stock,['common'],18512000000.0,USD,111.66,100,1,false,0,USD,-0.5078855920876837,13151446,481214323017.2317,14.772576932236127,7.5586,-7.258717577482757,3.49282722979595,Energy minerals,Energy Minerals,america,1.467742,1.0193073169344173
18,NYSE:KKR,KKR,KKR & Co. Inc.,kkr,delayed_streaming_900,stock,['common'],18393465000.0,USD,147.6,100,1,false,0,USD,3.180706046836758,5075888,131458739230.40614,63.98751463129145,2.3067,-48.30460993702517,0.496329954561342,Finance,Finance,america,1.26087,1.4641579860172134
19,NYSE:V,V,Visa Inc.,visa,delayed_streaming_900,stock,['common'],17610000000.0,USD,349.81,100,1,false,0,USD,-0.025721634752779367,4747460,678337275706.0409,35.5798081715268,9.8317,11.649008051420076,0.654472706487568,Finance,Finance,america,1.284091,0.8189072061733169
20,NYSE:IBM,IBM,International Business Machines Corporation,international-bus-mach,delayed_streaming_900,stock,['common'],17591000000.0,USD,282.0,100,1,false,0,USD,0.02837684449488652,3337168,262089838289.1742,48.507783607121354,5.8135,-34.17462096765062,2.37301362088536,Technology services,Technology Services,america,1.717391,1.0661336671353223
21,NYSE:CRM,CRM,"Salesforce, Inc.",salesforce,delayed_streaming_900,stock,['common'],17408000000.0,USD,259.88,100,1,false,0,USD,0.7482070168637359,5837330,248445291757.31577,40.648804216914584,6.3933,14.98534199025197,0.632680752083737,Technology services,Technology Services,america,1.241379,0.939779721453575
22,NYSE:PFE,PFE,"Pfizer, Inc.",pfizer,delayed_streaming_900,stock,['common'],17317000000.0,USD,24.58,100,1,false,0,USD,-0.12190166598943981,47393883,139746292929.08978,17.814175967531526,1.3798,,6.90776107273466,Health technology,Health Technology,america,1.72,1.223451553333747
23,NASDAQ:CSCO,CSCO,"Cisco Systems, Inc.",cisco,delayed_streaming_900,stock,['common'],17147000000.0,USD,68.3,100,1,false,0,USD,1.3804363960219572,20400008,270467894302.78458,27.991803278688526,2.44,-17.800835466918205,2.38978773934986,Electronic technology,Electronic Technology,america,1.464286,1.140812915562961
24,NYSE:AJG,AJG,Arthur J. Gallagher & Co.,gallagher,delayed_streaming_900,stock,['common'],16702200000.0,USD,313.91,100,1,false,0,USD,1.2874290139390838,1288062,80392356398.61996,48.28641747423473,6.501,31.673823219638674,0.80665978316985,Finance,Finance,america,1.526316,1.1197609251631466
25,NYSE:APO,APO,"Apollo Global Management, Inc. (New)",apollo,delayed_streaming_900,stock,['common'],16549000000.0,USD,156.05,100,1,false,0,USD,2.1871521183943443,3951652,89181683614.31897,27.564827245107047,5.6612,-36.81132243950352,1.24255124091415,Finance,Finance,america,1.238095,1.705524352712262
26,NASDAQ:UAL,UAL,"United Airlines Holdings, Inc.",united-airlines,delayed_streaming_900,stock,['common'],15624000000.0,USD,91.22,100,1,false,0,USD,3.1083983271165367,23413390,29792503076.807278,9.139273226397892,9.9811,13.213175744651885,0.0,Transportation,Transportation,america,1.192308,2.755873495119273
27,NASDAQ:BKNG,BKNG,Booking Holdings Inc. Common Stock,booking,delayed_streaming_900,stock,['common'],15578000000.0,USD,5683.94,100,1,false,0,USD,0.4561577765091911,141505,184957317034.48276,35.36389609226067,160.7272,20.54280832962093,0.648624192091734,Consumer services,Consumer Services,america,1.358974,0.8189733504491751
28,NASDAQ:COST,COST,Costco Wholesale Corporation,costco-wholesale,delayed_streaming_900,stock,['common'],14850000000.0,USD,953.91,100,1,false,0,USD,0.26698340288215555,2280638,423037220450.7181,54.109352044607554,17.6293,9.270714533644068,0.502433332982961,Retail trade,Retail Trade,america,1.551282,1.1107653116588185
29,NASDAQ:SNPS,SNPS,"Synopsys, Inc.",synopsys,delayed_streaming_900,stock,['common'],14267199000.0,USD,589.01,100,1,false,0,USD,3.117997198879542,3621099,91391343952.58318,42.41693191801932,13.8862,51.07325086763057,0.0,Technology services,Technology Services,america,1.16,1.3992924202390347
30,NASDAQ:QCOM,QCOM,QUALCOMM Incorporated,qualcomm,delayed_streaming_900,stock,['common'],13846000000.0,USD,152.61,100,1,false,0,USD,-0.9476212111377813,7018604,167565787965.7923,15.540733197556008,9.82,31.966188703586738,2.23275134679042,Electronic technology,Electronic Technology,america,1.565789,1.0967667230421048
31,NYSE:KO,KO,Coca-Cola Company (The),coca-cola,delayed_streaming_900,stock,['common'],13787000000.0,USD,70.59,100,1,false,0,USD,1.9055868341273385,20464657,303838164679.7198,28.263132607303014,2.4976,0.3495520109285109,2.8728165150859,Consumer non-durables,Consumer Non-Durables,america,1.230769,1.2982875835829064
32,NYSE:RJF,RJF,"Raymond James Financial, Inc.",raymond-james,delayed_streaming_900,stock,['common'],13423000000.0,USD,159.48,100,1,false,0,USD,2.132564841498549,939900,32175811483.843224,15.36445788936203,10.3798,25.57981973262356,1.21677873839257,Finance,Finance,america,1.75,0.9528581079820697
33,NYSE:CVS,CVS,CVS Health Corporation,cvs-health,delayed_streaming_900,stock,['common'],12719000000.0,USD,63.3,100,1,false,0,USD,-0.7836990595611286,7352264,80075727643.97023,15.12111222588505,4.1862,-26.4365796225354,4.1692789968652,Retail trade,Retail Trade,america,1.333333,1.1556191717063784
34,NYSE:JEF,JEF,Jefferies Financial Group Inc.,jefferies-financial,delayed_streaming_900,stock,['common'],12311707000.0,USD,56.32,100,1,false,0,USD,2.437249909057846,1510023,11617701465.306656,21.347079558806808,2.6383,45.16892263673381,2.72826482357221,Finance,Finance,america,1.8,0.897637424561709
35,NASDAQ:TMUS,TMUS,"T-Mobile US, Inc.",t-mobile,delayed_streaming_900,stock,['common'],12266000000.0,USD,227.03,100,1,false,0,USD,-0.7475736644224918,3509333,257780100060.47574,22.12875871143818,10.2595,39.59453024015238,1.43831424324561,Communications,Communications,america,1.515625,0.9668864147688536
36,NYSE:GE,GE,GE Aerospace,ge-aerospace,delayed_streaming_900,stock,['common'],11859000000.0,USD,260.28,100,1,false,0,USD,-2.216545194980853,16260190,277559095746.7064,36.35144760548037,7.1601,69.92429456297315,0.55601472687655,Electronic technology,Electronic Technology,america,1.285714,2.378030576991661
37,NYSE:HPE,HPE,Hewlett Packard Enterprise Company,hewlett-packard-enterprise,delayed_streaming_900,stock,['common'],11788000000.0,USD,20.83,100,1,false,0,USD,2.358722358722343,18801563,27333450964.377388,21.520818266349828,0.9679,-29.44306750255139,2.55528255528256,Electronic technology,Electronic Technology,america,1.52381,0.9219084951650004
38,NYSE:BMY,BMY,Bristol-Myers Squibb Company,bristol-myers-squibb,delayed_streaming_900,stock,['common'],11782000000.0,USD,48.06,100,1,false,0,USD,1.8867924528301896,16471956,97805979958.07547,18.043927163506666,2.6635,,5.17277930888276,Health technology,Health Technology,america,1.821429,1.3813938233819207
39,NASDAQ:ABNB,ABNB,"Airbnb, Inc.",airbnb,delayed_streaming_900,stock,['common'],11532000000.0,USD,139.3,100,1,false,0,USD,1.8945212493599615,3495943,87259303966.22119,35.050197519059964,3.9743,-46.75660468356465,0.0,Consumer services,Consumer Services,america,1.891304,0.9828154613561679
40,NASDAQ:PYPL,PYPL,"PayPal Holdings, Inc.",paypal,delayed_streaming_900,stock,['common'],11211000000.0,USD,73.86,100,1,false,0,USD,1.2196793202686043,8522674,71831276536.33575,16.569826135726306,4.4575,12.155293880837343,0.0,Commercial services,Commercial Services,america,1.644444,0.9036287068894544
41,NYSE:ORCL,ORCL,Oracle Corporation,oracle,delayed_streaming_900,stock,['common'],11203000000.0,USD,248.75,100,1,false,0,USD,3.0874430169912923,17631324,698697219529.854,57.30378492939251,4.3409,17.115877512478086,0.704517198508081,Technology services,Technology Services,america,1.406977,1.2160902104260904
42,NASDAQ:MRX,MRX,Marex Group plc,canadian-imperial-bank-of-commerce,delayed_streaming_900,stock,['common'],10880100000.1394,USD,38.83,100,1,false,0,USD,-0.690537084398985,921827,2765926986.475191,14.279935275080906,2.7192,,0.716112531969309,Technology services,Technology Services,america,1.0625,0.6252795463064345
43,NASDAQ:MU,MU,"Micron Technology, Inc.",micron-technology,delayed_streaming_900,stock,['common'],10811000000.0,USD,113.26,100,1,false,0,USD,-2.7226659795585344,34701041,126752111657.7432,20.44293630308828,5.5403,,0.395087176844456,Electronic technology,Electronic Technology,america,1.280488,1.5267123754452356
44,NASDAQ:COIN,COIN,"Coinbase Global, Inc.",coinbase,delayed_streaming_900,stock,['common'],10331895000.0,USD,410.75,100,1,false,0,USD,3.1516825715720773,16840496,104620068677.23819,76.9742513399048,5.3362,6.572666813125351,0.0,Finance,Finance,america,1.631579,1.3181365329440364
45,NASDAQ:HON,HON,Honeywell International Inc.,honeywell,delayed_streaming_900,stock,['common'],10059000000.0,USD,238.37,100,1,false,0,USD,0.6290104694360052,2506750,153196331362.06335,27.37933886196044,8.7062,0.908690512065651,1.887031408308,Electronic technology,Electronic Technology,america,1.518519,0.9482473151559884
46,NYSE:ACN,ACN,Accenture plc,accenture,delayed_streaming_900,stock,['common'],9637395000.0,USD,282.7,100,1,false,0,USD,1.0834197446990999,3513221,176080455756.8495,22.49954236869961,12.5647,15.009748372982829,2.0488432795795,Technology services,Technology Services,america,1.428571,1.0069536192173707
47,NASDAQ:MELI,MELI,"MercadoLibre, Inc.",mercadolibre,delayed_streaming_900,stock,['common'],9580000000.0,USD,2351.14,100,1,false,0,USD,-2.245597987651507,378962,119196624359.84267,57.834354168204065,40.653,82.20321891008831,0.0,Retail trade,Retail Trade,america,1.22,1.3145558471687733
48,NASDAQ:AVGO,AVGO,Broadcom Inc.,broadcom,delayed_streaming_900,stock,['common'],9472000000.0,USD,286.45,100,1,false,0,USD,2.008475481642387,17230575,1347309311064.9023,107.67987369370724,2.6602,14.446738943383252,0.81905915031516,Electronic technology,Electronic Technology,america,1.193878,1.0975751634583952
49,NYSE:MRK,MRK,"Merck & Company, Inc.",merck-and-co,delayed_streaming_900,stock,['common'],9331000000.0,USD,81.52,100,1,false,0,USD,-1.103967002304999,8984797,204699268258.03806,11.868157465641742,6.8688,664.6443281754425,3.8820817663472,Health technology,Health Technology,america,1.42,0.70264203205132
50,NYSE:WMT,WMT,Walmart Inc.,walmart,delayed_streaming_900,stock,['common'],9311000000.0,USD,95.09,100,1,false,0,USD,-0.06305832895428509,11165123,758857956818.196,40.7936507936508,2.331,-0.4186602870813505,0.93011035207567,Retail trade,Retail Trade,america,1.178571,0.8420287715007204
51,NYSE:DE,DE,Deere & Company,deere,delayed_streaming_900,stock,['common'],9263000000.0,USD,499.14,100,1,false,0,USD,-1.6918440903629945,1778885,135180620098.02919,24.147222880695864,20.6707,-37.75704086456667,1.24672562188565,Producer manufacturing,Producer Manufacturing,america,1.653846,1.654930075381868
52,NYSE:NKE,NKE,"Nike, Inc.",nike,delayed_streaming_900,stock,['common'],9151000000.0,USD,72.98,100,1,false,0,USD,1.2205270457697779,9180371,107717805078.73317,33.84187340598192,2.1565,-42.12757963663689,2.17753120665742,Consumer non-durables,Consumer Non-Durables,america,1.631579,0.5970542352424787
53,NASDAQ:GILD,GILD,"Gilead Sciences, Inc.",gilead,delayed_streaming_900,stock,['common'],9130000000.0,USD,108.8,100,1,false,0,USD,-0.9558488848429652,4275967,135339481714.13382,22.877809786151353,4.7557,1225.8154446612768,2.84023668639053,Health technology,Health Technology,america,1.413793,0.7860787034469283
