,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,AMEX:AIM,AIM,AIM ImmunoTech Inc.,aim-immunotech,delayed_streaming_900,stock,['common'],,3.15,100,1,false,0,USD,-56.250000000000014,2682687,,-24.798,60.99962254655259,0.0,Health technology,Health Technology,america,,5.851289669578403
1,NYSE:BKKT,BKKT,"Bakkt Holdings, Inc.",bakkt,delayed_streaming_900,stock,['common'],,10.0,100,1,false,0,USD,-41.758881770529996,7578563,,-4.8899,73.67057936678871,0.0,Commercial services,Commercial Services,america,,8.373915852927924
2,NASDAQ:WBUY,WBUY,WEBUY GLOBAL LTD.,webuy-global-ltd,delayed_streaming_900,stock,['common'],,4.15,100,1,false,0,USD,-37.687687687687685,364479,,-10.7004,9.232491856677525,0.0,Retail trade,Retail Trade,america,,0.8301987444029536
3,NASDAQ:VWAV,VWAV,"VisionWave Holdings, Inc.",,delayed_streaming_900,stock,['common'],,7.73,100,1,false,0,USD,-29.727272727272723,7992893,,-0.4182,-733.0677290836653,0.0,Finance,Finance,america,,0.308489182890216
4,NASDAQ:VAPE,VAPE,CEA Industries Inc.,cea-industries,delayed_streaming_900,stock,['common'],,40.98,100,1,false,0,USD,-28.83563427976036,1347479,,-4.2148,16.120044578888702,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.9352751080858239
5,NASDAQ:EKSO,EKSO,"Ekso Bionics Holdings, Inc.",ekso-bionics,delayed_streaming_900,stock,['common'],,3.29,100,1,false,0,USD,-27.373068432671083,352256,,-6.5584,44.72575262111047,0.0,Health technology,Health Technology,america,1.0,1.8625318898626588
6,NASDAQ:YYAI,YYAI,Connexa Sports Technologies Inc.,connexa-sports-technologies,delayed_streaming_900,stock,['common'],,3.18,100,1,false,0,USD,-26.04651162790697,1070483,,-9.2032,98.14173997847591,0.0,Process industries,Process Industries,america,,0.22496224020809244
7,NASDAQ:ALBT,ALBT,Avalon GloboCare Corp.,avalon-globocare,delayed_streaming_900,stock,['common'],,2.27,100,1,false,0,USD,-23.56902356902357,690494,,-33.6142,-59.2720173988031,0.0,Health technology,Health Technology,america,,0.2529563546302332
8,NASDAQ:RCON,RCON,"Recon Technology, Ltd.",recon-technology,delayed_streaming_900,stock,['common'],,2.26,100,1,false,0,USD,-23.454699407281975,39897020,,-0.5704,83.10626702997276,0.0,Distribution services,Distribution Services,america,,1799.3920396888036
9,NASDAQ:PBM,PBM,Psyence Biomedical Ltd.,psyence,delayed_streaming_900,stock,['common'],,7.03,100,1,false,0,USD,-23.169398907103826,130215,,,,0.0,Health technology,Health Technology,america,,0.8800106508219921
10,NASDAQ:GNLN,GNLN,"Greenlane Holdings, Inc.",greenlane,delayed_streaming_900,stock,['common'],,3.82,100,1,false,0,USD,-22.672064777327943,290166,,-5850.4725,92.53531373643298,0.0,Distribution services,Distribution Services,america,,1.022475243826545
11,NASDAQ:YSXT,YSXT,"YSX Tech. Co., Ltd",ysx-tech-co-ltd,delayed_streaming_900,stock,['common'],,2.85,100,1,false,0,USD,-21.917808219178077,62825,,,,0.0,Finance,Finance,america,,0.44851260868354675
12,NASDAQ:LRHC,LRHC,La Rosa Holdings Corp.,,delayed_streaming_900,stock,['common'],,5.9,100,1,false,0,USD,-21.542553191489354,420898,,-517.7648,-560.0034672295816,0.0,Finance,Finance,america,,1.2337214097847558
13,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,delayed_streaming_900,stock,['common'],,8.41,100,1,false,0,USD,-20.585457979225684,608004,,-0.7302,-153.45366192294338,0.0,Health services,Health Services,america,,2.7345822076118935
14,NASDAQ:SLDP,SLDP,"Solid Power, Inc.",solid-power,delayed_streaming_900,stock,['common'],,3.23,100,1,false,0,USD,-20.24691358024691,21949931,,-0.5043,-33.2012678288431,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.24506450906538
15,NASDAQ:BLIV,BLIV,BeLive Holdings,belive,delayed_streaming_900,stock,['common'],,2.02,100,1,false,0,USD,-20.15810276679841,51881,,-0.4095,-157.22361809045222,0.0,Technology services,Technology Services,america,,1.4320177315046108
16,NASDAQ:LHAI,LHAI,Linkhome Holdings Inc.,,delayed_streaming_900,stock,['common'],,7.92,100,1,false,0,USD,-19.919110212335696,799841,154.6875,0.0512,,0.0,Technology services,Technology Services,america,,
17,NYSE:STEM,STEM,"Stem, Inc.",stem,delayed_streaming_900,stock,['common'],,15.17,100,1,false,0,USD,-19.777895293495508,1275308,,-99.385,-574.8397522950731,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,0.9243049510269301
18,NASDAQ:SONN,SONN,"Sonnet BioTherapeutics Holdings, Inc.",sonnet-biotherapeutics,delayed_streaming_900,stock,['common'],,3.26,100,1,false,0,USD,-19.506172839506174,1125544,,-12.831,69.65073868555129,0.0,Health technology,Health Technology,america,,0.6568856108339226
19,NASDAQ:NEO,NEO,"NeoGenomics, Inc.",neogenomics,delayed_streaming_900,stock,['common'],,5.25,100,1,false,0,USD,-18.730650154798763,11695469,,-0.6109,8.793669752164819,0.0,Health services,Health Services,america,1.533333,6.798134032087998
20,NASDAQ:BAND,BAND,Bandwidth Inc.,bandwidth,delayed_streaming_900,stock,['common'],,13.205,100,1,false,0,USD,-18.537939543491674,1338148,,-0.3427,58.9384136113108,0.0,Technology services,Technology Services,america,1.666667,5.207514803583993
21,NASDAQ:ABAT,ABAT,American Battery Technology Company,american-battery-technology-company,delayed_streaming_900,stock,['common'],,2.35,100,1,false,0,USD,-18.40277777777777,11830004,,-0.8471,-21.326267545116,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,1.0303032102939502
22,NYSE:KFRC,KFRC,"Kforce, Inc.",kforce,delayed_streaming_900,stock,['common'],,38.34,100,1,false,0,USD,-18.269025794073745,973987,16.20867506552803,2.3654,-11.633293484757916,3.2828821146877,Commercial services,Commercial Services,america,1.75,4.844479681513487
23,NASDAQ:SDM,SDM,Smart Digital Group Limited,smart-digital-limited,delayed_streaming_900,stock,['common'],,20.65,100,1,false,0,USD,-18.15299246928261,833521,,,,,Commercial services,Commercial Services,america,,1.1459867893806341
24,NASDAQ:AGRI,AGRI,AgriFORCE Growing Systems Ltd.,,delayed_streaming_900,stock,['common'],,4.11,100,1,false,0,USD,-17.799999999999994,8435400,,-17.5173,98.25432400435291,0.0,Commercial services,Commercial Services,america,,23.562745346334072
25,NYSE:HRI,HRI,Herc Holdings Inc.,herc-rentals,delayed_streaming_900,stock,['common'],,123.61,100,1,false,0,USD,-17.52735521750734,1901495,143.28271705111857,0.8627,-92.75893906328689,1.82145716573259,Finance,Finance,america,1.5,3.463971775159495
