,ticker,name,description,logoid,update_mode,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
0,NASDAQ:SGD,SGD,Safe and Green Development Corporation,safe-and-green-development,delayed_streaming_900,stock,['common'],1801.3775311855582,1.26,100,1,false,0,USD,43.18181818181818,85258478,2635605.0000000005,USD,,-6.9361,34.715372162192686,0.0,Finance,Finance,america,
1,NASDAQ:RCON,RCON,"Recon Technology, Ltd.",recon-technology,delayed_streaming_900,stock,['common'],1799.3920396888036,2.26,100,1,false,0,USD,-23.454699407281975,39897020,69217985.61896697,USD,,-0.5704,83.10626702997276,0.0,Distribution services,Distribution Services,america,
2,NASDAQ:DRRX,DRRX,DURECT Corporation,durect,delayed_streaming_900,stock,['common'],757.1630456663733,1.88,100,1,false,0,USD,240.14836258368013,50400861,17157233.0,USD,,-0.5133,48.72640095894516,0.0,Health technology,Health Technology,america,2.0
3,NASDAQ:AEHL,AEHL,Antelope Enterprise Holdings Limited,antelope-enterprise-limited,delayed_streaming_900,stock,['common'],242.11903807086418,3.885,100,1,false,0,USD,-8.588235294117652,10988282,13281991.379999999,USD,,-42.4328,71.97610564238376,0.0,Producer manufacturing,Producer Manufacturing,america,
4,NASDAQ:SLRX,SLRX,"Salarius Pharmaceuticals, Inc.",salarius-pharmaceuticals,delayed_streaming_900,stock,['common'],175.2804792081617,0.9996,10000,1,false,0,USD,34.880582917285125,101722396,2126435.5514775338,USD,,-5.174,76.17655319756332,0.0,Health technology,Health Technology,america,
5,NASDAQ:HWH,HWH,HWH International Inc.,hwh-international,delayed_streaming_900,stock,['common'],126.17169410234507,1.96,100,1,false,0,USD,36.111111111111114,60647680,12693744.0,USD,,-0.4288,36.53049141503848,0.0,Finance,Finance,america,
6,NASDAQ:NTHI,NTHI,"NeOnc Technologies Holdings, Inc.",neonc-technologies,delayed_streaming_900,stock,['common'],115.91379487156621,4.99,100,1,false,0,USD,-7.7634011090573,5199406,94943607.25,USD,,,,0.0,Health technology,Health Technology,america,
7,NASDAQ:STAI,STAI,ScanTech AI Systems Inc.,scantech-ai-systems,delayed_streaming_900,stock,['common'],88.7649469345052,1.19,100,1,false,0,USD,77.87742899850521,319077443,57432151.7638266,USD,,,,0.0,Finance,Finance,america,
8,NASDAQ:TYGO,TYGO,"Tigo Energy, Inc.",tigo-energy,delayed_streaming_900,stock,['common'],88.07187109835013,1.23,100,1,false,0,USD,0.8196721311475417,4472272,76280070.17213115,USD,,-0.9586,34.292960449653854,0.0,Electronic technology,Electronic Technology,america,1.25
9,AMEX:SOAR,SOAR,"Volato Group, Inc.",volato,delayed_streaming_900,stock,['common'],57.90740549476369,1.78,100,1,false,0,USD,4.093567251461992,47937169,3698699.473684211,USD,,-19.106,81.77798632729049,0.0,Transportation,Transportation,america,
