,ticker,name,description,logoid,update_mode,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
0,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,delayed_streaming_900,stock,['common'],31247931812.370003,USD,179.27,100,1,false,0,2.142328072474514,174306531,1.1762785223407688,4374187863095.5737,USD,57.745208568207445,3.1045,81.60280783854927,0.0227907241752607,Electronic technology,america,Electronic Technology,1.189394
1,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,delayed_streaming_900,stock,['common'],26777247975.68,USD,319.04,100,1,false,0,-0.6724782067247722,83930692,0.8257829430930411,1029047279968.0659,USD,184.75793375028957,1.7268,-51.50391776897801,0.0,Consumer durables,america,Consumer Durables,1.845455
2,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,delayed_streaming_900,stock,['common'],18822382500.64,USD,695.21,100,1,false,0,-0.6842857142857091,27074384,2.5560501928103445,1747860795776.243,USD,27.117658990201587,25.6368,47.260915268451576,0.292857142857143,Technology services,america,Technology Services,1.222222
3,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,delayed_streaming_900,stock,['common'],13538926815.960001,USD,513.24,100,1,false,0,0.13071385371753302,26379329,1.606449406822651,3814678909000.5156,USD,39.66122127258396,12.9406,12.125255606002842,0.632108785141542,Technology services,america,Technology Services,1.148438
4,NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,delayed_streaming_900,stock,['common'],11635266460.65,USD,179.51,100,1,false,0,1.1665915238953974,64816815,1.1435355760142942,291058289336.7108,USD,131.5862776718956,1.3642,99.18236238866992,0.0,Electronic technology,america,Electronic Technology,1.330357
5,NASDAQ:AAPL,AAPL,Apple Inc.,apple,delayed_streaming_900,stock,['common'],9514222557.4,USD,209.05,100,1,false,0,-1.0507880910683007,45511708,0.9790306369868991,3122334524372.8984,USD,32.623792506125255,6.4079,-0.35609877464701006,0.478061248639182,Electronic technology,america,Electronic Technology,1.5
6,NASDAQ:PANW,PANW,"Palo Alto Networks, Inc.",palo-alto-networks,delayed_streaming_900,stock,['common'],7737948511.2300005,USD,183.03,100,1,false,0,-5.576764341725135,42276941,9.024456916467033,122044399460.13084,USD,104.7381974248927,1.7475,-49.128118540944946,0.0,Technology services,america,Technology Services,1.375
7,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,delayed_streaming_900,stock,['common'],7592317867.89,USD,230.19,100,1,false,0,-0.35496298861520853,32982831,0.9506999906471593,2443777908061.7544,USD,37.54342472232642,6.1313,72.19850586979723,0.0,Retail trade,america,Retail Trade,1.098592
8,NASDAQ:PLTR,PLTR,Palantir Technologies Inc.,palantir,delayed_streaming_900,stock,['common'],6385709022.84,USD,158.61,100,1,false,0,1.5168970814132132,40260444,0.7897287404278174,374306012352.1354,USD,692.6200873362445,0.229,80.74191002367797,0.0,Technology services,america,Technology Services,1.931034
9,NASDAQ:CYBR,CYBR,CyberArk Software Ltd.,cyber-ark-software,delayed_streaming_900,stock,['common'],6323949994.11,USD,435.19,100,1,false,0,0.1634137359602236,14531469,15.060569393653125,21887327987.69471,USD,,-3.3764,-876.4025448235975,0.0,Technology services,america,Technology Services,1.189189
10,NYSE:UNH,UNH,UnitedHealth Group Incorporated,unitedhealth,delayed_streaming_900,stock,['common'],5951679806.88,USD,266.04,100,1,false,0,1.9037039874363302,22371372,1.2851640716082824,241335649932.70923,USD,11.523318216666452,23.0871,52.6520761703253,3.25966215957406,Health services,america,Health Services,1.448276
11,NASDAQ:AVGO,AVGO,Broadcom Inc.,broadcom,delayed_streaming_900,stock,['common'],5065434224.14,USD,302.62,100,1,false,0,1.748369309394119,16738597,1.0212314486971092,1423364516204.5293,USD,113.75836403277948,2.6602,14.446738943383252,0.773317194539708,Electronic technology,america,Electronic Technology,1.193878
12,NYSE:V,V,Visa Inc.,visa,delayed_streaming_900,stock,['common'],4256426008.8,USD,350.91,100,1,false,0,-0.10817273477753293,12129680,2.3989903010396922,680377129494.6445,USD,35.529073475958576,9.8767,7.294789901360101,0.651883059580404,Finance,america,Finance,1.290698
13,NASDAQ:HOOD,HOOD,"Robinhood Markets, Inc.",robinhood,delayed_streaming_900,stock,['common'],4234820015.7999997,USD,106.1,100,1,false,0,2.690669763840497,39913478,0.9588810666317928,93629953946.81476,USD,60.555904343359394,1.7521,1104.192439862543,0.0,Finance,america,Finance,1.407407
14,NASDAQ:COIN,COIN,"Coinbase Global, Inc.",coinbase,delayed_streaming_900,stock,['common'],4189895127.0400004,USD,377.48,100,1,false,0,1.6261038121903997,11099648,0.7901947476068549,96146031826.81929,USD,70.73947753082719,5.3362,6.572666813125351,0.0,Finance,america,Finance,1.671053
15,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,delayed_streaming_900,stock,['common'],4175957089.2799997,USD,197.44,100,1,false,0,0.5141780787048774,21150512,0.7484646989667536,2383678012949.2124,USD,21.029983490440433,9.3885,34.66972674460303,0.412360637377183,Technology services,america,Technology Services,1.226027
16,NASDAQ:SBUX,SBUX,Starbucks Corporation,starbucks,delayed_streaming_900,stock,['common'],4155133182.0,USD,92.76,100,1,false,0,-0.21514629948363667,44794450,4.677646958575818,105412465226.35585,USD,40.11763688262262,2.3122,-35.1943720395751,2.58175559380379,Consumer services,america,Consumer Services,1.697368
17,NASDAQ:SOFI,SOFI,"SoFi Technologies, Inc.",sofi,delayed_streaming_900,stock,['common'],4011329461.9500003,USD,21.87,100,1,false,0,-2.366071428571418,183416985,2.5720320623552264,24174291879.610718,USD,44.33407662679911,0.4933,,0.0,Finance,america,Finance,1.934783
18,NYSE:SPOT,SPOT,Spotify Technology S.A.,spotify-technology,delayed_streaming_900,stock,['common'],3819677575.07,USD,650.47,100,1,false,0,4.912823986709898,5872181,2.1095376723542794,130603918687.32462,USD,156.32915955682665,4.1609,69.44534940544061,0.0,Technology services,america,Technology Services,1.488095
19,NASDAQ:MRVL,MRVL,"Marvell Technology, Inc.",marvell-tech,delayed_streaming_900,stock,['common'],3721406896.8399997,USD,81.74,100,1,false,0,7.073618024626659,45527366,3.1203457946168407,70476225616.54126,USD,,-0.5738,49.440479337386556,0.314383023316741,Electronic technology,america,Electronic Technology,1.181818
20,NYSE:HIMS,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,delayed_streaming_900,stock,['common'],3620445672.75,USD,65.53,100,1,false,0,8.72739339638294,55248675,1.680359328261937,14667680022.707483,USD,95.38573508005821,0.687,,0.0,Health services,america,Health Services,1.866667
21,NASDAQ:NFLX,NFLX,"Netflix, Inc.",netflix,delayed_streaming_900,stock,['common'],3461058971.6,USD,1184.2,100,1,false,0,1.3227920666700923,2922698,0.6056239872933036,503197756452.6716,USD,50.46428677965235,23.4661,46.643877991013696,0.0,Technology services,america,Technology Services,1.472727
22,NYSE:LLY,LLY,Eli Lilly and Company,eli-lilly,delayed_streaming_900,stock,['common'],3297722612.1600003,USD,760.08,100,1,false,0,-0.3761714398060167,4338652,1.2608432425281926,720354883107.8116,USD,62.965877743076554,12.0713,80.77844670081171,0.733993053280031,Health technology,america,Health Technology,1.266667
23,NASDAQ:SMCI,SMCI,"Super Micro Computer, Inc.",super-micro-computer,delayed_streaming_900,stock,['common'],3219363574.05,USD,60.71,100,1,false,0,3.5476718403547642,53028555,1.3572117084190924,36232798792.687355,USD,33.508113478308864,1.8118,1.6836906499045925,0.0,Electronic technology,america,Electronic Technology,1.789474
