,ticker,name,description,logoid,update_mode,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:BRK.A,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,streaming,stock,['common'],347681000000.0,USD,756250.0,100,1,false,0,USD,-0.673776563608185,319,1086914026076.77,13.435029128262366,56289.4202,10.765466166805247,0.0,Finance,Finance,america,1.666667,0.7500587820362097
1,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,streaming,stock,['common'],98251000000.0,USD,203.1,100,1,false,0,USD,0.9844868735083482,38938879,2156180949995.4114,33.12511212956469,6.1313,72.19850586979723,0.0,Retail trade,Retail Trade,america,1.112676,0.8567376454709897
2,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,streaming,stock,['common'],95328000000.0,USD,171.98,100,1,false,0,USD,1.1290132894272535,45023576,2076850210648.7148,19.178571030298976,8.9673,37.528948054537366,0.470422203928025,Technology services,Technology Services,america,1.214286,1.4554388835111494
3,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,streaming,stock,['common'],79618000000.0,USD,454.86,100,1,false,0,USD,0.5059990719667721,18025600,3380766993678.221,35.14983849280559,12.9406,12.125255606002842,0.698234527255452,Technology services,Technology Services,america,1.145161,0.8708190795099908
4,NASDAQ:IBKR,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,streaming,stock,['common'],72067000000.0,USD,206.72,100,1,false,0,USD,0.706386710186578,1156556,87360346336.14497,28.53356890459364,7.2448,23.644059118681092,0.48716324840454,Finance,Finance,america,1.25,0.9580675028386502
5,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,streaming,stock,['common'],70301000000.0,USD,636.57,100,1,false,0,USD,0.16837136113297405,8228443,1600431160034.6648,24.83032203707171,25.6368,47.260915268451576,0.318646734854445,Technology services,Technology Services,america,1.208333,0.593702507664234
6,NYSE:SCHW,SCHW,Charles Schwab Corporation (The),schwab,streaming,stock,['common'],60687000000.0,USD,87.31,100,1,false,0,USD,-0.3082895638273533,6596476,158639683432.7762,26.54202766377869,3.2895,37.68206931190355,1.1646494633478,Finance,Finance,america,1.347826,0.8263334623477999
7,NYSE:AXP,AXP,American Express Company,american-express,streaming,stock,['common'],52508000000.0,USD,287.18,100,1,false,0,USD,0.41258741258741494,2052009,201195110879.2828,20.061333836298736,14.3151,17.88670108950761,1.02097902097902,Finance,Finance,america,1.6875,0.6950823343770361
8,NASDAQ:AAPL,AAPL,Apple Inc.,apple,streaming,stock,['common'],48498000000.0,USD,201.36,100,1,false,0,USD,-0.36122519669453695,46741028,3007477903470.108,31.42371135629458,6.4079,-0.35609877464701006,0.494829036567866,Electronic technology,Electronic Technology,america,1.52,0.9356462753231558
9,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,streaming,stock,['common'],43210000000.0,USD,132.83,100,1,false,0,USD,0.7814871016691964,187341019,3239399483014.1826,45.18795713556728,2.9395,146.27178284182304,0.0303490136570561,Electronic technology,Electronic Technology,america,1.204225,0.8339307705101309
10,NYSE:JNJ,JNJ,Johnson & Johnson,johnson-and-johnson,streaming,stock,['common'],38781000000.0,USD,152.61,100,1,false,0,USD,-0.3721112416764546,7535335,367190819933.5276,16.964394891005902,8.9959,29.575375219658355,3.23802062932498,Health technology,Health Technology,america,1.6,0.8667638150488538
11,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,streaming,stock,['common'],37411000000.0,USD,341.04,100,1,false,0,USD,1.9185942262865388,97112247,1096960972313.472,187.54949406071273,1.8184,-53.531636512317284,0.0,Consumer durables,Consumer Durables,america,1.736842,0.8567758945165945
12,NYSE:F,F,Ford Motor Company,ford,streaming,stock,['common'],35226000000.0,USD,10.44,100,1,false,0,USD,-0.3816793893129859,94081142,41516712541.85496,8.365384615384615,1.248,28.659793814432994,7.15648854961832,Consumer durables,Consumer Durables,america,2.0,1.1759505575889753
13,NYSE:GM,GM,General Motors Company,general-motors,streaming,stock,['common'],30449000000.0,USD,49.28,100,1,false,0,USD,-0.1822969414624191,6378158,47379503623.06502,7.098512020511934,6.9423,-15.105899041283502,0.972250354466275,Consumer durables,Consumer Durables,america,1.65,0.6895773665772746
14,NYSE:BA,BA,Boeing Company (The),boeing,streaming,stock,['common'],23674000000.0,USD,203.41,100,1,false,0,USD,0.09842035332906286,3634490,153372262431.615,,-17.9353,-406.76141500904157,0.0,Electronic technology,Electronic Technology,america,1.4375,0.3669499817074754
15,NYSE:BN,BN,Brookfield Corporation,brookfield,streaming,stock,['common'],21832058148.57,USD,57.17,100,1,false,0,USD,0.38630377524143783,1956234,94189672198.5944,207.35366554565357,0.275712512,-54.16701778202436,0.585219703684944,Finance,Finance,america,1.4,0.8882511237802395
16,NYSE:SYF,SYF,Synchrony Financial,synchrony,streaming,stock,['common'],21629000000.0,USD,57.46,100,1,false,0,USD,0.3843466107617031,3137171,21872191375.244236,7.888197905083536,7.2843,4.506326934664713,1.74703004891684,Finance,Finance,america,1.479167,0.765721495984477
17,NASDAQ:INTC,INTC,Intel Corporation,intel,streaming,stock,['common'],21048000000.0,USD,20.55,100,1,false,0,USD,-0.6766553890768514,56077279,89639102314.23393,,-4.4723,-565.913115949578,2.41662638956017,Electronic technology,Electronic Technology,america,2.033333,0.8191085761249106
18,NYSE:XOM,XOM,Exxon Mobil Corporation,exxon,streaming,stock,['common'],18512000000.0,USD,102.97,100,1,false,0,USD,-0.665637661585952,13417378,443763559998.43994,13.622893128357102,7.5586,-7.258717577482757,3.74300598109203,Energy minerals,Energy Minerals,america,1.466667,0.9049099928579747
19,NYSE:KKR,KKR,KKR & Co. Inc.,kkr,streaming,stock,['common'],18393465000.0,USD,118.2,100,1,false,0,USD,0.37364130434782417,3564320,105273868072.21977,51.242034074652096,2.3067,-48.30460993702517,0.594429347826087,Finance,Finance,america,1.136364,0.7809183476374915
20,NYSE:ORCL,ORCL,Oracle Corporation,oracle,streaming,stock,['common'],17823000000.0,USD,157.31,100,1,false,0,USD,0.08270772362895754,7603261,441134012164.2865,36.96019923875758,4.2562,12.46399788611441,1.08156253976333,Technology services,Technology Services,america,1.425,0.9422598919361792
21,NYSE:V,V,Visa Inc.,visa,streaming,stock,['common'],17610000000.0,USD,357.97,100,1,false,0,USD,-0.09210159084565561,4936568,694160803142.4563,36.40977653915397,9.8317,11.649008051420076,0.61959252023444,Finance,Finance,america,1.285714,0.8976266906297174
22,NYSE:IBM,IBM,International Business Machines Corporation,international-bus-mach,streaming,stock,['common'],17591000000.0,USD,258.37,100,1,false,0,USD,-0.9583317361137732,3091253,240128180942.9651,44.44310656231186,5.8135,-34.17462096765062,2.560662398896,Technology services,Technology Services,america,1.659091,0.8499635722395197
23,NYSE:PFE,PFE,"Pfizer, Inc.",pfizer,streaming,stock,['common'],17317000000.0,USD,23.04,100,1,false,0,USD,0.0,38602836,130990831455.00002,16.69807218437455,1.3798,,7.33506944444445,Health technology,Health Technology,america,1.692308,0.78154811541858
24,NASDAQ:CSCO,CSCO,"Cisco Systems, Inc.",cisco,streaming,stock,['common'],17147000000.0,USD,63.36,100,1,false,0,USD,0.2531645569620199,15641088,250905494747.2101,25.9672131147541,2.44,-17.800835466918205,2.54746835443038,Electronic technology,Electronic Technology,america,1.54,0.6298631648195282
