,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:TAOP,TAOP,Taoping Inc.,,streaming,stock,['common'],108892932.0,USD,6.65,100,1,false,0,USD,-97.27548344804981,90598,,-1.5279,92.92815684967648,0.0,Technology services,Technology Services,america,,0.10530169188104435
1,NASDAQ:VVPR,VVPR,VivoPower International PLC,vivopower,streaming,stock,['common'],18824468.088105727,USD,4.24,100,1,false,0,USD,-37.73861967694566,6889121,,-6.5047,-103.78132832080198,0.0,Utilities,Utilities,america,,6.881381510215461
2,NASDAQ:HOLO,HOLO,MicroCloud Hologram Inc.,,streaming,stock,['common'],31770025.75384616,USD,6.72,100,1,false,0,USD,-35.38461538461539,11165879,,-453.508,82.87201256911504,0.0,Electronic technology,Electronic Technology,america,,1.3350852721125417
3,AMEX:CHEB,CHEB,Chenghe Acquisition II Co.,chenghe-acquisition-ii-co,streaming,stock,['common'],63508631.7042654,USD,7.0944,100,1,false,0,USD,-32.754502369668245,68147,,-0.0587,,0.0,Finance,Finance,america,,2.442667373990093
4,NYSE:LVWR,LVWR,"LiveWire Group, Inc.",livewire,streaming,stock,['common'],584235108.2216624,USD,2.87,100,1,false,0,USD,-27.70780856423174,4384687,,-0.4405,20.32917344908663,0.0,Consumer durables,Consumer Durables,america,,0.28646600489014407
5,NASDAQ:EOSE,EOSE,"Eos Energy Enterprises, Inc.",eos-energy-enterprises,streaming,stock,['common'],1027574118.8807338,USD,4.515,100,1,false,0,USD,-24.687239366138456,60725593,,-4.4203,-174.17814166976802,0.0,Producer manufacturing,Producer Manufacturing,america,1.571429,6.1489928802395255
6,NASDAQ:DGLY,DGLY,"Digital Ally, Inc.",,streaming,stock,['common'],4204599.319148935,USD,2.52,100,1,false,0,USD,-23.404255319148938,1256900,,-5855.52,65.07119951133848,0.0,Commercial services,Commercial Services,america,,0.6006330939460893
7,NASDAQ:NTLA,NTLA,"Intellia Therapeutics, Inc.",intellia-therapeutics,streaming,stock,['common'],771696238.2246377,USD,7.45,100,1,false,0,USD,-22.87784679089027,24223439,,-5.2294,2.5674467133701064,0.0,Health technology,Health Technology,america,1.310345,7.01321334006375
8,NASDAQ:KG,KG,"Kestrel Group, Ltd.",,streaming,stock,['common'],130783719.0981818,USD,26.24,100,1,false,0,USD,-20.484848484848488,28652,,-2.1238,-731.5583398590446,0.0,Finance,Finance,america,,4.629526399384711
9,NASDAQ:AGAE,AGAE,Allied Gaming & Entertainment Inc.,allied-esports,streaming,stock,['common'],121291541.81286548,USD,2.75,100,1,false,0,USD,-19.5906432748538,408992,,-0.2691,-144.63636363636365,0.0,Consumer services,Consumer Services,america,,0.5092110485769452
10,NYSE:CAL,CAL,"Caleres, Inc.",caleres,streaming,stock,['common'],456158171.9670331,USD,13.38,100,1,false,0,USD,-18.315018315018307,5575580,5.588272146347576,2.3943,-49.16344643084633,1.70940170940171,Retail trade,Retail Trade,america,1.666667,6.513481621217419
11,NASDAQ:PFAI,PFAI,Pinnacle Food Group Limited,,streaming,stock,['common'],16390350.0,USD,2.13,100,1,false,0,USD,-17.441860465116285,103777,,,,0.0,Producer manufacturing,Producer Manufacturing,america,,7.383005364180931
12,NASDAQ:SYTA,SYTA,"Siyata Mobile, Inc.",siyata-mobile,streaming,stock,['common'],17330429.414634146,USD,3.4,100,1,false,0,USD,-17.073170731707314,4328409,,-132.7291,81.57843603428351,0.0,Electronic technology,Electronic Technology,america,2.0,0.12264044916027592
13,NASDAQ:FNGR,FNGR,"FingerMotion, Inc.",fingermotion,streaming,stock,['common'],169137907.10112357,USD,2.96,100,1,false,0,USD,-16.853932584269664,1574908,,-0.1025,4.828226555246063,0.0,Technology services,Technology Services,america,,1.2116743293837111
14,NASDAQ:RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc.",rain-enhancement-technologies-holdco,streaming,stock,['common'],28145963.355056178,USD,3.71,100,1,false,0,USD,-16.62921348314607,30249,,-0.0998,-137.8460371634433,0.0,Finance,Finance,america,,0.849450015585466
15,NASDAQ:SORA,SORA,Top Win International Limited,top-win-international-limited,streaming,stock,['common'],264552960.0,USD,10.64,100,1,false,0,USD,-15.35401750198886,353839,,,,0.0,Distribution services,Distribution Services,america,,0.18610981677882782
16,NASDAQ:ARAI,ARAI,Arrive AI Inc.,,streaming,stock,['common'],157385612.99999997,USD,5.25,100,1,false,0,USD,-14.634146341463419,396464,,,,0.0,Technology services,Technology Services,america,,
17,NASDAQ:CPIX,CPIX,Cumberland Pharmaceuticals Inc.,cumberland-pharmaceuticals,streaming,stock,['common'],75254519.90239726,USD,5.03,100,1,false,0,USD,-13.869863013698625,93685,,-0.2407,59.60053709298422,0.0,Health technology,Health Technology,america,,2.483379633556705
18,NYSE:SRFM,SRFM,Surf Air Mobility Inc.,surf-air-mobility,streaming,stock,['common'],45702606.0,USD,2.37,100,1,false,0,USD,-13.818181818181815,591424,,-4.2666,83.01269290184898,0.0,Transportation,Transportation,america,1.5,1.6077490686633769
19,NASDAQ:BSGM,BSGM,"BioSig Technologies, Inc.",biosig-technologies,streaming,stock,['common'],137837744.6752137,USD,5.05,100,1,false,0,USD,-13.675213675213675,1721569,,-0.6233,80.60249587651325,0.0,Health technology,Health Technology,america,1.0,1.6727699513181755
20,NASDAQ:BDMD,BDMD,Baird Medical Investment Holdings Ltd,baird-medical-investment-ltd,streaming,stock,['common'],135768782.83999452,USD,3.8,100,1,false,0,USD,-13.608875551311787,133019,,,,0.0,Health technology,Health Technology,america,,11.813620135348764
21,NASDAQ:RYET,RYET,Ruanyun Edai Technology Inc.,ruanyun-edai-technology,streaming,stock,['common'],362137542.92,USD,10.73,100,1,false,0,USD,-13.46774193548387,1666182,,,,0.0,Technology services,Technology Services,america,,1.0527212968918418
22,NASDAQ:FBRX,FBRX,"Forte Biosciences, Inc.",forte-biosciences,streaming,stock,['common'],55168738.6122027,USD,8.38,100,1,false,0,USD,-13.340227507755936,48030,,-13.8148,45.19132728967884,0.0,Health technology,Health Technology,america,1.0,0.43591274847389694
23,NASDAQ:NVTS,NVTS,Navitas Semiconductor Corporation,navitas-semiconductor,streaming,stock,['common'],1033843936.1249999,USD,5.39,100,1,false,0,USD,-12.500000000000009,105072523,,-0.5259,-1.9976726144298078,0.0,Electronic technology,Electronic Technology,america,1.5,1.2516154960896066
24,NASDAQ:MFH,MFH,Mercurity Fintech Holding Inc. - American,mercurity-fintech-american,streaming,stock,['common'],200612665.0558659,USD,3.15,100,1,false,0,USD,-12.011173184357546,61016,,-0.0949,53.503184713375795,0.0,Technology services,Technology Services,america,,0.3565809927884334
25,NASDAQ:SDM,SDM,Smart Digital Group Limited,,streaming,stock,['common'],,USD,5.32,100,1,false,0,USD,-11.77446102819237,53017,,,,,Commercial services,Commercial Services,america,,0.23887847822825226
26,NASDAQ:MDCX,MDCX,Medicus Pharma Ltd.,medicus-pharma-ltd,streaming,stock,['common'],49336900.37135922,USD,3.635,100,1,false,0,USD,-11.771844660194182,733135,,-1.426,,0.0,Health technology,Health Technology,america,1.0,1.7995101226509733
27,NYSE:S,S,"SentinelOne, Inc.",sentinelone,streaming,stock,['common'],5757102862.735638,USD,17.39,100,1,false,0,USD,-11.591255719369602,26116140,,-1.3235,-31.338692071052876,0.0,Technology services,Technology Services,america,1.358974,5.8381214905317576
28,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,streaming,stock,['common'],284420758.4019828,USD,19.66,100,1,false,0,USD,-11.401532221721501,1898464,,-0.2584,51.42857142857142,0.0,Finance,Finance,america,,0.7431321387120182
