,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:STRM,streamline-health-solutions,STRM,5.07,2.7800000000000002,121.39737991266377,1130323,126.63755458515284,5.18,126.2008733624454,3005626,9918711.0,-61.99125853947452,"Streamline Health Solutions, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
1,AMEX:CHEB,chenghe-acquisition-ii-co,CHEB,10.51,-0.040000000000000924,-0.37914691943128837,2713,61.13744075829383,7.0944,-32.754502369668245,68147,63508631.7042654,,Chenghe Acquisition II Co.,stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:HCTI,healthcare-triangle,HCTI,0.012,0.006200000000000001,106.89655172413795,839877263,51.7241379310345,0.0091,56.89655172413794,2557008892,3716854.2068965524,-38.89176934414871,"Healthcare Triangle, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
3,AMEX:SIF,sifco-industries-inc,SIF,3.1,0.050000000000000266,1.6393442622950907,8818,47.54098360655738,3.17,3.9344262295082006,24580,19623530.583606556,-5.269214086579698,"SIFCO Industries, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:NAOV,nanovibronix,NAOV,1.26,0.4044,47.265077138849925,21522751,47.265077138849925,1.25,46.09630668536699,42060360,3231044.004207574,3.1545467647844894,"NanoVibronix, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
5,NASDAQ:HTCR,heartcore-enterprises,HTCR,0.6788,0.09689999999999999,16.65234576387695,26244335,22.0484619350404,0.738,26.82591510568827,37769509,16291595.754,,"Heartcore Enterprises, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
6,NASDAQ:ORIC,oric-pharmaceuticals,ORIC,7.3,1.33,22.27805695142379,284592,18.59296482412061,7.97,33.50083752093803,14471130,566571988.7889447,-25.507794647637184,"Oric Pharmaceuticals, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:IMNN,celsion,IMNN,1.7694,0.24940000000000007,16.40789473684211,3237795,17.763157894736842,1.99,30.921052631578945,24298164,34908048.46052632,91.63969190663764,"Imunon, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
8,NYSE:BW,babcock-and-wilcox,BW,0.7699,0.025700000000000056,3.4533727492609594,1579,16.689062080085996,0.7262,-2.418704649287828,502352,71460999.63235688,-28.15681102971719,"Babcock & Wilcox Enterprises, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
9,NASDAQ:VIVK,vivakor,VIVK,0.88,0.1481,20.235004782074057,2158873,16.545976226260418,0.8498,16.10875802705288,4104094,40193285.167919114,-8.8341179641089,"Vivakor, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
