,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:BMGL,BMGL,Basel Medical Group Ltd,basel-medical-ltd,streaming,stock,['common'],19537180.0,USD,6.08,100,1,false,0,USD,484.6153846153846,177260399,,,,0.0,Health services,Health Services,america,,42.63047141124195
1,NASDAQ:GITS,GITS,"Global Interactive Technologies, Inc.",global-interactive-technologies,streaming,stock,['common'],2793381.9,USD,2.41,10000,1,false,0,USD,153.68421052631584,55914945,,,,0.0,Technology services,Technology Services,america,,2812.5239553939246
2,NASDAQ:BSLK,BSLK,"Bolt Projects Holdings, Inc.",,streaming,stock,['common'],6968813.038674033,USD,3.38,100,1,false,0,USD,86.7403314917127,29975783,6.5964090554254495,0.5124,,0.0,Finance,Finance,america,,358.80234367518915
3,NASDAQ:RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.",red-robin-gourmet-burgers,streaming,stock,['common'],89866598.14696483,USD,5.1,100,1,false,0,USD,62.939297124600635,32508039,,-4.2152,-140.483797352807,0.0,Consumer services,Consumer Services,america,1.25,101.36695867683038
4,AMEX:ROLR,ROLR,"High Roller Technologies, Inc.",high-roller-technologies,streaming,stock,['common'],36741061.64,USD,4.36,100,1,false,0,USD,59.12408759124087,1664883,,-0.8814,-63.43408121639161,0.0,Technology services,Technology Services,america,,43.31662122221297
5,NYSE:LVWR,LVWR,"LiveWire Group, Inc.",livewire,streaming,stock,['common'],916048036.4111499,USD,4.5,100,1,false,0,USD,56.79442508710801,63353470,,-0.4405,20.32917344908663,0.0,Consumer durables,Consumer Durables,america,,4.025356463279034
6,NASDAQ:NCPL,NCPL,Netcapital Inc.,netcapital,streaming,stock,['common'],5852762.925742575,USD,2.67,100,1,false,0,USD,32.17821782178218,1551391,,-16.9907,-261.573492796493,0.0,Commercial services,Commercial Services,america,,15.901607082272896
7,NASDAQ:SDM,SDM,Smart Digital Group Limited,,streaming,stock,['common'],,USD,6.79,100,1,false,0,USD,27.631578947368414,47051,,,,,Commercial services,Commercial Services,america,,0.21149976895096545
8,NASDAQ:STRZ,STRZ,Starz Entertainment Corp.,lions-gate-entertainment,streaming,stock,['common'],1732343999.9999998,USD,20.96,100,1,false,0,USD,26.953361599030885,1001122,,-1.1948,75.96024224864692,0.0,Consumer services,Consumer Services,america,1.625,4.046515105889771
9,NASDAQ:IMNN,IMNN,"Imunon, Inc.",celsion,streaming,stock,['common'],43678914.331658304,USD,2.49,100,1,false,0,USD,25.125628140703526,32973469,,-1.4064,30.500098833761612,0.0,Health technology,Health Technology,america,1.25,0.5633887176621197
10,NASDAQ:VERB,VERB,"Verb Technology Company, Inc.",verb-technology-company,streaming,stock,['common'],11471255.327692308,USD,8.09,100,1,false,0,USD,24.46153846153846,270861,,-13.151,98.05716092280056,0.0,Technology services,Technology Services,america,1.0,14.014352680651786
