,ticker,name,description,logoid,update_mode,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
0,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,streaming,stock,['common'],49197226343.74,USD,326.09,100,1,false,0,5.674379415386607,150870086,1.1586529430382344,1048874012185.3436,USD,179.3279806423229,1.8184,-53.531636512317284,0.0,Consumer durables,america,Consumer Durables,1.781818
1,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,streaming,stock,['common'],22400425194.760002,USD,143.96,100,1,false,0,0.9324826474093897,155601731,0.6586048260330805,3512624120251.969,USD,46.37139636012241,3.1045,81.60280783854927,0.0280445908995303,Electronic technology,america,Electronic Technology,1.188406
2,NASDAQ:AAPL,AAPL,Apple Inc.,apple,streaming,stock,['common'],11066442096.189999,USD,202.67,100,1,false,0,0.6056093323405306,54603257,1.0419959985465885,3027043844397.6494,USD,31.628146506655845,6.4079,-0.35609877464701006,0.501365103003227,Electronic technology,america,Electronic Technology,1.54
3,NASDAQ:PLTR,PLTR,Palantir Technologies Inc.,palantir,streaming,stock,['common'],9197978209.89,USD,132.81,100,1,false,0,0.5679236710586096,69256669,0.7093288616085371,313420205747.77625,USD,579.9563318777292,0.229,80.74191002367797,0.0,Technology services,america,Technology Services,2.017857
4,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,streaming,stock,['common'],7609137129.599999,USD,702.4,100,1,false,0,1.2016252197216426,10833054,0.8830387179368797,1765937513319.7314,USD,27.398115209386503,25.6368,47.260915268451576,0.291761519177016,Technology services,america,Technology Services,1.204225
5,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,streaming,stock,['common'],7236962464.12,USD,470.92,100,1,false,0,-0.387096774193545,15367711,0.8295430201878013,3500133594726.08,USD,36.39089377617731,12.9406,12.125255606002842,0.685351665785299,Technology services,america,Technology Services,1.148438
6,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,streaming,stock,['common'],6803520724.2300005,USD,217.61,100,1,false,0,0.2903493409530943,31264743,0.8406689212284773,2310224218025.678,USD,35.49165756038687,6.1313,72.19850586979723,0.0,Retail trade,america,Retail Trade,1.112676
7,NASDAQ:AVGO,AVGO,Broadcom Inc.,broadcom,streaming,stock,['common'],6231877573.41,USD,244.63,100,1,false,0,0.14327820533813423,25474707,0.9224307191885603,1150237712186.44,USD,91.91778763057037,2.6614,14.498365169506119,0.914933682659243,Electronic technology,america,Electronic Technology,1.215909
8,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,streaming,stock,['common'],5920666427.639999,USD,180.01,100,1,false,0,1.3398637617519538,32890764,1.3537006230594775,2174002560307.2793,USD,20.07404681453726,8.9673,37.528948054537366,0.450374373698137,Technology services,america,Technology Services,1.211268
9,NASDAQ:NFLX,NFLX,"Netflix, Inc.",netflix,streaming,stock,['common'],5359823371.32,USD,1203.62,100,1,false,0,-1.7019747480522145,4453086,1.614882920348202,512226098600.8647,USD,56.87540165576682,21.1624,46.8255014465806,0.0,Technology services,america,Technology Services,1.377358
10,NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,streaming,stock,['common'],5132286296.28,USD,123.24,100,1,false,0,1.240450176620382,41644647,1.1866104280265324,199821871057.804,USD,90.33866002052484,1.3642,99.18236238866992,0.0,Electronic technology,america,Electronic Technology,1.363636
11,NYSE:LLY,LLY,Eli Lilly and Company,eli-lilly,streaming,stock,['common'],3827087973.1200004,USD,807.19,100,1,false,0,4.327202698685556,4741248,1.447951861493501,765002717221.2605,USD,66.86852286000679,12.0713,80.77844670081171,0.723785397629603,Health technology,america,Health Technology,1.258065
12,NASDAQ:INTC,INTC,Intel Corporation,intel,streaming,stock,['common'],3779468883.8399997,USD,22.08,100,1,false,0,7.812499999999989,171171598,2.2780840183479913,96312957846.98438,USD,,-4.4723,-565.913115949578,2.44140625,Electronic technology,america,Electronic Technology,2.056818
13,NASDAQ:CRWV,CRWV,"CoreWeave, Inc.",coreweave,streaming,stock,['common'],3753308167.6,USD,154.9,100,1,false,0,-4.441702652683522,24230524,0.6596721909029454,74348460476.70944,USD,,,,0.0,Technology services,america,Technology Services,1.725
14,NYSE:UNH,UNH,UnitedHealth Group Incorporated,unitedhealth,streaming,stock,['common'],3452061463.8500004,USD,303.79,100,1,false,0,0.19789570896138484,11363315,0.7557757209826017,275580197062.5201,USD,12.69924211705592,23.9219,46.134344952290185,2.77053992545928,Health services,america,Health Services,1.413793
15,NASDAQ:HOOD,HOOD,"Robinhood Markets, Inc.",robinhood,streaming,stock,['common'],2836646162.5800004,USD,72.51,100,1,false,0,-1.2125340599455048,39120758,0.9604450812676446,63987823957.67411,USD,41.38462416528737,1.7521,1104.192439862543,0.0,Finance,america,Finance,1.431818
16,NASDAQ:MSTR,MSTR,MicroStrategy Incorporated,microstrategy,streaming,stock,['common'],2759827709.3,USD,391.18,100,1,false,0,-0.23972253391818774,7055135,0.659194037793249,106949802305.71222,USD,,-21.8108,-160.1634162342697,0.0,Technology services,america,Technology Services,1.235294
17,NYSE:GE,GE,GE Aerospace,ge-aerospace,streaming,stock,['common'],2717541178.0,USD,242.0,100,1,false,0,-3.742890099836919,11229509,1.73836007519146,258065560155.09326,USD,37.73702594810379,6.4128,110.51802245420525,0.588679845670419,Transportation,america,Transportation,1.272727
18,NYSE:CRCL,CRCL,"Circle Internet Group, Inc.",,streaming,stock,['common'],2691280916.38,USD,105.91,100,1,false,0,-8.104121475054232,25411018,,23295746166.77,USD,,,,0.0,Technology services,america,Technology Services,
