,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:CARM,CARM,"Carisma Therapeutics, Inc.",sesen-bio,streaming,stock,['common'],164.0483716249155,1.11,10000,1,false,0,USD,389.4179894179894,721286990,9477540.0,USD,,-1.2183,39.30955464780313,0.0,Health technology,Health Technology,america,1.5,179.9665050236227
1,NASDAQ:ARAI,ARAI,Arrive AI Inc.,arrive-ai,streaming,stock,['common'],136.93759071117563,10.25,100,1,false,0,USD,62.82764098490866,41171686,338143103.65369344,USD,,,,0.0,Technology services,Technology Services,america,,85.90440151788134
2,NASDAQ:KLTO,KLTO,"Klotho Neurosciences, Inc.",klotho-neurosciences,streaming,stock,['common'],126.66086956521737,2.01,100,1,false,0,USD,10.439560439560424,340318668,65313723.0164835,USD,,-0.3637,-4186.516853932585,0.0,Commercial services,Commercial Services,america,,2.956801128042812
3,NASDAQ:BIYA,BIYA,Baiya International Group Inc.,baiya-international,streaming,stock,['common'],114.59459459459458,1.97,100,1,false,0,USD,-50.377833753148614,2158158,,USD,,,,,Commercial services,Commercial Services,america,,2.6867021713636943
4,NASDAQ:TNFA,TNFA,"TNF Pharmaceuticals, Inc.",mymd-pharmaceuticals,streaming,stock,['common'],98.28908554572271,0.1761,10000,1,false,0,USD,4.20118343195266,90683634,2497818.030177515,USD,,-6.9494,27.03812193559902,0.0,Health technology,Health Technology,america,,31.640599109646644
5,NASDAQ:UNCY,UNCY,"Unicycive Therapeutics, Inc.",unicycive-therapeutics,streaming,stock,['common'],91.48936170212768,0.5321,10000,1,false,0,USD,-40.87777777777778,49937954,64186838.11433334,USD,,-0.205,83.69521991569235,0.0,Health technology,Health Technology,america,1.0,8.812345242727677
6,NASDAQ:GELS,GELS,Gelteq Limited,gelteq-limited,streaming,stock,['common'],91.4141414141414,2.95,100,1,false,0,USD,73.5294117647059,77575552,27842321.250000007,USD,,,,0.0,Health technology,Health Technology,america,,2289.080125348929
7,NASDAQ:KWM,KWM,"K Wave Media, Ltd.",k-wave-media-ltd,streaming,stock,['common'],88.43999999999998,7.29,100,1,false,0,USD,32.30490018148821,9823201,461065460.84754986,USD,,-0.1751,-295.4241071428571,0.0,Finance,Finance,america,,0.7533330413010089
8,NASDAQ:AIHS,AIHS,Senmiao Technology Limited,senmiao-technology,streaming,stock,['common'],87.70012145301978,1.4,100,1,false,0,USD,28.44036697247705,12530160,14725256.513761466,USD,,-0.3289,27.186185521363733,0.0,Finance,Finance,america,,4.327295607049831
9,NASDAQ:MRIN,MRIN,Marin Software Incorporated,marin-software,streaming,stock,['common'],85.03878142229698,1.7,10000,1,false,0,USD,100.0,56605179,2710240.0,USD,,-3.9377,47.45669984788237,0.0,Technology services,Technology Services,america,,38.53978293193782
10,NASDAQ:OMH,OMH,Ohmyhome Limited,ohmyhome-limited,streaming,stock,['common'],78.51851851851852,1.78,100,1,false,0,USD,-26.141078838174277,6473005,11453346.4813278,USD,,,,0.0,Finance,Finance,america,1.0,0.6474096597427292
11,NASDAQ:EVGN,EVGN,Evogene Ltd.,evogene,streaming,stock,['common'],73.29545454545455,2.26,100,1,false,0,USD,100.0,102466294,7539555.0,USD,,-2.696,40.98977827390723,0.0,Health technology,Health Technology,america,1.0,3134.417250165949
12,NASDAQ:IMNN,IMNN,"Imunon, Inc.",celsion,streaming,stock,['common'],66.92913385826773,1.62,100,1,false,0,USD,21.80451127819549,11968224,28417607.593984965,USD,,-1.4064,30.500098833761612,0.0,Health technology,Health Technology,america,1.333333,0.5365651813956948
13,NASDAQ:WINT,WINT,"Windtree Therapeutics, Inc.",,streaming,stock,['common'],65.87994542974079,0.7999,10000,1,false,0,USD,43.58283970561838,109715690,2928664.9247890864,USD,,-1261.3192,34.39137784851937,0.0,Health technology,Health Technology,america,,274.31871426178316
14,NASDAQ:AERT,AERT,"Aeries Technology, Inc.",aeries-technology,streaming,stock,['common'],62.02996025680221,0.8,10000,1,false,0,USD,15.942028985507262,2065059,35646396.52173913,USD,0.4995628824778319,1.6014,,0.0,Technology services,Technology Services,america,,84.33734792143986
15,NASDAQ:UBX,UBX,"Unity Biotechnology, Inc.",unity-biotechnology,streaming,stock,['common'],61.49572649572648,0.81,10000,1,false,0,USD,15.995990262065018,7713157,13941858.499212373,USD,,-1.6321,35.07697203548271,0.0,Health technology,Health Technology,america,1.5,53.32370765403964
16,NASDAQ:MDIA,MDIA,Mediaco Holding Inc.,mediaco,streaming,stock,['common'],58.41584158415842,1.29,100,1,false,0,USD,25.24271844660194,1067360,69248856.96116504,USD,,-0.3453,25.709982788296042,0.0,Consumer services,Consumer Services,america,,30.281090772914514
17,AMEX:KNW,KNW,"Know Labs, Inc.",know-labs,streaming,stock,['common'],57.00483091787441,3.02,100,1,false,0,USD,-0.6578947368421059,10800921,22650000.0,USD,,-6.448,52.8047780770582,0.0,Electronic technology,Electronic Technology,america,,0.46258449134769236
18,NASDAQ:MEGL,MEGL,Magic Empire Global Limited,magic-empire-global-limited,streaming,stock,['common'],53.011173184357546,2.05,100,1,false,0,USD,60.01873390055421,57352155,16531303.372102099,USD,,-0.12,-875.609756097561,0.0,Finance,Finance,america,,1593.8459293843011
19,NASDAQ:WLGS,WLGS,"Wang & Lee Group, Inc.",wang-and-lee-group,streaming,stock,['common'],52.78137128072446,0.0812,10000,1,false,0,USD,-31.244707874682476,66888876,1719009.278,USD,,-0.0215,-290.90909090909093,0.0,Industrial services,Industrial Services,america,,17.6351390043522
20,NASDAQ:SAFX,SAFX,XCF GLOBAL INC,,streaming,stock,['common'],52.50526315789474,23.8,100,1,false,0,USD,-34.290447266703474,152629,135941363.6,USD,,-0.569,-70.66586682663467,0.0,Finance,Finance,america,,16.679671278386117
