,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:GTI,energem,GTI,0.0559,-0.031000000000000007,-35.67318757192176,12003754,-46.60529344073648,0.0643,-26.006904487917154,86659998,9435467.092059838,-97.85350295142005,Graphjet Technology,stock,['common'],streaming,10000,1,false,0,USD,USD
1,NASDAQ:CARM,sesen-bio,CARM,0.7301,-0.3799000000000001,-34.22522522522523,6654733,-17.189189189189193,0.6032,-45.657657657657666,37657057,25206580.833153147,-84.6656911362439,"Carisma Therapeutics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:LDTC,leddartech,LDTC,0.2698,-0.10360000000000003,-27.745045527584367,388440,-4.338510980182108,0.23,-38.40385645420461,5968145,10268317.354043921,-83.04778471143062,LeddarTech Holdings Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
3,NASDAQ:AIHS,senmiao-technology,AIHS,1.1,-0.2999999999999998,-21.428571428571416,50837,-19.999999999999986,1.15,-17.857142857142858,1107730,12095745.17857143,18.87659181232479,Senmiao Technology Limited,stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:GELS,gelteq-limited,GELS,2.37,-0.5800000000000001,-19.661016949152543,145427,-19.322033898305094,2.34,-20.677966101694924,1265037,22085095.5,,Gelteq Limited,stock,['common'],streaming,100,1,false,0,USD,USD
5,NYSE:JILL,j-jill,JILL,13.92,-2.92,-17.339667458432302,29867,2.078384798099771,14.13,-16.092636579572442,810842,215949398.32838482,-32.546818338702714,"J. Jill, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
6,NASDAQ:AMSC,american-superconductor-corporation,AMSC,28.63,-5.820000000000004,-16.894049346879545,732089,-12.336719883889705,29.67,-13.875181422351234,6550620,1172044027.2722785,71.68034121819495,American Superconductor Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:MEGL,magic-empire-global-limited,MEGL,1.75,-0.2999999999999998,-14.634146341463408,304282,-9.756097560975597,1.97,-3.902439024390237,1022706,15886178.980487805,-16.97979039337417,Magic Empire Global Limited,stock,['common'],streaming,100,1,false,0,USD,USD
8,NASDAQ:GTLB,gitlab,GTLB,42.0,-6.509999999999998,-13.419913419913415,1685684,-10.946196660482366,43.37,-10.59575345289631,26534059,7166229419.100804,-2.147723637240649,GitLab Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
9,NASDAQ:KRT,karat-packaging,KRT,26.99,-3.9700000000000024,-12.822997416020678,20068,-9.431524547803622,26.4,-14.728682170542642,715939,529570928.7596898,11.500515650802468,Karat Packaging Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
10,NASDAQ:KLTO,klotho-neurosciences,KLTO,1.76,-0.24999999999999978,-12.437810945273622,7585552,-0.4975124378109347,1.45,-27.86069651741293,45985089,47116863.4079602,,"Klotho Neurosciences, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
11,NASDAQ:EVGN,evogene,EVGN,2.0,-0.2599999999999998,-11.504424778761054,700873,-13.71681415929203,1.81,-19.91150442477875,3732509,12076633.146017699,-80.86142413137618,Evogene Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
12,NASDAQ:CABA,cabaletta-bio,CABA,2.08,-0.27,-11.48936170212766,147181,-6.808510638297878,1.75,-25.531914893617024,13502215,88800426.4893617,-79.78260807982807,"Cabaletta Bio, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
13,NYSE:SST,system1,SST,0.391,-0.047199999999999964,-10.771337288909166,8990,-7.142857142857142,0.3802,-13.235965312642628,253430,35694101.772250116,-72.73663164606562,"System1, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
14,NASDAQ:MRIN,marin-software,MRIN,1.52,-0.17999999999999994,-10.588235294117645,340089,-12.352941176470585,1.35,-20.58823529411764,1771335,4304499.617647059,-65.56696540680055,Marin Software Incorporated,stock,['common'],streaming,100,1,false,0,USD,USD
15,NASDAQ:ABP,abpro,ABP,0.2462,-0.026800000000000018,-9.816849816849823,858510,0.0,0.2541,-6.923076923076933,3982349,15446046.507692307,-84.67393433706555,"Abpro Holdings, Inc",stock,['common'],streaming,10000,1,false,0,USD,USD
16,NASDAQ:ATHA,athira-pharma,ATHA,0.313,-0.03149999999999997,-9.14368650217706,10237,-1.103047895500717,0.3212,-6.763425253991288,181804,12540433.984325109,-88.61799448326497,"Athira Pharma, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
17,NYSE:CHWY,chewy,CHWY,41.62,-4.170000000000002,-9.106791875955453,680324,-1.3758462546407568,40.76,-10.984931207687271,21734310,16914691872.665648,96.27639201905082,"Chewy, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
18,NASDAQ:WLGS,wang-and-lee-group,WLGS,0.074,-0.007199999999999998,-8.866995073891625,39617331,19.458128078817747,0.0882,8.620689655172423,93644904,1867199.733,,"Wang & Lee Group, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
19,NASDAQ:PRFX,painreform,PRFX,1.87,-0.17499999999999982,-8.55745721271393,480,-8.55745721271393,2.0004,-2.180929095354522,11847,4027086.9189242055,115.4860885343925,PainReform Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
20,NASDAQ:TPST,tempest-therapeutics,TPST,8.16,-0.7200000000000006,-8.108108108108114,101084,0.1126126126126102,7.47,-15.878378378378388,601371,27507736.62162162,-69.02364629967785,"Tempest Therapeutics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
21,NASDAQ:USAR,usa-rare-earth,USAR,11.8,-1.0,-7.8125,183468,-3.1250000000000027,12.45,-2.734375000000011,3799321,105269095.05,,"USA Rare Earth, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
22,NASDAQ:PETS,petmed-express,PETS,3.87,-0.3200000000000003,-7.637231503579958,2577,-9.30787589498808,3.72,-11.217183770883059,277792,76842024.6300716,-8.838993901884812,"PetMed Express, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
23,NYSE:BODI,the-beachbody-company,BODI,4.26,-0.33999999999999986,-7.391304347826084,4721,-4.347826086956506,3.93,-14.565217391304339,111802,27530501.78478261,-54.82797220590773,"The Beachbody Company, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
24,NASDAQ:PROK,prokidney,PROK,0.9264,-0.0736,-7.359999999999999,2000,-2.490099999999995,0.9349,-6.510000000000005,383987,273643029.2454,-78.32407367037186,ProKidney Corp.,stock,['common'],streaming,10000,1,false,0,USD,USD
25,NASDAQ:JZXN,jiuzi,JZXN,3.03,-0.2400000000000002,-7.339449541284409,364895,-0.6116207951070342,2.89,-11.620795107033635,931850,31822913.29969419,17.638880238699933,"Jiuzi Holdings, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
26,NYSE:MP,mp-materials,MP,25.25,-1.9800000000000004,-7.271391847227323,468129,-0.8446566287183269,25.64,-5.839147998531032,15839126,4191019431.2478886,22.401398224360328,MP Materials Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
