,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:NTCL,NTCL,NETCLASS TECHNOLOGY INC,netclass-technology,streaming,stock,['common'],194291200.0,USD,14.12,100,1,false,0,USD,-26.304801670146144,1083548,,-0.0842,-1015.2173913043479,0.0,Technology services,Technology Services,america,,0.6329712656627161
1,NASDAQ:URGN,URGN,UroGen Pharma Ltd.,urogen-pharma-ltd,streaming,stock,['common'],337045446.00000006,USD,7.31,100,1,false,0,USD,-25.786802030456858,9676034,,-3.1785,6.321839080459761,0.0,Health technology,Health Technology,america,1.125,13.621151169048506
2,NYSE:GLOB,GLOB,Globant S.A.,globant,streaming,stock,['common'],4469302918.0,USD,101.47,100,1,false,0,USD,-23.61487503763927,11031633,29.979023251691434,3.3847,-11.353517364203029,0.0,Technology services,Technology Services,america,1.416667,10.279479381839083
3,NASDAQ:ARAI,ARAI,Arrive AI Inc.,,streaming,stock,['common'],297324440.05,USD,10.21,100,1,false,0,USD,-22.94339622641509,349651,,,,0.0,Technology services,Technology Services,america,,
4,NASDAQ:TVTX,TVTX,"Travere Therapeutics, Inc.",travere-therapeutics,streaming,stock,['common'],1491920861.0,USD,16.8,100,1,false,0,USD,-20.567375886524815,5966252,,-2.8049,44.52443582998754,0.0,Health technology,Health Technology,america,1.133333,3.490467348923
5,AMEX:WYY,WYY,WidePoint Corporation,widepoint,streaming,stock,['common'],41274075.99999999,USD,4.22,100,1,false,0,USD,-20.37735849056604,452378,,-0.2114,49.96449704142012,0.0,Technology services,Technology Services,america,1.0,2.0971086400534777
6,NASDAQ:OMER,OMER,Omeros Corporation,omeros,streaming,stock,['common'],188374914.99999997,USD,3.215,100,1,false,0,USD,-18.607594936708868,3005253,,-2.6405,-33.91996754070091,0.0,Health technology,Health Technology,america,1.5,1.7768740363265354
7,NASDAQ:YSXT,YSXT,"YSX Tech. Co., Ltd",ysx-tech-co-ltd,streaming,stock,['common'],116017498.0,USD,4.99,100,1,false,0,USD,-18.196721311475404,71229,,,,0.0,Finance,Finance,america,,1.1927200024112605
8,NASDAQ:AYTU,AYTU,"Aytu BioPharma, Inc.",aytu-biopharma,streaming,stock,['common'],13142625.0,USD,2.13,100,1,false,0,USD,-17.760617760617762,2733753,,-0.7132,72.9407747467466,0.0,Health technology,Health Technology,america,1.0,0.4010844107496578
9,NASDAQ:NXTT,NXTT,Next Technology Holding Inc.,wetrade,streaming,stock,['common'],916156746.0,USD,2.1,100,1,false,0,USD,-17.32283464566929,2731857,0.92588510206781,2.2681,-74.73797935021106,0.0,Technology services,Technology Services,america,,0.07631639557591369
10,NASDAQ:VVOS,VVOS,"Vivos Therapeutics, Inc.",vivos-therapeutics,streaming,stock,['common'],14959381.0,USD,2.54,100,1,false,0,USD,-16.99346405228758,365661,,-1.9228,81.36586973165224,0.0,Health technology,Health Technology,america,1.0,4.989758782134294
11,NASDAQ:NEGG,NEGG,"Newegg Commerce, Inc.",newegg-commerce,streaming,stock,['common'],120257678.99999999,USD,6.2,100,1,false,0,USD,-16.442048517520213,359350,,,,0.0,Retail trade,Retail Trade,america,,1.013870001184988
12,NYSE:GWH,GWH,"ESS Tech, Inc.",,streaming,stock,['common'],25902027.000000004,USD,2.14,100,1,false,0,USD,-16.406249999999996,307969,,-7.243,-54.01135469603864,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,3.611662622682821
13,NYSE:BODI,BODI,"The Beachbody Company, Inc.",the-beachbody-company,streaming,stock,['common'],27366388.0,USD,3.91,100,1,false,0,USD,-14.999999999999991,30788,,-9.2243,57.68262080292138,0.0,Consumer services,Consumer Services,america,1.333333,1.0986611093665248
