,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:HCTI,healthcare-triangle,HCTI,0.012,0.006200000000000001,106.89655172413795,839877263,51.7241379310345,0.0091,56.89655172413794,2557008892,3716854.2068965524,-38.89176934414871,"Healthcare Triangle, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
1,NASDAQ:GNLN,greenlane,GNLN,0.0072,0.0014999999999999996,26.315789473684205,302559923,5.263157894736841,0.0062,8.771929824561395,591157724,6327885.333333333,205.41305455998227,"Greenlane Holdings, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
2,NASDAQ:GTI,energem,GTI,0.1536,0.020799999999999985,15.662650602409627,88191397,4.668674698795189,0.1218,-8.283132530120477,129711958,17873092.504518073,-97.74197222728017,Graphjet Technology,stock,['common'],streaming,10000,1,false,0,USD,USD
3,NASDAQ:LGMK,logicmark-com-usd00001-pst-rev-spt,LGMK,0.0131,0.0013000000000000008,11.016949152542379,41699596,0.8474576271186536,0.0122,3.3898305084745854,115675131,7030923.067796612,295.7886496836787,"LogicMark, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
4,NASDAQ:ZEO,zeo-energy,ZEO,2.85,1.27,80.37974683544303,33028560,13.924050632911388,3.43,117.08860759493672,104812934,77832928.0,-59.384819265722584,Zeo Energy Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
5,NASDAQ:ALZN,alzamend-neuro,ALZN,7.77,4.449999999999999,134.03614457831324,28381440,5.120481927710855,5.44,63.85542168674701,77821792,4357189.301204819,-33.09553001039357,"Alzamend Neuro, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
6,NASDAQ:HTCR,heartcore-enterprises,HTCR,0.6788,0.09689999999999999,16.65234576387695,26244335,22.0484619350404,0.738,26.82591510568827,37769509,16291595.754,,"Heartcore Enterprises, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
7,NASDAQ:NAOV,nanovibronix,NAOV,1.26,0.4044,47.265077138849925,21522751,47.265077138849925,1.25,46.09630668536699,42060360,3231044.004207574,3.1545467647844894,"NanoVibronix, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
8,NASDAQ:IXHL,incannex-healthcare,IXHL,0.2305,0.00040000000000001146,0.17383746197306016,19799465,7.518470230334641,0.22,-4.389395914819643,57074648,16008034.680573663,-64.12247381471536,Incannex Healthcare Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
9,NASDAQ:PLRZ,polyrizon-ltd,PLRZ,1.2596,0.22960000000000003,22.29126213592233,19533022,0.0,1.25,21.35922330097087,31866754,6660415.04854369,,Polyrizon Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
10,NASDAQ:NVDA,nvidia,NVDA,142.24,7.430000000000007,5.511460574141389,14721287,5.288925153920329,139.19,3.2490171352273536,370603995,3394504219189.146,16.390852230604057,NVIDIA Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
11,NASDAQ:VCIG,vci-global-limited,VCIG,3.47,0.6200000000000001,21.754385964912284,9170638,0.0,3.0,5.263157894736839,20492244,8400000.000000002,-82.13868958369784,VCI Global Limited,stock,['common'],streaming,100,1,false,0,USD,USD
12,NASDAQ:ASBP,aspire-biopharma,ASBP,0.5651,-0.14129999999999998,-20.00283125707814,8334569,-2.307474518686294,0.6024,-14.722536806342013,24700137,29834444.327999998,,"Aspire Biopharma Holdings, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
13,NASDAQ:INDP,indaptus-therapeutics,INDP,0.319,0.0008000000000000229,0.2514142049025842,8000837,15.807668133249534,0.4,25.70710245128851,11839473,6413777.498428661,-78.35069735130658,"Indaptus Therapeutics, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
14,NASDAQ:SLXN,silexion-therapeutics,SLXN,1.03,0.06600000000000006,6.846473029045649,7660853,0.010373443983401346,0.96,-0.41493775933609994,12543768,8344695.4356846465,-80.88104710284422,Silexion Therapeutics Corp,stock,['common'],streaming,10000,1,false,0,USD,USD
15,NASDAQ:MULN,mullen-automotive,MULN,0.125,-0.026999999999999996,-17.76315789473684,6863552,0.32894736842105293,0.1069,-29.67105263157895,45409450,4751783.768421052,-84.42046647851355,"Mullen Automotive, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
16,NASDAQ:ELPW,elong-power-limited,ELPW,1.3795,-2.1205,-60.585714285714275,4318257,-65.42857142857143,1.43,-59.14285714285715,9640073,162465363.0,44.72548474555465,Elong Power Holding Limited,stock,['common'],streaming,100,1,false,0,USD,USD
17,NASDAQ:CGBS,crown-lng-limited,CGBS,0.0743,-0.001899999999999999,-2.493438320209972,4232433,12.860892388451429,0.0683,-10.367454068241475,17102249,31507425.494750656,-81.19840472079753,Crown LNG Holdings Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
18,NASDAQ:NVTS,navitas-semiconductor,NVTS,6.52,0.35999999999999943,5.844155844155835,4132947,9.253246753246758,5.39,-12.500000000000009,105072523,1033843936.1249999,78.75139080125082,Navitas Semiconductor Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
19,NASDAQ:EOSE,eos-energy-enterprises,EOSE,5.06,-0.9350000000000005,-15.596330275229366,3494583,2.0850708924103416,4.515,-24.687239366138456,60725593,1027574118.8807338,833.3198462076396,"Eos Energy Enterprises, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
20,NASDAQ:BOSC,bos-better-online-solutions,BOSC,5.12,1.2400000000000002,31.958762886597945,3457971,3.092783505154642,4.65,19.84536082474228,6882716,27544550.644329898,42.80331773976012,B.O.S. Better Online Solutions,stock,['common'],streaming,100,1,false,0,USD,USD
21,NASDAQ:EJH,e-home-household-service-limited,EJH,0.0927,-0.012799999999999992,-12.132701421800942,3405360,8.0568720379147,0.093,-11.848341232227485,15866384,17083185.867298577,76.73767888142424,E-Home Household Service Holdings Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
22,NASDAQ:PLUG,plug-power,PLUG,0.9434,0.016900000000000026,1.8240690771721562,3394224,-0.053966540744732325,0.9264,-0.010793308148946464,156525577,998978352.5491635,-57.95426433692021,"Plug Power, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
23,NASDAQ:IMNN,celsion,IMNN,1.7694,0.24940000000000007,16.40789473684211,3237795,17.763157894736842,1.99,30.921052631578945,24298164,34908048.46052632,91.63969190663764,"Imunon, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
24,NASDAQ:ASNS,actelis-networks,ASNS,0.6669,-0.08309999999999995,-11.079999999999995,3041995,-2.6933333333333325,0.6931,-7.58666666666666,3766519,6257893.624666667,320.8253269464531,"Actelis Networks, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
