,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:CBIO,,CBIO,16.0,15.4887,3029.2783101897126,332,4009.133581067867,15.795,2989.184431840407,21662,1013153850.0,,"GlycoMimetics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
1,AMEX:BATL,battalion-oil,BATL,2.97,1.3300000000000003,81.09756097560978,15210990,64.02439024390245,2.74,67.07317073170735,44893045,45090980.41463415,-76.61855702308422,Battalion Oil Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:DWSN,dawson-geophysical-company,DWSN,5.53,4.16,303.6496350364963,12406151,58.39416058394159,2.9,111.6788321167883,53214914,42448301.0,-32.61599541447451,Dawson Geophysical Company,stock,['common'],streaming,100,1,false,0,USD,USD
3,NASDAQ:SATS,echostar,SATS,24.21,7.370000000000001,43.76484560570072,563636,45.546318289786235,25.11,49.10926365795724,15838790,7216077606.263657,15.393915104606668,EchoStar Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:SAGE,sage-therapeutics,SAGE,9.09,2.3899999999999997,35.67164179104477,5619176,31.492537313432837,9.07,35.373134328358205,27621581,567969705.6805971,-41.00695408799352,"Sage Therapeutics, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
5,AMEX:MXC,mexco-energy,MXC,11.51,-0.40000000000000036,-3.3585222502099104,68275,27.95969773299748,10.92,-8.312342569269523,208448,22342319.999999996,-41.98707281605722,Mexco Energy Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
6,NASDAQ:SBET,sharplink-gaming,SBET,10.86,1.6499999999999986,17.915309446254053,3093260,27.687296416938096,13.41,45.60260586319217,46754534,816764171.6872964,1689.2561432984153,"SharpLink Gaming, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:RGC,regencell-bioscience,RGC,27.1903,11.52976742,73.62308632290461,152054,21.643372616386465,60.0,283.12873265003606,5260307,203789956.0,15648.777640714412,Regencell Bioscience Holdings Limited,stock,['common'],streaming,100,1,false,0,USD,USD
8,AMEX:FOXO,,FOXO,0.2138,-0.0022999999999999965,-1.0643220731142975,5673296,21.378991207774174,0.2082,-3.6557149467838923,10797580,2211203.4669134663,-6.057128271049732,FOXO Technologies Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
9,NASDAQ:VOR,vor-biopharma,VOR,0.1995,0.0174,9.555189456342667,57152,19.934102141680395,0.2217,21.74629324546952,2323099,27703526.080724876,-73.34626370356986,Vor Biopharma Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
10,AMEX:SSY,sunlink-health-systems,SSY,0.9802,0.0015999999999999348,0.1634988759452212,16394,19.558553034947874,0.9825,0.3985285101164944,124458,6917392.35131821,49.216662776532885,"SunLink Health Systems, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
11,NASDAQ:AIHS,senmiao-technology,AIHS,0.39,0.007900000000000018,2.067521591206495,450730,17.77021722062288,0.341,-10.756346506150214,2538351,3586651.5650353315,18.87659181232479,Senmiao Technology Limited,stock,['common'],streaming,10000,1,false,0,USD,USD
12,AMEX:MGLD,the-marygold-companies,MGLD,0.9345,0.13049999999999995,16.231343283582085,1345,16.231343283582085,0.93,15.671641791044774,57504,39838178.65671642,-30.862156346852206,"The Marygold Companies, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
13,NASDAQ:AIRO,,AIRO,34.71,10.71,44.625,1159029,16.208333333333336,31.0,29.166666666666668,11850641,772002486.0,,"AIRO Group Holdings, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
14,NASDAQ:CODA,coda-octopus,CODA,8.44,0.7099999999999991,9.184993531694683,10064,15.782664941785237,7.9,2.199223803363518,210092,88718963.24708927,15.672493201499451,"Coda Octopus Group, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
15,NASDAQ:HCTI,healthcare-triangle,HCTI,0.02905,0.00875,43.10344827586208,273794975,15.763546798029566,0.0264,30.04926108374385,903360111,10782964.256157639,-7.963669364473888,"Healthcare Triangle, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
16,NASDAQ:APPS,digital-turbine,APPS,4.85,0.16999999999999993,3.6324786324786316,81719,15.17094017094017,4.81,2.7777777777777755,10783273,505082752.1944444,155.04135834699588,"Digital Turbine, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
17,NASDAQ:DEVS,,DEVS,0.3561,0.0001000000000000445,0.02808988764046194,83019,15.168539325842694,0.3564,0.11235955056180097,471799,10733248.294382023,-81.14976713671294,DevvStream Corp.,stock,['common'],streaming,10000,1,false,0,USD,USD
18,NASDAQ:ZCMD,zhongchao,ZCMD,1.1948,0.04480000000000017,3.895652173913059,124542,14.782608695652188,1.22,6.086956521739136,295298,30809749.513043478,213.63406756144806,Zhongchao Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
19,NASDAQ:HUBC,,HUBC,2.334,-0.005999999999999783,-0.2564102564102472,700820,14.102564102564106,2.09,-10.683760683760685,2739330,6366084.623931624,-15.085838211598936,Hub Cyber Security Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
20,NASDAQ:SUNE,sunation-energy,SUNE,1.67,0.07999999999999985,5.031446540880494,137432,13.83647798742138,1.71,7.547169811320748,413840,5825309.660377358,-79.52653970521796,"SUNation Energy, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
21,NASDAQ:MB,masterbeef,MB,8.48,1.0300000000000002,13.825503355704702,163,13.825503355704702,8.22,10.335570469798663,39798,141014100.0,,MasterBeef Group,stock,['common'],streaming,100,1,false,0,USD,USD
22,NASDAQ:BMGL,basel-medical-ltd,BMGL,3.57,0.10999999999999988,3.1791907514450832,43869,13.583815028901741,3.1,-10.404624277456644,1051270,58235825.0,,Basel Medical Group Ltd,stock,['common'],streaming,100,1,false,0,USD,USD
23,NASDAQ:USEG,us-energy,USEG,2.19,-0.020000000000000018,-0.9049773755656116,6829796,13.574660633484156,1.715,-22.398190045248864,17061424,58297531.71719457,57.64568250701199,U.S. Energy Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
